coord_x,coord_y,mag_x,mag_y,mag_z
8.55,20.65,10.7775583483,-41.2736086176,-28.2526032316
9.55,20.65,27.0777227723,-46.5841584158,-18.3102310231
10.55,20.65,27.1481081081,-54.2457657658,0.148468468468
11.55,20.65,-4.20323741007,-23.5928057554,15.2913669083
12.55,20.65,-20.1601818182,-12.4183636364,13.8358181818
13.55,20.65,-25.2692446043,-4.74514388489,6.93381295144
14.55,20.65,-25.9882142857,-0.260892857143,0.7275
15.55,20.65,-24.8388788427,-0.959493670886,-4.35858951175
16.55,20.65,-25.2308931186,-3.44538799414,-11.3655929722
17.55,20.65,-24.0793851718,-3.15406871609,-18.3732368897
18.55,20.65,-17.3551724138,1.11161524501,-22.4392014519
19.55,20.65,-2.19520426288,4.66092362345,-13.6619893428
20.55,20.65,1.39040852575,2.22788632327,5.38046181172
21.55,20.65,-7.55606326889,-0.203339191564,17.0572934974
22.55,20.65,-18.862037037,-6.26185185185,17.5487037037
23.55,20.65,-34.0130755064,-9.29871101473,12.8762430939
24.55,20.65,-33.8506779661,-3.65542372881,2.10983050847
25.55,20.65,-24.5579754601,-6.32607361963,-1.54662576687
26.55,20.65,-17.9194244604,-10.0133095647,-6.64334532374
27.55,20.65,-23.2319419238,-7.70925590563,-11.9174228693
28.55,20.65,-16.1309653916,-1.22076502732,-17.7790528233
29.55,20.65,-9.76028636673,4.07209302326,-18.4216457961
30.55,20.65,-6.91800356506,9.17023190018,-11.2180035651
31.55,20.65,-9.21758445826,13.7435168739,-5.51047957549
32.55,20.65,-19.7253597122,12.0100719424,-6.95017985791
33.55,20.65,-27.8244206774,8.98787908556,-12.1951871658
34.55,20.65,-25.0,3.27006920415,-8.93650542215
35.55,20.65,-23.1677595628,-0.992531876138,-0.624772313297
36.55,20.65,-25.1761384335,-2.3335154827,6.93151183971
37.55,20.65,-22.2739130435,0.00217391304348,0.524094202899
38.55,20.65,-12.2487410072,-2.87248201439,-9.06402894424
39.55,20.65,-7.80405644444,-4.78024691358,-6.86402116402
40.55,20.65,-12.7444444463,-8.94316967031,-4.30710382514
41.55,20.65,-23.4902061856,-12.6616838488,-6.44054982818
42.55,20.65,-27.5551724138,-2.1555353902,-14.5800362976
43.55,20.65,-26.822826087,2.98786231884,-15.4375
44.55,20.65,-23.7390990991,0.798918918919,-12.1218018018
45.55,20.65,-25.2862132353,-3.57095588235,-7.40772059375
46.55,20.65,-23.2036101083,-5.77815884477,-3.85487364621
47.55,20.65,-22.920979021,-7.43426573427,-4.41066433566
48.55,20.65,-20.6586452763,-7.97629234225,-8.98146184135
49.55,20.65,-18.6683435583,-5.92834355828,-14.4233128834
50.55,20.65,-20.667587477,-6.02928176796,-16.7014732965
51.55,20.65,-21.6823275862,-7.86573276078,-15.3224137931
52.55,20.65,-24.0183615819,-3.72923728814,-13.7035310734
53.55,20.65,-24.7144851658,1.75165794066,-11.8963350785
54.55,20.65,-25.5288645691,5.25745554036,-11.3786593707
55.55,20.65,-23.1408585056,8.02464234817,-11.7494435612
56.55,20.65,-20.0010830325,6.01119133574,-3.61137184116
57.55,20.65,-11.8613175676,0.946621621622,2.15337837838
58.55,20.65,-13.846961326,-0.732596685083,2.76611418048
59.55,20.65,-17.6923636364,0.542363636364,4.24836363636
60.55,20.65,-24.3282608696,1.26467391304,3.52989130435
61.55,20.65,-24.9445698166,1.12468265162,0.337940761636
62.55,20.65,-20.784148398,1.09055649241,-0.540472175379
63.55,20.65,-23.0646296296,2.26092592593,-4.16351851852
64.55,20.65,-25.4078034682,3.3813583815,-4.46705202312
65.55,20.65,-23.5250453721,5.01705989111,-0.555353901996
66.55,20.65,-19.8386712095,2.1597955707,2.11192504259
67.55,20.65,-23.532972973,-2.81405405405,1.46144144144
68.55,20.65,-23.3605670103,-5.83144329897,-2.39097938144
69.55,20.65,-13.1941499086,-3.80621572212,-8.78976248629
70.55,20.65,-8.55354076684,-2.66355785838,-14.4113989637
