id,time,x,y,z
1,1508482264684,-27.5,-12.75,-44.4375
2,1508482264732,-28.625,-12.75,-43.625
3,1508482264751,-27.125,-12.75,-44.0625
4,1508482264771,-27.5,-12.375,-43.625
5,1508482264791,-27.5,-12.75,-44.0625
6,1508482264813,-27.875,-12.375,-43.25
7,1508482264837,-27.5,-12.75,-44.0625
8,1508482264853,-27.5,-13.5,-44.8125
9,1508482264874,-27.875,-13.125,-43.25
10,1508482264897,-27.875,-13.125,-42.8125
11,1508482264922,-27.5,-13.5,-43.625
12,1508482264946,-26.75,-14.1875,-44.0625
13,1508482264976,-28.25,-13.125,-43.25
14,1508482265001,-27.875,-13.8125,-43.25
15,1508482265023,-27.125,-13.125,-44.4375
16,1508482265042,-27.5,-13.5,-44.4375
17,1508482265061,-26.75,-13.125,-43.625
18,1508482265082,-27.5,-13.5,-43.25
19,1508482265102,-26.75,-13.8125,-44.0625
20,1508482265124,-26.75,-12.75,-44.0625
21,1508482265145,-26.4375,-13.5,-44.8125
22,1508482265166,-26.4375,-13.5,-44.8125
23,1508482265185,-26.75,-13.125,-43.625
24,1508482265207,-26.4375,-14.1875,-44.4375
25,1508482265225,-25.6875,-13.5,-43.25
26,1508482265243,-26.4375,-13.125,-44.0625
27,1508482265262,-26.75,-13.5,-44.4375
28,1508482265282,-27.125,-13.8125,-44.4375
29,1508482265303,-27.125,-13.8125,-44.4375
30,1508482265324,-26.75,-13.8125,-43.625
31,1508482265348,-26.75,-13.8125,-44.8125
32,1508482265371,-27.125,-13.5,-44.4375
33,1508482265394,-27.5,-13.8125,-43.625
34,1508482265420,-27.5,-14.1875,-42.4375
35,1508482265442,-27.125,-13.8125,-44.0625
36,1508482265466,-27.125,-13.125,-44.8125
37,1508482265488,-26.4375,-13.5,-44.4375
38,1508482265510,-26.75,-13.5,-45.625
39,1508482265532,-25.6875,-14.1875,-43.25
40,1508482265553,-26.75,-14.1875,-43.25
41,1508482265572,-26.75,-13.8125,-42.4375
42,1508482265592,-26.4375,-13.125,-42.4375
43,1508482265612,-26.75,-14.1875,-42.8125
44,1508482265633,-27.5,-13.8125,-42.8125
45,1508482265651,-26.4375,-15.3125,-42.8125
46,1508482265672,-26.4375,-14.9375,-42.8125
47,1508482265695,-26.0625,-14.1875,-42.8125
48,1508482265716,-26.4375,-14.5625,-42.8125
49,1508482265734,-25.6875,-13.8125,-42.4375
50,1508482265756,-26.75,-14.5625,-42.8125
51,1508482265775,-26.4375,-13.5,-41.625
52,1508482265799,-26.75,-13.5,-42
53,1508482265823,-27.5,-13.8125,-42.4375
54,1508482265844,-27.125,-13.8125,-42
55,1508482265867,-27.125,-13.125,-41.25
56,1508482265889,-27.125,-13.5,-41.625
57,1508482265913,-26.75,-13.8125,-42.4375
58,1508482265931,-26.4375,-14.1875,-42.875
59,1508482265952,-26.75,-13.125,-41.25
60,1508482265974,-27.5,-13.125,-41.25
61,1508482265996,-27.5,-12.75,-40.8125
62,1508482266018,-27.875,-12.375,-41.625
63,1508482266043,-26.75,-11.25,-42.0625
64,1508482266062,-27.875,-10.875,-41.625
65,1508482266082,-27.125,-10.875,-40.8125
66,1508482266102,-27.125,-12,-40.8125
67,1508482266123,-27.5,-11.625,-41.25
68,1508482266141,-27.125,-12.375,-41.625
69,1508482266157,-27.5,-10.875,-40
70,1508482266174,-27.125,-11.625,-39.625
71,1508482266190,-28.25,-10.875,-41.25
72,1508482266206,-27.5,-11.25,-40
73,1508482266226,-27.875,-10.875,-40
74,1508482266239,-27.875,-10.875,-41.25
75,1508482266251,-27.875,-10.1875,-40
76,1508482266269,-28.625,-9.4375,-40.4375
77,1508482266286,-27.875,-9.8125,-39.625
78,1508482266303,-27.875,-10.1875,-41.25
79,1508482266320,-27.5,-9.4375,-40.8125
80,1508482266336,-27.125,-9.4375,-40
81,1508482266355,-27.875,-9.0625,-38.4375
82,1508482266375,-28.25,-9.4375,-38.8125
83,1508482266397,-27.5,-9.0625,-39.625
