timeMillis,timeNanos,x,y,z
1571036891983,102035870245,-0.018782275,-0.034592688,0.018239826
1571036891994,102055870245,-0.05543419,-0.06757941,0.0029681942
1571036892017,102075870245,-0.079257935,-0.05108605,-0.004973054
1571036892035,102095870245,-0.06948409,0.056426235,0.02801367
1571036892054,102115870245,-0.05054727,0.14866689,0.060389526
1571036892077,102135868245,-0.058488514,0.08574776,0.06527645
1571036892095,102155799978,-0.058488514,-0.038257882,0.020072423
1571036892114,102175799978,-0.017560543,-0.06391422,-0.01719036
1571036892136,102195799978,0.022756563,-0.042533934,-0.015968628
1571036892154,102215799978,0.03253041,0.014887397,-0.025742471
1571036892174,102235799978,0.02825435,0.076584786,-0.012303437
1571036892196,102255799978,0.021534832,0.10834978,-0.0013078626
1571036892215,102275799978,0.0019871446,0.07841738,-0.02207728
1571036892235,102295799978,-0.010841025,0.035656814,-0.036127184
1571036892256,102315799978,-0.004732373,0.043598063,-0.020855552
1571036892274,102335799978,-0.017560543,0.025272107,0.00480079
1571036892294,102355799978,-0.026112657,-0.00221683,0.0066333856
1571036892316,102375799978,-0.0010671816,-0.010158078,0.0060225204
1571036892337,102395799978,0.024589159,-0.044977397,-0.0074165147
1571036892355,102415799978,0.03253041,-0.07368807,-0.048344485
1571036892377,102435800028,0.026421756,-0.056583837,-0.066059574
1571036892395,102455800028,0.011150124,-0.032149225,-0.05200968
1571036892415,102475800028,0.008095797,-0.037647016,-0.039792374
1571036892437,102495800028,0.036806464,-0.07918585,-0.039792374
1571036892455,102515800028,0.06673886,-0.11278344,-0.039792374
1571036892476,102535800028,0.05391069,-0.09506834,-0.035516314
1571036892497,102555800028,-0.002288912,-0.037647016,-0.033072855
1571036892515,102575800028,-0.04871467,-0.007714617,-0.020244684
1571036892535,102595800028,-0.030999579,-0.035203554,-0.0019187278
1571036892558,102615800028,0.01664791,-0.06330336,-0.009859975
1571036892573,102635799461,0.027643485,-0.06635768,-0.026964203
1571036892596,102655799461,0.010539258,-0.05108605,-0.03246199
1571036892618,102675799461,-0.007786699,-0.018099327,-0.03246199
1571036892636,102695799494,-0.022447465,-0.0046602907,-0.03001853
1571036892658,102715799494,-0.0218366,0.0014483616,-0.005583919
1571036892677,102735799860,0.008706662,0.011222205,0.03045713
1571036892695,102755799860,0.033141274,0.0038918226,0.02129415
1571036892715,102775799860,0.016037045,-0.009547212,-0.02207728
1571036892737,102795799860,-0.01023016,0.021606915,-0.03734891
1571036892755,102815799860,-0.016338812,0.05825883,0.0151855
1571036892775,102835799860,0.014815316,0.017330859,0.014574634
1571036892798,102855799893,0.045358576,-0.027873171,0.007855116
1571036892815,102875799893,0.04108252,-0.06269249,-0.015968628
1571036892835,102895799926,0.010539258,-0.051696915,-0.025742471
1571036892857,102915799926,0.008706662,0.011222205,-0.00802738
1571036892875,102935799959,0.039249923,0.049706716,0.0035790594
1571036892896,102955799692,0.039249923,-0.0046602907,-0.00924911
1571036892917,102975799692,0.0019871446,-0.06819028,-0.012303437
1571036892934,102995800192,-0.018782275,-0.04986432,-0.0031404581
1571036892956,103015799925,-4.5631634E-4,-0.00221683,0.0054116556
1571036892977,103035799625,0.035584733,0.015498263,0.0066333856
1571036892994,103055799391,0.050856367,-0.0058820215,-0.0074165147
1571036893015,103075798791,0.038028196,-0.009547212,-0.014136033
1571036893035,103095798224,0.02703262,-9.950994E-4,0.014574634
1571036893053,103115797624,0.0044306056,-0.0016059647,0.0115203075
1571036893103,103135797024,-0.031610444,0.010000475,-0.01719036
1571036893103,103155796457,-0.0358865,0.061313156,-0.0153577635
1571036893112,103175795623,-0.00900843,0.050928447,0.010298577
1571036893136,103195794823,0.016037045,-0.047420856,-6.969972E-4
1571036893154,103215794023,0.025810888,-0.077353254,-0.01963382
1571036893172,103235793756,0.0013762794,-0.01382327,-0.005583919
1571036893193,103255792956,-0.02305833,0.038711138,0.010298577
1571036893214,103275792122,-0.008397565,0.013665667,0.013352904
1571036893234,103295791255,0.012371854,-0.037647016,0.0066333856
1571036893254,103315790455,0.011760988,-0.043144803,-6.969972E-4
1571036893274,103335789588,0.005652336,0.006946149,0.0017464638
1571036893293,103355788754,-4.5631634E-4,0.012443936,0.004189925
1571036893313,103375787920,0.0032088752,-0.0034385605,-0.014136033
1571036893335,103395787086,0.0032088752,0.0051135533,-0.022688147
1571036893353,103415786286,0.005041471,0.024050375,-0.00924911
1571036893373,103435785452,0.0093175275,0.031380758,-0.0074165147
1571036893394,103455784585,-0.0010671816,0.021606915,-0.005583919
1571036893413,103475783785,1.545489E-4,0.010000475,0.004189925
1571036893434,103495782918,7.6541415E-4,0.0032809572,0.0072442507
1571036893456,103515782118,-0.0071758344,0.007557014,-0.020244684
1571036893473,103535781251,-0.002288912,0.021606915,-0.037959777
1571036893493,103555780684,0.016037045,0.007557014,-0.033072855
1571036893514,103575779884,0.006874067,-0.016877595,-0.03673805
1571036893537,103595778550,-0.025501791,0.006335283,-0.020244684
1571036893553,103615777983,-0.030999579,0.05581537,0.0151855
1571036893574,103635777449,-0.002288912,0.03504595,0.017018095
1571036893597,103655776849,0.012371854,-0.0071037523,-0.030629395
1571036893613,103675776649,0.0019871446,0.010000475,-0.034294587
1571036893635,103695776382,0.007484932,0.03260249,-6.969972E-4
1571036893654,103715776148,0.030697811,-0.011990674,0.0060225204
1571036893674,103735775914,0.033752136,-0.049253453,0.0011355985
1571036893693,103755775647,0.019091371,-0.009547212,-0.0013078626
1571036893712,103775775647,0.0093175275,0.052761044,0.0017464638
1571036893733,103795775713,0.022756563,0.05153931,-6.969972E-4
1571036893754,103815775679,0.0361956,-3.8423424E-4,-0.022688147
1571036893773,103835775712,0.01664791,-0.022375382,-0.033072855
1571036893793,103855775678,-0.022447465,0.014887397,-0.016579494
1571036893816,103875775711,-0.027334386,0.03382422,-0.0013078626
1571036893833,103895775711,-0.0016780468,0.012443936,-0.009859975
1571036893855,103915775677,0.009928392,0.010000475,-0.014136033
1571036893876,103935775710,-0.02305833,0.048484985,-8.6132E-5
1571036893896,103955775710,-0.04627121,0.06620008,0.0035790594
1571036893913,103975775710,-0.018171407,0.030159026,-0.004973054
1571036893935,103995775743,0.025810888,-0.018710192,-6.969972E-4
1571036893955,104015775709,0.04413685,-0.032760095,0.0054116556
1571036893973,104035775742,0.033141274,-0.015655866,0.008465981
1571036893994,104055775742,0.008095797,0.011833071,0.010298577
1571036894013,104075775708,-0.012673621,0.028937297,0.012742038
1571036894034,104095775741,-0.015117083,0.03260249,0.010909442
1571036894053,104115775707,-0.009619295,0.016719991,0.0054116556
1571036894105,104135775707,-0.004732373,-0.013212404,-0.0031404581
1571036894105,104155775707,-4.5631634E-4,-0.016877595,-0.00924911
1571036894114,104175775673,-0.0035106426,0.040543735,5.247333E-4
1571036894133,104195775706,0.01420445,0.017941723,0.013963769
1571036894157,104215775706,0.01420445,-0.015655866,0.01640723
1571036894175,104235775672,7.6541415E-4,-0.002827695,0.020072423
1571036894193,104255775705,0.005652336,0.025272107,0.0035790594
1571036894213,104275775671,0.010539258,0.012443936,-0.023909876
1571036894236,104295775704,-0.0028997774,0.010000475,-0.021466415
1571036894253,104315775704,-0.007786699,0.02343951,0.009076847
1571036894272,104335775704,0.011150124,0.0020592269,0.021905016
1571036894294,104355775737,0.01542618,-0.036425285,0.0072442507
1571036894314,104375775737,-0.015117083,-0.032760095,-0.008638246
1571036894333,104395775637,-0.037719097,0.019163454,-0.008638246
1571036894354,104415775670,-0.015117083,0.044819795,0.012742038
1571036894375,104435776203,0.007484932,0.008167879,0.015796365
1571036894395,104455777069,0.0013762794,-0.013212404,0.008465981
1571036894417,104475777869,-0.0041215075,-0.008325483,0.007855116
1571036894435,104495778435,0.0013762794,-0.010158078,-0.005583919
1571036894453,104515778868,0.0019871446,-0.0052711563,-0.022688147
1571036894475,104535779068,-0.0059541035,0.022828646,-0.027575068
1571036894493,104555779301,0.008095797,0.04543066,-0.011081706
1571036894513,104575779567,0.033752136,0.015498263,0.0023573288
1571036894537,104595780367,0.01542618,-0.042533934,-0.010470841
1571036894555,104615781233,-0.027945252,-0.035203554,-0.03001853
1571036894575,104635782033,-0.04871467,0.03382422,-0.020855552
1571036894596,104655784299,-0.034053907,0.06009143,-6.969972E-4
1571036894613,104675784532,0.0038197404,0.013054801,0.008465981
1571036894633,104695784732,0.033752136,-0.02665144,0.0029681942
1571036894655,104715784965,0.047191173,-0.038868744,-0.01719036
1571036894706,104735785198,0.047191173,-0.038868744,-0.01719036
1571036894731,104755785598,0.047191173,-0.038868744,-0.01719036
1571036894732,104777307886,-0.012062755,0.019163454,-0.03673805
1571036894735,104797308686,-0.027334386,0.03504595,-0.0428467
1571036894754,104817308952,-0.0035106426,0.022217778,-0.03001853
1571036894775,104837309185,0.030086946,-0.045588262,-0.027575068
1571036894795,104857309385,0.021534832,-0.04803172,-0.0135251675
1571036894815,104877310251,-0.012673621,-0.008936348,5.247333E-4
1571036894837,104897311051,-0.043216884,0.016109128,-0.008638246
1571036894854,104917311884,-0.018171407,0.038100276,-0.00680565
1571036894876,104937312717,0.020923967,0.011833071,0.0023573288
1571036894897,104957313517,0.0361956,-0.04986432,0.0060225204
1571036894915,104977314383,0.011150124,-0.05108605,0.0011355985
1571036894936,104997315216,-0.05115813,0.019163454,-0.0153577635
1571036894957,105017316016,-0.057266783,0.06864354,0.0011355985
1571036894974,105037315716,0.01664791,0.036878545,0.0072442507
1571036894995,105057315682,0.060019344,-0.04864259,-0.010470841
1571036895017,105077315682,0.025200024,-0.053529512,-0.006194785
1571036895035,105097315948,-0.041384287,-3.8423424E-4,0.018850692
1571036895055,105117316348,-0.06520803,0.022217778,0.014574634
1571036895080,105137316981,-0.024280062,0.028326433,0.0072442507
1571036895097,105157317581,0.025810888,-0.011990674,0.021905016
1571036895116,105177318147,0.0361956,-0.060249027,0.0072442507
1571036895137,105197318180,0.01786964,-0.049253453,-8.6132E-5
1571036895155,105217318146,-0.009619295,0.020385183,0.0017464638
1571036895175,105237318179,-0.018782275,0.043598063,-0.0043621887
1571036895197,105257316745,-0.0059541035,0.012443936,-0.0074165147
1571036895216,105277350678,0.019702237,-0.014434135,-0.01719036
1571036895237,105297417944,0.022145698,-0.019931924,-0.024520742
1571036895259,105317485210,0.005652336,-0.002827695,-0.0019187278
1571036895277,105337552476,-4.5631634E-4,-0.0046602907,0.017018095
1571036895299,105357652909,-0.028556118,-0.016266732,0.009076847
1571036895320,105377753709,-0.031610444,0.007557014,0.01640723
1571036895338,105397853742,0.0038197404,0.010000475,0.01762896
1571036895359,105417954308,0.023367427,-0.025429709,-0.004973054
1571036895380,105438054941,0.01420445,-0.021153653,-0.010470841
1571036895398,105458155541,0.0013762794,0.009389609,0.0066333856
1571036895418,105478255507,-0.0059541035,0.0026700918,0.010909442
1571036895441,105498355540,-0.0035106426,-0.017488461,-0.0074165147
1571036895458,105518455540,-0.0059541035,-0.007714617,-0.020244684
1571036895479,105538555540,-0.009619295,0.004502688,-0.009859975
1571036895500,105558655573,0.006263201,0.006946149,0.0035790594
1571036895518,105578755539,0.01298272,-0.021153653,0.010298577
1571036895538,105598855305,-0.0053432384,-0.018710192,0.0151855
1571036895578,105618955305,-0.00900843,0.0051135533,0.0072442507
1571036895579,105639055871,-0.0010671816,-0.013212404,-0.009859975
1571036895596,105659155304,0.012371854,-0.0107689435,-0.009859975
1571036895618,105679254704,0.020313103,0.0014483616,0.00480079
1571036895636,105699354104,0.025200024,-0.029705767,0.012131173
1571036895657,105719453504,0.01664791,-0.060249027,-0.016579494
1571036895678,105739552870,-0.030388715,-0.029705767,-0.029407663
1571036895698,105759652903,-0.05971024,0.057647966,-0.009859975
1571036895718,105779752903,0.006874067,0.06436749,0.0029681942
1571036895740,105799852869,0.071625784,-0.05475124,-0.012914302
1571036895758,105819952902,0.021534832,-0.101177,-0.009859975
1571036895778,105840052868,-0.049936403,-0.011379808,0.020072423
1571036895800,105860152901,-0.031610444,0.048484985,0.021905016
1571036895818,105880219567,0.04108252,-0.009547212,0.012131173
1571036895838,105900252900,0.06979319,-0.06880114,0.0029681942
1571036895857,105920285666,0.0093175275,-0.028484035,0.010298577
1571036895878,105940318732,-0.029777847,0.02588297,0.025570208
1571036895898,105960318732,-0.016338812,0.0014483616,-0.011692571
1571036895920,105980318765,-0.0016780468,-0.011379808,-0.01719036
1571036895938,106000318731,0.023367427,0.024661241,-0.00802738
1571036895958,106020318764,0.02947608,0.017330859,-6.969972E-4
1571036895980,106040318730,-0.00900843,-0.013212404,0.00480079
1571036895998,106060318730,-0.040162556,-0.020542787,-0.0074165147
1571036896018,106080318730,-0.018171407,0.007557014,-0.00802738
1571036896040,106100318696,0.022756563,0.005724418,-0.011692571
1571036896058,106120318696,0.046580307,-0.020542787,-0.020244684
1571036896078,106140318696,0.033752136,-0.0052711563,-0.005583919
1571036896100,106160318662,-0.0059541035,0.017330859,0.012131173
1571036896118,106180318695,-0.016338812,0.005724418,0.0054116556
1571036896138,106200318928,-0.0071758344,-0.023597112,-0.020855552
1571036896160,106220318961,-0.0028997774,-0.002827695,-0.019022955
1571036896178,106240318961,-4.5631634E-4,0.034435086,-0.006194785
1571036896198,106260319527,-0.0028997774,0.031991623,-0.004973054
1571036896220,106280320127,0.01664791,-0.0107689435,-0.012914302
1571036896238,106300320727,0.014815316,-0.043144803,-0.02329901
1571036896259,106320354660,-0.026723523,-0.011379808,-0.027575068
1571036896281,106340388626,-0.043827746,0.031991623,-0.015968628
1571036896299,106360421926,1.545489E-4,0.010000475,-0.009859975
1571036896319,106380455292,0.03863906,-0.059638165,-0.025742471
1571036896341,106400488625,0.008706662,-0.057805568,-0.025742471
1571036896359,106420521925,-0.027945252,0.020385183,-0.006194785
1571036896380,106440555291,-0.032832175,0.039322007,-0.01719036
1571036896401,106460588591,-0.020004004,0.006946149,-0.039792374
1571036896419,106480621924,0.01786964,-0.010158078,-0.04162497
1571036896439,106500655257,0.03986079,-0.015045,-0.026964203
1571036896461,106520689157,0.01786964,-0.034592688,-0.031851124
1571036896479,106540722790,-0.052379865,0.007557014,-0.023909876
1571036896499,106560756123,-0.04871467,0.031991623,-0.0031404581
1571036896523,106580789423,0.0032088752,-0.0052711563,-0.004973054
1571036896539,106600822789,0.045358576,-0.04864259,-0.012303437
1571036896559,106620856089,0.019702237,-0.026040575,0.0054116556
1571036896581,106640889455,-0.012673621,0.02588297,0.009076847
1571036896599,106660922788,1.545489E-4,0.03504595,-0.009859975
1571036896617,106680955521,0.012371854,-0.010158078,-0.035516314
1571036896639,106700988287,-0.0059541035,-0.017488461,-0.034294587
1571036896661,106721054953,-0.016338812,0.036267683,-0.012914302
1571036896680,106741121619,-0.018171407,0.036878545,0.00480079
1571036896703,106761188319,-0.015727947,-0.0052711563,-0.011692571
1571036896720,106781254952,-0.009619295,-0.021764519,-0.031851124
1571036896740,106801321652,-0.00900843,-0.0046602907,-0.026964203
1571036896761,106821388285,-0.012673621,0.024661241,-0.0135251675
1571036896780,106841454951,-0.0010671816,0.02588297,-0.011692571
1571036896800,106861521617,0.013593584,0.026493838,-0.005583919
1571036896822,106881588283,0.039249923,-0.007714617,0.0029681942
1571036896840,106901654683,0.0361956,-0.04070134,-0.012914302
1571036896860,106921688016,-0.0059541035,-0.016266732,-0.01719036
1571036896882,106941721316,-0.027945252,0.048484985,-0.008638246
1571036896900,106961754682,-0.0053432384,0.035656814,-0.004973054
1571036896920,106981787982,0.020313103,-0.019321056,-0.03246199
1571036896942,107001821348,0.0038197404,-0.021153653,-0.017801223
1571036896961,107021854681,-0.018782275,0.020996049,0.018239826
1571036896980,107041887981,-0.0059541035,0.006335283,0.019461555
1571036897002,107061921347,0.01298272,-0.028484035,0.0066333856
1571036897020,107081954680,0.01542618,-0.037647016,-0.0043621887
1571036897040,107101988013,-0.004732373,-0.002827695,5.247333E-4
1571036897073,107122021379,-0.009619295,0.03382422,-8.6132E-5
1571036897080,107142054679,0.023978295,-0.0040494255,-0.004973054
1571036897100,107162088045,0.012371854,-0.041312207,-0.006194785
1571036897122,107182121378,-0.02061487,-0.027873171,-0.008638246
1571036897140,107202154678,-0.012062755,0.012443936,-0.031851124
1571036897160,107222188044,0.016037045,0.030769894,-0.026353339
1571036897182,107242221344,0.019702237,0.0014483616,-0.011081706
1571036897200,107262254677,0.0019871446,-0.044977397,0.0017464638
1571036897220,107282288610,-0.029166983,-0.043144803,0.009076847
1571036897241,107302322510,-0.033443037,0.0032809572,0.0017464638
1571036897260,107322322543,0.011150124,0.020385183,-0.0019187278
1571036897281,107342322543,0.053299822,-0.029705767,-0.0043621887
1571036897302,107362322509,0.05391069,-0.054140378,-0.009859975
1571036897321,107382322542,0.024589159,-0.016877595,-0.019022955
1571036897340,107402322508,-0.022447465,0.012443936,-0.033072855
1571036897363,107422322541,-0.041995153,0.036878545,-0.02329901
1571036897380,107442322541,0.009928392,0.022217778,-0.0153577635
1571036897400,107462322541,0.046580307,-0.022986248,-0.026964203
1571036897422,107482322574,0.016037045,-0.033370957,-0.0287968
1571036897440,107502322840,-0.018171407,0.008167879,-0.010470841
1571036897461,107522322840,-0.021225736,0.010000475,5.247333E-4
1571036897482,107542322873,-0.012673621,-0.016266732,-0.0074165147
1571036897500,107562322839,-0.011451891,-0.011990674,5.247333E-4
1571036897520,107582322872,0.01664791,0.017330859,0.013963769
1571036897542,107602322838,0.04108252,-0.019321056,5.247333E-4
1571036897560,107622322838,0.012371854,-0.04864259,-0.011692571
1571036897580,107642322838,-0.03832996,0.008167879,-0.004973054
1571036897602,107662322804,-0.04627121,0.04543066,-0.00924911
1571036897621,107682322804,-0.018782275,0.021606915,-0.015968628
1571036897641,107702322837,0.01542618,-0.022986248,-0.008638246
1571036897663,107722322803,0.012371854,-0.013212404,-0.014746898
1571036897681,107742322836,-0.0059541035,0.017330859,-0.01841209
1571036897702,107762322802,0.0019871446,0.050928447,-0.0074165147
1571036897724,107782322835,-0.0028997774,0.02588297,0.01640723
