timeMillis,timeNanos,x,y,z
1571036892991,497545876195559,-0.05985687,2.954535,9.0838785
1571036893012,497545908861859,-0.05985687,2.954535,9.0838785
1571036893029,497545941528892,-0.05985687,2.954535,9.0838785
1571036893049,497545974195558,-0.71588814,3.0263634,9.323306
1571036893073,497546006862224,-0.3902668,2.892284,9.332883
1571036893090,497546039528890,-0.20590763,2.9401696,9.387952
1571036893109,497546072195556,-0.24900457,2.885101,9.4932995
1571036893132,497546104862222,-0.34477556,2.8970726,9.347249
1571036893150,497546137528522,-0.38308397,2.9641123,9.143736
1571036893170,497546170195555,-0.45730647,2.892284,9.495694
1571036893191,497546202862221,-0.43815228,2.8898897,9.574705
1571036893211,497546235528887,-0.43336374,2.8803127,9.701602
1571036893228,497546268195553,-0.44294083,2.885101,9.5244255
1571036893248,497546300861886,-0.3974496,2.8898897,9.119793
1571036893269,497546333528886,-0.3615355,2.8803127,8.959376
1571036893289,497546366195852,-0.3304099,2.8779182,9.232324
1571036893310,497546398862818,-0.32801566,2.8731298,9.330489
1571036893328,497546431529651,-0.45251793,2.928198,9.711179
1571036893348,497546464196417,-0.35914123,2.901861,9.368797
1571036893370,497546496863117,-0.29928434,2.8803127,9.641745
1571036893389,497546529529717,-0.32083282,2.9401696,9.431048
1571036893408,497546562196283,-0.43815228,3.0119977,9.098245
1571036893430,497546594862816,-0.49800915,2.997632,9.134158
1571036893448,497546627529349,-0.339987,2.935381,9.289786
1571036893469,497546660195749,-0.5027977,2.8348215,9.586677
1571036893491,497546692862082,-0.43096948,2.8515813,9.407105
1571036893509,497546725527982,-0.43815228,2.8611584,9.064724
1571036893528,497546758193682,-0.53392327,2.9042554,9.107821
1571036893549,497546790859448,-0.531529,2.9641123,9.330489
1571036893569,497546823525014,-0.409421,2.918621,9.387952
1571036893590,497546843524280,-0.4189981,2.9234095,9.09585
1571036893609,497546863523413,-0.45012367,2.9641123,9.150918
1571036893628,497546883522113,-0.43336374,2.9066496,9.550762
1571036893648,497546903521113,-0.34477556,2.8156672,9.591465
1571036893672,497546923520046,-0.2657645,2.8420043,9.330489
1571036893691,497546943518412,-0.3232271,2.9234095,9.170073
1571036893708,497546963516445,-0.38547826,2.925804,9.234718
1571036893730,497546983515111,-0.38308397,2.8898897,9.261055
1571036893748,497547003513644,-0.46927786,2.9473522,9.205987
1571036893769,497547023511744,-0.5650489,2.9593236,9.222747
1571036893830,497547043510144,-0.505192,2.9569294,9.313729
1571036893830,497547063508477,-0.36392978,2.9425638,9.246689
1571036893831,497547083506277,-0.43336374,2.9689007,9.270632
1571036893848,497547103504077,-0.5602603,2.9473522,9.47654
1571036893866,497547123501143,-0.6560313,2.954535,9.495694
1571036893912,497547143498109,-0.56744313,2.997632,9.296969
1571036893963,497547163495709,-0.45491222,2.988055,9.265843
1571036893963,497547183493375,-0.42139238,2.9521408,9.407105
1571036893963,497547203490341,-0.44054657,2.944958,9.352037
1571036893968,497547223487241,-0.51716334,2.9377751,9.131764
1571036893988,497547243484874,-0.52674043,2.9497466,9.229929
1571036894008,497547263482474,-0.5027977,2.9114382,9.289786
1571036894032,497547283513307,-0.4644893,2.875524,9.462174
1571036894050,497547303577407,-0.4070267,2.8611584,9.4095
1571036894071,497547323674907,-0.4836435,2.971295,9.050359
1571036894094,497547343805673,-0.5961744,3.007209,9.165284
1571036894113,497547363969773,-0.5027977,2.9641123,9.45978
1571036894134,497547384167706,-0.45251793,2.9305923,9.462174
1571036894158,497547404398772,-0.44294083,2.9760835,9.155706
1571036894175,497547424629272,-0.52674043,2.9832664,9.124581
1571036894195,497547444860038,-0.5602603,2.8994668,9.471751
1571036894225,497547465124138,-0.5913859,2.8946784,9.45978
1571036894238,497547485421571,-0.6201172,2.9377751,9.210775
1571036894260,497547505752371,-0.6656084,2.9928436,9.220352
1571036894282,497547526116437,-0.54350036,2.9521408,9.273026
1571036894305,497547527116437,-0.5219519,2.9090438,9.407105
