timeMillis,timeNanos,x,y,z
1571036892891,497545776195559,-0.016374853,0.03743199,-0.065616086
1571036892909,497545796195559,-0.039587732,0.08446861,-0.052787922
1571036892928,497545816195559,-0.0011032226,0.1357813,-0.01552514
1571036892951,497545836191225,0.03921388,0.100961976,0.023570236
1571036892968,497545856191225,1.1850786E-4,0.038042855,0.02295937
1571036892992,497545876191225,-0.055470232,0.036821123,0.018072449
1571036893012,497545896191225,-0.043252926,0.07347304,0.037620135
1571036893030,497545916192796,-0.002324953,0.0899664,0.011352931
1571036893050,497545936192796,0.008059756,0.08385775,-0.047900997
1571036893073,497545956192796,-0.018818315,0.07225131,-0.04912273
1571036893090,497545976192796,-0.032257352,0.039264582,0.016850717
1571036893109,497545996192796,-0.026148697,0.0020018052,0.04495052
1571036893132,497546016192796,-0.013931393,0.03987545,-0.009416488
1571036893150,497546036192796,0.0025619688,0.04354064,-0.02346639
1571036893171,497546056193581,-0.023094371,0.019106032,-0.025298985
1571036893192,497546076193581,-0.040198598,0.008110457,-0.024077253
1571036893211,497546096193581,0.0019511036,0.0050561316,-0.010027354
1571036893228,497546116193581,0.023331387,0.017884303,0.0015790866
1571036893248,497546136193025,-0.0035466836,0.019106032,0.022348505
1571036893269,497546156193551,-0.03470081,-0.015102422,0.015628988
1571036893289,497546176194001,-0.030424755,-0.023654535,-0.021022929
1571036893311,497546196194429,0.016001005,0.011775649,-0.040570613
1571036893328,497546216194656,0.04348994,0.035599396,-0.0338511
1571036893348,497546236194786,0.008059756,0.017273435,-0.018579466
1571036893370,497546256194827,-0.025537832,-0.020600209,-0.0124708135
1571036893389,497546276194747,-4.9235736E-4,-0.020600209,-0.028964177
1571036893408,497546296194631,0.050820325,-0.0028851165,-0.04362494
1571036893430,497546316194482,0.042268213,0.0044452664,-0.038127154
1571036893449,497546336194339,-0.007211875,0.0050561316,-0.01674687
1571036893469,497546356194063,-0.021261776,0.016662572,-0.009416488
1571036893491,497546376193729,0.010503217,0.05697968,-0.019190332
1571036893509,497546396193329,0.061205033,0.044151507,-0.014914275
1571036893528,497546416192362,0.03982475,-0.0077720387,-0.03751629
1571036893551,497546436191895,-0.015153123,-0.040758763,-0.050955325
1571036893569,497546456190795,-0.01820745,0.0026126707,-0.030185906
1571036893590,497546476190061,0.022720521,0.052703623,-0.017357737
1571036893609,497546496189194,0.033716094,0.060644872,-0.024077253
1571036893628,497546516187894,-0.009655336,0.034377664,-0.024688117
1571036893648,497546536186894,-0.025537832,0.021549493,-0.009416488
1571036893672,497546556185827,0.01661187,0.016662572,-8.6437433E-4
1571036893691,497546576184193,0.041657344,0.0020018052,-0.0124708135
1571036893708,497546596182226,0.023331387,-0.026097996,-0.0320185
1571036893730,497546616180892,-0.005990145,-0.018767612,-0.0320185
1571036893748,497546636179425,-0.007211875,0.011775649,-0.030796772
1571036893769,497546656177525,-0.002324953,0.034377664,-0.036905423
