timeMillis,timeNanos,x,y,z
1571036892770,497545656195559,445.02,798.77997,578.33997
1571036892787,497545676195559,444.9,798.42,578.39996
1571036892808,497545696195559,445.44,798.66,578.16
1571036892837,497545716195559,445.08,798.95996,578.04
1571036892848,497545736195559,445.25998,798.77997,577.62
1571036892868,497545756195559,445.08,798.83997,577.2
1571036892890,497545776195559,445.13998,798.89996,577.5
1571036892909,497545796195559,445.56,799.2,577.38
1571036892928,497545816195559,445.25998,799.44,577.56
1571036892950,497545836194114,445.44,799.5,578.04
1571036892968,497545856194114,445.44,799.56,578.04
1571036892992,497545876194114,445.68,799.07996,578.1
1571036893012,497545896194114,445.74,799.74,577.68
1571036893030,497545916194960,445.91998,799.8,577.44
1571036893050,497545936194960,446.03998,799.68,577.62
1571036893073,497545956194960,445.74,799.68,577.2
1571036893090,497545976194960,446.34,798.95996,577.5
1571036893109,497545996194960,446.03998,798.48,577.68
1571036893132,497546016194960,446.46,798.36,577.5
1571036893150,497546036194960,446.88,798.6,577.56
1571036893171,497546056195510,446.52,798.89996,577.8
1571036893191,497546076195510,447.06,799.32,577.2
1571036893211,497546096195510,446.88,799.62,577.2
1571036893228,497546116195510,446.69998,798.95996,577.62
1571036893248,497546136195093,446.88,798.66,577.5
1571036893269,497546156195493,447.18,798.77997,577.62
1571036893289,497546176195839,446.81998,798.42,577.74
1571036893311,497546196196172,446.88,798.89996,577.5
1571036893328,497546216196350,446.75998,799.44,577.08
1571036893348,497546236196453,446.22,799.01996,577.01996
1571036893370,497546256196486,446.58,799.26,576.42
1571036893389,497546276196419,446.75998,799.2,576.48
1571036893408,497546296196319,446.94,798.89996,576.77997
1571036893430,497546316196185,446.94,799.2,577.38
1571036893448,497546336196051,447.3,799.26,577.56
1571036893469,497546356195784,447.36,799.26,577.74
1571036893491,497546376195450,447.53998,799.32,577.74
1571036893509,497546396195050,447.72,799.01996,577.44
1571036893528,497546416194083,447.3,798.66,577.86
1571036893550,497546436193616,447.06,798.66,577.5
1571036893569,497546456192516,446.58,798.42,577.8
1571036893590,497546476191782,446.58,798.77997,577.8
1571036893609,497546496190915,446.46,799.07996,577.86
1571036893628,497546516189615,446.58,799.32,578.33997
1571036893648,497546536188615,446.58,799.56,578.27997
1571036893672,497546556187548,446.63998,799.56,578.51996
1571036893691,497546576185914,446.63998,799.56,578.33997
1571036893708,497546596183947,446.75998,799.2,578.51996
1571036893730,497546616182613,446.94,799.2,578.45996
1571036893748,497546636181146,447.18,798.77997,578.04
1571036893769,497546656179246,446.75998,798.36,578.27997
1571036893830,497546676177646,446.69998,798.12,578.1
1571036893830,497546696175979,446.88,798.36,577.44
1571036893831,497546716173779,446.94,798.77997,577.2
1571036893848,497546736171579,447.47998,799.26,576.72
1571036893866,497546756168645,447.36,799.56,576.6
1571036893912,497546776165611,447.06,799.5,577.14
1571036893963,497546796163211,446.34,799.62,577.8
1571036893963,497546816160877,445.56,799.56,578.04
1571036893963,497546836157843,445.68,799.13995,577.98
1571036893968,497546856154743,446.09998,799.44,577.26
1571036893988,497546876152376,446.28,799.68,576.72
1571036894008,497546896149976,446.88,799.01996,576.72
1571036894032,497546916180809,446.16,798.77997,577.01996
1571036894050,497546936244909,445.62,798.77997,577.32
1571036894071,497546956342409,445.62,798.77997,576.42
1571036894094,497546976473175,445.02,798.83997,576.3
1571036894113,497546996637275,445.02,798.3,576.66
1571036894135,497547016835208,445.97998,798.66,576.89996
1571036894158,497547037066274,445.97998,799.26,577.86
1571036894175,497547057296774,445.13998,799.07996,577.92
1571036894195,497547077527540,445.13998,799.26,577.8
1571036894225,497547097791640,445.44,799.56,577.62
1571036894238,497547118089073,445.86,799.2,577.68
1571036894260,497547138419873,446.16,799.01996,577.5
1571036894282,497547158783939,446.4,799.13995,577.08
1571036894305,497547187422297,446.09998,799.07996,577.44
1571036894322,497547207820463,445.38,799.13995,577.2
1571036894345,497547228251196,445.68,799.44,576.66
1571036894363,497547248715329,445.8,799.62,577.14
1571036894383,497547269179462,445.91998,799.32,577.44
1571036894407,497547289676862,446.22,799.01996,577.08
1571036894426,497547310207595,445.44,799.56,576.89996
1571036894446,497547330772128,445.56,799.56,576.72
1571036894468,497547351370261,446.09998,799.2,577.38
1571036894491,497547372001794,445.97998,799.68,577.68
1571036894510,497547392666727,446.16,799.32,577.2
1571036894534,497547413364227,446.52,798.83997,577.38
1571036894552,497547434095060,446.4,799.01996,578.04
1571036894572,497547454859926,446.22,799.07996,577.98
1571036894595,497547475658126,446.4,799.74,577.14
1571036894614,497547496488959,445.19998,799.62,577.14
1571036894635,497547517353125,444.47998,799.01996,577.14
1571036894661,497547538217291,444.53998,799.2,576.66
1571036894677,497547559081457,444.06,799.2,576.3
1571036894698,497547579945623,444.18,799.38,576.6
1571036894725,497547600809789,444.78,799.26,576.83997
1571036894739,497547621640622,444.59998,799.01996,576.06
1571036894760,497547642471455,443.75998,799.44,576.54
1571036894832,497547663268955,444.0,799.56,576.77997
1571036894832,497547684100488,444.24,799.13995,576.77997
1571036894832,497547704931521,444.06,798.72,577.01996
1571036894847,497547725729087,444.53998,799.13995,577.01996
1571036894864,497547746526620,444.18,799.38,577.08
1571036894881,497547767290086,443.52,798.66,576.95996
1571036894903,497547788020986,444.06,798.72,577.08
1571036894921,497547808751819,444.84,799.44,577.38
1571036894942,497547829449319,444.41998,799.32,576.95996
1571036894964,497547850113552,443.75998,799.32,576.54
1571036894982,497547870777718,443.75998,799.38,576.89996
1571036895003,497547891441884,444.06,798.95996,576.66
1571036895024,497547912072784,444.24,798.24,576.89996
1571036895043,497547932670350,444.53998,798.18,576.72
1571036895064,497547953234516,444.41998,798.89996,576.18
1571036895084,497547973765349,444.0,799.01996,576.72
1571036895103,497547994295415,444.3,798.77997,576.77997
1571036895123,497548014792781,444.06,799.2,576.48
1571036895147,497548035290214,443.81998,799.01996,576.42
1571036895164,497548055754314,444.06,799.13995,576.42
1571036895186,497548076185014,444.24,799.5,576.95996
1571036895207,497548096582447,444.41998,798.83997,577.38
1571036895225,497548116946547,444.96,799.26,576.95996
1571036895244,497548137277313,444.9,799.44,576.66
1571036895266,497548157574779,444.24,799.07996,576.48
1571036895285,497548177838912,444.53998,798.77997,576.54
1571036895307,497548198103045,444.59998,799.2,576.36
1571036895329,497548218333845,444.47998,799.26,576.48
1571036895347,497548238597978,444.78,798.83997,577.32
1571036895368,497548258862111,444.72,799.5,577.62
1571036895394,497548279159577,444.59998,799.32,577.08
1571036895411,497548299457043,444.0,798.3,576.42
1571036895431,497548319754309,444.0,798.24,576.77997
1571036895453,497548340085042,444.72,798.77997,576.95996
1571036895472,497548360415808,444.84,798.89996,577.14
1571036895494,497548380780608,445.13998,799.5,576.83997
1571036895517,497548401178108,445.19998,799.92,576.72
1571036895535,497548421609074,444.3,799.38,577.62
1571036895557,497548442073407,444.53998,798.89996,577.56
1571036895579,497548462571073,444.9,798.54,577.01996
1571036895598,497548483068873,444.18,798.24,577.08
1571036895619,497548503600006,444.41998,798.48,576.89996
1571036895642,497548524164406,444.72,798.89996,576.48
1571036895661,497548544762139,444.72,799.13995,576.42
1571036895683,497548565393272,444.41998,799.5,576.36
1571036895707,497548586057672,444.47998,799.68,576.83997
1571036895725,497548606722772,444.36,799.5,576.72
1571036895745,497548627420572,444.66,799.26,577.26
1571036895768,497548648118305,445.25998,799.44,577.32
1571036895834,497548668849371,444.9,799.2,576.18
1571036895834,497548689613837,444.06,799.07996,576.89996
1571036895834,497548710378237,444.41998,799.68,577.32
1571036895848,497548731175970,444.84,799.86,576.42
1571036895869,497548751973703,444.66,799.8,576.6
1571036895894,497548772771403,444.47998,799.44,576.3
1571036895908,497548793569103,444.47998,799.2,576.0
1571036895929,497548814333469,445.25998,798.83997,577.08
1571036895951,497548835097935,444.9,798.72,577.14
1571036895968,497548855829001,444.3,798.95996,576.89996
1571036895990,497548876526734,444.41998,799.26,576.95996
1571036896010,497548897191200,444.53998,799.44,576.95996
1571036896031,497548917822266,444.78,799.32,576.77997
1571036896048,497548938453332,444.18,799.07996,576.48
1571036896071,497548959051132,444.0,798.77997,576.48
1571036896091,497548979648932,444.3,798.89996,577.08
1571036896111,497549000246665,444.72,799.5,576.89996
1571036896133,497549020810998,445.25998,799.92,576.48
1571036896152,497549041375264,444.36,799.32,576.66
1571036896175,497549061939430,444.3,799.26,576.77997
1571036896196,497549082503596,444.66,798.95996,576.77997
1571036896214,497549103034362,443.88,798.54,576.18
1571036896236,497549123565062,444.0,799.26,576.54
1571036896259,497549144095828,444.53998,798.95996,577.32
1571036896277,497549164626594,444.96,799.01996,576.77997
1571036896299,497549185157294,445.02,799.13995,576.66
1571036896321,497549205688060,444.53998,799.01996,577.26
1571036896341,497549226218826,444.47998,799.13995,577.56
1571036896363,497549246749559,444.47998,798.24,577.14
1571036896383,497549267280359,444.41998,798.24,576.95996
1571036896402,497549287811159,444.36,799.13995,577.74
1571036896426,497549308341892,444.59998,799.44,577.8
1571036896447,497549328906025,444.84,799.07996,577.38
1571036896466,497549349470158,444.41998,799.07996,577.32
1571036896489,497549370067558,445.38,799.38,576.72
1571036896509,497549390698358,445.56,799.01996,576.36
1571036896528,497549411362424,445.08,798.6,576.95996
1571036896548,497549432026490,444.96,798.95996,577.08
1571036896572,497549452723856,444.78,799.07996,577.14
1571036896591,497549473454622,445.62,799.01996,577.56
1571036896612,497549494218788,445.91998,799.13995,577.38
1571036896637,497549515016354,444.53998,798.66,577.14
1571036896655,497549535847320,443.16,798.24,577.08
1571036896675,497549556711686,443.34,798.54,577.56
1571036896698,497549577576052,444.12,798.54,577.92
1571036896716,497549598440418,444.3,798.48,577.92
1571036896739,497549619304784,443.75998,798.72,577.5
1571036896763,497549640202484,444.3,798.83997,576.95996
1571036896838,497549661100117,444.96,798.89996,576.95996
1571036896838,497549681997817,444.78,798.42,576.95996
1571036896838,497549702862183,444.18,798.0,576.77997
1571036896838,497549723725849,444.3,798.54,577.08
1571036896860,497549744556882,444.18,798.95996,577.74
1571036896882,497549765387915,443.63998,799.01996,577.74
1571036896903,497549786218948,443.4,798.36,577.68
1571036896923,497549807049981,443.28,798.18,577.32
1571036896947,497549827881014,443.58,799.01996,577.32
1571036896964,497549848712047,443.88,799.07996,577.8
1571036896985,497549869543047,443.94,798.48,577.74
1571036897009,497549890374047,443.81998,798.12,577.5
1571036897027,497549911171713,444.12,798.77997,577.56
1571036897047,497549931936079,443.88,799.01996,577.68
