timeMillis,timeNanos,x,y,z
1556085662258,2686185893542753,0.21317792,0.48729944,-0.08697316
1556085662278,2686185913542753,0.010981524,0.5312817,-0.052153844
1556085662295,2686185933542753,-0.14906517,0.16476257,-0.050321247
1556085662315,2686185953542753,-0.014063951,-0.17610024,-0.09552528
1556085662337,2686185973542753,0.18752158,-0.3227079,-0.12301421
1556085662362,2686185993542753,0.28770348,-0.22374773,-0.08575144
1556085662377,2686186013542753,0.28648174,0.02915049,-0.06559288
1556085662399,2686186033542753,0.18446726,0.18614285,-0.07353412
1556085662417,2686186053542753,0.04091392,0.14888008,-0.053986438
1556085662437,2686186073543641,-0.034222502,0.0694676,0.038254216
1556085662461,2686186093543641,0.03724873,-0.05270545,0.13782525
1556085662479,2686186113543641,0.19179764,-0.21824993,0.16653591
1556085662499,2686186133543641,0.26204714,-0.3874596,0.10422766
1556085662521,2686186153543641,0.18691072,-0.28361252,0.05535844
1556085662539,2686186173543641,0.017090177,0.2551706,0.33146954
1556085662556,2686186193543641,-0.020172603,0.09512394,0.28687638
1556085662577,2686186213543891,0.06779199,-0.1822089,0.13538179
1556085662595,2686186233542832,0.23944513,-0.4705373,0.108503714
1556085662617,2686186253542998,0.3597856,-0.81567615,0.0064892215
1556085662639,2686186273543050,0.3976592,-0.9317405,-0.12912287
1556085662656,2686186293542950,0.230893,-0.58354735,-0.1792138
1556085662676,2686186313542807,-0.04521808,0.08901528,-0.21158968
1556085662700,2686186333542625,-0.2907859,0.33885917,-0.24579813
1556085662717,2686186353832590,-0.4123481,0.39139357,-0.3392605
1556085662736,2686186373832256,-0.42823058,0.5092906,-0.4553249
1556085662759,2686186393831856,-0.4209002,0.4152173,-0.38507542
1556085662777,2686186413831394,-0.4318958,0.19164065,-0.19387457
1556085662798,2686186433830801,-0.39096782,0.022430971,-0.121181615
1556085662820,2686186453830158,-0.2486362,-0.10951592,-0.104077384
1556085662838,2686186473829468,-0.12890662,-0.20786522,-0.019167118
1556085662857,2686186493828034,-0.094087295,-0.22680205,0.08406911
1556085662880,2686186513826467,-0.07698307,-0.16571553,0.12255362
1556085662896,2686186533825533,-0.14967604,-0.091189966,0.16103813
1556085662917,2686186553824533,-0.21809295,-0.028270844,0.2196812
1556085662937,2686186573823399,-0.15639555,-0.025216516,0.27893513
1556085662955,2686186593821932,-0.03483337,-0.06858795,0.32230654
1556085662975,2686186613819965,0.054352958,-0.15777427,0.32291743
1556085663000,2686186633818631,0.12582418,-0.24818233,0.2196812
1556085663021,2686186653817164,0.19485196,-0.2524584,0.09872987
1556085663040,2686186673815364,0.20096062,-0.18098715,0.079182185
1556085663057,2686186693813064,0.10138958,-0.023383921,0.095064685
1556085663078,2686186713810630,-0.049494132,0.14216055,0.11155804
1556085663098,2686186733808830,-0.12524143,0.20324709,0.14454477
1556085663121,2686186753806996,-0.11180239,0.1959167,0.12072103
1556085663137,2686186773805096,-0.0904221,0.20385796,0.061467096
1556085663221,2686186793803062,-0.12646316,0.22035132,0.058412764
1556085663221,2686186813800828,-0.18632796,0.18308853,0.08162565
1556085663221,2686186833799261,-0.18083017,0.07618711,0.08284737
1556085663221,2686186853796227,-0.13501528,0.0083810715,0.044362865
1556085663235,2686186873793127,-0.087978646,0.029761355,-0.019167118
1556085663255,2686186893790760,-0.0360551,0.07618711,-0.042990863
1556085663306,2686186913788360,-0.0360551,0.07618711,-0.042990863
1556085663332,2686186933785860,-0.0360551,0.07618711,-0.042990863
1556085663332,2686186953782593,-0.19732352,0.09817826,0.16348158
1556085663334,2686186973779393,-0.28406638,0.03342655,0.2037987
1556085663356,2686186993776193,-0.4074612,0.027928758,0.14271218
1556085663374,2686187013773626,-0.48504105,0.095734805,0.07857132
1556085663396,2686187033771126,-0.36225715,0.19530584,0.08284737
1556085663420,2686187053801959,-0.14601085,0.22890343,0.13416007
1556085663438,2686187073866059,0.021977099,0.09939999,0.09934074
1556085663459,2686187093964192,0.3206902,-0.113181114,-0.033217017
1556085663482,2686187114095725,0.58886003,-0.18587407,-0.13156633
1556085663503,2686187134259825,0.49600852,-0.13883744,-0.09491441
1556085663523,2686187154457291,0.29747733,-0.21397388,-0.06925807
1556085663546,2686187174688157,0.19363023,-0.2524584,-0.060705956
1556085663562,2686187194918857,0.12338073,-0.113181114,3.8056905E-4
1556085663583,2686187215150357,0.009148928,0.049309045,-0.013669332
1556085663605,2686187235381157,-0.10691547,0.12505634,-0.07414499
1556085663625,2686187255611957,-0.066598356,0.10428691,-0.09430354
1556085663644,2686187275842757,-0.033611637,0.22462736,-0.029551828
1556085663667,2686187296074257,-0.10935893,0.35718513,-0.033217017
1556085663684,2686187316305823,-0.16678026,0.35657424,-0.041158266
1556085663705,2686187336536623,-0.11974364,0.2747183,-0.004506353
1556085663725,2686187356767423,0.022587964,0.08779356,9.914343E-4
1556085663744,2686187376998256,0.06718113,-0.036212094,-0.030773558
1556085663764,2686187397229222,0.03847046,-0.13211794,-0.06681461
1556085663787,2686187417459422,-0.014674816,-0.13700485,-0.07658845
1556085663804,2686187437690322,-0.04094202,0.007770206,-0.12179248
1556085663823,2686187457921922,-0.10874806,0.2661662,-0.15355748
1556085663848,2686187478153522,-0.19793439,0.47813645,-0.14011844
1556085663864,2686187498384422,-0.19304746,0.5001276,-0.0985796
1556085663883,2686187518615322,-0.10019595,0.35351992,-0.06498201
1556085663904,2686187538846288,-0.014674816,0.21302094,-0.06131682
1556085663924,2686187559111221,-0.03238991,0.23073602,-0.08575144
1556085663945,2686187579409487,-0.10080682,0.33947003,-0.10102306
1556085663969,2686187599741087,-0.06171144,0.371235,-0.057040762
1556085663988,2686187620105320,0.026864022,0.2979312,-0.0075606788
1556085664009,2686187640502886,0.106276505,0.21729699,0.054747578
1556085664031,2686187660900452,0.17224996,0.26127928,0.0718518
1556085664052,2686187681298018,0.12582418,0.26005757,-0.014280197
1556085664071,2686187701695584,-0.17899758,0.21241006,-0.14134017
1556085664094,2686187722093084,-0.5913316,0.20752315,-0.2231961
1556085664113,2686187742490650,-0.8625558,0.16842777,-0.22930476
1556085664133,2686187762854850,-0.87110794,0.11650422,-0.15233573
1556085664162,2686187783219083,-0.6035489,-0.075307466,0.0071000867
1556085664278,2686187803617016,-0.32865953,-0.26528656,0.1335492
1556085664278,2686187824014582,-0.10935893,-0.3734097,0.18913792
1556085664280,2686187844412148,0.19118677,-0.308658,0.1824184
1556085664280,2686187864809014,0.389718,-0.1504439,0.17264456
1556085664280,2686187885205880,0.37994412,-0.08141612,0.16836852
1556085664280,2686187905636780,0.26754493,-0.13761573,0.1317166
1556085664298,2686187926100946,0.13132198,-0.2805582,0.11888843
1556085664318,2686187946565179,0.106276505,-0.3257622,0.11766669
1556085664339,2686187967029379,0.13498716,-0.21947166,0.13232747
1556085664360,2686187987493545,0.13559803,0.009602801,0.18547273
1556085664376,2686188007990911,0.14048496,0.14093883,0.24167235
1556085664400,2686188028489044,0.24005598,0.12016941,0.29970452
1556085664418,2686188048986477,0.32374454,0.059693754,0.3070349
1556085664441,2686188075942856,0.3158033,0.043811258,0.26060915
1556085664462,2686188096473622,0.27243185,-0.010555752,0.19769005
1556085664480,2686188117037722,0.16919562,-0.13883744,0.09750814
1556085664507,2686188137635088,0.11055256,-0.1944262,0.046195462
1556085664527,2686188158265788,0.06779199,-0.17182417,0.02848037
1556085664544,2686188178896554,0.007316333,-0.11134852,0.021149987
1556085664567,2686188199527287,-0.030557312,-0.046596803,-0.005117218
1556085664588,2686188220158020,-0.067820095,0.053585097,-0.009393276
1556085664606,2686188240754786,-0.04399635,0.024874434,0.07124094
1556085664627,2686188261318852,0.04518998,-0.11562457,0.13599266
1556085664648,2686188281849585,0.12399159,-0.2170282,0.14393389
1556085664666,2686188302347051,0.10566563,-0.22130427,0.13599266
1556085664687,2686188322811184,0.018311907,-0.1993131,0.14149044
1556085664710,2686188343241984,-0.039109424,-0.13761573,0.109725446
1556085664727,2686188363639450,-0.062322304,-0.12539841,0.043752003
1556085664746,2686188384036916,-0.116078444,-0.20542178,0.031534698
1556085664773,2686188404400982,-0.25596657,-0.3294274,0.051082388
1556085664786,2686188424731882,-0.44777828,-0.45221132,0.061467096
1556085664806,2686188445062848,-0.6078249,-0.32392964,0.054136712
1556085664831,2686188465427148,-0.6041598,-0.14372438,0.08040392
1556085664848,2686188485825581,-0.3420986,-0.18892841,0.054136712
1556085664870,2686188506257414,0.113606885,-0.24268454,-0.027108368
1556085664893,2686188526688480,0.56259286,-0.32026443,-0.17005083
1556085664911,2686188547086280,0.5687015,-0.42838758,-0.34720176
1556085664931,2686188567517413,0.01159239,-0.30926886,-0.6233129
1556085664954,2686188587981813,-0.4190676,0.067635,-0.7864139
1556085664973,2686188608479546,-0.6066032,0.47752556,-0.82367665
1556085664995,2686188628977346,-0.6353139,0.6552873,-0.76686615
1556085665016,2686188649508412,-0.503367,0.5532729,-0.59154785
1556085665035,2686188670072812,-0.21320602,0.2747183,-0.28183916
1556085665058,2686188690670612,0.030529212,-0.009944886,-0.09369268
1556085665080,2686188711268345,0.21073447,-0.26039964,-0.089416616
1556085665098,2686188731866078,0.24494292,-0.2506258,-0.20792449
1556085665119,2686188752463878,0.042746518,0.067024134,-0.29100215
1556085665142,2686188773061611,-0.136237,0.2576141,-0.30199775
1556085665187,2686188793659344,-0.16128246,0.34008092,-0.27328706
1556085665187,2686188814223777,-0.036665965,0.3266419,-0.2445764
1556085665204,2686188834754877,0.02564229,0.19469498,-0.20181583
1556085665220,2686188855286643,-0.075150475,0.10062172,-0.13950756
1556085665241,2686188875817776,-0.21320602,0.2276817,-0.023443175
1556085665264,2686188896348909,-0.29689455,0.3877284,0.096897274
1556085665285,2686188916879975,-0.27551427,0.3614612,0.14515564
1556085665301,2686188937411041,-0.04888327,0.1519344,0.17142284
1556085665324,2686188957942174,0.05129863,0.0022724187,0.15676206
1556085665342,2686188978473307,-0.15395209,-0.15471995,0.010765278
1556085665361,2686188999004373,-0.5265799,-0.05270545,-0.11201864
1556085665384,2686189019535473,-0.6737984,0.14643662,0.018095661
1556085665402,2686189040066473,-0.38241568,0.29487687,0.27893513
1556085665423,2686189060597339,0.22478436,0.2136318,0.51045305
1556085665445,2686189081094872,0.68232244,-0.1608286,0.624074
1556085665462,2686189101559038,0.69515055,-0.5053566,0.6454543
1556085665482,2686189121989804,0.32863143,-0.5884343,0.6271283
1556085665505,2686189142387237,-0.11180239,-0.39417914,0.5709287
1556085665524,2686189162784670,-0.31033358,-0.18159802,0.48174238
1556085665546,2686189183148770,-0.2400841,-0.091800824,0.37545183
