timeMillis,timeNanos,value
1556085661995,2686185625542753,998.42505
1556085662097,2686185725542753,998.4182
1556085662195,2686185825542753,998.4182
1556085662295,2686185925542753,998.4143
1556085662399,2686186025542753,998.42114
1556085662500,2686186125542753,998.42114
1556085662595,2686186225539753,998.42163
1556085662700,2686186325539181,998.4226
1556085662799,2686186425820590,998.4226
1556085662896,2686186525817478,998.41406
1556085663000,2686186625813478,998.4082
1556085663098,2686186725808568,998.4082
1556085663221,2686186825803151,998.4148
1556085663332,2686186925797074,998.4038
1556085663396,2686187025790574,998.4038
1556085663503,2686187126116907,998.4199
1556085663606,2686187226547157,998.41895
1556085663705,2686187326951274,998.41895
1556085663804,2686187427332496,998.4219
1556085663904,2686187527693022,998.42065
1556085664009,2686187628284822,998.42065
1556085664113,2686187729085869,998.42017
1556085664280,2686187829940914,998.4282
1556085664318,2686187930845131,998.43164
1556085664418,2686188031752839,998.43555
1556085664527,2686188151932856,998.4275
1556085664627,2686188253038932,998.4324
1556085664727,2686188354103598,998.4319
1556085664831,2686188455165740,998.42725
1556085664931,2686188556328877,998.4297
1556085665035,2686188657619443,998.4282
1556085665142,2686188759076209,998.4177
1556085665241,2686188860565942,998.41016
1556085665342,2686188962055275,998.4131
1556085665445,2686189063544141,998.407
1556085665546,2686189165032607,998.42114
1556085665643,2686189266521240,998.4265
1556085665746,2686189368042340,998.4219
1556085665844,2686189469563373,998.4219
1556085665944,2686189571084739,998.42505
1556085666045,2686189672639439,998.4341
1556085666142,2686189774194139,998.4341
1556085666245,2686189875815472,998.4314
1556085666352,2686189977603505,998.4214
1556085666452,2686190079424871,998.4214
1556085666552,2686190181079571,998.43555
1556085666656,2686190282667571,998.4302
1556085666754,2686190384288937,998.4302
1556085666854,2686190485910170,998.4231
1556085666957,2686190587531370,998.428
1556085667053,2686190688986070,998.428
1556085667210,2686190790274170,998.43604
1556085667274,2686190891495503,998.4265
1556085667353,2686190992683569,998.4265
1556085667454,2686191093838269,998.42725
1556085667557,2686191194859702,998.4341
1556085667655,2686191295781168,998.4341
1556085667754,2686191396702568,998.4321
1556085667856,2686191497590468,998.42163
1556085667954,2686191598344868,998.4177
1556085668057,2686191699066234,998.4241
1556085668207,2686191799787700,998.4304
1556085668263,2686191900509133,998.428
1556085668368,2686192001397166,998.4265
1556085668488,2686192102285199,998.43335
1556085668590,2686192203339932,998.4324
1556085668678,2686192304561298,998.4348
1556085668784,2686192405882598,998.43384
1556085668883,2686192507203964,998.4258
1556085668985,2686192608558297,998.4238
1556085669086,2686192709945963,998.4346
1556085669292,2686192811333129,998.4414
1556085669292,2686192912654262,998.4387
1556085669391,2686193013942095,998.4253
1556085669492,2686193115263195,998.42676
1556085669599,2686193216750995,998.42993
1556085669705,2686193318405461,998.42554
1556085669806,2686193420159894,998.42554
1556085669911,2686193522047594,998.42993
1556085670020,2686193624102027,998.42896
1556085670119,2686193726322960,998.42896
1556085670281,2686193828643426,998.42163
1556085670325,2686193930964726,998.4243
1556085670425,2686194033319292,998.43066
1556085670530,2686194135840558,998.437
1556085670638,2686194238528458,998.4375
1556085670740,2686194341382958,998.43896
1556085670843,2686194444304191,998.4341
1556085670949,2686194547225324,998.4319
1556085671043,2686194650146557,998.4348
1556085671141,2686194752934157,998.44116
1556085671247,2686194855588423,998.4302
1556085671341,2686194958209656,998.42944
1556085671441,2686195060664222,998.42334
1556085671543,2686195163118855,998.42993
1556085671644,2686195265406721,998.42847
1556085671745,2686195367528021,998.42993
1556085671845,2686195469549321,998.42725
1556085671947,2686195571637287,998.43555
1556085672048,2686195673725220,998.428
1556085672147,2686195775746520,998.43066
1556085672245,2686195877768386,998.428
1556085672345,2686195979789619,998.4336
1556085672448,2686196081677585,998.4292
1556085672545,2686196183498885,998.43945
1556085672647,2686196285153551,998.4375
1556085672749,2686196386641584,998.43506
1556085672849,2686196488029617,998.43506
1556085672948,2686196589284383,998.42944
1556085673049,2686196690372383,998.4424
1556085673148,2686196791293816,998.4424
1556085673247,2686196892115716,998.43896
1556085673347,2686196992936782,998.4324
1556085673446,2686197093691515,998.4324
1556085673550,2686197194412915,998.4409
1556085673661,2686197295134281,998.43555
1556085673762,2686197395855714,998.43555
1556085673867,2686197496677114,998.4265
1556085673975,2686197597665180,998.4302
1556085674075,2686197698786546,998.42944
1556085674264,2686197800074579,998.4319
1556085674281,2686197901329279,998.4265
1556085674383,2686198002650279,998.43384
1556085674480,2686198103971379,998.4343
1556085674586,2686198205292512,998.4304
1556085674689,2686198306780312,998.4226
1556085674793,2686198408434745,998.4226
1556085674900,2686198510189211,998.43115
1556085675000,2686198612043611,998.4341
1556085675106,2686198713998077,998.42505
1556085675221,2686198815952443,998.4116
1556085675307,2686198917973509,998.4109
1556085675409,2686199020061175,998.41895
1556085675510,2686199122148775,998.4275
1556085675611,2686199224236741,998.4275
1556085675710,2686199326324707,998.4297
1556085675813,2686199428412640,998.4192
1556085675910,2686199530500573,998.4192
1556085676009,2686199632588539,998.4199
1556085676113,2686199734676505,998.42896
1556085676248,2686199836764438,998.42896
1556085676310,2686199938852371,998.4226
1556085676410,2686200040940337,998.43604
1556085676510,2686200143028037,998.43604
1556085676614,2686200244982370,998.43555
1556085676713,2686200346770403,998.4175
1556085676811,2686200448391769,998.4175
1556085676915,2686200549979769,998.4265
1556085677021,2686200651567769,998.43115
1556085677125,2686200753189135,998.43115
1556085677291,2686200854743835,998.4175
1556085677328,2686200956331768,998.42847
1556085677428,2686201057886434,998.4375
1556085677529,2686201159441100,998.4426
1556085677633,2686201260995666,998.4424
1556085677730,2686201362383699,998.43994
1556085677833,2686201463638399,998.4407
1556085677940,2686201564926465,998.4414
1556085678040,2686201666181198,998.44116
1556085678140,2686201767302631,998.4253
1556085678269,2686201868424064,998.4165
1556085678343,2686201969645397,998.416
1556085678444,2686202070866797,998.4221
1556085678548,2686202172088230,998.41626
1556085678648,2686202273309296,998.41406
1556085678746,2686202374530362,998.4175
1556085678849,2686202475751695,998.42847
1556085678947,2686202576973095,998.4346
1556085679047,2686202678194395,998.4353
1556085679149,2686202779415761,998.4243
1556085679277,2686202880670494,998.4238
1556085679349,2686202982025160,998.428
1556085679453,2686203083413193,998.43823
1556085679552,2686203184801159,998.4304
1556085679653,2686203286189192,998.4375
1556085679754,2686203387576858,998.4197
1556085679852,2686203488964558,998.4197
1556085679950,2686203590219091,998.4243
1556085680057,2686203691406957,998.4158
1556085680160,2686203792561390,998.4158
1556085680264,2686203893715890,998.42017
1556085680363,2686203994837090,998.42017
1556085680460,2686204095924956,998.42017
1556085680560,2686204197012789,998.4353
1556085680664,2686204298100622,998.4204
1556085680763,2686204399188422,998.4204
1556085680866,2686204500376155,998.42725
1556085680970,2686204601530788,998.4221
1556085681072,2686204702618888,998.4221
1556085681252,2686204803706888,998.4287
1556085681288,2686204904794621,998.42505
1556085681371,2686205005716121,998.4275
1556085681473,2686205106637554,998.4324
1556085681577,2686205207558954,998.428
1556085681674,2686205308480354,998.4214
1556085681775,2686205409401787,998.41943
1556085681879,2686205510322953,998.4197
1556085681976,2686205611244053,998.4275
1556085682077,2686205712232219,998.42065
1556085682217,2686205813352952,998.4192
1556085682279,2686205914441018,998.42334
1556085682380,2686206015429084,998.42773
1556085682481,2686206116383850,998.4346
1556085682581,2686206217338616,998.4321
1556085682681,2686206318293349,998.4263
1556085682782,2686206419248149,998.43115
1556085682885,2686206520202882,998.4326
1556085682981,2686206621157515,998.4431
1556085683083,2686206722012181,998.4375
1556085683283,2686206822733681,998.4253
1556085683283,2686206923355181,998.42676
1556085683382,2686207023976081,998.4353
1556085683481,2686207124664214,998.4302
1556085683587,2686207225485647,998.4309
1556085683693,2686207326473747,998.428
1556085683799,2686207427628413,998.4241
1556085683902,2686207528816513,998.4297
1556085684006,2686207629937646,998.41846
1556085684104,2686207730992046,998.41846
1556085684239,2686207832046712,998.4243
1556085684306,2686207933101778,998.43555
1556085684404,2686208034189811,998.43555
1556085684504,2686208135211177,998.4209
1556085684609,2686208236265877,998.41846
1556085684706,2686208337320610,998.41846
1556085684809,2686208438508643,998.4199
1556085684918,2686208539863276,998.42334
1556085685019,2686208641351276,998.42334
1556085685124,2686208742938942,998.4158
1556085685330,2686208844460675,998.42676
