bssid,frequency,legit,rss,ssid,timestamp,wifiNo
64:e5:99:da:03:68,2442,true,-43,WCSL 2.4GHz,2686260054246,1
64:e5:99:da:03:6c,5240,true,-44,WCSL 5GHz,2686260054161,1
28:6d:97:58:d4:3e,2412,true,-50,[air purifier] Samsung,2686260053896,1
00:24:6c:7d:f6:e0,2412,true,-50,Welcome_KAIST,2686260053949,1
00:24:6c:7d:f6:e1,2412,true,-50,eduroam,2686260053957,1
00:24:6c:7d:f6:f0,5200,true,-52,Welcome_KAIST,2686260054001,1
00:24:6c:7d:f6:f2,5200,true,-53,Welcome_1st_KAIST,2686260054021,1
00:24:6c:7d:f5:00,2452,true,-53,Welcome_KAIST,2686260054581,1
00:24:6c:7d:f6:f1,5200,true,-54,eduroam,2686260054010,1
00:24:6c:7d:f5:01,2452,true,-54,eduroam,2686260054712,1
00:24:6c:7a:8b:21,2432,true,-56,eduroam,2686260054218,1
00:24:6c:7a:8b:22,2432,true,-57,Welcome_1st_KAIST,2686260054237,1
a6:40:a0:56:08:f5,2472,true,-57,NMSL_N1_721,2686260054734,1
a0:40:a0:56:08:f8,5745,true,-58,,2686260054429,1
90:9f:33:ac:99:10,2457,true,-58,NMSL_N1_706,2686260054690,1
00:24:6c:7a:8b:32,5785,true,-59,Welcome_1st_KAIST,2686260054634,1
00:24:6c:7a:8b:20,2432,true,-59,Welcome_KAIST,2686260054140,1
00:24:6c:7a:8b:30,5785,true,-59,Welcome_KAIST,2686260054608,1
00:24:6c:7d:f2:e1,2432,true,-59,eduroam,2686260054409,1
00:22:6b:8a:10:0a,2412,true,-59,WINSLAB_AP1_2.4,2686260053791,1
6e:7e:92:e0:9f:70,2432,true,-59,HCIL guest,2686260054254,1
00:24:6c:7a:8b:31,5785,true,-60,eduroam,2686260054624,1
90:9f:33:5a:19:46,2437,true,-60,NDSL,2686260054328,1
00:24:6c:7d:f6:82,2472,true,-60,Welcome_1st_KAIST,2686260054744,1
00:24:6c:7d:f5:c0,2432,true,-61,Welcome_KAIST,2686260054199,1
00:24:6c:7d:f5:c1,2432,true,-61,eduroam,2686260054208,1
9e:30:5b:ad:f4:4a,2437,true,-61,DIRECT-4a-HP M477 LaserJet,2686260054397,1
b0:c7:45:75:c9:1e,2412,true,-62,SmartIoT2,2686260053939,1
00:24:6c:7d:f6:80,2472,true,-63,Welcome_KAIST,2686260054118,1
00:24:6c:7d:f5:c2,2432,true,-63,Welcome_1st_KAIST,2686260054150,1
00:24:6c:7d:f5:11,5200,true,-63,eduroam,2686260054071,1
00:24:6c:7d:f6:c0,2412,true,-64,Welcome_KAIST,2686260053970,1
00:24:6c:7d:f5:12,5200,true,-64,Welcome_1st_KAIST,2686260053993,1
f2:2b:20:bc:44:42,2412,true,-65,Yoon_iPhone8,2686260053861,1
88:36:6c:45:40:fc,2462,true,-65,LANADA_AP,2686260054723,1
00:24:6c:7d:f6:91,5180,true,-66,eduroam,2686260053682,1
00:24:6c:7d:f6:92,5180,true,-66,Welcome_1st_KAIST,2686260053691,1
00:24:6c:7d:f6:90,5180,true,-67,Welcome_KAIST,2686260053667,1
a0:40:a0:56:08:f7,5240,true,-67,NMSL_N1_721,2686260054174,1
00:24:6c:7d:f4:21,2452,true,-67,eduroam,2686260054548,1
00:24:6c:7d:f5:10,5200,true,-67,Welcome_KAIST,2686260053980,1
00:24:6c:7d:f4:20,2452,true,-68,Welcome_KAIST,2686260054561,1
2c:56:dc:84:dd:8c,5785,true,-69,ISILAB_5,2686260054591,1
90:9f:33:59:19:46,5745,true,-69,NDSL_5G,2686260054442,1
00:24:6c:7d:f3:e0,2412,true,-70,Welcome_KAIST,2686260053777,1
84:72:07:18:19:06,2412,true,-70,PM_AJIKA_181906,2686260053847,1
00:24:6c:7e:04:21,2472,true,-70,eduroam,2686260054756,1
00:24:6c:7d:f3:e1,2412,true,-71,eduroam,2686260053871,1
00:24:6c:7d:f8:60,2412,true,-71,Welcome_KAIST,2686260053883,1
70:8b:cd:2f:82:64,5745,true,-73,LIT_5G,2686260054420,1
00:24:6c:7e:03:c2,2412,true,-74,Welcome_1st_KAIST,2686260053914,1
88:d7:f6:aa:f6:1c,5765,true,-75,ANLAB_621_5G,2686260054538,1
