timeMillis,timeNanos,x,y,z
1556529495442,3130015384561926,-0.0070866477,-0.067386374,0.041065414
1556529495465,3130015404561926,0.04056084,-0.1865051,0.08382598
1556529495482,3130015424561926,0.10470169,-0.27569145,0.12414309
1556529495501,3130015444561926,0.07843449,-0.18894856,0.110093184
1556529495524,3130015464561926,-0.035797313,-0.008743314,0.05450445
1556529495546,3130015484561926,-0.10421422,0.09204946,0.015409076
1556529495566,3130015504563592,-0.0712275,0.0077500474,0.0117438845
1556529495586,3130015524563592,-0.021136548,-0.13335982,0.022128593
1556529495603,3130015544563592,-0.047403757,-0.16451395,0.030069841
1556529495624,3130015564563592,-0.12803796,-0.072884165,0.044730607
1556529495647,3130015584563592,-0.1536943,0.04989975,0.043508876
1556529495665,3130015604563592,-0.16896594,0.12747964,0.030069841
1556529495685,3130015624563592,-0.1976766,0.18734443,0.036178492
1556529495707,3130015644563592,-0.15858123,0.11770579,0.026404649
1556529495722,3130015664563592,-0.04251683,-0.044784363,-0.0010842859
1556529495741,3130015684563592,0.04361517,-0.12480771,-0.020631973
1556529495763,3130015704563592,0.042393435,-0.09243185,-0.037125334
1556529495781,3130015724563592,-0.009530108,-0.03623225,-0.06522514
1556529495804,3130015744562425,-0.019914817,-0.025847541,-0.073166385
1556529495825,3130015764561846,0.016737096,-0.03501052,-0.083551094
1556529495841,3130015784562296,0.017958827,-0.06494292,-0.11714868
1556529495863,3130015804562629,-0.0064757825,-0.10587089,-0.121424735
1556529495883,3130015824562856,-0.046792887,-0.066775516,-0.097601
1556529495902,3130015844562986,-0.08161221,0.027297735,-0.068890326
1556529495922,3130015864562944,-0.0693949,0.06822571,-0.052396964
1556529495945,3130015884562864,-0.020525683,-0.014241101,-0.06827947
1556529495965,3130015904562748,0.033841323,-0.11564473,-0.0957684
1556529495985,3130015924562599,0.02162402,-0.115033865,-0.090881474
1556529496006,3130015944562384,-0.053512406,-0.047227826,-0.0817185
1556529496024,3130015964562108,-0.08894259,-0.030734463,-0.08843802
1556529496045,3130015984561774,-0.06023192,-0.052114747,-0.09332494
1556529496064,3130016004560674,-0.011362704,-0.08510147,-0.0957684
1556529496084,3130016024560140,-0.005254052,-0.08387974,-0.11165089
1556529496102,3130016044559540,-0.04618202,-0.055169072,-0.11287263
1556529496126,3130016064559473,-0.08894259,-0.008132449,-0.08721629
1556529496146,3130016084557973,-0.10054903,0.034017254,-0.05422956
1556529496161,3130016104556773,-0.098105565,0.024243409,-0.031627547
1556529496186,3130016124555673,-0.08039048,-0.042340904,-0.02490803
1556529496201,3130016144554673,-0.04251683,-0.12297511,-0.027962357
1556529496223,3130016164553539,-0.02480174,-0.15107492,-0.038347065
1556529496243,3130016184552339,-0.0693949,-0.11564473,-0.038347065
1556529496263,3130016204550639,-0.13536835,-0.028901868,-0.01330159
1556529496280,3130016224548539,-0.1714094,0.026686871,7.483099E-4
1556529496306,3130016244546372,-0.12315105,0.004695721,-0.01330159
1556529496325,3130016264544838,-0.039462507,-0.058834262,-0.025518896
1556529496397,3130016284543238,-0.02602347,-0.10342743,-0.013912455
1556529496397,3130016304541504,-0.091996916,-0.084490605,0.012965615
1556529496397,3130016324539737,-0.17018767,-0.034399655,0.051450126
1556529496401,3130016344538470,-0.21478084,0.004695721,0.086269446
1556529496466,3130016364536136,-0.24593495,-0.0136302365,0.09970848
1556529496492,3130016384533102,-0.24593495,-0.0136302365,0.09970848
1556529496492,3130016404530035,-0.24593495,-0.0136302365,0.09970848
1556529496492,3130016424527068,-0.19340055,-0.15962704,0.1589624
1556529496499,3130016444523968,-0.17690718,-0.16817914,0.16629279
1556529496520,3130016464520934,-0.12681624,-0.18161818,0.15712981
1556529496543,3130016484518567,-0.08710999,-0.14618799,0.1223105
1556529496562,3130016504516167,-0.07000577,-0.12908377,0.08260426
1556529496583,3130016524513667,-0.083444804,-0.12480771,0.062445696
1556529496604,3130016544511167,-0.11582066,-0.10831434,0.049006663
1556529496623,3130016564508667,-0.16224642,-0.07166244,0.0465632
1556529496643,3130016584506100,-0.17263113,0.004695721,0.05511532
1556529496672,3130016604504233,-0.15430517,0.0132478345,0.07832819
1556529496687,3130016624501733,-0.13109228,-0.036843117,0.08260426
1556529496704,3130016644499233,-0.09688384,-0.091820985,0.056947913
1556529496726,3130016664496066,-0.027856065,-0.033177923,0.04045455
1556529496744,3130016684494266,0.08271054,-0.002634662,0.08077166
1556529496763,3130016704491766,0.12974717,-0.04906042,0.08932377
1556529496787,3130016724489399,0.0992039,-0.061277725,0.045341473
1556529496806,3130016744486865,0.04422603,0.028519467,0.036178492
1556529496825,3130016764484398,0.047280356,0.091438584,0.06855435
1556529496844,3130016784481931,0.07171497,0.07433436,0.08443685
1556529496862,3130016804479831,0.08576487,0.09937984,0.09176724
1556529496883,3130016824478064,0.08393227,0.15191424,0.09726502
1556529496906,3130016844476297,0.109588616,0.13908607,0.07283041
1556529496929,3130016865136846,0.11508641,0.108542815,0.052060988
1556529496944,3130016885134312,0.06804977,0.16779673,0.07099781
1556529496965,3130016905131845,0.031397864,0.20872472,0.105206266
1556529496982,3130016925129345,0.059497666,0.19467482,0.109482326
1556529497004,3130016945126945,0.10347997,0.19528568,0.116812706
1556529497025,3130016965125245,0.13341235,0.25209615,0.17423403
1556529497043,3130016985123578,0.16334476,0.2630917,0.25425738
1556529497064,3130017005121944,0.15418178,0.048067153,0.2328771
1556529497086,3130017025120144,0.007574118,-0.13458155,0.020295998
1556529497104,3130017045118477,-0.17690718,-0.008743314,-0.12692252
1556529497124,3130017065116810,-0.29113898,0.19711827,-0.05728389
1556529497146,3130017085114376,-0.28441948,0.21849856,0.059391372
1556529497165,3130017105111942,-0.1659116,0.111597136,0.1345278
1556529497188,3130017125109575,0.093706116,-0.009965045,0.23165536
1556529497204,3130017145107208,0.4229625,-0.07349503,0.29823968
1556529497222,3130017165104774,0.57812226,-0.11259041,0.30923527
1556529497243,3130017185102407,0.5787331,-0.16329221,0.2890767
1556529497265,3130017205100040,0.41135606,-0.19383548,0.2047773
1556529497284,3130017225097606,0.21221398,-0.18100731,0.1045954
1556529497307,3130017245095172,0.043004304,-0.09059926,0.03556763
1556529497327,3130017265092805,-0.10421422,0.034628116,-0.02124284
1556529497463,3130017285123771,-0.19645488,0.13481002,-0.055451293
1556529497464,3130017305154671,-0.18790275,0.2404897,-0.02124284
1556529497464,3130017325185604,-0.13781181,0.32478914,0.08016079
1556529497464,3130017345216537,-0.09688384,0.33456296,0.17179057
1556529497464,3130017365247437,-0.054734137,0.20933557,0.22737932
1556529497464,3130017385278337,-0.0131953005,0.01508043,0.24326181
1556529497464,3130017405309303,-0.009530108,-0.13458155,0.2279902
1556529497484,3130017425340269,-0.09871643,-0.12908377,0.17606664
1556529497505,3130017445371169,-0.1976766,-0.04967129,0.112536654
1556529497523,3130017465435469,-0.22760901,0.035238985,0.044730607
1556529497544,3130017485533102,-0.23310678,0.069447435,0.0013591752
1556529497568,3130017505664002,-0.24837841,0.044401962,-0.0059712077
1556529497587,3130017525828235,-0.20195267,-0.020349754,-0.008414669
1556529497607,3130017545992501,-0.11276633,-0.0704407,1.3744467E-4
1556529497629,3130017566190001,-0.021136548,-0.046006095,0.061834835
1556529497649,3130017586420767,0.028343536,0.0132478345,0.09970848
1556529497670,3130017606684867,0.10347997,-0.029512733,0.106428
1556529497693,3130017626982300,0.1328015,-0.10220569,0.092378095
1556529497714,3130017647313066,-0.05412327,-0.17612039,0.005024367
1556529497733,3130017667677166,-0.24776755,-0.2182701,-0.07377725
1556529497755,3130017688074599,-0.41331205,-0.21704838,-0.077442445
1556529497775,3130017708472032,-0.54892415,-0.1828399,-0.0640034
1556529497795,3130017728869465,-0.7492879,-0.23232,-0.10309879
1556529497817,3130017749266865,-0.8189266,-0.13946848,-0.10920744
1556529497844,3130017769664331,-0.4017056,0.09388205,0.005635232
1556529497856,3130017790061797,0.35698906,0.18795529,0.08443685
1556529497878,3130017810459263,0.9226503,-0.00935418,0.009300424
1556529497896,3130017830856729,0.94830656,-0.31356508,-0.18434386
1556529497917,3130017851254195,0.61171985,-0.40947092,-0.38715112
1556529497937,3130017871651661,0.27024618,-0.23781778,-0.46961793
1556529497954,3130017892015727,0.06255199,0.13419916,-0.45862234
1556529497974,3130017912379860,-0.051068947,0.28202853,-0.46900705
1556529497996,3130017932743993,-0.11887498,0.2160551,-0.4439616
1556529498017,3130017953108126,-0.07428182,0.13297741,-0.34133622
1556529498036,3130017973472226,0.010017579,0.085329935,-0.20633501
1556529498056,3130017993836359,0.06438458,0.0419585,-0.11592695
1556529498075,3130018014200592,0.10470169,-0.024014946,-0.07011206
1556529498096,3130018034564858,0.10714516,-0.06433205,-0.04506658
1556529498122,3130018054929224,0.036895648,-0.02462581,-0.043844853
1556529498135,3130018075260324,-0.044960294,0.07066917,-0.020631973
1556529498154,3130018095558090,-0.02846693,0.13297741,0.017852537
1556529498175,3130018115822523,0.03567392,0.12931223,0.077717334
1556529498195,3130018136053623,0.033841323,0.08594079,0.13697125
1556529498215,3130018156284723,-0.062064517,0.09204946,0.12108876
1556529498236,3130018176482556,-0.14025526,0.143973,0.08993464
1556529498256,3130018196646989,-0.16896594,0.17451626,0.096654154
1556529498274,3130018216778089,-0.17935064,0.19772914,0.09970848
1556529498298,3130018236875922,-0.1891245,0.1684076,0.06733262
