timeMillis,timeNanos,x,y,z
1556529495343,3130015284561926,-28.92,-40.079998,-42.78
1556529495361,3130015304561926,-29.34,-40.379997,-42.78
1556529495380,3130015324561926,-29.4,-40.739998,-43.14
1556529495403,3130015344561926,-28.92,-40.68,-42.84
1556529495421,3130015364564426,-29.039999,-40.92,-42.66
1556529495441,3130015384564426,-28.859999,-40.5,-42.96
1556529495464,3130015404564426,-28.859999,-40.8,-42.66
1556529495482,3130015424564426,-29.039999,-41.04,-42.48
1556529495501,3130015444564426,-29.699999,-41.16,-42.36
1556529495523,3130015464564426,-30.179998,-41.28,-42.239998
1556529495546,3130015484564426,-30.42,-41.16,-42.239998
1556529495566,3130015504565335,-30.48,-41.219997,-43.14
1556529495586,3130015524565335,-30.06,-40.86,-43.14
1556529495603,3130015544565335,-30.48,-40.739998,-43.32
1556529495624,3130015564565335,-30.539999,-40.68,-43.8
1556529495646,3130015584565335,-30.779999,-40.379997,-43.559998
1556529495664,3130015604565335,-31.199999,-40.32,-43.86
1556529495684,3130015624565335,-30.72,-39.6,-43.86
1556529495707,3130015644565335,-30.72,-39.48,-43.739998
1556529495722,3130015664565335,-30.42,-39.42,-43.8
1556529495741,3130015684565335,-30.0,-39.239998,-43.8
1556529495763,3130015704565335,-30.0,-39.6,-44.1
1556529495781,3130015724565335,-30.24,-39.66,-43.98
1556529495801,3130015744564421,-30.96,-39.78,-44.28
1556529495825,3130015764563962,-31.38,-39.84,-44.1
1556529495841,3130015784564322,-31.8,-40.2,-43.92
1556529495863,3130015804564591,-31.26,-40.14,-43.5
1556529495883,3130015824564776,-30.779999,-39.899998,-43.02
1556529495902,3130015844564883,-30.539999,-39.96,-43.5
1556529495922,3130015864564848,-30.179998,-39.6,-43.379997
1556529495945,3130015884564781,-30.48,-39.66,-43.559998
1556529495965,3130015904564681,-30.179998,-39.78,-43.379997
1556529495985,3130015924564547,-29.82,-39.899998,-43.14
1556529496006,3130015944564347,-29.82,-40.14,-43.079998
1556529496024,3130015964563747,-29.82,-40.559998,-43.079998
1556529496044,3130015984563413,-29.88,-40.739998,-43.079998
1556529496064,3130016004562313,-29.88,-40.559998,-43.079998
1556529496084,3130016024561779,-29.519999,-40.68,-42.84
1556529496102,3130016044561179,-29.16,-40.62,-42.48
1556529496126,3130016064561112,-28.8,-40.5,-42.48
1556529496146,3130016084559612,-28.619999,-40.68,-42.12
1556529496161,3130016104558412,-28.5,-40.62,-42.3
1556529496186,3130016124557312,-28.68,-40.079998,-42.84
1556529496201,3130016144556312,-28.8,-39.84,-43.26
1556529496222,3130016164555178,-28.98,-39.84,-43.5
1556529496243,3130016184553978,-29.46,-39.899998,-43.32
1556529496263,3130016204552278,-29.88,-40.32,-43.32
1556529496280,3130016224550178,-30.539999,-40.739998,-43.079998
1556529496306,3130016244548011,-30.9,-40.8,-43.14
1556529496325,3130016264546477,-30.84,-40.62,-43.26
1556529496397,3130016284544877,-31.14,-40.8,-43.62
1556529496397,3130016304543143,-31.26,-40.62,-44.1
1556529496397,3130016324541376,-31.199999,-40.44,-44.219997
1556529496401,3130016344540109,-31.26,-40.14,-44.52
1556529496492,3130016364537775,-31.08,-39.6,-44.76
1556529496492,3130016384534741,-30.3,-39.059998,-44.399998
1556529496492,3130016404531674,-30.0,-38.76,-44.82
1556529496492,3130016424528707,-30.179998,-38.76,-44.28
1556529496499,3130016444525607,-30.9,-38.64,-44.579998
1556529496520,3130016464522573,-30.42,-38.16,-44.579998
1556529496543,3130016484520206,-30.599998,-38.16,-44.34
1556529496562,3130016504517806,-32.1,-38.16,-44.46
1556529496583,3130016524515306,-31.859999,-38.16,-43.86
1556529496604,3130016544512806,-32.219997,-38.34,-43.379997
1556529496623,3130016564510306,-32.46,-37.92,-42.84
1556529496643,3130016584507739,-31.859999,-37.86,-42.6
1556529496671,3130016604505872,-31.38,-37.44,-43.32
1556529496687,3130016624503372,-31.32,-37.14,-43.98
1556529496704,3130016644500872,-32.579998,-37.559998,-44.28
1556529496725,3130016664497705,-33.3,-37.26,-44.219997
1556529496744,3130016684495905,-32.64,-37.2,-43.379997
1556529496763,3130016704493405,-32.1,-38.04,-43.2
1556529496786,3130016724491038,-32.52,-37.26,-43.62
1556529496806,3130016744488504,-33.0,-37.26,-43.079998
1556529496825,3130016764486037,-33.42,-38.04,-42.66
1556529496844,3130016784483570,-33.48,-38.399998,-42.66
1556529496862,3130016804481470,-32.88,-38.399998,-42.66
1556529496883,3130016824479703,-32.82,-38.46,-42.42
1556529496906,3130016844477936,-33.78,-39.0,-42.42
1556529496928,3130016865136846,-33.48,-38.7,-43.079998
1556529496944,3130016885134312,-32.94,-38.46,-42.84
1556529496965,3130016905131845,-33.3,-38.82,-42.84
1556529496982,3130016925129345,-33.42,-39.48,-43.26
1556529497004,3130016945126945,-32.94,-39.6,-43.14
1556529497025,3130016965125245,-32.64,-39.54,-42.6
1556529497043,3130016985123578,-33.059998,-39.66,-42.48
1556529497064,3130017005121944,-33.42,-39.12,-42.78
1556529497086,3130017025120144,-33.66,-38.94,-41.94
1556529497104,3130017045118477,-33.059998,-40.02,-41.46
1556529497124,3130017065116810,-32.579998,-40.26,-41.94
1556529497146,3130017085114376,-33.54,-40.079998,-42.059998
1556529497165,3130017105111942,-34.079998,-40.379997,-41.879997
1556529497185,3130017125109575,-33.42,-40.44,-41.46
1556529497204,3130017145107208,-33.18,-40.2,-41.34
1556529497222,3130017165104774,-34.86,-39.899998,-41.46
1556529497243,3130017185102407,-35.76,-40.14,-40.92
1556529497264,3130017205100040,-36.42,-40.14,-40.2
1556529497283,3130017225097606,-37.26,-40.14,-39.3
1556529497307,3130017245095172,-37.38,-40.739998,-38.04
1556529497327,3130017265092805,-37.38,-40.739998,-37.92
1556529497463,3130017285123771,-37.2,-40.62,-38.1
1556529497464,3130017305154671,-37.38,-40.98,-37.5
1556529497464,3130017325185604,-37.02,-41.34,-37.8
1556529497464,3130017345216537,-36.899998,-41.399998,-37.8
1556529497464,3130017365247437,-37.2,-41.28,-37.739998
1556529497464,3130017385278337,-36.719997,-41.399998,-38.46
1556529497464,3130017405309303,-37.62,-40.8,-39.18
1556529497484,3130017425340269,-38.16,-40.44,-38.399998
1556529497505,3130017445371169,-37.739998,-40.739998,-37.68
1556529497523,3130017465435469,-37.68,-40.14,-37.8
1556529497544,3130017485533102,-37.62,-39.66,-37.62
1556529497568,3130017505664002,-37.68,-39.719997,-37.8
1556529497586,3130017525828235,-37.68,-39.719997,-37.8
1556529497607,3130017545992501,-38.16,-40.2,-37.98
1556529497629,3130017566190001,-38.46,-40.32,-37.739998
