timeMillis,timeNanos,x,y,z
1556897962875,650812603241838,-0.1314,5.7251997,7.9607
1556897962895,650812623241838,-0.058199998,5.7321997,7.9565997
1556897962915,650812643241838,0.0021,5.6524,8.0137
1556897962935,650812663241838,0.071499996,5.5434,8.0891
1556897962955,650812683241838,0.087699994,5.5204,8.1047
1556897962975,650812703241838,0.085,5.4814997,8.1311
1556897962995,650812723241838,0.078899994,5.4441,8.1563
1556897963015,650812743241838,0.0777,5.4196997,8.1725
1556897963037,650812763241838,0.081199996,5.4041,8.182799
1556897963055,650812783241838,0.076699995,5.4385,8.16
1556897963075,650812803241838,0.057299998,5.4691,8.1397
1556897963095,650812823241838,0.023799999,5.5073,8.1140995
1556897963114,650812843241838,-0.0206,5.5427,8.0899
1556897963135,650812863241838,-0.0755,5.5766997,8.0662
1556897963154,650812883241838,-0.1352,5.5973,8.0512
1556897963175,650812903241838,-0.18419999,5.6068997,8.0435
1556897963195,650812923241838,-0.2184,5.6036,8.045
1556897963215,650812943241838,-0.24929999,5.5839996,8.0576
1556897963235,650812963241838,-0.2732,5.554,8.0776
1556897963256,650812983241838,-0.28959998,5.5372,8.0886
1556897963275,650813003241838,-0.3026,5.5523,8.0777
1556897963296,650813023241838,-0.3031,5.5867996,8.0539
1556897963315,650813043241838,-0.2838,5.6011996,8.0446
1556897963335,650813063241838,-0.2534,5.5748,8.0639
1556897963355,650813083241838,-0.23349999,5.5052,8.1122
1556897963375,650813103259026,-0.22399999,5.4044,8.1799
1556897963395,650813123241838,-0.20699999,5.3135,8.239699
1556897963415,650813143241838,-0.1608,5.264,8.2724
1556897963435,650813163241838,-0.0867,5.2532,8.280399
1556897963455,650813183241838,-1.0E-4,5.2651,8.2733
1556897963475,650813203241838,0.095199995,5.2906,8.2565
1556897963495,650813223243401,0.1727,5.3243,8.2335
1556897963515,650813243243401,0.22019999,5.3559,8.2119
1556897963540,650813263241838,0.23359999,5.3659997,8.2049
1556897963679,650813283241838,0.2201,5.3654,8.2057
1556897963679,650813303241838,0.16849999,5.331,8.2293
1556897963679,650813323243401,0.1158,5.2857,8.2593
1556897963679,650813343243401,0.0804,5.2448,8.2858
1556897963679,650813363243401,0.0654,5.2265,8.2975
1556897963679,650813383243401,0.0648,5.2362,8.2914
1556897963679,650813403243401,0.0717,5.2662,8.2723
1556897963695,650813423241838,0.070999995,5.2999997,8.2507
1556897963714,650813443241838,0.0594,5.3402,8.2248
1556897963735,650813463241838,0.0429,5.3788,8.199699
1556897963755,650813483241838,0.0178,5.4023,8.1844
1556897963775,650813503241838,-0.024799999,5.4326,8.1643
1556897963794,650813523241838,-0.0747,5.4744997,8.1359
1556897963815,650813543241838,-0.117699996,5.5250998,8.1012
1556897963835,650813563241838,-0.1487,5.5811,8.0622
1556897963856,650813583241838,-0.1794,5.6446,8.0171995
1556897963875,650813603241838,-0.2038,5.6910996,7.9835997
1556897963895,650813623241838,-0.212,5.7233,7.9603996
1556897963915,650813643241838,-0.1927,5.7188,7.9641
1556897963935,650813663241838,-0.1651,5.6842,7.9894996
1556897963954,650813683241838,-0.1493,5.6521997,8.0125
1556897963975,650813703241838,-0.14819999,5.6658998,8.0028
1556897963995,650813723241838,-0.1355,5.7493997,7.9431996
1556897964055,650813743243401,-0.0902,5.8852997,7.8437
1556897964055,650813763243401,-0.0185,6.0334,7.7309
1556897964057,650813783243401,0.0614,6.1527,7.6361
1556897964074,650813803241838,0.1353,6.2152996,7.5842
1556897964095,650813823241838,0.1779,6.2072,7.5899997
1556897964114,650813843241838,0.18349999,6.1401997,7.6442
1556897964135,650813863241838,0.1688,6.0348,7.7279997
1556897964155,650813883241838,0.1436,5.9234,7.8142
1556897964174,650813903241838,0.118999995,5.8341,7.8815
1556897964194,650813923241838,0.1077,5.7801,7.9213
1556897964215,650813943241838,0.1134,5.7553,7.9392996
1556897964234,650813963241838,0.1319,5.7455,7.9462
1556897964255,650813983241838,0.1656,5.7458,7.9452996
1556897964275,650814003241838,0.2092,5.7552,7.9374
1556897964295,650814023241838,0.25689998,5.7736998,7.9226
1556897964314,650814043241838,0.29459998,5.8037996,7.8992996
1556897964336,650814063241838,0.31939998,5.8476996,7.8659
