timeMillis,timeNanos,x,y,z
1556897962874,650812609121838,-17.6875,101.5625,96.875
1556897962893,650812629121838,-17.25,101.25,97.0625
1556897962912,650812649121838,-16.75,101.5625,97.1875
1556897962933,650812669121838,-16.75,101.5,97.4375
1556897962953,650812689121838,-17.25,101.375,97.375
1556897962973,650812709121838,-17.375,101.375,97.125
1556897962993,650812729121838,-17.5625,101.25,97.1875
1556897963013,650812749121838,-17.375,101.3125,97.0625
1556897963032,650812769121838,-17.4375,101.4375,96.8125
1556897963053,650812789121838,-17.6875,101.4375,96.75
1556897963074,650812809121838,-18.0625,101.5625,96.625
1556897963093,650812829121838,-18.5,101.4375,96.75
1556897963112,650812849121838,-18.75,101.3125,96.625
1556897963133,650812869121838,-19.0,101.25,96.8125
1556897963152,650812889121838,-19.375,101.0,97.0625
1556897963172,650812909121838,-19.4375,101.0,97.0
1556897963192,650812929121838,-19.6875,100.875,97.125
1556897963212,650812949121838,-19.75,100.6875,97.3125
1556897963232,650812969121838,-19.8125,100.8125,96.8125
1556897963253,650812989121838,-19.75,101.0625,96.5625
1556897963273,650813009121838,-19.5625,101.3125,96.0625
1556897963293,650813029121838,-19.25,101.5,96.125
1556897963313,650813049121838,-18.875,101.125,96.5
1556897963333,650813069121838,-18.625,100.4375,97.375
1556897963353,650813089121838,-18.5625,99.4375,98.3125
1556897963373,650813109139026,-18.4375,98.6875,99.0625
1556897963393,650813129121838,-18.125,98.5625,99.125
1556897963414,650813149121838,-17.5,98.9375,99.125
1556897963432,650813169121838,-16.875,99.5,98.6875
1556897963453,650813189121838,-16.375,100.4375,98.0625
1556897963473,650813209121838,-16.3125,101.125,97.125
1556897963493,650813229123401,-16.5625,101.6875,96.5625
1556897963512,650813249123401,-17.3125,102.0,96.375
1556897963532,650813269121838,-18.75,101.875,96.5
1556897963679,650813289121838,-20.0625,101.1875,97.0
1556897963679,650813309121838,-21.125,100.5,97.5
1556897963679,650813329123401,-21.625,99.9375,97.875
1556897963679,650813349123401,-21.8125,99.625,97.75
1556897963679,650813369123401,-21.4375,99.625,97.3125
1556897963679,650813389123401,-20.8125,100.125,96.9375
1556897963679,650813409123401,-20.375,100.375,96.375
1556897963692,650813429121838,-20.0,100.75,95.6875
1556897963712,650813449121838,-19.5625,100.875,95.125
1556897963732,650813469121838,-19.625,101.25,94.625
1556897963752,650813489121838,-20.0625,101.625,94.4375
1556897963772,650813509121838,-20.625,101.6875,94.125
1556897963792,650813529121838,-20.8125,102.0,93.9375
1556897963813,650813549121838,-20.875,102.25,93.8125
1556897963833,650813569121838,-20.8125,102.1875,93.625
1556897963853,650813589121838,-20.6875,102.1875,93.8125
1556897963872,650813609121838,-20.5625,101.8125,94.25
1556897963892,650813629121838,-20.1875,101.125,95.25
1556897963912,650813649121838,-19.5,99.9375,96.4375
1556897963933,650813669121838,-19.0625,98.875,97.3125
1556897963953,650813689121838,-18.875,98.5,97.8125
1556897963973,650813709121838,-18.5,99.0625,97.3125
1556897963992,650813729121838,-17.9375,100.0625,96.375
1556897964055,650813749123401,-17.3125,101.5,95.375
1556897964055,650813769123401,-16.75,102.375,94.9375
1556897964055,650813789123401,-16.4375,102.375,95.25
1556897964072,650813809121838,-16.5,101.375,96.5625
1556897964093,650813829121838,-17.25,99.9375,98.5625
1556897964112,650813849121838,-18.1875,97.6875,101.0625
1556897964132,650813869121838,-19.375,95.875,103.125
1556897964152,650813889121838,-20.5625,94.5,104.9375
1556897964172,650813909121838,-21.4375,93.8125,105.6875
1556897964192,650813929121838,-21.6875,93.8125,105.9375
1556897964213,650813949121838,-21.625,94.375,105.5
1556897964232,650813969121838,-21.25,95.25,105.0
1556897964252,650813989121838,-20.9375,96.0,104.5
1556897964273,650814009121838,-20.5,96.75,103.875
1556897964293,650814029121838,-20.5,97.5,103.125
1556897964313,650814049121838,-20.6875,97.875,102.8125
1556897964333,650814069121838,-21.1875,97.875,102.4375
1556897964353,650814089123401,-22.0,97.5,102.9375
1556897964373,650814109121838,-23.1875,96.125,104.0
1556897964393,650814129121838,-23.875,94.4375,105.25
1556897964412,650814149121838,-24.4375,93.0625,106.625
1556897964432,650814169121838,-24.8125,92.1875,107.4375
1556897964452,650814189121838,-25.25,92.0,107.4375
1556897964472,650814209121838,-25.125,92.5,107.0625
1556897964492,650814229121838,-24.6875,93.625,106.3125
1556897964512,650814249121838,-24.25,94.75,105.4375
1556897964532,650814269121838,-23.75,95.75,104.75
1556897964552,650814289121838,-23.5625,96.375,104.0625
1556897964573,650814309121838,-23.6875,96.8125,103.875
1556897964592,650814329121838,-23.6875,96.8125,104.0
1556897964612,650814349121838,-23.5625,96.8125,104.1875
1556897964633,650814369121838,-23.375,96.5625,104.375
1556897964652,650814389121838,-23.375,96.625,104.6875
1556897964672,650814409121838,-23.625,96.6875,104.9375
1556897964693,650814429121838,-23.8125,96.875,105.1875
1556897964712,650814449121838,-24.4375,97.0625,105.1875
1556897964733,650814469121838,-25.125,97.8125,105.375
1556897964752,650814489121838,-25.75,97.875,105.8125
1556897964772,650814509121838,-26.375,97.5625,106.375
1556897964793,650814529121838,-27.125,96.625,107.6875
1556897964812,650814549121838,-28.125,95.3125,109.3125
1556897964833,650814569121838,-29.0625,93.8125,110.9375
1556897964853,650814589121838,-29.3125,92.8125,112.125
1556897964872,650814609121838,-29.25,92.0625,112.875
1556897964892,650814629121838,-28.5625,91.6875,113.1875
1556897964913,650814649121838,-28.1875,91.0625,113.5625
1556897964932,650814669121838,-28.0,90.5625,113.875
1556897964952,650814689121838,-27.9375,90.1875,114.4375
1556897964972,650814709121838,-27.9375,89.875,114.5625
1556897964992,650814729121838,-28.0,89.9375,114.625
1556897965031,650814749121838,-27.625,90.125,114.375
1556897965033,650814769123401,-27.3125,90.125,114.375
1556897965053,650814789121838,-27.0,90.5,114.75
1556897965072,650814809121838,-27.0,90.625,114.9375
1556897965092,650814829121838,-26.5,91.0625,115.0
1556897965112,650814849121838,-26.25,91.75,114.875
1556897965132,650814869121838,-25.875,92.375,114.25
1556897965152,650814889121838,-25.6875,93.25,114.0625
1556897965172,650814909121838,-25.5625,93.6875,113.875
1556897965192,650814929121838,-25.9375,94.125,114.25
1556897965213,650814949121838,-26.5625,94.1875,114.6875
1556897965232,650814969121838,-27.5625,93.75,115.0
1556897965252,650814989121838,-28.75,93.6875,115.625
1556897965272,650815009121838,-29.9375,93.6875,115.9375
1556897965292,650815029121838,-30.5,93.875,116.25
1556897965312,650815049121838,-30.8125,93.875,117.1875
1556897965332,650815069121838,-30.375,93.125,118.375
1556897965352,650815089121838,-29.875,92.75,119.4375
1556897965373,650815109121838,-29.125,92.625,120.25
