timeMillis,timeNanos,x,y,z
1556898295452,651145179464235,0.09206185,5.4092584,9.913364
1556898295469,651145199464235,0.25178382,5.39202,9.379506
1556898295489,651145219464235,0.45069408,5.3838606,8.924626
1556898295509,651145239464235,0.38991967,5.358568,9.753298
1556898295529,651145259464235,0.51489705,5.275796,8.611445
1556898295549,651145279464235,0.43787077,5.169206,9.110627
1556898295569,651145299464235,0.7688356,5.380566,9.042363
1556898295589,651145319464235,0.9328959,5.498313,7.0598497
1556898295609,651145339464235,0.78368926,5.419869,8.290853
1556898295631,651145359464235,0.55305105,5.324513,7.789784
1556898295649,651145379464235,0.62740535,5.3889556,7.550383
1556898295668,651145399464235,1.1753902,5.542366,7.4849734
1556898295689,651145419464235,1.2471875,5.52644,7.591449
1556898295709,651145439464235,1.0818248,5.3667374,7.7534595
1556898295729,651145459464235,0.85134935,5.43457,7.4608116
1556898295749,651145479464235,0.8986588,5.822258,6.4800987
1556898295769,651145499464235,1.1779473,6.22141,6.06752
1556898295789,651145519464235,1.532538,6.3697453,6.32278
1556898295809,651145539464235,1.6625146,6.3402386,6.558561
1556898295829,651145559464235,1.7220248,6.1955523,6.891844
1556898295850,651145579464235,1.8460444,6.1848645,6.605976
1556898295869,651145599464235,1.3917016,6.0558176,6.3381896
1556898295890,651145619464235,1.0760021,6.019042,6.0088625
1556898295909,651145639464235,0.9088486,5.99987,5.9726233
1556898295930,651145659464235,0.9098158,6.045541,6.248857
1556898295949,651145679464235,0.81540763,5.9496007,6.801209
1556898295969,651145699464235,0.85775626,5.958718,7.2933993
1556898295991,651145719464235,0.8993387,6.0437884,7.6317477
1556898296009,651145739464235,1.2037375,6.266095,8.006229
1556898296030,651145759464235,1.0020118,6.2817435,7.9059796
1556898296049,651145779464235,0.81355935,6.2860436,7.8807445
1556898296069,651145799464235,0.9466482,6.6224484,7.7676234
1556898296090,651145819464235,1.0194511,6.9995346,7.191167
1556898296109,651145839464235,0.9308465,7.164773,6.7806087
1556898296129,651145859464235,0.9060521,7.0945563,7.2235937
1556898296149,651145879464235,1.0955771,7.019158,8.074733
1556898296169,651145899464235,0.91220045,6.93379,8.657854
1556898296189,651145919464235,0.7091721,7.067118,8.402173
1556898296312,651145939464235,0.6167751,7.2424407,7.942659
1556898296312,651145959464235,0.38720945,6.983944,8.061593
1556898296312,651145979464235,0.20898508,6.635865,8.677822
1556898296313,651145999464235,0.05970181,6.148032,9.474651
1556898296313,651146019464235,-0.012660539,5.6357403,9.861583
1556898296313,651146039464235,0.012430696,5.110979,9.170989
1556898296328,651146059464235,0.25908136,4.316334,9.619232
1556898296348,651146079464235,0.08136455,3.6781068,11.261377
1556898296369,651146099464235,-0.31582394,3.5764968,10.575045
1556898296389,651146119464235,-0.5012692,3.9134474,9.051586
1556898296409,651146139464235,-0.7627735,4.337374,7.875947
1556898296429,651146159464235,-0.79476005,4.648917,7.598076
1556898296449,651146179464235,-0.6209506,4.581458,8.341848
1556898296469,651146199464235,-0.18607736,4.475558,8.481133
1556898296490,651146219464235,-0.11784261,4.211554,8.459729
1556898296509,651146239464235,-0.34235168,4.042916,8.196243
1556898296529,651146259464235,-0.014528016,4.4272904,7.3897896
1556898296548,651146279464235,0.4444309,4.897301,6.638824
1556898296569,651146299464235,0.36623624,4.9486237,6.2905927
1556898296588,651146319464235,0.120610304,4.7802057,6.6181097
1556898296640,651146339464235,0.1437766,4.618865,7.184176
1556898296640,651146359464235,0.49368438,4.7859993,7.4164515
1556898296648,651146379464235,1.3103466,5.503379,7.1959934
1556898296669,651146399520485,0.9969264,5.733481,7.2570934
1556898296689,651146419479860,0.21245189,5.673118,7.478624
1556898296709,651146439464235,0.25275108,5.889286,8.027949
1556898296729,651146459464235,0.6122644,6.12139,8.5656395
1556898296749,651146479464235,1.0130538,6.499367,8.682525
1556898296769,651146499464235,1.0937767,6.924127,8.648776
1556898296789,651146519464235,0.7647368,6.773513,8.680743
1556898296809,651146539464235,0.71698684,6.651408,9.0553875
1556898296829,651146559464235,0.80033374,6.5757613,9.472209
1556898296849,651146579464235,0.89917594,6.646591,9.667308
1556898296869,651146599464235,1.1150564,6.9211006,9.21081
1556898296889,651146619464235,0.81433505,6.8170586,9.093273
1556898296909,651146639464235,0.86270744,6.70682,9.110569
1556898296929,651146659464235,1.1074716,6.2183356,9.288918
1556898296949,651146679464235,1.4890498,5.87947,9.678378
1556898296969,651146699464235,1.614688,6.005644,9.552979
1556898296989,651146719464235,1.4727405,6.054218,8.584573
1556898297009,651146739464235,1.5354878,5.580616,8.33457
1556898297029,651146759464235,1.5798187,4.8901763,9.227091
1556898297050,651146779464235,1.447611,4.341119,9.770363
1556898297069,651146799464235,1.2611027,4.052761,9.302288
1556898297089,651146819464235,1.4321061,4.031654,8.257765
1556898297110,651146839464235,1.5203947,4.1101837,7.3184423
1556898297129,651146859464235,1.6343204,4.3050237,6.7333093
1556898297150,651146879464235,1.2053177,4.2306595,6.3562703
1556898297170,651146899464235,0.81270695,4.1398716,6.05575
1556898297190,651146919464235,0.72683173,4.172682,6.0112276
1556898297209,651146939464235,0.69793856,4.3934274,5.8538327
1556898297229,651146959464235,0.6754809,4.5867925,5.9019847
1556898297249,651146979464235,0.59704685,4.900797,5.769107
1556898297268,651146999464235,0.4323737,4.940876,6.0149055
1556898297289,651147019464235,0.27661648,4.880944,6.4115667
1556898297310,651147039464235,0.2834256,4.949562,6.9696455
