timeMillis,timeNanos,x,y,z
1556898295453,651145179464235,188.37999,-43.95,-4.04
1556898295471,651145199464235,122.829994,-29.859999,1.29
1556898295491,651145219464235,122.79,-30.279999,1.62
1556898295510,651145239464235,122.899994,-30.76,2.01
1556898295531,651145259464235,122.89,-31.3,2.3999999
1556898295551,651145279464235,122.899994,-31.789999,2.7
1556898295571,651145299464235,122.86,-32.18,2.8899999
1556898295591,651145319464235,122.829994,-32.52,3.02
1556898295611,651145339464235,122.909996,-32.87,3.12
1556898295631,651145359464235,123.079994,-33.26,3.24
1556898295651,651145379464235,123.09,-33.73,3.36
1556898295670,651145399464235,123.079994,-34.14,3.57
1556898295691,651145419464235,123.1,-34.45,3.8
1556898295711,651145439464235,123.229996,-34.66,3.99
1556898295732,651145459464235,123.29,-34.89,4.1
1556898295750,651145479464235,123.14,-35.23,4.12
1556898295771,651145499464235,122.89,-35.7,4.24
1556898295791,651145519464235,122.68,-36.149998,4.52
1556898295811,651145539464235,122.549995,-36.53,4.88
1556898295831,651145559464235,122.46,-36.829998,5.22
1556898295852,651145579464235,122.39,-37.09,5.48
1556898295870,651145599464235,122.28,-37.32,5.58
1556898295892,651145619464235,122.18,-37.52,5.58
1556898295911,651145639464235,122.079994,-37.69,5.5699997
1556898295932,651145659464235,121.99,-37.79,5.6
1556898295951,651145679464235,121.869995,-37.77,5.62
1556898295971,651145699464235,121.68,-37.66,5.58
1556898295991,651145719464235,121.439995,-37.52,5.54
1556898296011,651145739464235,121.229996,-37.44,5.54
1556898296031,651145759464235,121.079994,-37.5,5.56
1556898296051,651145779464235,120.979996,-37.68,5.56
1556898296071,651145799464235,120.81,-37.93,5.5499997
1556898296092,651145819464235,120.57,-38.29,5.5099998
1556898296111,651145839464235,120.34,-38.7,5.45
1556898296131,651145859464235,120.18,-39.05,5.4
1556898296152,651145879464235,120.1,-39.3,5.42
1556898296171,651145899464235,120.04,-39.469997,5.39
1556898296190,651145919464235,119.909996,-39.62,5.24
1556898296312,651145939464235,119.619995,-39.73,4.97
1556898296312,651145959464235,119.259995,-39.68,4.63
1556898296313,651145979464235,118.93,-39.37,4.2799997
1556898296313,651145999464235,118.71,-38.82,3.98
