calcAzimuth,gesture,stepLength,timeMillis
219.9462,0,0.65,1556869496280
215.54466,0,0.65,1556869496950
111.89736,0,0.65,1556869497630
196.7579,0,0.65,1556869498300
114.93678,0,0.65,1556869498930
207.19151,0,0.65,1556869499560
108.90939,0,0.65,1556869500210
120.45096,0,0.65,1556869500830
111.76653,8,0.65,1556869501460
97.40199,8,0.65,1556869502080
89.74535,8,0.65,1556869502700
93.76715,8,0.65,1556869503330
86.63607,8,0.65,1556869503940
87.88664,8,0.65,1556869504580
93.26248,8,0.65,1556869505270
79.088394,8,0.65,1556869505870
84.38869,8,0.65,1556869506470
108.73058,8,0.65,1556869507120
129.24106,8,0.65,1556869507750
118.985825,8,0.65,1556869508410
102.66621,8,0.65,1556869509030
105.181816,0,0.65,1556869509670
87.5247,0,0.65,1556869510290
73.197754,0,0.65,1556869510910
63.55148,0,0.65,1556869511520
68.393555,0,0.65,1556869512150
74.824646,0,0.65,1556869512760
74.954636,0,0.65,1556869513400
73.23134,8,0.65,1556869514030
75.409294,8,0.65,1556869514660
88.68004,8,0.65,1556869515270
103.43371,8,0.65,1556869515920
112.66789,8,0.65,1556869516520
110.4901,8,0.65,1556869517150
108.93148,0,0.65,1556869517770
104.40895,0,0.65,1556869518390
83.530045,0,0.65,1556869518990
72.97304,0,0.65,1556869519630
75.433266,0,0.65,1556869520260
75.261856,0,0.65,1556869520870
75.91861,0,0.65,1556869521490
84.883865,0,0.65,1556869522150
92.55888,0,0.65,1556869522840
84.2631,0,0.65,1556869523410
87.25257,0,0.65,1556869524010
104.253815,0,0.65,1556869524650
107.334694,0,0.65,1556869525250
101.289024,8,0.65,1556869525920
91.74687,8,0.65,1556869526540
74.93956,8,0.65,1556869527180
68.232506,8,0.65,1556869527800
71.70201,8,0.65,1556869528400
72.40083,8,0.65,1556869529050
62.60959,0,0.65,1556869529670
74.39915,0,0.65,1556869530270
82.075455,0,0.65,1556869530830
89.35096,0,0.65,1556869531430
100.4155,0,0.65,1556869532040
86.034195,0,0.65,1556869532620
72.563324,0,0.65,1556869533230
74.07029,0,0.65,1556869533800
79.175125,0,0.65,1556869534480
81.65509,0,0.65,1556869535610
70.42733,0,0.65,1556869536200
72.883545,0,0.65,1556869536810
57.536263,0,0.65,1556869537430
41.756348,0,0.65,1556869538080
68.233765,0,0.65,1556869538670
97.91044,0,0.65,1556869539290
106.59361,0,0.65,1556869539860
104.678955,0,0.65,1556869540470
98.04938,0,0.65,1556869541100
97.004486,0,0.65,1556869541690
92.14064,0,0.65,1556869542270
83.82274,0,0.65,1556869542940
75.97687,0,0.65,1556869543490
70.50557,0,0.65,1556869544080
70.9207,0,0.65,1556869544710
72.8416,0,0.65,1556869545370
85.00762,0,0.65,1556869545910
85.434654,0,0.65,1556869546560
87.55501,0,0.65,1556869547130
102.017044,0,0.65,1556869547740
91.28466,0,0.65,1556869548360
86.152176,0,0.65,1556869548980
93.17786,0,0.65,1556869549600
94.050835,0,0.65,1556869550220
100.98839,0,0.65,1556869550850
126.04273,0,0.13,1556869552170
65.04057,0,0.13,1556869552860
108.20202,0,0.13,1556869553460
107.75278,0,0.65,1556869554150
85.187744,0,0.65,1556869554780
96.47026,0,0.65,1556869555500
90.829,0,0.65,1556869556050
93.64963,0,0.65,1556869556670
92.23932,0,0.65,1556869557330
92.94447,8,0.65,1556869557980
73.41286,8,0.65,1556869558610
83.178665,8,0.65,1556869559270
78.29576,8,0.65,1556869559910
101.45267,8,0.65,1556869560580
89.874214,8,0.65,1556869561210
95.66344,0,0.65,1556869561830
92.76883,0,0.65,1556869562440
94.21613,0,0.65,1556869563070
93.49248,0,0.65,1556869563720
93.85431,0,0.65,1556869564370
93.67339,0,0.65,1556869565000
93.76385,8,0.65,1556869565660
93.71862,8,0.65,1556869566260
93.741234,8,0.65,1556869566880
93.72993,8,0.65,1556869567490
93.73558,8,0.65,1556869568140
93.73276,8,0.65,1556869568820
93.73417,8,0.65,1556869569490
93.73346,8,0.65,1556869570090
93.73382,8,0.65,1556869570720
93.73364,8,0.65,1556869571330
93.73373,8,0.65,1556869572100
93.73368,0,0.65,1556869573820
93.7337,0,0.65,1556869574470
93.733696,0,0.65,1556869575150
93.7337,0,0.65,1556869575770
93.733696,0,0.65,1556869576450
93.733696,0,0.65,1556869577010
93.733696,8,0.65,1556869577650
93.733696,8,0.65,1556869578310
