timeMillis,timeNanos,x,y,z
1556898507611,651357339464235,-1.1148458,5.599626,7.335039
1556898507629,651357359464235,-0.45823106,5.478556,7.940303
1556898507649,651357379464235,0.011808203,5.286637,8.104095
1556898507669,651357399464235,0.3551846,5.426219,8.554175
1556898507689,651357419464235,0.52716494,5.641927,9.10831
1556898507709,651357439464235,0.47409025,5.9175186,6.4514446
1556898507729,651357459464235,0.5857462,6.080286,6.276553
1556898507749,651357479464235,0.36515406,5.8614464,8.375722
1556898507769,651357499464235,0.30662063,5.560639,7.9620037
1556898507789,651357519464235,0.011166557,5.349528,8.862531
1556898507809,651357539464235,-0.12016019,5.327712,8.91186
1556898507829,651357559464235,-0.15706922,5.496953,8.596343
1556898507849,651357579464235,0.21000022,6.014321,7.874137
1556898507869,651357599464235,0.20146729,6.3177047,7.1950355
1556898507890,651357619464235,0.364273,6.5912085,6.9271154
1556898507909,651357639464235,0.47036487,6.709961,6.8145685
1556898507929,651357659464235,0.67259824,6.9746447,6.8832536
1556898507949,651357679464235,0.8051892,7.105148,6.9015837
1556898507969,651357699464235,0.71317524,7.09174,6.640213
1556898507989,651357719464235,0.36091152,6.811695,6.55949
1556898508009,651357739464235,0.35913026,6.7514,7.000397
1556898508029,651357759464235,0.38798517,6.5531693,7.3183465
1556898508049,651357779464235,0.11599428,6.3834014,7.5012927
1556898508069,651357799464235,-0.1532672,6.171677,7.733195
1556898508089,651357819464235,-0.055851936,6.319141,7.9695983
1556898508109,651357839464235,0.081259206,6.478978,7.880783
1556898508129,651357859464235,0.20037553,6.6362004,7.6745176
1556898508149,651357879464235,-0.047251966,6.58189,7.710345
1556898508169,651357899464235,-0.28205612,6.5406623,7.8925815
1556898508189,651357919464235,-0.36367923,6.7058525,7.614481
1556898508210,651357939464235,-0.25727132,7.10827,7.4197073
1556898508229,651357959464235,-0.028299464,7.36579,7.6274767
1556898508249,651357979464235,0.05886863,7.407478,8.222254
1556898508269,651357999464235,0.10544065,7.3461485,8.209421
1556898508289,651358019464235,0.0618949,7.0702024,8.730083
1556898508310,651358039464235,0.09173623,6.7203135,9.36583
1556898508329,651358059464235,-0.24993551,6.2485695,8.834815
1556898508349,651358079464235,-0.38439387,6.250954,8.231151
1556898508472,651358099464235,-0.7062033,6.048912,8.30403
1556898508472,651358119464235,-0.73471344,5.737005,8.097114
1556898508472,651358139464235,-0.27644408,5.338811,8.369737
1556898508472,651358159464235,0.23262064,4.917039,8.3223505
1556898508472,651358179464235,0.86625093,4.6866403,8.907723
1556898508472,651358199464235,0.85766053,4.572944,9.362238
1556898508489,651358219464235,0.7565869,4.766415,8.374468
1556898508509,651358239464235,0.16421351,5.0522923,6.854858
1556898508530,651358259464235,-0.03169923,5.3874803,6.1541133
1556898508549,651358279464235,0.12156799,5.3653197,6.4881334
1556898508569,651358299464235,-0.27738264,4.788528,7.227999
1556898508589,651358319464235,-0.46887088,4.457678,8.136139
1556898508609,651358339464235,-0.5001583,4.154141,8.533117
1556898508629,651358359464235,-0.48210603,4.1653175,8.342117
1556898508649,651358379464235,-0.33654815,4.379876,7.8209853
1556898508669,651358399464235,-0.5703467,4.6234813,7.2013755
1556898508689,651358419464235,-0.6166219,4.9218845,6.6822166
1556898508709,651358439464235,-0.64487344,5.0852175,6.3709326
1556898508729,651358459464235,-0.3918063,5.4705977,6.3062983
1556898508749,651358479464235,0.022515072,5.84913,6.352861
1556898508771,651358499464235,0.44314757,6.370808,6.0158052
1556898508800,651358519464235,0.23097342,6.6295156,5.946172
