timeMillis,timeNanos,x,y,z
1556898507611,651357339464235,-0.3599,7.1397996,6.7128
1556898507632,651357359464235,-0.44849998,5.5621,8.0641
1556898507651,651357379464235,-0.3527,5.5506,8.0769
1556898507673,651357399464235,-0.1319,5.4811997,8.1307
1556898507692,651357419464235,-0.0547,5.4914,8.1247
1556898507711,651357439464235,0.0655,5.5492997,8.085199
1556898507732,651357459464235,0.1396,5.5987,8.050099
1556898507751,651357479464235,0.21229999,5.6204,8.0334
1556898507772,651357499464235,0.2507,5.5899997,8.0534
1556898507792,651357519464235,0.2599,5.5217,8.1002
1556898507811,651357539464235,0.2112,5.4213,8.1691
1556898507831,651357559464235,0.1753,5.3578,8.2116995
1556898507851,651357579464235,0.1706,5.3543997,8.214
1556898507871,651357599464235,0.18339999,5.4309,8.1633
1556898507891,651357619464235,0.2228,5.6154,8.0365
1556898507911,651357639464235,0.2812,5.9512,7.7893
1556898507932,651357659464235,0.3624,6.1731,7.6112
1556898507951,651357679464235,0.43339998,6.2865,7.514
1556898507971,651357699464235,0.4863,6.4034,7.4114
1556898507992,651357719464235,0.48909998,6.4563,7.3651
1556898508011,651357739464235,0.45929998,6.486,7.3409996
1556898508031,651357759464235,0.412,6.4947,7.3360996
1556898508051,651357779464235,0.3543,6.4933996,7.3402996
1556898508071,651357799464235,0.3005,6.4877,7.3476996
1556898508091,651357819464235,0.25259998,6.4778,7.3581996
1556898508111,651357839464235,0.2272,6.4744997,7.3619
1556898508131,651357859464235,0.2052,6.4796,7.3581
1556898508151,651357879464235,0.17729999,6.4803,7.3581996
1556898508172,651357899464235,0.1372,6.474,7.3645997
1556898508191,651357919464235,0.0919,6.4652996,7.3729997
1556898508211,651357939464235,0.056199998,6.4655,7.3731
1556898508231,651357959464235,0.0458,6.4728,7.3668
1556898508251,651357979464235,0.055,6.4761996,7.3638
1556898508271,651357999464235,0.0626,6.4771,7.3629
1556898508291,651358019464235,0.0707,6.4704,7.3687
1556898508311,651358039464235,0.079399996,6.4572,7.3802
1556898508331,651358059464235,0.0648,6.4487996,7.3876996
1556898508354,651358079464235,0.0358,6.4428997,7.3929996
1556898508472,651358099464235,2.9999999E-4,6.4242997,7.4093
1556898508472,651358119464235,-0.0229,6.3961997,7.4335
1556898508472,651358139464235,-0.0116,6.3665,7.4589996
1556898508472,651358159464235,0.044499997,6.3399,7.4814997
1556898508472,651358179464235,0.1336,6.3138,7.5024996
1556898508472,651358199464235,0.2172,6.2896,7.5207996
1556898508491,651358219464235,0.2708,6.2904,7.5183997
1556898508511,651358239464235,0.29819998,6.3244996,7.4887
1556898508531,651358259464235,0.3241,6.3651,7.4532
1556898508551,651358279464235,0.3636,6.3827996,7.4361997
1556898508571,651358299464235,0.3962,6.3603997,7.4536996
1556898508591,651358319464235,0.41349998,6.3026,7.5017
1556898508611,651358339464235,0.41669998,6.2282996,7.5632997
1556898508631,651358359464235,0.42319998,6.1959996,7.5894
1556898508652,651358379464235,0.433,6.1906,7.5933
1556898508671,651358399464235,0.4418,6.2085,7.5782
1556898508691,651358419464235,0.4567,6.2405996,7.5509
1556898508711,651358439464235,0.47689998,6.2728996,7.5228
1556898508731,651358459464235,0.49469998,6.29,7.5073
1556898508751,651358479464235,0.5207,6.2985,7.4983997
1556898508772,651358499464235,0.5541,6.3068,7.4891
1556898508800,651358519464235,0.5855,6.3099,7.4841
1556898508811,651358539464235,0.60139996,6.2893996,7.5000997
1556898508830,651358559464235,0.5927,6.2219,7.5568
1556898508851,651358579464235,0.57589996,6.1172,7.6431
1556898508872,651358599464235,0.5668,6.0074,7.7303996
1556898508891,651358619464235,0.5624,5.9277,7.792
1556898508911,651358639464235,0.55399996,5.8954997,7.817
1556898508932,651358659464235,0.5484,5.9005,7.8135996
1556898508951,651358679464235,0.5557,5.9258,7.7939
1556898508971,651358699464235,0.57049996,5.9659,7.7622
1556898508991,651358719464235,0.588,6.0134,7.7240996
