timeMillis,timeNanos,x,y,z
1556898507611,651357340944235,-0.11768755,-0.3230779,0.10649999
1556898507629,651357360944235,-0.059498273,-0.4606273,0.14049901
1556898507649,651357380944235,-0.0015882496,-0.4017748,0.15329227
1556898507669,651357400944235,0.10667452,-0.30021408,0.13756685
1556898507689,651357420944235,0.24270548,-0.2580993,0.07014478
1556898507709,651357440944235,0.19893263,-0.33330554,0.0048694685
1556898507729,651357460944235,-0.029024825,-0.31756267,-0.095294975
1556898507749,651357480944235,-0.33601078,-0.14224434,-0.122050874
1556898507769,651357500944235,-0.54188985,0.065065876,-0.117425755
1556898507790,651357520944235,-0.5093743,0.1650907,-0.067073
1556898507810,651357540944235,-0.2985211,0.10114183,0.0035081117
1556898507829,651357560944235,-0.045814894,-0.032567844,0.08155923
1556898507849,651357580944235,0.1563815,-0.15112805,0.11138691
1556898507869,651357600944235,0.27426103,-0.3122394,0.0919614
1556898507890,651357620944235,0.28038713,-0.36945128,0.06211627
1556898507909,651357640944235,0.23949409,-0.32192597,0.03799582
1556898507929,651357660944235,0.21184807,-0.32224014,-0.024836035
1556898507949,651357680944235,0.19812977,-0.29162705,-0.13208652
1556898507970,651357700944235,0.1277581,-0.21479768,-0.25373596
1556898507989,651357720944235,-0.03890339,-0.061505403,-0.30756193
1556898508009,651357740944235,-0.1603085,0.01881465,-0.34306192
1556898508029,651357760944235,-0.16877334,0.015515977,-0.38332665
1556898508049,651357780944235,-0.10681415,-0.08304276,-0.3960152
1556898508069,651357800944235,-0.042114794,-0.15262905,-0.33808774
1556898508089,651357820944235,0.0230558,-0.15006341,-0.2645919
1556898508109,651357840944235,0.057752945,-0.0845612,-0.22153464
1556898508129,651357860944235,0.028012535,-0.027750734,-0.19910716
1556898508149,651357880944235,-0.012653637,0.062692225,-0.17486453
1556898508170,651357900944235,-0.03668682,0.16133824,-0.08792969
1556898508190,651357920944235,5.061455E-4,0.1731192,-0.0019373155
1556898508210,651357940944235,0.032079153,0.054785885,0.03796091
1556898508229,651357960944235,0.007644542,-0.05778785,0.043615777
1556898508250,651357980944235,-0.0076096356,-0.050597094,0.029094638
1556898508269,651358000944235,-0.047350783,-0.057910025,0.019704767
1556898508289,651358020944235,-0.071314156,-0.06647959,0.010524335
1556898508310,651358040944235,-0.022270402,0.060144044,-0.019582594
1556898508329,651358060944235,0.00418879,0.16215853,-0.005375614
1556898508349,651358080944235,-0.07110471,0.20518091,0.0090582585
1556898508472,651358100944235,-0.12171926,0.1609368,0.069272116
1556898508472,651358120944235,-0.11355112,0.0069464105,0.16365953
1556898508472,651358140944235,-0.06801548,-0.22146483,0.23823744
1556898508472,651358160944235,-0.033405602,-0.36700782,0.29948103
1556898508472,651358180944235,0.008011062,-0.31918582,0.2898992
1556898508472,651358200944235,0.19085175,-0.14919074,0.24047147
1556898508489,651358220944235,0.4179889,-0.043388885,0.1624378
1556898508509,651358240944235,0.45422193,-0.1174083,0.07400196
1556898508530,651358260944235,0.29112092,-0.28002062,-0.0019373155
1556898508549,651358280944235,0.0283616,-0.3596949,-0.12351695
1556898508569,651358300944235,-0.19139281,-0.33829716,-0.19025834
1556898508589,651358320944235,-0.2693043,-0.24007004,-0.16236798
1556898508609,651358340944235,-0.1860521,-0.15044738,-0.114214346
1556898508629,651358360944235,0.005497787,-0.11613421,-0.039950587
1556898508649,651358380944235,0.1693842,-0.08824385,-0.0040142573
1556898508669,651358400944235,0.26682594,-0.097337015,0.042428955
1556898508689,651358420944235,0.27118927,-0.07953466,0.11213741
