timeMillis,timeNanos,x,y,z
1556898507611,651357339464235,295.44,-46.76,-2.1
1556898507632,651357359464235,110.82,-34.59,-2.62
1556898507651,651357379464235,111.56,-34.489998,-2.06
1556898507673,651357399464235,113.229996,-33.98,-0.77
1556898507691,651357419464235,113.52,-34.05,-0.31
1556898507711,651357439464235,113.689995,-34.46,0.38
1556898507732,651357459464235,113.75,-34.809998,0.81
1556898507751,651357479464235,113.81,-34.969997,1.24
1556898507772,651357499464235,113.75,-34.76,1.4599999
1556898507792,651357519464235,113.619995,-34.28,1.51
1556898507811,651357539464235,113.7,-33.559998,1.23
1556898507831,651357559464235,113.72,-33.12,1.02
1556898507851,651357579464235,113.549995,-33.09,0.98999995
1556898507871,651357599464235,112.88,-33.63,1.0699999
1556898507891,651357619464235,111.229996,-34.94,1.3
1556898507910,651357639464235,107.6,-37.38,1.64
1556898507932,651357659464235,105.31,-39.04,2.11
1556898507950,651357679464235,104.479996,-39.91,2.53
1556898507971,651357699464235,103.63,-40.82,2.84
1556898507992,651357719464235,103.57,-41.23,2.85
1556898508011,651357739464235,103.39,-41.46,2.6799998
1556898508030,651357759464235,103.2,-41.51,2.3999999
1556898508051,651357779464235,103.2,-41.489998,2.07
1556898508071,651357799464235,103.46,-41.44,1.75
1556898508091,651357819464235,103.899994,-41.35,1.4699999
1556898508111,651357839464235,104.35,-41.329998,1.3199999
1556898508131,651357859464235,104.7,-41.36,1.1899999
1556898508150,651357879464235,104.97,-41.36,1.03
1556898508171,651357899464235,105.159996,-41.309998,0.79999995
1556898508191,651357919464235,105.17,-41.239998,0.53
1556898508211,651357939464235,105.06,-41.239998,0.32
1556898508231,651357959464235,104.96,-41.3,0.26
1556898508251,651357979464235,104.97,-41.329998,0.32
1556898508270,651357999464235,105.0,-41.329998,0.35999998
1556898508291,651358019464235,105.079994,-41.28,0.41
1556898508311,651358039464235,105.22,-41.18,0.45999998
1556898508331,651358059464235,105.329994,-41.11,0.37
1556898508354,651358079464235,105.369995,-41.07,0.19999999
1556898508472,651358099464235,105.399994,-40.92,0.0
1556898508472,651358119464235,105.43,-40.71,-0.13
1556898508472,651358139464235,105.56,-40.48,-0.06
1556898508472,651358159464235,105.84,-40.27,0.26
1556898508472,651358179464235,106.25,-40.079998,0.78
1556898508472,651358199464235,106.71,-39.899998,1.26
1556898508491,651358219464235,107.13,-39.91,1.5799999
1556898508510,651358239464235,107.54,-40.18,1.74
1556898508531,651358259464235,108.079994,-40.489998,1.89
1556898508551,651358279464235,108.78,-40.64,2.12
