timeMillis,timeNanos,value
1556898507649,651357385344235,1010.6758
1556898507849,651357585344235,1010.71826
1556898508050,651357785344235,1010.64746
1556898508250,651357985344235,1010.57227
1556898508472,651358185344235,1010.6289
1556898508649,651358385344235,1010.6289
1556898508849,651358585344235,1010.5537
1556898509050,651358785344235,1010.5708
1556898509250,651358985344235,1010.646
1556898509450,651359185344235,1010.5923
1556898509650,651359385344235,1010.5957
1556898509849,651359585344235,1010.5781
1556898510050,651359785344235,1010.5635
1556898510250,651359985344235,1010.5996
1556898510450,651360185344235,1010.646
1556898510650,651360385344235,1010.6294
1556898510849,651360585344235,1010.58936
1556898511050,651360785344235,1010.62305
1556898511346,651360985344235,1010.66846
1556898511449,651361185344235,1010.60596
1556898511650,651361385344235,1010.604
1556898511849,651361585344235,1010.64355
1556898512052,651361785344235,1010.59033
1556898512251,651361985344235,1010.5913
1556898512450,651362185344235,1010.63965
1556898512651,651362385344235,1010.6421
1556898512851,651362585344235,1010.5923
1556898513051,651362785344235,1010.65625
1556898513250,651362985344235,1010.6416
1556898513452,651363185344235,1010.584
1556898513649,651363385344235,1010.6367
1556898513849,651363585344235,1010.66895
1556898514049,651363785344235,1010.6089
1556898514264,651363985344235,1010.6323
1556898514450,651364185344235,1010.63965
1556898514650,651364385344235,1010.59717
1556898514849,651364585344235,1010.61865
1556898515050,651364785344235,1010.6323
1556898515250,651364985344235,1010.605
1556898515450,651365185344235,1010.59814
1556898515650,651365385344235,1010.6616
1556898515849,651365585344235,1010.6382
1556898516050,651365785344235,1010.63135
1556898516250,651365985344235,1010.6841
1556898516451,651366185344235,1010.63086
1556898516651,651366385344235,1010.58887
1556898516849,651366585344235,1010.6343
1556898517178,651366785344235,1010.6323
1556898517251,651366985344235,1010.5835
1556898517451,651367185344235,1010.63965
1556898517650,651367385344235,1010.626
1556898517849,651367585344235,1010.5874
1556898518050,651367785344235,1010.62305
1556898518250,651367985344235,1010.6572
1556898518450,651368185344235,1010.58887
1556898518650,651368385344235,1010.6333
1556898518849,651368585344235,1010.65625
1556898519050,651368785344235,1010.60596
