calcAzimuth,gesture,stepLength,timeMillis
126.55717,0,0.65,1556869708360
119.94646,0,0.65,1556869709050
113.45437,0,0.65,1556869709800
116.70042,0,0.65,1556869710480
118.478836,0,0.65,1556869711150
117.58962,0,0.65,1556869711820
115.12665,0,0.65,1556869712460
124.36035,0,0.65,1556869713100
116.35634,0,0.65,1556869713760
101.74733,0,0.65,1556869714410
92.682846,0,0.65,1556869715000
95.33317,0,0.65,1556869715680
85.63357,0,0.65,1556869716260
81.40169,0,0.65,1556869716940
86.714096,0,0.65,1556869717530
87.613945,8,0.65,1556869718170
89.65524,8,0.65,1556869718810
98.47605,8,0.65,1556869719470
115.00714,8,0.65,1556869720080
110.26538,8,0.65,1556869720770
105.08873,8,0.65,1556869721370
99.51723,8,0.65,1556869721980
84.48178,8,0.65,1556869722600
77.16753,8,0.65,1556869723300
65.771835,8,0.65,1556869723840
64.28357,8,0.65,1556869724490
72.83178,8,0.65,1556869725150
75.40343,8,0.65,1556869725790
74.15122,8,0.65,1556869726410
88.26438,8,0.65,1556869727090
98.94961,8,0.65,1556869727690
97.379654,8,0.65,1556869728360
108.70882,8,0.65,1556869728990
103.044235,8,0.65,1556869729630
105.876526,8,0.65,1556869730230
104.46038,8,0.65,1556869730890
105.16845,8,0.65,1556869731520
52.37645,8,0.65,1556869732140
49.695366,8,0.65,1556869732770
56.852905,8,0.65,1556869733470
75.101524,8,0.65,1556869734050
86.46747,8,0.65,1556869735360
101.533936,8,0.65,1556869736020
82.50008,8,0.65,1556869736650
126.26241,8,0.65,1556869737300
111.726166,0,0.65,1556869737980
100.76042,0,0.65,1556869738580
97.54486,0,0.65,1556869739250
96.27474,0,0.65,1556869739880
87.969475,0,0.65,1556869740450
66.75391,0,0.65,1556869741180
51.905212,8,0.65,1556869741780
62.631107,8,0.65,1556869742420
62.86216,8,0.65,1556869743060
74.076515,8,0.65,1556869744420
83.53745,8,0.65,1556869745620
77.10755,0,0.65,1556869746200
77.25011,0,0.65,1556869746910
80.76793,0,0.65,1556869747560
81.873215,0,0.65,1556869748190
79.38783,0,0.65,1556869748860
77.514275,0,0.65,1556869749470
76.60081,0,0.65,1556869750230
92.05445,0,0.65,1556869751480
79.14244,0,0.65,1556869752040
69.01474,0,0.65,1556869753290
81.12166,0,0.65,1556869753930
85.80762,0,0.65,1556869754550
98.069214,0,0.65,1556869755190
108.43141,0,0.65,1556869755840
114.74517,0,0.65,1556869756470
111.900024,0,0.65,1556869757060
99.845695,0,0.65,1556869757730
84.693146,0,0.65,1556869758340
84.67518,0,0.65,1556869758980
75.89737,0,0.65,1556869759590
114.424194,0,0.65,1556869760260
97.92691,0,0.65,1556869760870
99.856606,0,0.65,1556869761570
100.223694,0,0.65,1556869762190
95.61874,0,0.65,1556869762840
90.98946,0,0.65,1556869763430
91.328156,0,0.65,1556869764120
100.18299,0,0.65,1556869764680
100.38964,0,0.65,1556869765360
93.14184,0,0.65,1556869766030
93.364,0,0.65,1556869766680
98.65656,0,0.65,1556869767360
109.511024,0,0.65,1556869768060
83.63255,0,0.65,1556869768700
95.11463,0,0.13,1556869770800
84.16612,0,0.13,1556869771420
93.95479,0,0.13,1556869772110
82.26461,0,0.65,1556869772700
74.506355,0,0.65,1556869773360
78.38548,0,0.65,1556869774000
90.50152,0,0.65,1556869774650
84.4435,0,0.65,1556869775260
87.47251,0,0.65,1556869775950
45.812267,0,0.65,1556869776530
66.64239,0,0.65,1556869777200
56.22733,0,0.65,1556869777790
61.434856,0,0.65,1556869778450
58.831093,0,0.65,1556869779120
60.132977,0,0.65,1556869779770
59.482033,0,0.65,1556869780340
59.807507,0,0.65,1556869780990
59.644768,0,0.65,1556869781650
59.72614,8,0.65,1556869782310
59.68545,8,0.65,1556869782910
59.705795,8,0.65,1556869783570
59.695625,8,0.65,1556869784200
59.70071,8,0.65,1556869784910
59.698166,8,0.65,1556869786070
59.69944,8,0.65,1556869786760
59.698803,8,0.65,1556869787440
59.69912,8,0.65,1556869788050
59.698963,8,0.65,1556869788700
59.69904,8,0.65,1556869789330
59.699,8,0.65,1556869790010
59.69902,8,0.65,1556869790650
59.699013,8,0.65,1556869791300
59.699017,8,0.65,1556869791930
59.699013,8,0.65,1556869792640
59.699017,8,0.65,1556869793300
59.699013,0,0.65,1556869793920
59.699017,0,0.65,1556869794580
59.699013,0,0.65,1556869795260
59.699017,0,0.65,1556869795850
59.699013,0,0.65,1556869796630
59.699017,0,0.65,1556869797780
59.699013,8,0.65,1556869798470
59.699017,8,0.65,1556869799120
59.699013,8,0.65,1556869799710
59.699017,8,0.65,1556869800390
59.699013,8,0.65,1556869800980
38.76527,8,0.65,1556869801710
49.232143,8,0.65,1556869802290
43.998707,8,0.65,1556869802980
46.615425,8,0.65,1556869803610
45.307064,8,0.65,1556869804350
45.961246,8,0.65,1556869804910
45.634155,8,0.65,1556869805640
44.367443,8,0.65,1556869806880
45.000797,8,0.65,1556869807510
29.108711,8,0.65,1556869808170
24.197174,8,0.65,1556869808740
13.071217,8,0.65,1556869809400
18.634195,8,0.65,1556869810010
33.433743,8,0.65,1556869810740
26.033968,8,0.65,1556869811390
29.733856,8,0.65,1556869811970
27.883913,8,0.65,1556869812650
28.808884,8,0.65,1556869813310
28.346397,8,0.65,1556869813900
28.57764,0,0.65,1556869814570
28.462019,0,0.65,1556869815160
28.51983,0,0.65,1556869815770
28.490925,0,0.65,1556869816400
28.505377,0,0.65,1556869817140
28.498152,0,0.65,1556869817670
36.684002,8,0.65,1556869818390
19.790268,8,0.65,1556869819590
20.495625,8,0.65,1556869820190
36.791603,8,0.65,1556869820910
28.643616,8,0.65,1556869821430
32.71761,0,0.65,1556869822120
30.680613,0,0.65,1556869822710
31.699112,0,0.65,1556869823330
31.189861,0,0.65,1556869823970
31.444487,0,0.65,1556869824590
31.317175,0,0.65,1556869825260
