timeMillis,timeNanos,x,y,z
1557228448472,1581495839122208,275.19998,-8.929999,-3.1599998
1557228448496,1581495859120645,103.149994,-17.81,-20.609999
1557228448514,1581495879125333,104.75,-17.08,-20.55
1557228448535,1581495899122208,106.29,-16.47,-20.23
1557228448555,1581495919137833,107.47,-16.199999,-19.85
1557228448575,1581495939120645,108.49,-16.119999,-19.39
1557228448595,1581495959120645,109.54,-16.1,-18.84
1557228448615,1581495979120645,110.6,-15.95,-18.25
1557228448633,1581495999120645,111.36,-15.83,-17.76
1557228448655,1581496019120645,112.27,-15.66,-17.14
1557228448674,1581496039120645,113.2,-15.5,-16.41
1557228448696,1581496059120645,114.61,-14.929999,-15.36
1557228448713,1581496079120645,115.829994,-14.259999,-14.34
1557228448735,1581496099120645,117.259995,-13.429999,-13.29
1557228448755,1581496119120645,118.479996,-12.9,-12.53
1557228448775,1581496139120645,119.649994,-12.61,-12.05
1557228448793,1581496159120645,120.64,-12.42,-11.63
1557228448816,1581496179120645,121.829994,-12.11,-10.76
1557228448833,1581496199120645,122.729996,-12.03,-9.69
1557228448855,1581496219122208,123.659996,-12.19,-8.349999
1557228448873,1581496239122208,124.259995,-12.599999,-7.2799997
1557228448896,1581496259120645,125.09,-13.19,-5.97
1557228448915,1581496279153458,126.06,-13.639999,-4.66
1557228448936,1581496299120645,127.049995,-13.94,-3.6399999
1557228448955,1581496319122208,127.869995,-14.12,-3.1799998
1557228448976,1581496339122208,128.4,-14.299999,-3.29
1557228448993,1581496359122208,128.68,-14.469999,-3.6599998
1557228449015,1581496379122208,128.9,-14.509999,-4.06
1557228449033,1581496399122208,128.98,-14.45,-4.11
1557228449055,1581496419120645,129.02,-14.309999,-4.0
1557228449074,1581496439120645,128.97,-14.259999,-3.85
1557228449095,1581496459120645,128.86,-14.21,-3.6599998
1557228449115,1581496479122208,128.67,-14.179999,-3.4299998
1557228449135,1581496499120645,128.56999,-14.57,-2.56
1557228449153,1581496519120645,128.61,-15.339999,-1.35
1557228449175,1581496539120645,128.72,-17.01,0.76
1557228449195,1581496559120645,128.70999,-17.97,1.79
1557228449215,1581496579120645,128.8,-18.02,1.9499999
1557228449234,1581496599120645,128.87999,-17.99,2.12
1557228449255,1581496619137833,129.06,-17.85,2.4099998
1557228449275,1581496639120645,129.3,-17.609999,2.6699998
1557228449295,1581496659122208,129.45,-17.39,2.77
1557228449317,1581496679120645,129.56,-17.14,2.77
1557228449335,1581496699120645,129.62999,-16.83,2.77
1557228449353,1581496719120645,129.68,-16.48,2.74
1557228449375,1581496739120645,129.72,-16.109999,2.6799998
1557228449393,1581496759120645,129.77,-15.839999,2.61
1557228449415,1581496779120645,129.78,-15.61,2.6699998
1557228449433,1581496799120645,129.75,-15.41,2.86
1557228449455,1581496819120645,129.54,-15.21,3.1299999
1557228449475,1581496839120645,129.25,-15.0199995,3.36
1557228449495,1581496859120645,128.98,-14.87,3.54
1557228449513,1581496879120645,128.81999,-14.75,3.55
1557228449534,1581496899120645,128.68,-14.58,3.52
1557228449553,1581496919120645,128.61,-14.41,3.4399998
1557228449575,1581496939120645,128.62,-14.179999,3.3999999
1557228449595,1581496959120645,128.69,-13.98,3.46
1557228449615,1581496979120645,128.8,-13.83,3.47
1557228449635,1581496999120645,128.94,-13.719999,3.48
1557228449656,1581497019122208,129.09999,-13.63,3.4199998
1557228449675,1581497039120645,129.23999,-13.559999,3.27
1557228449695,1581497059120645,129.34999,-13.49,3.05
1557228449714,1581497079120645,129.43,-13.41,2.86
1557228449736,1581497099120645,129.5,-13.309999,2.6599998
1557228449753,1581497119120645,129.58,-13.259999,2.54
1557228449774,1581497139120645,129.67,-13.21,2.56
1557228449794,1581497159122208,129.65,-13.179999,2.72
1557228449815,1581497179122208,129.56999,-13.179999,2.9299998
1557228449835,1581497199122208,129.51,-13.24,3.08
1557228449855,1581497219120645,129.5,-13.299999,3.09
1557228449873,1581497239120645,129.51,-13.309999,3.02
1557228449895,1581497259120645,129.55,-13.259999,2.98
1557228449913,1581497279150333,129.58,-13.2,3.02
1557228449937,1581497299120645,129.62999,-13.139999,3.1299999
1557228449953,1581497319137833,129.68,-13.12,3.1999998
1557228449975,1581497339120645,129.78,-13.07,3.32
1557228449994,1581497359120645,129.84999,-13.009999,3.46
1557228450014,1581497379120645,129.81,-12.98,3.54
1557228450034,1581497399120645,129.67,-12.98,3.51
1557228450055,1581497419120645,129.43,-12.99,3.3999999
1557228450073,1581497439120645,129.19,-13.0199995,3.32
1557228450095,1581497459122208,128.91,-13.08,3.31
1557228450113,1581497479120645,128.7,-13.17,3.36
1557228450135,1581497499120645,128.45999,-13.32,3.46
1557228450154,1581497519122208,128.23999,-13.429999,3.46
1557228450174,1581497539122208,128.03,-13.469999,3.3999999
1557228450195,1581497559122208,127.88,-13.45,3.24
1557228450215,1581497579122208,127.81,-13.42,3.06
1557228450233,1581497599120645,127.81,-13.4,2.95
1557228450255,1581497619122208,127.82,-13.41,2.8799999
1557228450274,1581497639122208,127.79,-13.46,2.82
1557228450294,1581497659122208,127.71999,-13.58,2.77
1557228450313,1581497679120645,127.649994,-13.69,2.76
1557228450335,1581497699122208,127.54,-13.7699995,2.74
1557228450355,1581497719122208,127.439995,-13.799999,2.77
1557228450375,1581497739122208,127.369995,-13.79,2.86
1557228450393,1581497759122208,127.36,-13.759999,2.9399998
1557228450415,1581497779120645,127.329994,-13.7,3.05
1557228450433,1581497799120645,127.21,-13.639999,3.09
1557228450455,1581497819122208,127.0,-13.549999,3.22
1557228450473,1581497839122208,126.799995,-13.469999,3.31
1557228450495,1581497859120645,126.549995,-13.4,3.34
1557228450515,1581497879120645,126.34,-13.38,3.32
1557228450535,1581497899120645,126.17,-13.429999,3.24
1557228450560,1581497919120645,126.02,-13.509999,3.1799998
1557228450575,1581497939120645,125.899994,-13.61,3.1799998
1557228450593,1581497959120645,125.81,-13.66,3.1899998
1557228450615,1581497979120645,125.659996,-13.65,3.1599998
1557228450634,1581497999120645,125.46999,-13.61,3.05
1557228450662,1581498019139395,125.21999,-13.57,2.86
1557228450743,1581498039120645,125.07,-13.599999,2.75
1557228450743,1581498059122208,125.049995,-13.639999,2.75
1557228450743,1581498079122208,125.14,-13.679999,2.78
1557228450743,1581498099122208,125.369995,-13.7,2.8899999
1557228450753,1581498119120645,125.6,-13.7,2.96
1557228450775,1581498139122208,125.85,-13.61,2.99
1557228450794,1581498159120645,126.02,-13.48,2.8899999
1557228450815,1581498179120645,126.24,-13.309999,2.6799998
1557228450833,1581498199120645,126.43,-13.17,2.52
1557228450855,1581498219120645,126.68,-13.009999,2.4299998
1557228450875,1581498239120645,126.86,-12.88,2.4099998
1557228450895,1581498259120645,126.939995,-12.759999,2.37
1557228450915,1581498279153458,126.899994,-12.639999,2.24
1557228450935,1581498299120645,126.79,-12.55,2.03
1557228450953,1581498319122208,126.689995,-12.46,1.8
1557228450975,1581498339120645,126.649994,-12.32,1.55
1557228450995,1581498359120645,126.68,-12.15,1.4399999
1557228451016,1581498379120645,126.75,-11.98,1.42
1557228451034,1581498399120645,126.81,-11.9,1.4
1557228451055,1581498419122208,126.899994,-11.88,1.3399999
1557228451075,1581498439122208,126.99,-11.92,1.27
1557228451095,1581498459120645,127.06,-11.969999,1.2099999
1557228451114,1581498479122208,127.14,-11.969999,1.25
1557228451135,1581498499120645,127.35,-11.86,1.4599999
1557228451154,1581498519120645,127.579994,-11.71,1.65
1557228451175,1581498539120645,127.88,-11.469999,1.7099999
1557228451194,1581498559120645,127.99,-11.33,1.4499999
1557228451215,1581498579120645,127.95,-11.28,0.85999995
1557228451235,1581498599120645,127.759995,-11.41,0.28
1557228451255,1581498619122208,127.45,-11.7,-0.21
1557228451275,1581498639122208,127.04,-12.11,-0.56
1557228451295,1581498659122208,126.59,-12.57,-0.65
1557228451313,1581498679122208,126.32,-12.849999,-0.22
1557228451335,1581498699122208,126.31,-12.88,0.74
1557228451354,1581498719137833,126.39,-12.809999,1.28
1557228451376,1581498739122208,126.479996,-12.79,1.39
1557228451395,1581498759122208,126.46999,-12.92,1.06
1557228451415,1581498779122208,126.38,-13.12,0.61
1557228451435,1581498799120645,126.21999,-13.299999,0.12
1557228451455,1581498819122208,126.0,-13.41,-0.28
1557228451474,1581498839122208,125.689995,-13.53,-0.51
1557228451495,1581498859122208,125.2,-13.7699995,-0.56
1557228451514,1581498879122208,124.78,-13.99,-0.39999998
1557228451535,1581498899122208,124.38,-14.17,-0.03
1557228451554,1581498919120645,124.18,-14.17,0.25
1557228451575,1581498939122208,124.03,-14.009999,0.37
1557228451595,1581498959122208,123.899994,-13.799999,0.17999999
1557228451615,1581498979122208,123.759995,-13.58,-0.19999999
1557228451634,1581498999122208,123.67,-13.38,-0.52
1557228451655,1581499019122208,123.63,-13.15,-0.62
1557228451673,1581499039120645,123.659996,-12.969999,-0.32999998
1557228451695,1581499059122208,123.67,-12.7699995,0.17999999
1557228451714,1581499079122208,123.61,-12.679999,0.22999999
1557228451735,1581499099120645,123.439995,-12.62,0.03
1557228451756,1581499119120645,123.21999,-12.48,-0.45
1557228451775,1581499139122208,123.06,-12.07,-1.0
1557228451796,1581499159120645,123.079994,-11.41,-1.24
1557228451816,1581499179122208,123.36,-10.679999,-0.9
1557228451834,1581499199122208,123.74,-10.179999,-0.29999998
1557228451855,1581499219122208,124.21,-9.94,0.57
1557228451873,1581499239122208,124.579994,-9.99,1.26
1557228451895,1581499259122208,124.689995,-10.2,1.11
1557228451915,1581499279150333,124.59,-10.37,0.7
1557228451937,1581499299120645,124.479996,-10.5199995,-0.06
1557228451955,1581499319120645,124.399994,-10.639999,-0.84
1557228451975,1581499339122208,124.329994,-10.79,-1.49
1557228451993,1581499359120645,124.29,-10.969999,-1.75
1557228452015,1581499379120645,124.2,-11.3,-1.87
1557228452034,1581499399120645,124.149994,-11.65,-1.91
1557228452055,1581499419137833,124.189995,-12.08,-2.03
1557228452074,1581499439120645,124.42,-12.34,-2.1699998
1557228452095,1581499459120645,125.0,-12.37,-2.18
1557228452115,1581499479122208,125.7,-12.0,-2.08
1557228452135,1581499499122208,126.409996,-11.34,-2.1
1557228452155,1581499519122208,126.979996,-10.69,-2.45
1557228452175,1581499539122208,127.35,-10.33,-3.1599998
1557228452193,1581499559122208,127.549995,-10.36,-3.8999999
1557228452215,1581499579122208,127.71999,-10.719999,-4.5499997
1557228452233,1581499599122208,127.86,-11.19,-4.74
1557228452255,1581499619122208,128.09,-11.809999,-4.46
1557228452273,1581499639122208,128.34999,-12.21,-3.87
1557228452295,1581499659120645,128.83,-12.42,-2.7
1557228452315,1581499679120645,129.34,-12.37,-1.53
1557228452335,1581499699120645,129.93,-12.139999,-0.44
1557228452353,1581499719120645,130.52,-11.86,0.22
1557228452375,1581499739120645,131.23,-11.48,0.47
1557228452395,1581499759120645,131.73,-11.09,0.24
1557228452415,1581499779120645,132.01,-10.66,-0.26999998
1557228452435,1581499799120645,132.08,-10.19,-0.77
1557228452455,1581499819120645,132.02,-9.679999,-0.98999995
1557228452476,1581499839120645,131.81,-9.17,-1.09
1557228452495,1581499859120645,131.48999,-8.679999,-1.25
1557228452515,1581499879120645,131.26,-8.19,-1.39
1557228452535,1581499899120645,131.20999,-7.6699996,-1.64
1557228452554,1581499919120645,131.20999,-7.16,-2.08
1557228452575,1581499939120645,131.26,-6.62,-2.85
1557228452593,1581499959120645,131.45,-6.2999997,-3.48
1557228452615,1581499979120645,131.76,-6.0699997,-4.17
1557228452635,1581499999120645,131.87,-5.96,-4.65
1557228452674,1581500019122208,131.64,-5.98,-5.08
1557228452676,1581500039122208,131.16,-6.21,-5.38
1557228452695,1581500059120645,130.66,-6.66,-5.45
1557228452713,1581500079120645,130.3,-7.2,-5.25
1557228452735,1581500099120645,129.89,-7.99,-4.65
1557228452753,1581500119120645,129.31999,-8.65,-3.81
1557228452775,1581500139122208,128.56999,-9.45,-3.6299999
1557228452793,1581500159122208,128.17,-9.96,-3.58
1557228452815,1581500179120645,128.12,-10.25,-3.24
1557228452835,1581500199122208,128.43,-10.13,-2.46
1557228452855,1581500219122208,128.75,-9.74,-1.68
1557228452875,1581500239122208,128.83,-9.309999,-1.27
1557228452895,1581500259122208,128.67,-9.04,-1.23
1557228452914,1581500279153458,128.41,-9.0,-1.31
1557228452936,1581500299120645,128.06999,-9.099999,-1.25
1557228452953,1581500319122208,127.82,-9.25,-0.81
1557228452975,1581500339122208,127.579994,-9.42,-0.24
1557228452995,1581500359120645,127.479996,-9.67,0.16
1557228453014,1581500379120645,127.619995,-9.92,0.76
1557228453035,1581500399120645,127.829994,-10.19,1.11
1557228453056,1581500419120645,128.0,-10.41,1.09
1557228453074,1581500439120645,128.06,-10.51,0.81
1557228453095,1581500459120645,128.06999,-10.55,0.29
1557228453113,1581500479120645,128.09,-10.55,-0.12
1557228453135,1581500499122208,128.23999,-10.54,-0.47
1557228453154,1581500519122208,128.44,-10.54,-0.64
1557228453175,1581500539122208,128.70999,-10.54,-0.77
1557228453195,1581500559122208,128.87,-10.53,-0.89
1557228453215,1581500579122208,128.93,-10.48,-1.02
1557228453234,1581500599122208,128.95,-10.38,-1.15
1557228453255,1581500619122208,129.08,-10.179999,-1.3199999
1557228453273,1581500639122208,129.39,-9.929999,-1.42
1557228453295,1581500659120645,130.02,-9.5,-1.51
1557228453313,1581500679122208,130.59,-9.09,-1.6999999
1557228453335,1581500699120645,131.15,-8.58,-2.25
1557228453355,1581500719120645,131.45999,-8.19,-2.97
