timeMillis,timeNanos,x,y,z
1557228595811,1581643179120645,-1.1840956,1.3693684,12.203505
1557228595831,1581643199122208,-1.192686,1.2539871,11.1529665
1557228595852,1581643219122208,-1.1939118,1.1342578,10.1497965
1557228595872,1581643239120645,-1.2549161,1.0197,9.797341
1557228595892,1581643259120645,-1.1116949,1.3026372,9.42647
1557228595912,1581643279150333,-0.5251346,1.5412912,9.172531
1557228595931,1581643299120645,-0.23319525,1.7500273,9.390844
1557228595951,1581643319120645,0.06717172,1.8411028,9.378385
1557228595971,1581643339120645,0.052346826,1.8735203,9.805146
1557228595995,1581643359120645,-0.15614983,1.9079585,10.322313
1557228596011,1581643379120645,-0.63879216,1.7657046,10.174304
1557228596150,1581643399120645,-0.6926521,1.8323591,9.277953
1557228596151,1581643419120645,-0.58635914,1.9837015,8.716953
1557228596151,1581643439122208,-0.26897418,2.086834,8.769692
1557228596151,1581643459122208,0.056005165,2.0066187,8.875162
1557228596151,1581643479122208,0.03793373,1.9029306,8.835447
1557228596151,1581643499122208,0.086440265,1.779907,9.096204
1557228596151,1581643519122208,0.0059567736,1.5337831,9.438977
1557228596171,1581643539122208,-0.39671922,1.3259376,9.596563
1557228596191,1581643559120645,-1.0285202,1.3187455,9.6244135
1557228596212,1581643579122208,-1.3544669,1.3372383,9.53034
1557228596231,1581643599120645,-1.2318646,1.3996216,9.272303
1557228596251,1581643619120645,-0.62141985,1.2946215,9.067081
1557228596271,1581643639120645,0.0016759413,1.4815128,9.481068
1557228596291,1581643659122208,0.3432136,1.4402463,9.801172
1557228596311,1581643679120645,0.38635713,1.1703719,10.212439
1557228596331,1581643699120645,0.34413296,1.0030748,11.028976
1557228596352,1581643719122208,0.20919576,1.1680831,11.963557
1557228596371,1581643739120645,0.28511113,1.2035748,12.524481
1557228596392,1581643759120645,0.15461753,1.0909516,12.16558
1557228596412,1581643779120645,-0.2028655,1.2488922,11.44686
1557228596431,1581643799120645,-0.20044257,1.382594,10.672499
1557228596451,1581643819120645,0.1580652,1.6837559,10.116192
1557228596471,1581643839122208,0.3401586,1.7383341,9.5474825
1557228596491,1581643859120645,0.25134328,1.7776756,9.0907545
1557228596512,1581643879122208,0.2628642,1.6265632,8.929941
1557228596532,1581643899120645,0.13460203,1.3527719,9.158837
1557228596552,1581643919120645,-0.28798416,1.1598278,9.809112
1557228596571,1581643939120645,-0.74336135,1.1400136,10.615363
1557228596591,1581643959120645,-0.69698083,0.8974617,11.06827
1557228596612,1581643979120645,-0.8681088,0.6870305,11.030471
1557228596631,1581643999122208,-1.6091335,0.8122664,10.668007
1557228596651,1581644019120645,-2.0715592,1.277048,10.179609
1557228596671,1581644039122208,-1.871624,1.811319,9.730437
1557228596691,1581644059120645,-1.8025657,2.0832045,9.467487
1557228596711,1581644079120645,-1.9193165,2.1428394,9.631136
1557228596732,1581644099120645,-1.8016176,1.887196,9.9826145
1557228596751,1581644119120645,-1.7656951,1.7759997,9.977836
1557228596772,1581644139120645,-1.4124258,1.5420766,9.731999
1557228596791,1581644159122208,-0.65603995,1.3859076,9.449866
1557228596811,1581644179120645,-0.2980398,1.172115,10.051682
1557228596831,1581644199120645,-0.8429984,0.7941184,11.30634
1557228596851,1581644219120645,-1.6763242,-0.13842317,12.083603
1557228596871,1581644239120645,-2.2222598,-1.028913,11.646125
1557228596891,1581644259120645,-2.4137192,-1.1901578,10.495376
1557228596911,1581644279153458,-2.1294127,-0.79725,9.163222
1557228596931,1581644299120645,-1.5831419,-0.14287637,7.937746
1557228596951,1581644319120645,-1.4682299,0.54461384,7.069723
1557228596973,1581644339122208,-1.4004357,0.9332119,6.910145
1557228597001,1581644359122208,-1.1719713,0.84207904,7.1708636
1557228597011,1581644379120645,-1.2992375,0.13415192,7.8781495
1557228597031,1581644399120645,-2.1673367,-0.29144138,8.533174
1557228597052,1581644419120645,-2.9945524,-0.45602837,9.753029
1557228597071,1581644439120645,-3.5830379,-0.39118382,10.709848
1557228597091,1581644459120645,-2.882571,-0.08226477,11.19658
1557228597111,1581644479120645,-1.8199093,0.31288385,11.210802
1557228597131,1581644499120645,-2.008448,0.82955253,10.689172
1557228597151,1581644519120645,-2.1356852,0.91598326,9.778044
1557228597171,1581644539120645,-1.9325229,0.76718843,9.038275
1557228597191,1581644559120645,-1.8382776,0.98068416,9.054114
1557228597211,1581644579120645,-1.4583944,1.3276807,9.549331
1557228597232,1581644599120645,-0.99825764,1.6751655,10.0065565
1557228597251,1581644619120645,-0.94580543,1.8040885,10.326498
1557228597271,1581644639120645,-1.0677756,1.7994821,10.556103
1557228597291,1581644659120645,-0.8349635,1.8386416,10.664894
1557228597311,1581644679120645,-0.8223125,1.7270048,10.775957
1557228597332,1581644699120645,-1.0010349,1.4973912,10.744535
1557228597351,1581644719120645,-0.91809016,1.1733981,10.95376
1557228597371,1581644739120645,-1.0935947,0.7835456,11.222888
