timeMillis,timeNanos,x,y,z
1557228595812,1581643179971645,-0.59049726,-0.022026055,-0.32457888
1557228595831,1581643199973208,-0.1871691,0.055676002,-0.31222194
1557228595852,1581643219973208,-0.02867576,-0.0198793,-0.22183135
1557228595872,1581643239971645,0.034836773,-0.08189085,-0.066706486
1557228595892,1581643259971645,0.10293952,-0.23174481,0.089360856
1557228595912,1581643280001333,0.17421876,-0.43408084,0.11114257
1557228595932,1581643299971645,0.085172065,-0.40880847,0.089116514
1557228595952,1581643319971645,-0.1179668,-0.08274606,0.0786969
1557228595971,1581643339971645,-0.35054937,0.18558086,-0.013124876
1557228595995,1581643359971645,-0.31744048,0.32133257,-0.15814428
1557228596011,1581643379971645,-0.11211995,0.3140022,-0.21184807
1557228596151,1581643399971645,0.06789331,0.12473868,-0.13316862
1557228596151,1581643419971645,0.14561282,-0.24659757,-0.061994094
1557228596151,1581643439973208,0.18247417,-0.56114084,-0.06262241
1557228596151,1581643459973208,0.10890854,-0.67497116,-0.14660765
1557228596151,1581643479973208,-0.09309586,-0.6232571,-0.2314132
1557228596151,1581643499973208,-0.3503923,-0.528922,-0.29869565
1557228596152,1581643519973208,-0.52103317,-0.3745302,-0.3416482
1557228596171,1581643539973208,-0.56419516,-0.23636994,-0.32686526
1557228596192,1581643559971645,-0.49820423,-0.124581605,-0.2171015
1557228596212,1581643579973208,-0.35178855,-0.048048913,-0.05242969
1557228596231,1581643599971645,-0.18512708,-0.12896238,0.07719591
1557228596252,1581643619971645,-0.19149752,-0.328087,0.08297295
1557228596271,1581643639971645,-0.35032248,-0.4542394,0.02974041
1557228596291,1581643659973208,-0.5276654,-0.453454,-0.059864793
1557228596311,1581643679971645,-0.7777362,-0.44919538,-0.103183866
1557228596331,1581643699971645,-1.0198133,-0.14627604,-0.008918633
1557228596352,1581643719973208,-1.0906737,0.21629865,0.10197959
1557228596371,1581643739971645,-0.87369436,0.37988836,0.09334021
1557228596392,1581643759971645,-0.46886525,0.48193777,0.0045204028
1557228596412,1581643779971645,-0.07328638,0.4871912,-0.0069987704
1557228596431,1581643799971645,0.19736183,0.41289255,0.06346017
1557228596452,1581643819971645,0.35744342,0.3301465,0.10369001
1557228596472,1581643839973208,0.4296128,0.2765125,0.07771951
1557228596492,1581643859971645,0.41420153,0.16901769,0.013857914
1557228596512,1581643879973208,0.30208158,0.06370452,-0.061557762
1557228596533,1581643899971645,0.118507855,0.075625114,-0.09658652
1557228596552,1581643919971645,-0.04860742,0.21802653,-0.04022984
1557228596571,1581643939971645,-0.06396632,0.4022984,0.09204867
1557228596591,1581643959971645,0.07534587,0.64015186,0.20907299
1557228596612,1581643979971645,0.20233601,0.9909805,0.30766663
1557228596631,1581643999973208,0.23914501,1.288786,0.48507935
1557228596651,1581644019971645,0.24684192,1.3664881,0.65106016
1557228596671,1581644039973208,0.22673573,1.1589335,0.6254736
1557228596691,1581644059971645,0.15734144,0.8569741,0.48790678
1557228596712,1581644079971645,0.10389945,0.49134508,0.37086502
1557228596733,1581644099971645,0.13611823,0.2199813,0.30276227
1557228596752,1581644119971645,0.184778,0.07004006,0.2898992
1557228596772,1581644139971645,0.17985618,0.031241393,0.30597368
