bssid,frequency,rss,ssid,timeMillis,timestamp
48f8b3dcef4e,5805,-72,KIXLAB_WIFI_5GHz,1557228596025,1581643361238
00246c7a88f2,5805,-69,Welcome_1st_KAIST,1557228596025,1581643361234
00246c7a88f1,5805,-64,eduroam,1557228596025,1581643361231
00246c7a88f0,5805,-68,Welcome_KAIST,1557228596025,1581643361226
6245b4eeda63,5785,-75,,1557228596025,1581643361223
00246c7df732,5785,-73,Welcome_1st_KAIST,1557228596025,1581643361219
00246c7df731,5785,-74,eduroam,1557228596025,1581643361216
00246c7df730,5785,-74,Welcome_KAIST,1557228596025,1581643361212
6c709fe0927f,5785,-73,HCIL,1557228596025,1581643361208
2c56dc84dd8c,5785,-53,ISILAB_5,1557228596025,1581643361204
6e7f92e09f70,5785,-75,HCIL guest,1557228596025,1581643361200
88366ce94e70,5785,-76,MLILAB824_25G,1557228596025,1581643361196
9cd643c81182,5785,-56,JoyK,1557228596025,1581643361192
b06ebfa39084,5765,-63,Askai-ASUS_80_5G,1557228596025,1581643361188
909f33a8295a,5745,-68,shheo5g,1557228596025,1581643361184
708bcd2f8264,5745,-77,LIT_5G,1557228596025,1581643361181
1831bf46ffdc,5745,-51,KECI_5G,1557228596025,1581643361177
909f331083bc,5700,-91,iptime_dblab_5G,1557228596025,1581643361173
00246c7df3f2,5240,-91,Welcome_1st_KAIST,1557228596025,1581643361169
00246c7df3f1,5240,-88,eduroam,1557228596025,1581643361165
64e599da036c,5240,-70,WCSL 5GHz,1557228596025,1581643361161
a040a05608f7,5240,-72,NMSL_N1_721,1557228596025,1581643361158
00246c7df2f2,5240,-83,Welcome_1st_KAIST,1557228596025,1581643361155
00246c7df2f1,5240,-83,eduroam,1557228596025,1581643361152
00246c7df2f0,5240,-84,Welcome_KAIST,1557228596025,1581643361144
00246c7df612,5240,-67,Welcome_1st_KAIST,1557228596025,1581643361141
00246c7df611,5240,-68,eduroam,1557228596025,1581643361138
00246c7df610,5240,-66,Welcome_KAIST,1557228596025,1581643361135
106f3fe7e1a1,5240,-68,SmartIoT-5G,1557228596025,1581643361132
00246c7e0812,5240,-76,Welcome_1st_KAIST,1557228596025,1581643361112
00246c7e0811,5240,-76,eduroam,1557228596025,1581643361110
