timeMillis,timeNanos,value
1557228737653,1581785023597833,1007.3296
1557228737853,1581785223580645,1007.31836
1557228738052,1581785423580645,1007.34375
1557228738253,1581785623580645,1007.33545
1557228738452,1581785823580645,1007.3574
1557228738653,1581786023580645,1007.3096
1557228738852,1581786223580645,1007.3286
1557228739053,1581786423597833,1007.3638
1557228739252,1581786623580645,1007.31396
1557228739452,1581786823580645,1007.3296
1557228739653,1581787023580645,1007.375
1557228739853,1581787223580645,1007.3159
1557228740052,1581787423580645,1007.3374
1557228740253,1581787623580645,1007.35986
1557228740453,1581787823597833,1007.3301
1557228740653,1581788023580645,1007.32275
1557228740852,1581788223580645,1007.34717
1557228741053,1581788423580645,1007.33984
1557228741252,1581788623580645,1007.33984
1557228741454,1581788823580645,1007.3374
1557228741653,1581789023580645,1007.3511
1557228741853,1581789223597833,1007.3364
1557228742054,1581789423580645,1007.3154
1557228742253,1581789623580645,1007.35254
1557228742453,1581789823580645,1007.32324
1557228742653,1581790023580645,1007.333
1557228742852,1581790223582208,1007.34863
1557228743053,1581790423580645,1007.3198
1557228743252,1581790623597833,1007.3247
1557228743453,1581790823580645,1007.3447
1557228743652,1581791023580645,1007.3408
1557228743853,1581791223582208,1007.35254
1557228744065,1581791423580645,1007.3589
1557228744253,1581791623580645,1007.3491
1557228744452,1581791823582208,1007.3491
1557228744653,1581792023597833,1007.3364
1557228744852,1581792223580645,1007.3462
1557228745053,1581792423580645,1007.3511
1557228745252,1581792623580645,1007.3462
1557228745453,1581792823580645,1007.33154
1557228745652,1581793023580645,1007.3618
1557228745853,1581793223580645,1007.3325
1557228746054,1581793423597833,1007.3179
1557228746253,1581793623580645,1007.3701
1557228746452,1581793823580645,1007.33984
1557228746653,1581794023580645,1007.3428
1557228746852,1581794223580645,1007.35645
1557228747053,1581794423580645,1007.3711
1557228747253,1581794623580645,1007.3491
1557228747453,1581794823597833,1007.36523
1557228747652,1581795023582208,1007.3496
1557228747853,1581795223580645,1007.3335
1557228748055,1581795423580645,1007.35645
1557228748253,1581795623580645,1007.3491
1557228748452,1581795823580645,1007.34863
1557228748653,1581796023580645,1007.3584
1557228748852,1581796223597833,1007.35645
1557228749053,1581796423580645,1007.3325
1557228749252,1581796623580645,1007.34375
1557228749453,1581796823580645,1007.3413
1557228749652,1581797023580645,1007.3218
1557228749853,1581797223580645,1007.33057
1557228750052,1581797423580645,1007.3828
1557228750253,1581797623597833,1007.3374
1557228750452,1581797823580645,1007.3291
1557228750653,1581798023580645,1007.3657
1557228750852,1581798223580645,1007.3335
1557228751052,1581798423580645,1007.34424
1557228751252,1581798623580645,1007.3506
1557228751452,1581798823580645,1007.33936
1557228751652,1581799023597833,1007.3701
1557228751853,1581799223580645,1007.374
1557228752052,1581799423580645,1007.353
1557228752253,1581799623582208,1007.38086
1557228752452,1581799823580645,1007.3838
1557228752653,1581800023580645,1007.33594
1557228752852,1581800223580645,1007.3657
1557228753053,1581800423597833,1007.3506
1557228753253,1581800623580645,1007.33594
1557228753453,1581800823580645,1007.3384
1557228753652,1581801023580645,1007.3535
1557228753853,1581801223580645,1007.32227
1557228754052,1581801423580645,1007.3345
1557228754253,1581801623580645,1007.35645
1557228754452,1581801823597833,1007.33545
1557228754653,1581802023580645,1007.34033
1557228754852,1581802223580645,1007.3579
1557228755053,1581802423580645,1007.3174
1557228755252,1581802623580645,1007.35205
1557228755453,1581802823580645,1007.3799
1557228755652,1581803023580645,1007.34326
1557228755853,1581803223597833,1007.35693
1557228756052,1581803423580645,1007.35596
1557228756253,1581803623580645,1007.3218
1557228756453,1581803823582208,1007.34326
1557228756653,1581804023580645,1007.3594
1557228756854,1581804223580645,1007.3281
1557228757053,1581804423580645,1007.3408
1557228757252,1581804623597833,1007.3423
1557228757453,1581804823582208,1007.32715
1557228757652,1581805023580645,1007.33887
1557228757853,1581805223582208,1007.34766
1557228758052,1581805423580645,1007.3428
1557228758253,1581805623582208,1007.34863
1557228758452,1581805823580645,1007.37305
1557228758653,1581806023597833,1007.34424
1557228758852,1581806223580645,1007.3345
1557228759052,1581806423580645,1007.3677
1557228759252,1581806623580645,1007.3301
1557228759453,1581806823582208,1007.3379
1557228759652,1581807023580645,1007.3804
1557228759853,1581807223580645,1007.32666
1557228760053,1581807423597833,1007.33594
1557228760253,1581807623580645,1007.34375
1557228760453,1581807823582208,1007.33545
1557228760653,1581808023580645,1007.32275
1557228760852,1581808223580645,1007.35645
1557228761054,1581808423580645,1007.3252
1557228761252,1581808623582208,1007.3345
1557228761453,1581808823597833,1007.3574
1557228761652,1581809023580645,1007.3159
1557228761853,1581809223580645,1007.3291
1557228762053,1581809423580645,1007.34814
1557228762363,1581809623580645,1007.33105
1557228762453,1581809823580645,1007.3164
1557228762653,1581810023580645,1007.36475
1557228762852,1581810223597833,1007.34375
1557228763053,1581810423580645,1007.3301
1557228763252,1581810623580645,1007.36084
1557228763453,1581810823580645,1007.33594
1557228763653,1581811023580645,1007.31885
1557228763853,1581811223580645,1007.3677
1557228764052,1581811423580645,1007.3506
1557228764253,1581811623597833,1007.32666
1557228764452,1581811823580645,1007.3633
1557228764653,1581812023580645,1007.3613
1557228764852,1581812223582208,1007.3335
1557228765053,1581812423580645,1007.3511
1557228765252,1581812623580645,1007.34863
1557228765453,1581812823582208,1007.3491
1557228765653,1581813023597833,1007.355
1557228765853,1581813223582208,1007.35596
1557228766052,1581813423580645,1007.3384
1557228766254,1581813623580645,1007.3242
1557228766453,1581813823580645,1007.3618
1557228766652,1581814023580645,1007.33203
1557228766936,1581814223582208,1007.333
1557228767053,1581814423597833,1007.3706
1557228767253,1581814623580645,1007.33057
1557228767452,1581814823580645,1007.33936
1557228767652,1581815023580645,1007.3633
1557228767853,1581815223580645,1007.33936
1557228768052,1581815423580645,1007.34863
1557228768253,1581815623580645,1007.37305
1557228768453,1581815823597833,1007.334
1557228768653,1581816023580645,1007.3237
1557228768852,1581816223580645,1007.37256
1557228769053,1581816423580645,1007.34424
1557228769253,1581816623580645,1007.3462
1557228769453,1581816823580645,1007.3716
1557228769653,1581817023582208,1007.35645
1557228769853,1581817223597833,1007.34326
1557228770052,1581817423580645,1007.36426
1557228770253,1581817623582208,1007.3262
1557228770452,1581817823580645,1007.3213
1557228770653,1581818023580645,1007.36084
1557228770852,1581818223580645,1007.3325
1557228771053,1581818423580645,1007.3174
1557228771252,1581818623599395,1007.36084
1557228771453,1581818823580645,1007.34033
1557228771652,1581819023580645,1007.3218
1557228771854,1581819223580645,1007.375
1557228772052,1581819423580645,1007.3179
1557228772254,1581819623580645,1007.32715
1557228772452,1581819823580645,1007.3623
1557228772654,1581820023597833,1007.3154
1557228772852,1581820223582208,1007.3164
1557228773053,1581820423580645,1007.38574
1557228773259,1581820623580645,1007.3291
1557228773453,1581820823582208,1007.3374
1557228773653,1581821023580645,1007.3877
1557228773853,1581821223580645,1007.3511
1557228774052,1581821423597833,1007.3252
1557228774253,1581821623580645,1007.36816
1557228774452,1581821823580645,1007.3242
1557228774653,1581822023580645,1007.3091
1557228774852,1581822223580645,1007.3535
1557228775052,1581822423580645,1007.3096
1557228775252,1581822623580645,1007.3169
1557228775629,1581822823597833,1007.3613
1557228775652,1581823023582208,1007.33203
1557228775853,1581823223580645,1007.3496
1557228776052,1581823423580645,1007.36816
1557228776253,1581823623582208,1007.33105
1557228776452,1581823823580645,1007.33057
1557228776653,1581824023580645,1007.3706
1557228776852,1581824223597833,1007.33887
1557228777053,1581824423580645,1007.32764
1557228777252,1581824623580645,1007.354
1557228777453,1581824823580645,1007.3418
1557228777652,1581825023582208,1007.3218
1557228777853,1581825223580645,1007.36865
1557228778053,1581825423580645,1007.3447
1557228778253,1581825623597833,1007.33057
1557228778452,1581825823580645,1007.3789
1557228778653,1581826023580645,1007.3096
1557228778852,1581826223580645,1007.3169
1557228779053,1581826423580645,1007.3799
1557228779252,1581826623580645,1007.334
1557228779453,1581826823580645,1007.3506
1557228779653,1581827023597833,1007.3784
1557228779935,1581827223582208,1007.354
1557228780053,1581827423580645,1007.3501
1557228780253,1581827623580645,1007.36084
1557228780452,1581827823580645,1007.3677
1557228780653,1581828023582208,1007.35254
1557228780852,1581828223582208,1007.374
1557228781053,1581828423597833,1007.35986
1557228781253,1581828623580645,1007.3452
1557228781454,1581828823580645,1007.3667
1557228781652,1581829023580645,1007.3408
1557228781853,1581829223580645,1007.353
1557228782052,1581829423580645,1007.374
1557228782253,1581829623580645,1007.33203
1557228782452,1581829823597833,1007.3579
1557228782653,1581830023580645,1007.36426
1557228782852,1581830223580645,1007.33984
1557228783053,1581830423580645,1007.3535
1557228783252,1581830623580645,1007.355
1557228783453,1581830823580645,1007.3447
1557228783652,1581831023580645,1007.35986
1557228783853,1581831223597833,1007.34033
1557228784053,1581831423580645,1007.3325
1557228784331,1581831623582208,1007.3638
1557228784452,1581831823582208,1007.36475
1557228784653,1581832023580645,1007.33545
1557228784852,1581832223580645,1007.36816
1557228785053,1581832423580645,1007.33545
1557228785253,1581832623597833,1007.33936
1557228785453,1581832823580645,1007.3545
1557228785653,1581833023582208,1007.3452
1557228785853,1581833223580645,1007.3179
1557228786053,1581833423580645,1007.3589
1557228786253,1581833623580645,1007.3291
1557228786452,1581833823580645,1007.313
1557228786653,1581834023597833,1007.37354
1557228786852,1581834223582208,1007.3452
1557228787053,1581834423580645,1007.33545
1557228787252,1581834623580645,1007.35986
1557228787453,1581834823580645,1007.34033
1557228787652,1581835023580645,1007.31055
1557228787852,1581835223580645,1007.3677
1557228788052,1581835423597833,1007.3447
1557228788253,1581835623580645,1007.3374
1557228788452,1581835823580645,1007.3794
1557228788672,1581836023582208,1007.3447
1557228788852,1581836223580645,1007.3154
1557228789053,1581836423580645,1007.36865
1557228789253,1581836623582208,1007.3257
1557228789453,1581836823597833,1007.33105
1557228789652,1581837023580645,1007.3721
1557228789853,1581837223582208,1007.3213
