timeMillis,timeNanos,x,y,z
1557228843494,742801267082,120.42,-8.55,-7.7999997
1557228843517,742821267082,125.439995,-13.4,-2.27
1557228843537,742841267082,124.74,-13.2699995,-2.21
1557228843555,742861267082,124.21999,-13.2,-2.25
1557228843577,742881265519,123.64,-13.139999,-2.34
1557228843595,742901265519,123.369995,-13.0,-2.1599998
1557228843617,742921265519,123.17,-12.94,-2.03
1557228843635,742941265519,123.119995,-12.95,-2.06
1557228843657,742961267082,122.96999,-13.03,-2.18
1557228843675,742981265519,122.759995,-13.099999,-2.28
1557228843697,743001265519,122.39,-13.15,-2.4199998
1557228843716,743021265519,121.899994,-13.2699995,-2.52
1557228843736,743041265519,121.27,-13.429999,-2.6799998
1557228843757,743061265519,120.78,-13.559999,-2.84
1557228843777,743081265519,120.59,-13.62,-2.8999999
1557228843797,743101265519,120.49,-13.65,-2.9099998
1557228843818,743121265519,120.34,-13.65,-2.8999999
1557228843837,743141265519,120.11,-13.66,-2.84
1557228843857,743161265519,119.909996,-13.65,-2.72
1557228843875,743181265519,119.84,-13.57,-2.58
1557228843897,743201282707,119.71,-13.5,-2.6399999
1557228843916,743221265519,119.53,-13.42,-2.75
1557228843937,743241265519,119.28,-13.33,-2.81
1557228843957,743261265519,119.0,-13.23,-2.8
1557228843977,743281265519,118.75,-13.12,-2.72
1557228843997,743301265519,118.6,-13.0199995,-2.61
1557228844017,743321265519,118.509995,-12.96,-2.55
1557228844037,743341265519,118.42,-12.969999,-2.56
1557228844057,743361265519,118.32,-13.04,-2.52
1557228844077,743381265519,118.25,-13.16,-2.44
1557228844097,743401265519,118.21999,-13.309999,-2.36
1557228844117,743421265519,118.24,-13.429999,-2.26
1557228844137,743441265519,118.28,-13.5199995,-2.1499999
1557228844157,743461265519,118.35,-13.599999,-2.01
1557228844177,743481265519,118.45,-13.73,-1.8199999
1557228844197,743501265519,118.509995,-13.94,-1.64
1557228844217,743521265519,118.5,-14.19,-1.56
1557228844238,743541265519,118.43,-14.41,-1.55
1557228844257,743561265519,118.35,-14.57,-1.4399999
1557228844277,743581265519,118.29,-14.71,-1.22
1557228844297,743601265519,118.21,-14.889999,-1.03
1557228844318,743621265519,118.13,-15.11,-0.89
1557228844337,743641265519,118.04,-15.349999,-0.78999996
1557228844357,743661265519,117.99,-15.469999,-0.77
1557228844377,743681265519,118.049995,-15.48,-0.74
1557228844397,743701265519,118.18,-15.509999,-0.71
1557228844417,743721265519,118.31,-15.61,-0.85999995
1557228844437,743741265519,118.43,-15.759999,-1.02
1557228844457,743761265519,118.52,-15.87,-1.22
1557228844476,743781265519,118.67,-15.82,-1.3399999
1557228844497,743801265519,118.86,-15.65,-1.37
1557228844517,743821265519,119.009995,-15.53,-1.43
1557228844537,743841265519,119.049995,-15.5,-1.56
1557228844557,743861265519,119.009995,-15.41,-1.9
1557228844577,743881265519,119.02,-15.19,-2.22
