bssid,frequency,rss,ssid,timeMillis,timestamp
2c56dc84dd8c,5785,-55,ISILAB_5,1557228845240,744506780
6c709fe0927f,5785,-70,HCIL,1557228845240,744506775
9cd643c81182,5785,-53,JoyK,1557228845240,744506771
6e7f92e09f70,5785,-70,HCIL guest,1557228845240,744506764
b06ebfa39084,5765,-66,Askai-ASUS_80_5G,1557228845240,744506760
88366cb3ef2e,5745,-91,SPIRAL5G,1557228845240,744506755
909f331083bc,5700,-87,iptime_dblab_5G,1557228845240,744506749
00246c7df601,2472,-67,eduroam,1557228845240,744506745
00246c7df582,2472,-87,Welcome_1st_KAIST,1557228845240,744506740
00246c7df581,2472,-92,eduroam,1557228845240,744506736
aa40a05608f5,2472,-69,,1557228845240,744506730
00246c7df362,2472,-70,Welcome_1st_KAIST,1557228845240,744506726
00246c7df361,2472,-75,eduroam,1557228845240,744506722
00246c7df360,2472,-74,Welcome_KAIST,1557228845240,744506718
00246c7df5c1,2472,-84,eduroam,1557228845240,744506712
00246c7df600,2472,-68,Welcome_KAIST,1557228845240,744506708
00246c7df721,2472,-74,eduroam,1557228845240,744506701
00246c7df500,2472,-82,Welcome_KAIST,1557228845240,744506642
8a366cc94e70,2472,-69,MLILAB824_2,1557228845240,744506636
00246c7df5c0,2472,-83,Welcome_KAIST,1557228845240,744506630
00246c7e0422,2472,-88,Welcome_1st_KAIST,1557228845240,744506626
a640a05608f5,2472,-73,NMSL_N1_721,1557228845240,744506622
00246c7df722,2472,-74,Welcome_1st_KAIST,1557228845240,744506617
106f3fe7f284,2462,-78,DioOpenWrt,1557228845240,744506613
106f3fe7e1a0,2462,-75,SmartIoT,1557228845240,744506609
c4e984f8c773,2457,-70,irnlp,1557228845240,744506604
88366cb3ef2c,2452,-69,SPIRAL,1557228845240,744506597
00246c7a8b20,2452,-70,Welcome_KAIST,1557228845240,744506593
00246c7a8b22,2452,-70,Welcome_1st_KAIST,1557228845240,744506589
00246c7a8b21,2452,-71,eduroam,1557228845240,744506584
2c56dc84dd88,2442,-47,ISILAB_2,1557228845240,744506581
64e599da0368,2442,-70,WCSL 2.4GHz,1557228845240,744506576
909f33a9295a,2437,-67,shheo24g,1557228845240,744506572
1831bf46ffd8,2447,-68,KECI,1557228845240,744506567
a040a05608f7,5240,-68,NMSL_N1_721,1557228845240,744506563
00246c7df612,5240,-63,Welcome_1st_KAIST,1557228845240,744506558
00246c7df611,5240,-67,eduroam,1557228845240,744506555
00246c7df610,5240,-69,Welcome_KAIST,1557228845240,744506550
929f33f09804,2422,-71,mliguest,1557228845240,744506544
909f33f59804,2422,-64,MLILAB824_1,1557228845240,744506539
00246c7a88f0,5220,-56,Welcome_KAIST,1557228845240,744506536
00246c7a8b32,5220,-65,Welcome_1st_KAIST,1557228845240,744506532
00246c7a8b31,5220,-65,eduroam,1557228845240,744506528
00246c7a8b30,5220,-68,Welcome_KAIST,1557228845240,744506522
00246c7df6e0,2412,-59,Welcome_KAIST,1557228845240,744506519
6038e0bbee02,5200,-63,Lapras_5GHz,1557228845240,744506515
00246c7df5d1,5200,-95,eduroam,1557228845240,744506511
00246c7a88e1,2412,-54,eduroam,1557228845240,744506506
00246c7a88e0,2412,-54,Welcome_KAIST,1557228845240,744506502
00246c7df312,5180,-91,Welcome_1st_KAIST,1557228845240,744506497
00246c7df311,5180,-85,eduroam,1557228845240,744506493
00246c7df310,5180,-86,Welcome_KAIST,1557228845240,744506487
00246c7df6f2,5180,-61,Welcome_1st_KAIST,1557228845240,744506484
00246c7df6f1,5180,-63,eduroam,1557228845240,744506480
00246c7df6f0,5180,-64,Welcome_KAIST,1557228845240,744506476
48f8b3dcef4d,5180,-71,KIXLAB_WIFI_5GHz,1557228845240,744506472
909f33f911de,5805,-91,wit_5G,1557228845240,744506468
00246c7df512,5805,-93,Welcome_1st_KAIST,1557228845240,744506462
00246c7df511,5805,-92,eduroam,1557228845240,744506455
00246c7df510,5805,-93,Welcome_KAIST,1557228845240,744506449
909f33f59806,5805,-74,MLILAB824_15G,1557228845240,744506442
48f8b3dcef4e,5805,-72,KIXLAB_WIFI_5GHz,1557228845240,744506436
00246c7df732,5785,-75,Welcome_1st_KAIST,1557228845240,744506430
00246c7df731,5785,-74,eduroam,1557228845240,744506424
88366ce94e70,5785,-70,MLILAB824_25G,1557228845240,744506418
909f33591946,5745,-94,NDSL_5G,1557228845240,744506413
909f33a8295a,5745,-71,shheo5g,1557228845240,744506406
1831bf46ffdc,5745,-48,KECI_5G,1557228845240,744506399
00246c7e0420,2472,-92,Welcome_KAIST,1557228845240,744506394
00246c7df720,2472,-79,Welcome_KAIST,1557228845240,744506390
00246c7df502,2472,-91,Welcome_1st_KAIST,1557228845240,744506386
00246c7df501,2472,-88,eduroam,1557228845240,744506380
6cf37ffaab20,2472,-92,Welcome_KAIST,1557228845240,744506372
00246c7df602,2472,-58,Welcome_1st_KAIST,1557228845240,744506364
6038e0bbee01,2462,-64,Lapras,1557228845240,744506359
48f8b3dcef4c,2452,-66,KIXLAB_WIFI,1557228845240,744506355
00246c7df680,2452,-41,Welcome_KAIST,1557228845240,744506348
6c709fe0927e,2432,-72,HCIL,1557228845240,744506343
6cf37ffaab31,5240,-93,eduroam,1557228845240,744506338
6cf37ffaab30,5240,-91,Welcome_KAIST,1557228845240,744506333
