timeMillis,timeNanos,x,y,z
1557228667836,567141267082,-2.1402,3.4715,8.9184
1557228667858,567161267082,-0.0092,1.8396,9.6325
1557228667879,567181267082,0.0197,1.7673,9.646
1557228667899,567201267082,0.0235,1.7234,9.6539
1557228667921,567221267082,0.0123,1.7113999,9.656099
1557228667937,567241268644,0.0026999998,1.7184999,9.654799
1557228667958,567261267082,0.0103,1.7177,9.655
1557228667978,567281267082,0.033,1.7191,9.654699
1557228667997,567301267082,0.042099997,1.7141,9.655499
1557228668019,567321267082,0.0251,1.7149999,9.655399
1557228668035,567341267082,-0.0034999999,1.7325,9.6523
1557228668058,567361267082,-0.0032,1.7986,9.6402
1557228668076,567381267082,0.1122,2.04,9.5914
1557228668098,567401267082,0.11669999,2.0686998,9.585199
1557228668116,567421267082,0.133,2.0743,9.583799
1557228668137,567441267082,0.14729999,2.0442,9.59
1557228668159,567461267082,0.1228,2.0065,9.5983
1557228668178,567481267082,0.073199995,1.9753,9.6053
1557228668199,567501267082,0.035299998,1.9642999,9.6078
1557228668219,567521267082,0.0195,1.9791,9.6048
1557228668237,567541267082,0.0089,2.0105,9.5983
1557228668257,567561267082,-0.0112,2.0349,9.5931
1557228668278,567581267082,-0.0477,2.0376,9.5925
1557228668299,567601267082,-0.082499996,2.017,9.5966
1557228668317,567621267082,-0.0997,1.9808999,9.6039
1557228668338,567641267082,-0.0777,1.9375999,9.613
1557228668357,567661267082,-0.0689,1.8982999,9.6209
1557228668379,567681267082,-0.0792,1.8601999,9.6282
1557228668397,567701267082,-0.090399995,1.8212999,9.6356
1557228668417,567721267082,-0.1025,1.7960999,9.6402
1557228668439,567741267082,-0.0994,1.7995,9.6396
1557228668457,567761267082,-0.088,1.8196,9.6359
1557228668477,567781267082,-0.0815,1.8378999,9.6325
1557228668498,567801267082,-0.092199996,1.8496,9.630099
1557228668517,567821267082,-0.1252,1.8585,9.628099
1557228668538,567841267082,-0.1545,1.8626,9.6268
1557228668559,567861267082,-0.1713,1.8654,9.625999
1557228668578,567881267082,-0.1832,1.8722,9.624499
1557228668597,567901267082,-0.2101,1.8837999,9.621699
1557228668619,567921267082,-0.234,1.8885,9.6202
1557228668637,567941267082,-0.262,1.8828,9.6206
1557228668659,567961267082,-0.28919998,1.8727,9.621799
1557228668677,567981267082,-0.3015,1.8579999,9.6243
1557228668699,568001267082,-0.3055,1.8337,9.628799
1557228668717,568021267082,-0.31329998,1.7966,9.6355
1557228668737,568041267082,-0.32459998,1.7400999,9.6455
1557228668757,568061267082,-0.3346,1.6836,9.6552
1557228668778,568081267082,-0.3363,1.6546999,9.6601
1557228668799,568101267082,-0.3297,1.6539999,9.6605
