timeMillis,timeNanos,x,y,z
1557228667833,567142118082,-0.408791,-0.13692108,0.22376867
1557228667854,567162118082,-0.37549013,-0.0991347,0.27239352
1557228667874,567182118082,-0.22867304,0.0360585,0.31688198
1557228667894,567202118082,-0.089936815,0.10489429,0.3294309
1557228667915,567222118082,-0.055379298,0.09854129,0.34903094
1557228667934,567242119644,-0.089203775,0.026912976,0.32135
1557228667954,567262118082,-0.13383184,-0.029007372,0.24663247
1557228667973,567282118082,-0.12262683,0.025010569,0.1731192
1557228667993,567302118082,-0.06571165,0.14613642,0.16538739
1557228668014,567322118082,0.026214845,0.23867378,0.23991296
1557228668034,567342118082,0.096028015,0.23017402,0.29064968
1557228668054,567362118082,0.10445795,0.16367698,0.26888543
1557228668074,567382118082,0.058677968,0.026511552,0.19788542
1557228668094,567402118082,-0.032306045,-0.1023112,0.12966052
1557228668114,567422118082,-0.116273835,-0.07808603,0.077911496
1557228668134,567442118082,-0.1436057,0.092572264,0.05956809
1557228668154,567462118082,-0.091996305,0.21828833,0.093148224
1557228668174,567482118082,0.016772615,0.16236798,0.13110913
1557228668194,567502118082,0.15416493,0.040945426,0.12760103
1557228668214,567522118082,0.24474752,8.5521134E-4,0.098104954
1557228668234,567542118082,0.21437879,0.032724924,0.056740653
1557228668254,567562118082,0.107058495,0.09601056,0.017418386
1557228668274,567582118082,-0.01605703,0.065659285,-0.03052581
1557228668295,567602118082,-0.101264,-0.03408628,-0.086725414
1557228668314,567622118082,-0.16205382,-0.20851448,-0.13229595
1557228668334,567642118082,-0.14084807,-0.14332643,-0.15763813
1557228668354,567662118082,-0.12714724,-0.053511795,-0.16449729
1557228668374,567682118082,-0.14027211,-0.031520646,-0.11562806
1557228668394,567702118082,-0.07976155,-0.0068416907,-0.045675267
1557228668414,567722118082,0.058712877,-0.08250172,-0.036878806
1557228668434,567742118082,0.13252285,-0.12955579,-0.045710173
1557228668454,567762118082,0.11306243,-0.0986111,-0.068050385
1557228668475,567782118082,0.07539822,-0.023544492,-0.124756135
1557228668494,567802118082,0.061261058,0.07271042,-0.14582226
1557228668514,567822118082,0.037437312,0.049008846,-0.114790305
1557228668534,567842118082,0.026720991,-0.0026703537,-0.063180916
1557228668554,567862118082,0.047630034,-0.020926498,-0.043493606
1557228668574,567882118082,0.0763407,0.051015973,-0.05623451
1557228668595,567902118082,0.041346848,0.03906047,-0.04017748
1557228668614,567922118082,-0.019111356,0.07255334,0.0029321532
1557228668634,567942118082,-0.05073672,0.07209955,0.0034208454
1557228668654,567962118082,-0.08049458,-0.005550147,-0.034749504
1557228668674,567982118082,-0.1274963,-0.04244641,-0.07045894
1557228668694,568002118082,-0.1876927,-0.013788101,-0.0893085
1557228668714,568022118082,-0.28012535,0.02628466,-0.09121091
