timeMillis,timeNanos,x,y,z
1557228667853,567165727082,-31.0,-43.4375,-43.3125
1557228667874,567185727082,-30.5625,-42.875,-43.75
1557228667893,567205727082,-30.6875,-42.8125,-43.8125
1557228667913,567225727082,-30.625,-42.375,-43.9375
1557228667933,567245728644,-30.6875,-41.875,-44.0625
1557228667953,567265727082,-31.0,-41.3125,-44.3125
1557228667973,567285727082,-31.1875,-41.0625,-44.25
1557228667993,567305727082,-31.3125,-41.0625,-44.5
1557228668013,567325727082,-31.3125,-40.8125,-44.5
1557228668033,567345727082,-31.3125,-40.625,-44.5625
1557228668054,567365727082,-31.5,-40.5625,-44.4375
1557228668073,567385727082,-31.6875,-40.3125,-44.3125
1557228668093,567405727082,-32.0625,-40.125,-44.25
1557228668113,567425727082,-32.5625,-40.1875,-44.25
1557228668134,567445727082,-32.625,-40.125,-44.375
1557228668153,567465727082,-32.3125,-40.0625,-44.5
1557228668173,567485727082,-32.1875,-39.875,-44.3125
1557228668193,567505727082,-32.0625,-40.0625,-44.5
1557228668213,567525727082,-32.0625,-40.3125,-44.125
1557228668233,567545727082,-32.0,-40.3125,-44.1875
1557228668254,567565727082,-32.0,-40.5,-44.125
1557228668273,567585727082,-31.8125,-40.375,-43.9375
1557228668293,567605727082,-31.3125,-40.1875,-43.9375
1557228668313,567625727082,-31.5,-40.3125,-43.75
1557228668333,567645727082,-31.625,-40.125,-43.8125
1557228668353,567665727082,-31.75,-40.125,-44.0
1557228668374,567685727082,-31.75,-39.875,-44.125
1557228668393,567705727082,-31.6875,-39.75,-44.25
1557228668413,567725727082,-31.875,-40.0625,-44.125
1557228668434,567745727082,-31.75,-40.25,-43.9375
1557228668453,567765727082,-31.875,-40.625,-43.8125
1557228668474,567785727082,-32.0,-41.0,-43.75
1557228668493,567805727082,-31.6875,-41.25,-43.8125
1557228668513,567825727082,-31.75,-41.375,-43.9375
1557228668533,567845727082,-31.5625,-41.4375,-43.8125
1557228668553,567865727082,-31.625,-41.5625,-43.625
1557228668573,567885727082,-31.625,-41.6875,-43.625
1557228668593,567905727082,-31.5,-41.8125,-43.5
1557228668613,567925727082,-31.625,-42.0,-43.4375
1557228668633,567945727082,-31.625,-41.8125,-43.375
1557228668653,567965727082,-31.625,-41.6875,-43.3125
1557228668673,567985727082,-31.375,-41.3125,-43.25
1557228668693,568005727082,-31.125,-41.3125,-43.25
1557228668713,568025727082,-31.0625,-41.25,-43.4375
1557228668733,568045727082,-31.0,-41.25,-43.75
1557228668753,568065727082,-30.9375,-41.25,-43.8125
1557228668775,568085727082,-31.0,-41.125,-43.8125
1557228668793,568105727082,-30.875,-40.9375,-43.875
1557228668813,568125727082,-30.6875,-41.1875,-44.125
1557228668833,568145727082,-30.625,-41.1875,-44.3125
1557228668853,568165727082,-30.75,-41.375,-44.3125
1557228668873,568185727082,-30.6875,-41.5,-44.375
1557228668893,568205742707,-30.375,-41.375,-44.375
1557228668913,568225727082,-30.375,-41.4375,-44.125
1557228668933,568245727082,-30.3125,-41.375,-44.3125
1557228668953,568265727082,-30.25,-41.4375,-44.25
1557228668973,568285727082,-30.3125,-41.3125,-44.25
1557228668996,568305727082,-30.3125,-41.3125,-44.375
1557228669032,568325727082,-30.1875,-41.3125,-44.375
1557228669034,568345727082,-30.1875,-41.25,-44.375
1557228669056,568365727082,-30.125,-41.375,-44.5
1557228669073,568385727082,-30.3125,-41.3125,-44.625
1557228669093,568405727082,-30.125,-41.125,-44.75
1557228669114,568425727082,-30.25,-41.0,-44.6875
1557228669133,568445727082,-30.375,-40.9375,-44.8125
1557228669153,568465727082,-30.5625,-41.0,-45.0625
1557228669173,568485727082,-30.6875,-40.9375,-44.875
1557228669193,568505727082,-30.5625,-41.0,-45.0
1557228669213,568525727082,-30.5,-41.0,-45.0625
1557228669234,568545727082,-30.4375,-40.75,-45.0
1557228669253,568565727082,-30.6875,-40.9375,-45.0
1557228669274,568585727082,-30.9375,-40.9375,-45.125
1557228669293,568605727082,-31.0,-41.0625,-45.0
1557228669313,568625727082,-31.0625,-41.0625,-45.0625
1557228669333,568645727082,-30.9375,-41.0,-45.125
1557228669354,568665727082,-30.75,-40.875,-45.1875
1557228669374,568685727082,-31.0,-40.6875,-45.5
1557228669393,568705727082,-31.0625,-40.5,-45.8125
1557228669413,568725727082,-31.375,-40.5,-45.75
1557228669433,568745727082,-31.1875,-40.4375,-45.75
1557228669453,568765727082,-31.3125,-40.375,-45.75
1557228669473,568785727082,-31.3125,-40.125,-46.0
1557228669493,568805727082,-31.3125,-39.875,-46.0625
1557228669513,568825727082,-31.4375,-39.75,-46.3125
1557228669534,568845727082,-31.5,-39.4375,-46.375
