timeMillis,timeNanos,x,y,z
1557228667836,567141267082,299.86,-21.26,-12.599999
1557228667858,567161267082,138.02,-10.809999,-0.049999997
1557228667877,567181267082,138.05,-10.38,0.11
1557228667898,567201267082,137.95,-10.12,0.13
1557228667917,567221267082,137.66,-10.05,0.07
1557228667937,567241268644,137.23,-10.09,0.01
1557228667957,567261267082,136.79,-10.08,0.06
1557228667977,567281267082,136.45,-10.09,0.19
1557228667997,567301267082,136.22,-10.059999,0.24
1557228668017,567321267082,135.98,-10.07,0.14
1557228668035,567341267082,135.65,-10.17,-0.02
1557228668057,567361267082,135.2,-10.559999,-0.01
1557228668075,567381267082,134.42,-12.0,0.65
1557228668097,567401267082,134.06,-12.17,0.68
1557228668115,567421267082,133.81,-12.21,0.77
1557228668137,567441267082,133.70999,-12.03,0.85999995
1557228668157,567461267082,133.62,-11.8,0.71
1557228668177,567481267082,133.48,-11.62,0.42
1557228668197,567501267082,133.31999,-11.55,0.19999999
1557228668217,567521267082,133.22,-11.639999,0.11
1557228668237,567541267082,133.14,-11.83,0.049999997
1557228668257,567561267082,133.09999,-11.969999,-0.06
1557228668277,567581267082,133.08,-11.99,-0.26999998
1557228668297,567601267082,133.11,-11.87,-0.48
1557228668317,567621267082,133.23,-11.65,-0.58
1557228668337,567641267082,133.44,-11.389999,-0.45
1557228668357,567661267082,133.66,-11.16,-0.39999998
1557228668378,567681267082,133.84999,-10.929999,-0.45999998
1557228668397,567701267082,133.98,-10.7,-0.52
1557228668417,567721267082,134.02,-10.55,-0.59
1557228668437,567741267082,134.08,-10.57,-0.58
1557228668457,567761267082,134.14,-10.69,-0.51
1557228668477,567781267082,134.22,-10.8,-0.47
1557228668498,567801267082,134.36,-10.87,-0.53
1557228668517,567821267082,134.47,-10.92,-0.72999996
1557228668538,567841267082,134.54,-10.95,-0.9
1557228668557,567861267082,134.56999,-10.96,-1.0
1557228668577,567881267082,134.58,-11.0,-1.0699999
1557228668597,567901267082,134.59,-11.07,-1.22
1557228668617,567921267082,134.58,-11.099999,-1.36
1557228668637,567941267082,134.52,-11.07,-1.53
1557228668657,567961267082,134.44,-11.01,-1.6899999
1557228668677,567981267082,134.43,-10.92,-1.76
1557228668697,568001267082,134.48,-10.78,-1.78
1557228668717,568021267082,134.56,-10.559999,-1.8299999
1557228668737,568041267082,134.66,-10.219999,-1.89
1557228668757,568061267082,134.73999,-9.889999,-1.9499999
1557228668777,568081267082,134.79,-9.719999,-1.9599999
1557228668797,568101267082,134.81999,-9.71,-1.92
1557228668818,568121267082,134.81999,-9.78,-1.89
1557228668837,568141267082,134.8,-9.82,-1.9499999
1557228668858,568161267082,134.73,-9.82,-2.09
1557228668877,568181267082,134.67,-9.84,-2.24
1557228668897,568201282707,134.65,-9.88,-2.33
1557228668917,568221267082,134.67,-9.94,-2.37
1557228668937,568241267082,134.70999,-9.99,-2.4099998
1557228668957,568261267082,134.7,-10.01,-2.48
1557228668977,568281267082,134.62999,-9.99,-2.59
1557228669032,568301267082,134.5,-9.98,-2.73
1557228669032,568321267082,134.41,-9.99,-2.83
1557228669037,568341267082,134.39,-9.98,-2.86
1557228669057,568361267082,134.37,-9.96,-2.9099998
1557228669077,568381267082,134.3,-9.96,-3.05
1557228669097,568401267082,134.15,-9.969999,-3.23
1557228669117,568421267082,134.01,-9.99,-3.34
1557228669138,568441267082,133.9,-9.96,-3.35
1557228669157,568461267082,133.84,-9.91,-3.27
1557228669177,568481267082,133.77,-9.889999,-3.22
1557228669197,568501267082,133.64,-9.91,-3.26
1557228669217,568521267082,133.48999,-9.969999,-3.37
1557228669237,568541267082,133.34,-10.03,-3.4399998
1557228669257,568561267082,133.23999,-10.099999,-3.4299998
1557228669277,568581267082,133.15,-10.16,-3.35
1557228669297,568601267082,133.02,-10.219999,-3.28
1557228669317,568621267082,132.84999,-10.28,-3.26
1557228669337,568641267082,132.70999,-10.3,-3.32
1557228669358,568661267082,132.62,-10.29,-3.46
1557228669377,568681267082,132.55,-10.2699995,-3.6299999
1557228669397,568701267082,132.41,-10.25,-3.77
1557228669418,568721267082,132.20999,-10.24,-3.85
1557228669437,568741267082,131.98,-10.21,-3.9199998
1557228669458,568761267082,131.8,-10.15,-3.99
1557228669477,568781267082,131.69,-10.01,-4.0299997
1557228669497,568801267082,131.62,-9.8,-4.0299997
