timeMillis,timeNanos,value
1557228667895,567205727082,1007.3076
1557228668094,567405727082,1007.3032
1557228668295,567605727082,1007.3013
1557228668494,567805727082,1007.31396
1557228668695,568005727082,1007.28516
1557228668894,568205742707,1007.2949
1557228669095,568405727082,1007.291
1557228669295,568605727082,1007.313
1557228669494,568805727082,1007.29395
1557228669698,569005727082,1007.2837
1557228669895,569205727082,1007.28516
1557228670095,569405727082,1007.29346
1557228670294,569605727082,1007.31494
1557228670495,569805725519,1007.27734
1557228670694,570005725519,1007.28076
1557228670894,570205725519,1007.29443
1557228671094,570405727082,1007.34814
1557228671295,570605727082,1007.3013
1557228671495,570805727082,1007.3042
1557228671695,571005727082,1007.3169
1557228671894,571205727082,1007.29004
1557228672095,571405727082,1007.28076
1557228672296,571605727082,1007.2993
1557228672495,571805727082,1007.3413
1557228672695,572005725519,1007.30176
1557228672895,572205725519,1007.2881
1557228673094,572405727082,1007.333
1557228673294,572605725519,1007.27295
1557228673572,572805727082,1007.28076
1557228673694,573005727082,1007.31494
1557228673894,573205725519,1007.2827
1557228674094,573405727082,1007.292
1557228674295,573605727082,1007.312
1557228674495,573805727082,1007.3032
1557228674695,574005727082,1007.29346
1557228674895,574205727082,1007.31104
1557228675095,574405727082,1007.31055
1557228675294,574605725519,1007.2866
1557228675496,574805727082,1007.30225
1557228675695,575005725519,1007.3281
1557228675894,575205742707,1007.29004
1557228676095,575405725519,1007.3164
1557228676295,575605725519,1007.34863
1557228676494,575805727082,1007.2925
1557228676695,576005727082,1007.3086
1557228676895,576205727082,1007.3301
1557228677094,576405725519,1007.2832
1557228677294,576605725519,1007.29395
1557228677494,576805727082,1007.3203
1557228677695,577005727082,1007.29395
1557228677894,577205725519,1007.30176
1557228678095,577405725519,1007.32227
1557228678294,577605725519,1007.3091
1557228678494,577805725519,1007.3071
1557228678695,578005725519,1007.3174
1557228678894,578205725519,1007.3262
1557228679094,578405725519,1007.2998
1557228679295,578605725519,1007.2993
1557228679498,578805725519,1007.3154
1557228679695,579005725519,1007.29443
1557228679894,579205725519,1007.31055
1557228680095,579405725519,1007.3169
1557228680294,579605725519,1007.29395
1557228680495,579805725519,1007.31006
1557228680695,580005725519,1007.31885
1557228680894,580205727082,1007.3091
1557228681094,580405725519,1007.31494
1557228681417,580605725519,1007.3545
1557228681494,580805742707,1007.3008
1557228681695,581005725519,1007.31006
1557228681894,581205725519,1007.34326
1557228682095,581405725519,1007.29785
1557228682294,581605725519,1007.29834
1557228682495,581805725519,1007.3179
1557228682695,582005725519,1007.2705
1557228682895,582205742707,1007.2832
1557228683094,582405725519,1007.3408
1557228683295,582605725519,1007.2881
1557228683495,582805725519,1007.291
1557228683694,583005725519,1007.3135
1557228683895,583205725519,1007.2798
1557228684094,583405725519,1007.31445
1557228684295,583605725519,1007.3198
1557228684494,583805725519,1007.3179
1557228684694,584005725519,1007.2949
1557228684894,584205725519,1007.32715
1557228685094,584405725519,1007.3135
1557228685302,584605727082,1007.2881
1557228685494,584805725519,1007.3325
1557228685695,585005725519,1007.312
1557228685894,585205725519,1007.3076
1557228686094,585405725519,1007.32666
1557228686295,585605725519,1007.3008
1557228686494,585805725519,1007.30566
1557228686694,586005725519,1007.2969
1557228686895,586205725519,1007.30566
1557228687094,586405725519,1007.28564
1557228687294,586605725519,1007.3169
1557228687495,586805725519,1007.3364
1557228687695,587005725519,1007.2798
1557228687894,587205725519,1007.3032
1557228688095,587405725519,1007.3574
1557228688295,587605725519,1007.2993
1557228688494,587805742707,1007.3076
1557228688694,588005725519,1007.35645
1557228688894,588205725519,1007.31934
1557228689183,588405725519,1007.30273
1557228689294,588605725519,1007.3574
1557228689494,588805725519,1007.31396
1557228689694,589005725519,1007.2993
1557228689894,589205725519,1007.3418
1557228690095,589405725519,1007.31055
1557228690295,589605725519,1007.3242
1557228690494,589805725519,1007.34033
1557228690694,590005725519,1007.3262
1557228690896,590205725519,1007.31006
1557228691095,590405725519,1007.33545
1557228691295,590605725519,1007.3325
1557228691494,590805725519,1007.3174
1557228691694,591005727082,1007.31885
1557228691894,591205725519,1007.32715
1557228692094,591405725519,1007.31934
1557228692294,591605725519,1007.3457
1557228692494,591805725519,1007.34375
1557228692694,592005725519,1007.3052
1557228692895,592205725519,1007.3296
1557228693094,592405725519,1007.35645
1557228693294,592605725519,1007.31006
1557228693494,592805725519,1007.3325
1557228693695,593005725519,1007.3633
1557228693895,593205725519,1007.2925
1557228694095,593405725519,1007.3237
1557228694294,593605725519,1007.3657
1557228694494,593805725519,1007.2905
1557228694695,594005725519,1007.30615
1557228694895,594205725519,1007.34863
1557228695095,594405725519,1007.313
1557228695295,594605725519,1007.3281
1557228695494,594805742707,1007.3618
1557228695694,595005725519,1007.3115
1557228695894,595205725519,1007.313
1557228696094,595405725519,1007.334
1557228696294,595605725519,1007.33105
1557228696495,595805725519,1007.3208
1557228696694,596005725519,1007.3574
1557228696894,596205725519,1007.333
1557228697095,596405725519,1007.3115
1557228697295,596605725519,1007.3574
1557228697494,596805725519,1007.3076
1557228697695,597005725519,1007.31396
1557228697894,597205725519,1007.353
1557228698095,597405725519,1007.3091
1557228698295,597605725519,1007.30176
1557228698495,597805725519,1007.3447
1557228698695,598005725519,1007.31006
1557228698895,598205725519,1007.30566
1557228699096,598405725519,1007.355
1557228699295,598605725519,1007.3076
1557228699494,598805725519,1007.291
