timeMillis,timeNanos,x,y,z
1557228476694,376001267082,295.75,-8.65,3.24
1557228476717,376021267082,136.87999,-13.24,-0.099999994
1557228476737,376041267082,137.17,-13.059999,-0.07
1557228476757,376061267082,137.27,-13.13,-0.35
1557228476777,376081267082,137.15,-13.44,-0.59
1557228476797,376101267082,136.98,-13.759999,-0.65
1557228476817,376121267082,136.79,-13.87,-0.78999996
1557228476837,376141267082,136.64,-13.679999,-1.02
1557228476857,376161267082,136.53,-13.2699995,-1.38
1557228476877,376181267082,135.95999,-12.96,-2.24
1557228476897,376201267082,134.34999,-12.0199995,-4.6
1557228476916,376221267082,134.56999,-11.969999,-3.8799999
1557228476937,376241267082,134.87999,-12.139999,-2.57
1557228476957,376261267082,135.23,-12.24,-1.64
1557228476977,376281267082,135.5,-12.29,-1.25
1557228476997,376301267082,135.68,-12.4,-1.14
1557228477018,376321267082,135.8,-12.57,-1.16
1557228477038,376341267082,135.86,-12.679999,-1.36
1557228477057,376361267082,135.86,-12.7,-1.9499999
1557228477077,376381267082,135.64,-12.78,-2.82
1557228477097,376401267082,135.33,-12.889999,-3.28
1557228477118,376421267082,135.11,-12.809999,-3.4299998
1557228477137,376441267082,134.91,-12.69,-3.6
1557228477157,376461267082,134.69,-12.66,-3.61
1557228477177,376481265519,134.48999,-12.7699995,-3.32
1557228477197,376501265519,134.37999,-12.91,-2.8999999
1557228477217,376521265519,134.39,-12.92,-2.56
1557228477237,376541265519,134.45,-12.719999,-2.51
1557228477257,376561265519,134.47,-12.4,-2.79
1557228477277,376581265519,134.47,-12.099999,-3.1
1557228477297,376601265519,134.47,-11.88,-3.34
1557228477317,376621265519,134.56,-11.809999,-3.4299998
1557228477337,376641265519,134.72,-11.96,-3.25
1557228477357,376661265519,134.9,-12.2699995,-2.83
1557228477377,376681265519,135.01,-12.599999,-2.35
1557228477397,376701265519,135.03,-12.809999,-1.9499999
1557228477417,376721265519,135.04,-12.84,-1.63
1557228477437,376741265519,135.12,-12.799999,-1.3
1557228477457,376761265519,135.20999,-12.79,-1.06
1557228477477,376781265519,135.33,-12.849999,-0.91999996
1557228477497,376801265519,135.41,-12.96,-0.9
1557228477517,376821265519,135.4,-13.0199995,-0.91999996
1557228477537,376841265519,135.34999,-12.99,-0.90999997
1557228477557,376861265519,135.27,-12.889999,-0.94
1557228477577,376881265519,135.2,-12.86,-1.01
1557228477597,376901265519,135.14,-12.889999,-0.96999997
1557228477617,376921265519,135.09,-12.91,-0.76
1557228477637,376941265519,135.05,-12.889999,-0.53
1557228477657,376961265519,134.97,-12.84,-0.48999998
