timeMillis,timeNanos,value
1557228476734,376045727082,1007.21924
1557228476934,376245727082,1007.2344
1557228477136,376445727082,1007.26904
1557228477334,376645725519,1007.2588
1557228477535,376845725519,1007.2202
1557228477734,377045725519,1007.2124
1557228477934,377245727082,1007.20996
1557228478135,377445725519,1007.23145
1557228478335,377645725519,1007.23584
1557228478536,377845727082,1007.23193
1557228478734,378045725519,1007.25
1557228478935,378245727082,1007.24316
1557228479134,378445725519,1007.22754
1557228479335,378645725519,1007.23535
1557228479535,378845725519,1007.26074
1557228479734,379045725519,1007.2427
1557228479934,379245725519,1007.18164
1557228480134,379445725519,1007.1655
1557228480336,379645725519,1007.21045
1557228480534,379845725519,1007.2466
1557228480735,380045725519,1007.2173
1557228480935,380245727082,1007.19385
1557228481135,380445725519,1007.2202
1557228481334,380645725519,1007.2158
1557228481534,380845725519,1007.23145
1557228481734,381045727082,1007.2031
1557228481934,381245725519,1007.2334
1557228482135,381445725519,1007.18604
1557228482414,381645727082,1007.1997
1557228482535,381845725519,1007.22217
1557228482734,382045727082,1007.23486
1557228482934,382245725519,1007.2168
1557228483135,382445725519,1007.21924
1557228483335,382645725519,1007.2451
1557228483535,382845727082,1007.271
1557228483737,383045725519,1007.2461
1557228483934,383245727082,1007.23145
1557228484134,383445725519,1007.2554
1557228484336,383645725519,1007.2207
1557228484535,383845725519,1007.2119
1557228484735,384045725519,1007.23584
1557228484934,384245727082,1007.24414
1557228485135,384445725519,1007.2217
1557228485335,384645725519,1007.23096
1557228485535,384845725519,1007.2295
1557228485734,385045725519,1007.2085
1557228485934,385245727082,1007.228
1557228486134,385445725519,1007.2461
1557228486340,385645727082,1007.25684
1557228486535,385845725519,1007.2168
1557228486735,386045727082,1007.22754
1557228486934,386245725519,1007.2344
1557228487134,386445727082,1007.24365
1557228487335,386645725519,1007.2202
1557228487536,386845725519,1007.2329
1557228487735,387045727082,1007.25244
1557228487935,387245725519,1007.21045
1557228488135,387445727082,1007.21826
1557228488335,387645727082,1007.2495
1557228488535,387845727082,1007.2388
1557228488734,388045725519,1007.2207
1557228488934,388245727082,1007.23
1557228489134,388445725519,1007.2407
1557228489334,388645725519,1007.2129
1557228489534,388845725519,1007.2378
1557228489734,389045725519,1007.24414
1557228489934,389245725519,1007.2158
1557228490135,389445725519,1007.2241
1557228490336,389645725519,1007.2383
1557228490534,389845725519,1007.23193
1557228490735,390045725519,1007.22314
1557228490934,390245725519,1007.2529
1557228491134,390445725519,1007.2363
1557228491335,390645725519,1007.22656
1557228491535,390845725519,1007.2329
1557228491735,391045725519,1007.2417
1557228491934,391245727082,1007.22266
1557228492136,391445725519,1007.2124
1557228492334,391645725519,1007.2622
1557228492535,391845725519,1007.2124
1557228492735,392045725519,1007.2373
1557228492934,392245727082,1007.25244
1557228493134,392445725519,1007.2207
1557228493335,392645725519,1007.2007
1557228493535,392845725519,1007.2363
1557228493734,393045725519,1007.2593
1557228493934,393245725519,1007.22656
1557228494172,393445727082,1007.2637
1557228494335,393645725519,1007.2837
1557228494535,393845725519,1007.2119
1557228494734,394045725519,1007.2124
1557228494936,394245727082,1007.23486
1557228495135,394445725519,1007.20557
1557228495334,394645725519,1007.21484
1557228495535,394845725519,1007.2202
1557228495735,395045725519,1007.23584
1557228495935,395245725519,1007.2285
1557228496134,395445725519,1007.23193
1557228496335,395645725519,1007.2593
1557228496534,395845725519,1007.2124
1557228496734,396045725519,1007.2334
1557228496934,396245727082,1007.2617
1557228497134,396445725519,1007.2676
1557228497334,396645727082,1007.21094
1557228497534,396845725519,1007.2549
1557228497735,397045725519,1007.2544
1557228498020,397245725519,1007.20703
1557228498134,397445725519,1007.2378
1557228498334,397645727082,1007.26807
1557228498534,397845725519,1007.21094
1557228498734,398045725519,1007.20654
1557228498934,398245727082,1007.2588
1557228499135,398445725519,1007.2012
1557228499335,398645725519,1007.2085
1557228499536,398845725519,1007.25586
1557228499734,399045725519,1007.24365
1557228499934,399245727082,1007.22705
1557228500134,399445725519,1007.2549
1557228500335,399645725519,1007.23486
1557228500535,399845725519,1007.2124
1557228500736,400045725519,1007.23
1557228500934,400245727082,1007.2622
1557228501134,400445725519,1007.2168
1557228501334,400645725519,1007.2295
1557228501534,400845725519,1007.28613
1557228501734,401045725519,1007.2471
1557228501934,401245725519,1007.23975
1557228502134,401445727082,1007.26953
1557228502334,401645725519,1007.21387
1557228502534,401845725519,1007.23926
1557228502734,402045725519,1007.2417
1557228502934,402245727082,1007.20166
1557228503135,402445727082,1007.2373
1557228503335,402645725519,1007.2446
1557228503536,402845725519,1007.2168
1557228503735,403045725519,1007.21533
1557228503934,403245727082,1007.24756
1557228504135,403445725519,1007.2461
1557228504334,403645725519,1007.23486
1557228504535,403845725519,1007.21533
1557228504735,404045725519,1007.25586
1557228504934,404245727082,1007.2168
1557228505135,404445725519,1007.2197
1557228505335,404645725519,1007.2456
1557228505534,404845725519,1007.2617
1557228505752,405045727082,1007.2334
1557228505934,405245727082,1007.23486
1557228506135,405445725519,1007.23096
1557228506335,405645725519,1007.2202
1557228506535,405845725519,1007.22266
1557228506734,406045725519,1007.23535
1557228506934,406245727082,1007.26855
1557228507134,406445727082,1007.22266
1557228507334,406645725519,1007.2085
1557228507536,406845725519,1007.2407
1557228507735,407045725519,1007.2363
1557228507934,407245727082,1007.2363
1557228508136,407445725519,1007.2529
1557228508335,407645725519,1007.2461
1557228508535,407845725519,1007.23193
1557228508734,408045725519,1007.2334
1557228508934,408245727082,1007.2329
1557228509135,408445725519,1007.2158
1557228509334,408645725519,1007.2285
1557228509632,408845725519,1007.24316
1557228509734,409045725519,1007.2612
1557228509934,409245727082,1007.1963
1557228510134,409445725519,1007.2456
1557228510335,409645727082,1007.2456
1557228510534,409845725519,1007.2388
1557228510734,410045725519,1007.2324
1557228510934,410245727082,1007.2466
1557228511134,410445725519,1007.23584
1557228511334,410645725519,1007.23145
1557228511534,410845725519,1007.2427
1557228511735,411045725519,1007.2632
1557228511934,411245727082,1007.2031
1557228512135,411445725519,1007.2241
1557228512334,411645725519,1007.25586
1557228512535,411845725519,1007.2134
1557228512736,412045725519,1007.22217
1557228512934,412245727082,1007.2622
1557228513135,412445725519,1007.2334
1557228513335,412645725519,1007.23535
1557228513534,412845727082,1007.2422
1557228513734,413045725519,1007.249
1557228513934,413245725519,1007.2368
1557228514134,413445725519,1007.2529
1557228514334,413645727082,1007.2529
1557228514534,413845725519,1007.22656
1557228514734,414045725519,1007.23975
1557228514934,414245728644,1007.2637
