bssid,frequency,rss,ssid,timeMillis,timestamp
909f33f59806,5805,-78,MLILAB824_15G,1557228478438,377713184
00246c7df512,5805,-91,Welcome_1st_KAIST,1557228478438,377713182
00246c7df511,5805,-87,eduroam,1557228478438,377713179
00246c7df510,5805,-85,Welcome_KAIST,1557228478438,377713177
00246c7a88f2,5805,-64,Welcome_1st_KAIST,1557228478438,377713174
00246c7a88f1,5805,-66,eduroam,1557228478438,377713171
00246c7a88f0,5805,-65,Welcome_KAIST,1557228478438,377713168
48f8b3dcef4e,5805,-71,KIXLAB_WIFI_5GHz,1557228478438,377713165
6e7f92e09f70,5785,-76,HCIL guest,1557228478438,377713159
6c709fe0927f,5785,-73,HCIL,1557228478438,377713156
00246c7df732,5785,-64,Welcome_1st_KAIST,1557228478438,377713153
00246c7df731,5785,-61,eduroam,1557228478438,377713150
00246c7df730,5785,-62,Welcome_KAIST,1557228478438,377713146
9cd643c81182,5785,-58,JoyK,1557228478438,377713141
2c56dc84dd8c,5785,-52,ISILAB_5,1557228478438,377713139
b06ebfa39084,5765,-70,Askai-ASUS_80_5G,1557228478438,377713136
909f33591946,5745,-92,NDSL_5G,1557228478438,377713133
909f33a8295a,5745,-73,shheo5g,1557228478438,377713130
1831bf46ffdc,5745,-51,KECI_5G,1557228478438,377713124
909f331083bc,5700,-91,iptime_dblab_5G,1557228478438,377713120
00246c7df720,2472,-74,Welcome_KAIST,1557228478438,377713116
00246c7df500,2472,-91,Welcome_KAIST,1557228478438,377713112
00246c7df582,2472,-95,Welcome_1st_KAIST,1557228478438,377713108
6cf37ffaab20,2472,-92,Welcome_KAIST,1557228478438,377713106
aa40a05608f5,2472,-73,,1557228478438,377713104
00246c7df600,2472,-62,Welcome_KAIST,1557228478438,377713102
8a366cc94e70,2472,-71,MLILAB824_2,1557228478438,377713100
00246c7df660,2472,-95,Welcome_KAIST,1557228478438,377713093
00246c7df360,2472,-74,Welcome_KAIST,1557228478438,377713091
00246c7e0420,2472,-96,Welcome_KAIST,1557228478438,377713085
00246c7df722,2472,-75,Welcome_1st_KAIST,1557228478438,377713080
00246c7df721,2472,-75,eduroam,1557228478438,377713077
00246c7df602,2472,-62,Welcome_1st_KAIST,1557228478438,377713074
00246c7df362,2472,-75,Welcome_1st_KAIST,1557228478438,377713071
00246c7df601,2472,-62,eduroam,1557228478438,377713065
00246c7df361,2472,-74,eduroam,1557228478438,377713060
a640a05608f5,2472,-72,NMSL_N1_721,1557228478438,377713055
54a050d4c638,2462,-78,Janggwan-RESL,1557228478438,377713053
106f3fe7e1a0,2462,-73,SmartIoT,1557228478438,377713049
106f3fe7f284,2462,-74,DioOpenWrt,1557228478438,377713045
b0c745764062,2452,-73,BUFFALO-764062_G,1557228478438,377713040
88366cb3ef2c,2452,-76,SPIRAL,1557228478438,377713036
1831bf46ffd8,2447,-56,KECI,1557228478438,377713034
00246c7df680,2452,-40,Welcome_KAIST,1557228478438,377713032
00246c7df682,2452,-40,Welcome_1st_KAIST,1557228478438,377713030
00246c7df681,2452,-40,eduroam,1557228478438,377713025
00246c7a8b20,2452,-81,Welcome_KAIST,1557228478438,377713023
78542e4cf150,2457,-85,iDBLab-2.4GHz,1557228478438,377713018
965330290e47,2437,-70,DIRECT-47-HP MLILABLaserJet,1557228478438,377713016
2c56dc84dd88,2442,-47,ISILAB_2,1557228478438,377713013
909f33a9295a,2437,-66,shheo24g,1557228478438,377713006
9a541b68e5fc,2422,-86,DIRECT-QZLAPTOP-1A3JVS4BmsIR,1557228478438,377712998
00246c7a8b31,5220,-60,eduroam,1557228478438,377712996
00246c7a8b30,5220,-60,Welcome_KAIST,1557228478438,377712988
00246c7df431,5200,-87,eduroam,1557228478438,377712985
00246c7df6e2,2412,-57,Welcome_1st_KAIST,1557228478438,377712982
00246c7df430,5200,-91,Welcome_KAIST,1557228478438,377712975
00246c7df6e1,2412,-57,eduroam,1557228478438,377712973
00246c7a88e2,2412,-54,Welcome_1st_KAIST,1557228478438,377712971
00246c7a88e1,2412,-54,eduroam,1557228478438,377712968
00246c7a88e0,2412,-54,Welcome_KAIST,1557228478438,377712965
00246c7df6e0,2412,-62,Welcome_KAIST,1557228478438,377712957
00246c7df6f2,5180,-63,Welcome_1st_KAIST,1557228478438,377712953
00246c7df6f1,5180,-63,eduroam,1557228478438,377712949
00246c7df6f0,5180,-64,Welcome_KAIST,1557228478438,377712946
48f8b3dcef4d,5180,-70,KIXLAB_WIFI_5GHz,1557228478438,377712926
00246c7a88f2,5805,-67,Welcome_1st_KAIST,1557228482292,381553648
00246c7a88f1,5805,-67,eduroam,1557228482292,381553644
00246c7a88f0,5805,-68,Welcome_KAIST,1557228482292,381553640
48f8b3dcef4e,5805,-75,KIXLAB_WIFI_5GHz,1557228482292,381553634
6245b4eeda63,5785,-77,,1557228482292,381553630
6c709fe0927f,5785,-71,HCIL,1557228482292,381553625
6e7f92e09f70,5785,-71,HCIL guest,1557228482292,381553621
00246c7df732,5785,-69,Welcome_1st_KAIST,1557228482292,381553617
00246c7df731,5785,-69,eduroam,1557228482292,381553613
2c56dc84dd8c,5785,-51,ISILAB_5,1557228482292,381553608
b06ebfa39084,5765,-69,Askai-ASUS_80_5G,1557228482292,381553604
909f33a8295a,5745,-83,shheo5g,1557228482292,381553599
00246c7df651,5745,-92,eduroam,1557228482292,381553595
708bcd2f8264,5745,-70,LIT_5G,1557228482292,381553590
1831bf46ffdc,5745,-50,KECI_5G,1557228482292,381553584
00246c7df362,2472,-77,Welcome_1st_KAIST,1557228482292,381553580
00246c7df361,2472,-75,eduroam,1557228482292,381553576
00246c7df660,2472,-87,Welcome_KAIST,1557228482292,381553572
00089f65f784,2467,-85,RESL,1557228482292,381553545
00246c7df360,2472,-77,Welcome_KAIST,1557228482292,381553540
00246c7df722,2472,-72,Welcome_1st_KAIST,1557228482292,381553535
00246c7df721,2472,-73,eduroam,1557228482292,381553531
00246c7df720,2472,-78,Welcome_KAIST,1557228482292,381553528
00246c7df501,2472,-82,eduroam,1557228482292,381553523
6cf37ffaab22,2472,-85,Welcome_1st_KAIST,1557228482292,381553519
6cf37ffaab21,2472,-87,eduroam,1557228482292,381553514
aa40a05608f5,2472,-68,,1557228482292,381553510
00246c7df600,2472,-59,Welcome_KAIST,1557228482292,381553506
a640a05608f5,2472,-68,NMSL_N1_721,1557228482292,381553502
00246c7e0422,2472,-93,Welcome_1st_KAIST,1557228482292,381553497
00246c7df661,2472,-93,eduroam,1557228482292,381553491
00246c7df500,2472,-84,Welcome_KAIST,1557228482292,381553486
8a366cc94e70,2472,-70,MLILAB824_2,1557228482292,381553481
6038e0bbee01,2462,-69,Lapras,1557228482292,381553474
106f3fe7e1a0,2462,-75,SmartIoT,1557228482292,381553470
88366cb3ef2c,2452,-76,SPIRAL,1557228482292,381553465
00246c7df422,2452,-84,Welcome_1st_KAIST,1557228482292,381553459
00246c7df421,2452,-83,eduroam,1557228482292,381553455
00246c7a8b20,2452,-68,Welcome_KAIST,1557228482292,381553451
48f8b3dcef4c,2452,-69,KIXLAB_WIFI,1557228482292,381553446
b0c745764062,2452,-70,BUFFALO-764062_G,1557228482292,381553443
00246c7df681,2452,-48,eduroam,1557228482292,381553439
00246c7df680,2452,-48,Welcome_KAIST,1557228482292,381553434
00246c7df682,2452,-48,Welcome_1st_KAIST,1557228482292,381553430
1831bf46ffd8,2447,-55,KECI,1557228482292,381553424
9cd643c81180,2447,-55,,1557228482292,381553419
2c56dc84dd88,2442,-41,ISILAB_2,1557228482292,381553415
b06ebfa39080,2432,-72,Askai-ASUS_80_2G,1557228482292,381553411
a040a05608f7,5240,-66,NMSL_N1_721,1557228482292,381553406
00246c7df2f0,5240,-79,Welcome_KAIST,1557228482292,381553402
00246c7df612,5240,-59,Welcome_1st_KAIST,1557228482292,381553396
00246c7df611,5240,-61,eduroam,1557228482292,381553391
64e599da036c,5240,-62,WCSL 5GHz,1557228482292,381553386
929f33f09804,2422,-69,mliguest,1557228482292,381553382
909f33f59804,2422,-68,MLILAB824_1,1557228482292,381553376
00246c7df590,5220,-86,Welcome_KAIST,1557228482292,381553370
00246c7df5d2,5200,-93,Welcome_1st_KAIST,1557228482292,381553366
00246c7df5d1,5200,-91,eduroam,1557228482292,381553361
00246c7df5d0,5200,-92,Welcome_KAIST,1557228482292,381553355
00246c7df6e2,2412,-67,Welcome_1st_KAIST,1557228482292,381553350
00246c7df6e1,2412,-68,eduroam,1557228482292,381553347
