timeMillis,timeNanos,x,y,z
1557228801454,1555172345297747,-0.24064599,-0.069830626,0.089203775
1557228801472,1555172365299309,-0.11798426,-0.18327703,0.20633282
1557228801493,1555172385299309,-0.06578146,-0.27155578,0.36800268
1557228801511,1555172405300872,-0.046739917,-0.3909014,0.5226039
1557228801531,1555172425299309,-0.058328904,-0.46986008,0.5264262
1557228801551,1555172445299309,-0.0654673,-0.35770524,0.41805872
1557228801574,1555172465299309,-0.012269665,-0.16315338,0.32958797
1557228801591,1555172485299309,0.10356784,-0.057176985,0.29906216
1557228801611,1555172505299309,0.13412856,-0.24190263,0.31480503
1557228801631,1555172525299309,0.03715806,-0.5195496,0.3069685
1557228801651,1555172545299309,-0.0916996,-0.5278923,0.16182692
1557228801672,1555172565316497,-0.18928096,-0.22961551,-0.10058332
1557228801692,1555172585299309,-0.30826005,0.12545426,-0.3639186
1557228801711,1555172605299309,-0.52778757,0.03635521,-0.46670103
1557228801731,1555172625297747,-0.7955734,0.18322466,-0.30358258
1557228801752,1555172645299309,-1.0343693,0.36322048,0.10332349
1557228801771,1555172665297747,-1.3060822,0.19538961,0.45933574
1557228801794,1555172685297747,-1.5771668,-0.5119749,0.4965636
1557228801811,1555172705297747,-1.6848012,-0.831789,0.2374346
1557228801831,1555172725297747,-1.5465188,-0.8022755,-0.25064674
1557228801851,1555172745303997,-1.1107799,-0.74834484,-0.70837677
1557228801872,1555172765299309,-0.4296826,-0.78070325,-0.738187
1557228801891,1555172785302434,0.229249,-0.8348608,-0.44256315
1557228801911,1555172805299309,0.7263711,-0.9782396,-0.10072295
1557228801931,1555172825299309,1.0413507,-0.85498446,0.13393657
1557228801951,1555172845297747,1.0973933,-0.54808575,0.20961404
1557228801971,1555172865297747,0.84440774,-0.45619416,0.06789331
1557228801991,1555172885297747,0.44823545,-0.35447636,-0.16362461
1557228802011,1555172905297747,0.017470745,-0.30653217,-0.2170666
1557228802031,1555172925297747,-0.24162339,-0.23260003,-0.06717772
1557228802053,1555172945297747,-0.26633725,0.05448918,0.15329227
1557228802071,1555172965297747,-0.20299925,0.35838592,0.23923229
1557228802091,1555172985297747,-0.019844394,0.73565626,0.20401153
1557228802111,1555173005297747,0.3617893,1.1131186,0.25897196
1557228802140,1555173025299309,0.6882357,0.8817927,0.29375637
1557228802151,1555173045299309,0.82283545,0.40236822,0.26734954
