timeMillis,timeNanos,x,y,z
1557228801474,1555172364448309,129.37,-14.23,-8.38
1557228801494,1555172384448309,128.64,-14.13,-8.139999
1557228801515,1555172404449872,128.05,-14.11,-7.77
1557228801535,1555172424448309,127.329994,-14.15,-7.17
1557228801554,1555172444448309,126.86,-14.179999,-6.3999996
1557228801574,1555172464448309,126.59,-14.16,-5.81
1557228801594,1555172484448309,126.399994,-14.19,-5.37
1557228801613,1555172504448309,126.189995,-14.36,-5.12
1557228801635,1555172524448309,125.88,-14.62,-4.6
1557228801654,1555172544448309,125.54,-15.0199995,-3.55
1557228801674,1555172564465497,125.35,-15.19,-2.69
1557228801693,1555172584448309,125.28,-15.25,-2.35
1557228801715,1555172604448309,125.46999,-15.059999,-2.52
1557228801733,1555172624446747,125.67,-14.62,-2.6699998
1557228801754,1555172644448309,125.409996,-13.73,-3.28
1557228801774,1555172664446747,124.46999,-12.73,-3.99
1557228801794,1555172684446747,123.46999,-11.37,-4.2
1557228801814,1555172704446747,122.74,-9.69,-3.49
1557228801835,1555172724446747,122.579994,-7.8599997,-2.31
1557228801853,1555172744452997,123.25,-6.24,-1.05
1557228801875,1555172764448309,124.77,-4.92,0.32
1557228801893,1555172784451434,125.92,-4.48,1.29
1557228801914,1555172804448309,126.49,-4.7799997,2.1299999
1557228801934,1555172824448309,126.52,-5.65,3.01
1557228801954,1555172844446747,126.52,-6.87,4.0099998
1557228801974,1555172864446747,126.579994,-8.15,4.8599997
1557228801994,1555172884446747,126.729996,-9.16,5.5499997
1557228802014,1555172904446747,126.93,-9.75,5.94
1557228802034,1555172924446747,127.11,-9.82,6.14
1557228802053,1555172944446747,127.119995,-9.57,6.2799997
1557228802074,1555172964446747,126.85,-9.21,6.18
1557228802094,1555172984446747,126.46,-8.95,5.75
1557228802114,1555173004446747,126.049995,-8.92,4.88
1557228802140,1555173024448309,125.56,-9.28,3.72
1557228802154,1555173044448309,124.96999,-10.13,2.61
1557228802173,1555173064448309,124.549995,-10.98,2.1699998
1557228802312,1555173084448309,124.0,-11.559999,1.65
1557228802312,1555173104448309,123.68,-11.07,1.37
1557228802312,1555173124448309,123.549995,-9.82,1.2099999
1557228802312,1555173144448309,123.689995,-8.11,1.54
1557228802312,1555173164448309,123.89,-5.92,2.26
1557228802312,1555173184448309,123.829994,-3.62,2.57
1557228802314,1555173204448309,123.46,-1.0,2.72
1557228802333,1555173224448309,123.159996,0.57,2.86
1557228802356,1555173244448309,122.84,1.43,2.1299999
1557228802375,1555173264465497,122.96,1.38,0.35999998
1557228802395,1555173284448309,123.479996,0.69,-2.0
1557228802414,1555173304448309,124.14,-0.42,-4.54
1557228802434,1555173324448309,124.61,-1.76,-7.2999997
1557228802453,1555173344446747,124.799995,-2.86,-9.7
1557228802474,1555173364446747,124.79,-3.57,-10.71
1557228802493,1555173384448309,124.88,-3.58,-10.61
1557228802514,1555173404446747,124.82,-3.46,-10.5199995
1557228802536,1555173424446747,124.63,-3.6299999,-10.469999
1557228802554,1555173444448309,124.409996,-4.19,-10.719999
1557228802573,1555173464446747,124.06,-5.0499997,-10.969999
1557228802595,1555173484446747,123.45,-6.58,-10.76
1557228802613,1555173504448309,123.0,-8.07,-9.809999
1557228802644,1555173524448309,122.57,-10.2,-8.0
1557228802655,1555173544448309,122.509995,-12.0199995,-6.87
1557228802674,1555173564448309,122.619995,-13.04,-6.39
1557228802694,1555173584448309,122.409996,-13.009999,-6.54
1557228802715,1555173604446747,121.899994,-12.13,-6.92
1557228802733,1555173624446747,121.399994,-11.099999,-7.31
1557228802754,1555173644446747,120.96999,-10.33,-7.5
1557228802773,1555173664446747,120.86,-10.469999,-7.27
1557228802794,1555173684448309,121.09,-11.46,-6.3999996
1557228802816,1555173704446747,121.57,-12.389999,-5.45
1557228802835,1555173724446747,121.74,-12.71,-4.81
1557228802855,1555173744446747,121.549995,-12.469999,-4.7599998
1557228802875,1555173764448309,121.24,-12.0,-5.19
1557228802897,1555173784448309,120.92,-11.599999,-5.68
1557228802915,1555173804446747,120.7,-11.09,-5.71
1557228802933,1555173824446747,120.829994,-10.54,-5.33
1557228802954,1555173844446747,121.42,-9.5199995,-5.1099997
1557228802975,1555173864446747,122.09,-8.179999,-5.27
1557228802994,1555173884446747,122.56,-6.8799996,-5.5699997
1557228803014,1555173904446747,123.259995,-6.6299996,-5.38
1557228803035,1555173924446747,123.99,-7.43,-5.06
1557228803054,1555173944446747,124.159996,-8.7,-4.25
1557228803074,1555173964463934,123.71,-10.04,-3.31
1557228803095,1555173984446747,123.159996,-10.3,-2.56
1557228803114,1555174004446747,122.67,-9.79,-2.26
1557228803136,1555174024446747,122.52,-9.11,-2.11
1557228803155,1555174044446747,122.7,-8.7699995,-1.99
1557228803174,1555174064446747,123.009995,-8.82,-1.75
1557228803195,1555174084448309,123.14,-9.23,-1.3199999
1557228803214,1555174104446747,123.06,-9.67,-0.93
1557228803234,1555174124446747,122.93,-10.28,-0.5
1557228803255,1555174144446747,123.06,-10.809999,-0.06
1557228803275,1555174164446747,123.329994,-11.2,0.42
1557228803294,1555174184446747,123.479996,-11.509999,0.91999996
1557228803314,1555174204446747,123.409996,-11.79,1.27
1557228803333,1555174224446747,123.24,-12.0199995,1.43
1557228803354,1555174244446747,123.0,-12.4,1.56
1557228803374,1555174264446747,122.77,-12.84,1.62
1557228803395,1555174284446747,122.509995,-13.42,1.77
1557228803414,1555174304446747,122.329994,-13.759999,1.8499999
1557228803435,1555174324446747,122.259995,-13.86,2.0
1557228803456,1555174344446747,122.29,-13.69,2.23
1557228803476,1555174364446747,122.14,-13.32,2.3899999
1557228803493,1555174384448309,121.869995,-12.969999,2.4299998
1557228803514,1555174404448309,121.649994,-12.679999,2.5
1557228803533,1555174424448309,121.54,-12.67,2.09
1557228803554,1555174444448309,121.759995,-12.58,1.49
1557228803574,1555174464448309,122.52,-11.91,1.51
1557228803594,1555174484446747,123.77,-10.62,2.04
1557228803613,1555174504446747,124.67,-9.599999,2.37
1557228803647,1555174524448309,124.899994,-9.37,1.86
1557228803653,1555174544448309,124.649994,-9.9,1.28
1557228803674,1555174564448309,124.399994,-10.67,0.89
1557228803695,1555174584448309,124.46999,-11.099999,0.76
1557228803715,1555174604448309,124.729996,-11.25,0.84
1557228803734,1555174624448309,125.0,-11.2,1.05
1557228803754,1555174644448309,125.259995,-11.05,1.2099999
1557228803773,1555174664465497,125.549995,-11.07,1.12
1557228803794,1555174684448309,125.899994,-11.429999,0.7
1557228803813,1555174704446747,126.07,-11.82,0.22
1557228803835,1555174724446747,126.02,-12.23,-0.26
1557228803854,1555174744448309,125.86,-12.49,-0.5
1557228803874,1555174764448309,125.729996,-12.78,-0.57
1557228803894,1555174784448309,125.67,-13.16,-0.81
1557228803914,1555174804446747,125.7,-13.429999,-1.11
1557228803933,1555174824448309,125.74,-13.469999,-1.3
1557228803954,1555174844448309,125.75,-13.53,-1.43
1557228803973,1555174864448309,125.78,-13.71,-1.43
1557228803995,1555174884448309,125.84,-14.03,-1.41
1557228804014,1555174904448309,125.799995,-14.2699995,-1.5
1557228804034,1555174924448309,125.63,-14.429999,-1.7099999
1557228804053,1555174944448309,125.509995,-14.49,-1.6999999
1557228804074,1555174964448309,125.479996,-14.54,-1.39
1557228804093,1555174984448309,125.509995,-14.62,-0.94
1557228804114,1555175004448309,125.49,-14.82,-0.35
1557228804135,1555175024448309,125.34,-15.15,-0.13
1557228804156,1555175044448309,125.07,-15.41,-0.22
1557228804174,1555175064448309,125.07,-15.049999,-0.11
1557228804194,1555175084448309,125.729996,-13.78,0.52
1557228804213,1555175104448309,126.6,-12.429999,1.12
1557228804235,1555175124448309,127.229996,-11.67,1.0799999
1557228804253,1555175144448309,127.06,-11.969999,0.5
1557228804274,1555175164448309,126.31,-12.82,0.14999999
1557228804294,1555175184448309,125.74,-13.429999,0.57
1557228804456,1555175204448309,125.549995,-13.639999,1.35
1557228804456,1555175224448309,125.61,-13.45,1.9499999
1557228804456,1555175244448309,125.75,-13.0,2.27
1557228804456,1555175264448309,125.95,-12.599999,2.33
1557228804456,1555175284448309,126.25,-12.38,2.27
1557228804456,1555175304448309,126.43,-12.54,2.25
1557228804456,1555175324448309,126.439995,-13.009999,2.3799999
1557228804456,1555175344448309,126.31,-13.37,2.59
1557228804475,1555175364465497,126.189995,-13.5199995,2.73
1557228804493,1555175384448309,126.13,-13.45,2.73
1557228804514,1555175404448309,126.13,-13.21,2.62
1557228804533,1555175424448309,126.159996,-12.98,2.53
1557228804555,1555175444448309,126.189995,-12.82,2.54
1557228804574,1555175464448309,126.18,-12.86,2.6299999
1557228804594,1555175484448309,126.14,-13.08,2.77
1557228804614,1555175504448309,126.0,-13.469999,2.9099998
1557228804639,1555175524448309,125.86,-13.98,3.03
1557228804653,1555175544448309,125.829994,-14.389999,3.1799998
1557228804674,1555175564448309,125.96999,-14.73,3.4299998
1557228804693,1555175584448309,126.2,-14.83,3.54
1557228804714,1555175604448309,126.509995,-14.799999,3.46
1557228804735,1555175624448309,126.75,-14.839999,3.27
1557228804754,1555175644448309,126.799995,-15.049999,3.03
1557228804774,1555175664448309,126.81,-15.15,3.0
1557228804796,1555175684448309,127.259995,-14.66,3.29
1557228804816,1555175704448309,128.37999,-13.37,3.6299999
1557228804834,1555175724448309,129.62999,-11.99,3.4199998
1557228804853,1555175744448309,130.20999,-11.48,2.6499999
1557228804874,1555175764448309,129.9,-11.91,1.67
1557228804894,1555175784448309,129.2,-12.84,1.5
1557228804915,1555175804448309,128.73999,-13.7699995,1.99
1557228804933,1555175824448309,128.87999,-14.15,2.6699998
1557228804954,1555175844448309,129.48,-13.759999,3.37
1557228804973,1555175864448309,129.97,-13.0,3.49
1557228804995,1555175884448309,130.29,-12.099999,2.87
1557228805014,1555175904448309,130.26,-11.69,2.08
1557228805034,1555175924448309,130.02,-11.809999,1.5
1557228805056,1555175944448309,129.7,-12.4,1.22
1557228805074,1555175964448309,129.39,-13.2,1.17
1557228805093,1555175984448309,129.11,-13.84,1.0799999
1557228805114,1555176004448309,128.81,-14.21,0.88
1557228805133,1555176024448309,128.72,-14.08,0.74
