timeMillis,timeNanos,value
1557228801512,1555172408909872,1007.2925
1557228801712,1555172608908309,1007.30273
1557228801912,1555172808908309,1007.29834
1557228802111,1555173008906747,1007.3291
1557228802312,1555173208908309,1007.3218
1557228802513,1555173408906747,1007.2573
1557228802713,1555173608906747,1007.2549
1557228802912,1555173808906747,1007.2788
1557228803113,1555174008906747,1007.2744
1557228803313,1555174208906747,1007.27637
1557228803512,1555174408908309,1007.28906
1557228803714,1555174608908309,1007.313
1557228803912,1555174808906747,1007.2676
1557228804112,1555175008908309,1007.2993
1557228804456,1555175208908309,1007.3008
1557228804513,1555175408908309,1007.2593
1557228804713,1555175608908309,1007.3047
1557228804912,1555175808908309,1007.33984
1557228805112,1555176008908309,1007.28174
1557228805311,1555176208908309,1007.28906
1557228805513,1555176408908309,1007.3301
1557228805712,1555176608908309,1007.25635
1557228805912,1555176808908309,1007.2988
1557228806111,1555177008908309,1007.3203
1557228806312,1555177208908309,1007.26904
1557228806511,1555177408908309,1007.312
1557228806713,1555177608908309,1007.3052
1557228806912,1555177808908309,1007.27
1557228807112,1555178008908309,1007.31006
1557228807313,1555178208906747,1007.2949
1557228807512,1555178408908309,1007.26465
1557228807712,1555178608908309,1007.29297
1557228807912,1555178808906747,1007.29395
1557228808130,1555179008908309,1007.2544
1557228808314,1555179208908309,1007.28564
1557228808512,1555179408906747,1007.3013
1557228808713,1555179608906747,1007.2549
1557228808913,1555179808908309,1007.3174
1557228809112,1555180008908309,1007.30225
1557228809314,1555180208908309,1007.2593
1557228809514,1555180408908309,1007.30225
1557228809713,1555180608908309,1007.2954
1557228809913,1555180808908309,1007.2627
1557228810112,1555181008908309,1007.312
1557228810312,1555181208908309,1007.3154
1557228810511,1555181408908309,1007.26025
1557228810714,1555181608908309,1007.30273
1557228810914,1555181808908309,1007.29346
1557228811115,1555182008908309,1007.2676
1557228811312,1555182208908309,1007.3076
1557228811512,1555182408908309,1007.2676
1557228811715,1555182608908309,1007.2549
1557228811913,1555182808908309,1007.31494
1557228812112,1555183008908309,1007.27686
1557228812314,1555183208908309,1007.2886
1557228812514,1555183408908309,1007.3125
1557228812714,1555183608908309,1007.28613
1557228812912,1555183808908309,1007.26855
1557228813115,1555184008908309,1007.3179
1557228813315,1555184208908309,1007.2798
1557228813513,1555184408908309,1007.2886
1557228813712,1555184608908309,1007.3198
1557228813960,1555184808908309,1007.2744
1557228814113,1555185008908309,1007.3013
