calcAzimuth,gesture,stepLength,timeMillis
191.83408,0,0.65,1557196402190
59.551067,0,0.65,1557196403050
219.86906,0,0.65,1557196403690
211.52786,0,0.65,1557196404290
212.23425,0,0.65,1557196404920
216.51692,0,0.65,1557196405510
214.3756,0,0.65,1557196406070
215.44626,0,0.65,1557196406640
214.91092,0,0.65,1557196407240
215.17859,0,0.65,1557196407820
215.04475,0,0.65,1557196408470
215.11168,0,0.65,1557196409030
215.07822,0,0.65,1557196409620
215.09494,0,0.65,1557196410200
215.08658,0,0.65,1557196410820
215.09076,0,0.65,1557196411360
215.08867,0,0.65,1557196412000
216.37772,0,0.65,1557196412570
216.6691,0,0.65,1557196413190
216.5234,0,0.65,1557196413700
208.26396,0,0.65,1557196414310
212.39368,0,0.65,1557196414850
210.32883,0,0.65,1557196415460
211.36125,0,0.65,1557196416080
210.84503,0,0.65,1557196416690
211.10315,0,0.65,1557196417250
210.97409,0,0.65,1557196417840
211.03862,0,0.65,1557196418400
211.00635,0,0.65,1557196419040
211.02249,0,0.65,1557196419630
225.73224,0,0.65,1557196420240
218.37737,0,0.65,1557196420880
222.0548,0,0.65,1557196421510
217.19167,0,0.65,1557196422110
214.38287,0,0.65,1557196422720
215.78728,0,0.65,1557196423250
215.08507,0,0.65,1557196423850
215.43617,0,0.65,1557196424410
215.26062,0,0.65,1557196424990
215.34839,0,0.65,1557196425590
215.3045,0,0.65,1557196426120
215.32645,0,0.65,1557196426680
215.31548,0,0.65,1557196427280
215.32097,0,0.65,1557196427850
215.31822,0,0.65,1557196428470
215.3196,0,0.65,1557196428990
215.31891,0,0.65,1557196429600
215.31924,0,0.65,1557196430180
215.31908,0,0.65,1557196430790
215.31917,0,0.65,1557196431380
215.31912,0,0.65,1557196431990
215.31914,0,0.65,1557196432570
215.31914,0,0.65,1557196433160
215.31914,0,0.65,1557196433750
215.31914,0,0.65,1557196434330
215.31914,0,0.65,1557196434940
215.31914,0,0.65,1557196435540
215.31914,0,0.65,1557196436140
215.31914,0,0.65,1557196436710
215.31914,0,0.65,1557196437330
215.31914,0,0.65,1557196437930
215.31914,0,0.65,1557196438480
215.31914,0,0.65,1557196439120
215.31914,0,0.65,1557196439710
215.31914,0,0.65,1557196440310
215.31914,0,0.65,1557196440910
215.31914,0,0.65,1557196441480
215.31914,0,0.65,1557196442080
215.31914,0,0.65,1557196442790
215.31914,0,0.65,1557196443990
215.31914,0,0.65,1557196444550
215.31914,0,0.65,1557196445190
215.31914,0,0.65,1557196445830
215.31914,0,0.65,1557196446430
215.31914,0,0.65,1557196447010
