timeMillis,timeNanos,x,y,z
1557228919178,1555290064448309,303.88,-21.73,-5.8399997
1557228919195,1555290084448309,125.25,-14.4,-5.6
1557228919214,1555290104448309,124.74,-13.38,-5.22
1557228919235,1555290124448309,124.03,-12.32,-4.94
1557228919253,1555290144448309,123.369995,-11.46,-4.8399997
1557228919274,1555290164465497,122.67,-10.58,-4.65
1557228919293,1555290184448309,122.25,-10.08,-4.4
1557228919314,1555290204448309,122.21,-9.73,-4.31
1557228919334,1555290224448309,122.579994,-9.55,-4.6
1557228919355,1555290244448309,122.99,-9.26,-5.0499997
1557228919374,1555290264448309,123.21,-8.7,-5.24
1557228919394,1555290284448309,122.71,-7.93,-5.49
1557228919413,1555290304448309,122.93,-6.17,-5.69
1557228919434,1555290324448309,123.46999,-3.27,-5.27
1557228919453,1555290344448309,123.659996,-0.56,-4.8599997
1557228919475,1555290364448309,123.34,2.72,-4.61
1557228919494,1555290384448309,122.7,5.23,-4.21
1557228919514,1555290404448309,121.71,6.8199997,-3.58
1557228919533,1555290424449872,120.619995,7.21,-3.03
1557228919554,1555290444448309,119.17,6.5299997,-3.76
1557228919574,1555290464448309,117.78,5.0899997,-4.5499997
1557228919595,1555290484448309,117.52,3.6299999,-3.58
1557228919614,1555290504448309,117.729996,2.56,-3.4499998
1557228919635,1555290524448309,117.619995,2.24,-4.7
1557228919655,1555290544448309,117.45,2.83,-6.22
1557228919675,1555290564448309,117.32,4.15,-7.43
1557228919693,1555290584448309,116.759995,5.8399997,-8.389999
1557228919714,1555290604448309,115.68,8.3,-9.32
1557228919733,1555290624448309,114.31,10.08,-9.73
1557228919755,1555290644448309,112.02,11.11,-9.88
1557228919774,1555290664448309,109.88,10.8,-9.96
1557228919794,1555290684448309,108.45,9.5199995,-9.91
1557228919949,1555290704448309,107.93,8.36,-11.929999
1557228919949,1555290724448309,107.81,8.07,-13.799999
1557228919949,1555290744448309,107.549995,8.59,-14.29
1557228919949,1555290764448309,107.25,9.599999,-14.65
1557228919949,1555290784448309,107.159996,10.33,-14.87
1557228919949,1555290804448309,107.299995,10.82,-14.67
1557228919950,1555290824448309,107.32,10.55,-13.84
1557228919955,1555290844448309,107.409996,9.53,-12.9
1557228919973,1555290864465497,107.619995,8.09,-12.139999
1557228919995,1555290884448309,107.689995,5.69,-10.849999
1557228920014,1555290904448309,107.409996,3.0,-9.16
1557228920035,1555290924448309,107.04,0.65999997,-7.68
1557228920055,1555290944448309,106.53,-1.54,-6.23
1557228920075,1555290964448309,106.13,-3.36,-5.21
1557228920096,1555290984448309,105.759995,-4.69,-4.25
1557228920115,1555291004448309,105.299995,-5.8799996,-3.23
1557228920133,1555291024448309,104.829994,-7.2799997,-2.44
1557228920154,1555291044448309,104.5,-9.37,-1.5799999
1557228920175,1555291064448309,104.399994,-10.889999,-0.90999997
1557228920194,1555291084448309,104.74,-11.94,-0.11
1557228920214,1555291104448309,104.93,-12.639999,0.29
1557228920235,1555291124448309,105.049995,-13.54,0.42999998
1557228920255,1555291144448309,105.229996,-14.75,0.52
1557228920274,1555291164448309,105.54,-16.09,0.83
1557228920293,1555291184448309,105.799995,-17.14,1.27
1557228920315,1555291204448309,105.88,-18.18,1.8
