timeMillis,timeNanos,value
1557228919231,1555290128908309,1007.36084
1557228919432,1555290328908309,1007.36084
1557228919633,1555290528908309,1007.4209
1557228919949,1555290728908309,1007.3457
1557228920034,1555290928908309,1007.28467
1557228920232,1555291128908309,1007.3096
1557228920432,1555291328908309,1007.34375
1557228920632,1555291528908309,1007.35156
1557228920831,1555291728908309,1007.33057
1557228921033,1555291928908309,1007.354
1557228921234,1555292128908309,1007.3594
1557228921433,1555292328908309,1007.3496
1557228921634,1555292528908309,1007.34766
1557228921833,1555292728908309,1007.37646
1557228922032,1555292928908309,1007.34326
1557228922235,1555293128908309,1007.33203
1557228922433,1555293328908309,1007.35254
1557228922640,1555293528908309,1007.3374
1557228922837,1555293728908309,1007.3159
1557228923032,1555293928908309,1007.374
1557228923233,1555294128908309,1007.3496
1557228923433,1555294328908309,1007.33105
1557228923632,1555294528908309,1007.35645
1557228923832,1555294728908309,1007.3467
1557228924034,1555294928908309,1007.32227
1557228924232,1555295128908309,1007.3506
1557228924431,1555295328908309,1007.374
1557228924633,1555295528908309,1007.3579
1557228924832,1555295728908309,1007.35156
1557228925032,1555295928908309,1007.37646
1557228925232,1555296128908309,1007.3252
1557228925432,1555296328908309,1007.3345
1557228925743,1555296528908309,1007.3716
1557228925833,1555296728908309,1007.3218
1557228926032,1555296928908309,1007.36426
1557228926232,1555297128908309,1007.38965
1557228926431,1555297328908309,1007.3413
1557228926633,1555297528908309,1007.3452
1557228926833,1555297728908309,1007.3721
1557228927034,1555297928908309,1007.3325
1557228927231,1555298128908309,1007.35596
1557228927436,1555298328908309,1007.3794
1557228927632,1555298528908309,1007.33887
1557228927832,1555298728908309,1007.3374
1557228928032,1555298928908309,1007.3789
1557228928232,1555299128908309,1007.35205
1557228928431,1555299328908309,1007.34033
1557228928632,1555299528908309,1007.3501
1557228928831,1555299728908309,1007.35547
1557228929032,1555299928908309,1007.3364
1557228929231,1555300128908309,1007.3667
1557228929432,1555300328908309,1007.3423
1557228929632,1555300528908309,1007.3115
1557228929832,1555300728908309,1007.36865
1557228930032,1555300928908309,1007.35645
1557228930233,1555301128908309,1007.3281
1557228930432,1555301328908309,1007.36475
1557228930632,1555301528908309,1007.3701
1557228930832,1555301728908309,1007.32227
1557228931032,1555301928908309,1007.3633
1557228931231,1555302128908309,1007.354
