calcAzimuth,gesture,stepLength,timeMillis
13.461827,0,0.65,1557196520140
121.33949,0,0.65,1557196521160
206.84401,0,0.65,1557196521840
212.02829,0,0.65,1557196522420
211.20596,0,0.65,1557196523150
211.61713,0,0.65,1557196523790
211.41154,0,0.65,1557196524420
211.51433,0,0.65,1557196525000
211.46294,0,0.65,1557196525640
211.48863,0,0.65,1557196526240
211.47578,0,0.65,1557196526880
211.48221,0,0.65,1557196527450
211.479,0,0.65,1557196528090
211.4806,0,0.65,1557196528670
211.4798,0,0.65,1557196529340
211.4802,0,0.65,1557196529930
211.48,0,0.65,1557196530540
211.4801,0,0.65,1557196531140
205.555,0,0.65,1557196531770
208.51755,0,0.65,1557196532390
215.839,0,0.65,1557196533030
212.17827,0,0.65,1557196533580
214.00864,0,0.65,1557196534200
213.09346,0,0.65,1557196534810
213.55104,0,0.65,1557196535420
213.32225,0,0.65,1557196536020
213.43665,0,0.65,1557196536640
213.37946,0,0.65,1557196537240
213.40805,0,0.65,1557196537900
213.39375,0,0.65,1557196538500
213.4009,0,0.65,1557196539160
223.32693,0,0.65,1557196539760
217.55653,0,0.65,1557196540420
203.82559,0,0.65,1557196541010
188.79248,0,0.65,1557196541650
186.18901,0,0.65,1557196542270
188.54817,0,0.65,1557196542930
187.36859,0,0.65,1557196543520
187.95837,0,0.65,1557196544140
187.66348,0,0.65,1557196544750
187.81093,0,0.65,1557196545380
187.73721,0,0.65,1557196545980
187.77406,0,0.65,1557196546600
187.75563,0,0.65,1557196547210
187.76485,0,0.65,1557196547840
187.76024,0,0.65,1557196548410
187.76254,0,0.65,1557196549020
187.7614,0,0.65,1557196549600
187.76198,0,0.65,1557196550230
187.76169,0,0.65,1557196550820
187.76183,0,0.65,1557196551450
187.76176,0,0.65,1557196552030
187.7618,0,0.65,1557196552660
187.76178,0,0.65,1557196553230
187.76178,0,0.65,1557196553850
187.76178,0,0.65,1557196555050
187.76178,0,0.65,1557196555640
187.76178,0,0.65,1557196556240
187.76178,0,0.65,1557196556830
187.76178,0,0.65,1557196557430
187.76178,0,0.65,1557196558020
187.76178,0,0.65,1557196558630
187.76178,0,0.65,1557196559200
187.76178,0,0.65,1557196559820
187.76178,0,0.65,1557196560450
187.76178,0,0.65,1557196561040
224.94333,0,0.65,1557196561630
206.35255,0,0.65,1557196562260
215.64793,0,0.65,1557196562830
211.00024,0,0.65,1557196563460
213.3241,0,0.65,1557196564140
212.16217,0,0.65,1557196564720
212.74313,0,0.65,1557196565930
212.45265,0,0.65,1557196566510
219.24089,0,0.65,1557196567120
215.84677,0,0.65,1557196567700
217.54382,0,0.65,1557196568300
216.6953,0,0.65,1557196568850
217.11957,0,0.65,1557196569480
216.90742,0,0.65,1557196570040
217.0135,0,0.65,1557196570660
216.96046,0,0.65,1557196571840
216.98698,0,0.65,1557196572430
216.97372,0,0.65,1557196573040
216.98035,0,0.65,1557196573640
216.97704,0,0.65,1557196574240
216.9787,0,0.65,1557196574840
216.97786,0,0.65,1557196575440
216.97829,0,0.65,1557196576060
216.97807,0,0.65,1557196576710
126.50758,0,0.65,1557196577390
182.28142,0,0.65,1557196578170
186.56493,0,0.325,1557196578940
309.2697,0,0.13,1557196580920
272.09177,0,0.13,1557196581530
281.47797,0,0.325,1557196582100
300.62433,0,0.65,1557196582700
308.85767,0,0.65,1557196583270
304.05994,0,0.65,1557196583820
301.76453,0,0.65,1557196584470
273.75946,0,0.65,1557196585020
260.65485,0,0.65,1557196585680
274.9051,0,0.65,1557196586240
272.2957,0,0.65,1557196586860
255.89615,0,0.65,1557196587440
257.65155,0,0.65,1557196588040
270.8431,0,0.65,1557196588640
275.7958,0,0.65,1557196589260
268.9421,0,0.65,1557196589830
273.75842,0,0.65,1557196590430
276.20728,0,0.65,1557196591030
280.6596,0,0.65,1557196591600
287.72363,0,0.65,1557196592150
290.20654,0,0.65,1557196592760
288.9651,0,0.65,1557196593320
293.35193,0,0.65,1557196593970
286.97333,0,0.65,1557196594510
278.4468,0,0.65,1557196595100
269.7785,0,0.65,1557196595680
274.3616,0,0.65,1557196596270
274.61572,0,0.65,1557196596850
275.12558,0,0.65,1557196597430
259.33084,0,0.65,1557196598000
246.19936,0,0.65,1557196598580
252.76509,0,0.65,1557196599110
293.15622,0,0.65,1557196599760
284.05762,0,0.65,1557196600250
273.89557,0,0.65,1557196600850
273.44785,0,0.65,1557196601390
283.46823,0,0.65,1557196602050
278.45804,0,0.65,1557196602620
279.0408,0,0.65,1557196603250
266.01846,0,0.65,1557196603800
263.4153,0,0.65,1557196604410
271.35492,0,0.65,1557196605020
272.35577,0,0.65,1557196605670
278.6767,0,0.65,1557196606220
268.334,0,0.65,1557196606860
255.1496,0,0.65,1557196607390
267.4184,0,0.65,1557196608010
252.67006,0,0.65,1557196608610
246.51096,0,0.65,1557196609220
268.49112,0,0.65,1557196609770
273.65527,0,0.65,1557196610380
282.17426,0,0.65,1557196610900
277.91476,0,0.65,1557196611560
248.11095,0,0.65,1557196612140
269.66742,0,0.65,1557196612770
300.52032,0,0.65,1557196613330
285.09387,0,0.65,1557196613960
310.1093,0,0.65,1557196615110
293.56015,0,0.65,1557196615700
283.39868,0,0.65,1557196616290
266.8361,0,0.65,1557196616890
253.54494,0,0.65,1557196617490
262.14206,0,0.65,1557196618090
267.9964,0,0.65,1557196618670
271.2253,0,0.65,1557196619240
269.068,0,0.65,1557196619830
254.97554,0,0.65,1557196620420
303.75327,0,0.65,1557196621040
279.3644,0,0.65,1557196621630
314.44342,0,0.65,1557196622230
296.9039,0,0.65,1557196622810
305.67365,0,0.65,1557196623410
287.20016,0,0.65,1557196623960
292.86783,0,0.65,1557196624600
291.2638,0,0.65,1557196625170
292.06583,0,0.65,1557196625810
246.49486,0,0.65,1557196626330
267.9098,0,0.65,1557196626940
275.7042,0,0.65,1557196627530
272.4328,0,0.65,1557196628140
270.75302,0,0.65,1557196628690
270.59225,0,0.65,1557196629320
