timeMillis,timeNanos,x,y,z
1557229122574,1555493464448309,0.13197798,2.0266821,9.619394
1557229122591,1555493484448309,0.45468763,2.1141567,9.839202
1557229122612,1555493504448309,0.4820677,2.0260215,9.971017
1557229122632,1555493524448309,0.36992332,1.9985743,9.724357
1557229122651,1555493544448309,0.1801493,1.9059952,9.649313
1557229122671,1555493564448309,0.17093644,1.8296106,10.106711
1557229122691,1555493584448309,0.27543855,1.8550944,10.133325
1557229122711,1555493604448309,0.24815422,1.9545017,9.606667
1557229122731,1555493624448309,0.18441099,2.0962098,9.126841
1557229122751,1555493644448309,0.19734927,2.1903114,8.81321
1557229122771,1555493664448309,0.19472522,2.1268747,8.794143
1557229122791,1555493684448309,0.24803929,2.0955298,9.113309
1557229122811,1555493704448309,0.30935,2.0432787,9.612145
1557229122831,1555493724449872,0.23219927,2.0012462,9.767577
1557229122851,1555493744448309,0.12081142,1.8974911,9.826186
1557229122872,1555493764448309,0.013560759,1.8753495,9.646775
1557229122891,1555493784476434,0.06196194,1.8242477,9.4910555
1557229122912,1555493804448309,0.16238433,1.8835185,9.498728
1557229122931,1555493824448309,0.23335804,1.884141,9.741404
1557229122951,1555493844448309,0.17738162,1.779658,10.134033
1557229122971,1555493864465497,0.177554,1.8064443,10.210302
1557229122991,1555493884448309,0.28638482,1.8640105,9.932155
1557229123011,1555493904448309,0.26194483,1.9445418,9.646603
1557229123031,1555493924448309,0.26708755,2.1640422,9.371547
1557229123051,1555493944448309,0.26413792,2.2418153,9.412488
1557229123071,1555493964448309,0.34576106,1.9948392,9.7141285
1557229123091,1555493984448309,0.29617232,1.9350704,10.107639
1557229123111,1555494004448309,0.2170679,1.9803591,10.101884
1557229123132,1555494024448309,0.04201345,2.0970526,9.778341
1557229123151,1555494044448309,0.024545357,2.2320569,9.840878
1557229123172,1555494064448309,-0.038881835,2.149706,9.731778
1557229123192,1555494084448309,-0.26959667,2.16319,9.790379
1557229123211,1555494104448309,-0.27811047,2.1590621,9.801881
1557229123231,1555494124448309,-0.1861827,2.3896623,9.613016
1557229123254,1555494144448309,-0.21055567,2.595621,9.352404
1557229123274,1555494164448309,-0.27112895,2.693908,9.291686
1557229123291,1555494184448309,-0.3425432,2.8628523,8.9941635
1557229123373,1555494204448309,-0.23871149,2.9945524,8.799668
1557229123374,1555494224448309,-0.15485696,3.0490637,8.689046
1557229123374,1555494244448309,-0.34493744,2.8708682,8.826473
1557229123374,1555494264448309,-0.42693406,2.545994,9.4603815
1557229123392,1555494284448309,-0.4713896,2.4388201,10.197671
1557229123411,1555494304448309,-0.7384963,2.3748085,10.529
1557229123432,1555494324448309,-0.8872433,2.1879268,10.286151
1557229123452,1555494344448309,-0.8715756,2.1820564,9.7971115
1557229123473,1555494364448309,-0.5593717,2.3720984,9.409806
1557229123491,1555494384448309,-0.10289321,2.5288038,9.470667
1557229123512,1555494404448309,0.095681876,2.7140384,9.361808
1557229123532,1555494424448309,0.34970668,2.878472,9.227522
1557229123551,1555494444448309,0.5619383,3.022871,9.039729
1557229123571,1555494464448309,0.5848268,3.2214463,8.725745
1557229123592,1555494484448309,0.7095265,3.4677043,8.479976
1557229123611,1555494504448309,0.8726003,3.6007931,8.964523
1557229123632,1555494524448309,0.8393401,3.465176,9.6242695
1557229123651,1555494544448309,0.3765409,3.2282171,9.831368
1557229123672,1555494564463934,0.09642887,3.2117736,9.940553
1557229123692,1555494584448309,0.27620468,3.3237362,9.850589
1557229123712,1555494604448309,0.42704898,3.5050826,9.66045
1557229123731,1555494624448309,0.40561607,3.4746952,9.709168
1557229123778,1555494644448309,0.30259836,3.3941448,9.79805
1557229123778,1555494664448309,0.33024663,3.4074376,9.627937
1557229123791,1555494684448309,0.48883852,3.5520282,9.367524
1557229123811,1555494704448309,0.72644866,3.63051,8.940007
1557229123831,1555494724448309,0.7794275,3.7705517,8.676214
1557229123851,1555494744448309,0.9154374,3.6032734,8.706084
1557229123871,1555494764448309,0.98304003,3.4018638,9.142987
1557229123891,1555494784479559,0.6995378,2.8793244,10.142327
1557229123911,1555494804448309,0.3516891,2.1820946,11.179103
1557229123931,1555494824448309,0.40252277,1.9518969,11.682766
1557229123952,1555494844448309,0.9852715,2.0181205,11.666093
1557229123971,1555494864448309,1.0291619,1.9258767,12.033334
1557229123991,1555494884448309,0.5746467,1.5669571,12.29866
1557229124011,1555494904448309,0.5949591,1.3645513,11.000313
1557229124031,1555494924448309,0.7654454,1.8967632,8.555584
1557229124051,1555494944448309,1.1134665,2.4023993,6.6136184
1557229124071,1555494964448309,1.396375,3.0289907,5.857606
1557229124091,1555494984448309,1.401355,3.197849,6.5103326
1557229124111,1555495004448309,1.0742974,2.8665297,7.739439
1557229124131,1555495024448309,0.60883594,2.1738393,9.076649
1557229124151,1555495044448309,0.10003932,1.848975,10.206108
1557229124171,1555495064448309,-0.040452432,1.7183281,11.204941
1557229124191,1555495084448309,0.18687224,1.7923665,11.387092
1557229124211,1555495104448309,0.44471818,2.2388945,10.280386
1557229124231,1555495124448309,0.59825355,2.8335953,8.882018
1557229124251,1555495144448309,0.7598718,3.1569273,7.8087845
1557229124271,1555495164448309,1.0622019,3.3908887,7.733923
1557229124291,1555495184448309,1.0897543,3.5456595,8.166756
1557229124311,1555495204448309,0.8093072,3.5562322,8.634008
1557229124331,1555495224448309,0.36606386,3.391837,8.957993
1557229124351,1555495244448309,0.14943649,3.396836,9.042823
1557229124371,1555495264463934,0.21811177,3.464065,9.097842
1557229124391,1555495284448309,0.4517667,3.6426532,9.104593
1557229124411,1555495304448309,0.71427655,3.7692876,9.411712
1557229124431,1555495324448309,0.7324055,3.7890828,9.818152
1557229124451,1555495344448309,0.519015,3.6252716,10.127703
1557229124471,1555495364448309,0.2717419,3.4799242,10.311443
1557229124492,1555495384448309,0.05498045,3.4539232,10.831349
1557229124512,1555495404448309,-0.22307256,3.6940713,10.818019
1557229124531,1555495424448309,-0.29887298,3.8892083,10.136342
1557229124552,1555495444448309,-0.13359645,4.0684,9.540788
1557229124572,1555495464448309,0.42934743,3.9367764,9.772461
1557229124592,1555495484448309,0.16893488,3.0025396,11.174199
1557229124611,1555495504448309,-0.46780786,2.0513327,12.96306
1557229124631,1555495524448309,-1.3402358,0.9742677,14.1258
1557229124651,1555495544448309,-2.221369,0.20271227,12.681148
1557229124671,1555495564448309,-2.1001363,0.5466633,9.594255
1557229124691,1555495584448309,-1.6265919,1.2973413,6.983599
1557229124711,1555495604448309,-0.9202641,2.1297574,5.8826685
1557229124732,1555495624448309,-0.23517764,2.7876074,6.1374784
1557229124751,1555495644448309,0.25942612,2.7732613,6.84802
1557229124791,1555495664448309,-0.005046977,2.5201461,7.851047
1557229124793,1555495684448309,-0.562082,2.225918,8.86299
1557229124811,1555495704448309,-1.0384227,1.9163765,9.809648
1557229124832,1555495724448309,-1.3488166,1.6225314,10.370552
1557229124851,1555495744448309,-1.4214759,1.5036161,10.365648
1557229124871,1555495764448309,-1.3207183,1.6227804,9.966937
1557229124892,1555495784476434,-0.8245152,1.9252352,9.439245
1557229124911,1555495804448309,-0.04721366,2.4302967,9.070452
1557229124931,1555495824448309,0.43424115,2.8510058,8.773198
1557229124951,1555495844448309,0.37939477,3.0073855,8.500355
1557229124971,1555495864448309,0.1686763,3.01814,8.230595
1557229124992,1555495884448309,0.15868768,3.1486433,8.137719
