timeMillis,timeNanos,x,y,z
1557229122590,1555493488908309,-31.75,-28.3125,-51.0
1557229122611,1555493508908309,-32.0,-28.375,-51.375
1557229122632,1555493528908309,-32.5,-28.4375,-51.4375
1557229122650,1555493548908309,-32.6875,-28.3125,-51.625
1557229122671,1555493568908309,-32.4375,-28.5,-51.8125
1557229122691,1555493588908309,-32.25,-28.5625,-52.0
1557229122710,1555493608908309,-31.9375,-28.6875,-52.125
1557229122731,1555493628908309,-31.9375,-28.8125,-52.0625
1557229122751,1555493648908309,-31.875,-29.0625,-52.1875
1557229122771,1555493668908309,-32.0,-28.875,-52.1875
1557229122790,1555493688908309,-32.0625,-28.6875,-52.125
1557229122810,1555493708908309,-31.875,-28.5,-52.3125
1557229122831,1555493728909872,-31.5625,-28.5625,-52.3125
1557229122851,1555493748908309,-31.8125,-28.3125,-52.3125
1557229122871,1555493768908309,-31.875,-28.125,-52.375
1557229122891,1555493788936434,-32.0625,-27.9375,-52.3125
1557229122911,1555493808908309,-32.125,-27.875,-52.4375
1557229122931,1555493828908309,-32.3125,-27.5625,-52.6875
1557229122951,1555493848908309,-32.25,-27.4375,-52.875
1557229122971,1555493868925497,-32.0625,-27.4375,-53.3125
1557229122991,1555493888908309,-31.9375,-27.375,-53.375
1557229123010,1555493908908309,-32.0625,-27.25,-53.5
1557229123031,1555493928908309,-31.6875,-27.375,-53.375
1557229123051,1555493948908309,-31.6875,-27.5,-53.25
1557229123071,1555493968908309,-31.8125,-27.75,-53.25
1557229123090,1555493988908309,-31.75,-27.6875,-53.1875
1557229123111,1555494008908309,-31.3125,-27.6875,-53.1875
1557229123131,1555494028908309,-31.1875,-27.75,-53.375
1557229123150,1555494048908309,-31.0625,-27.875,-53.1875
1557229123171,1555494068908309,-31.25,-27.9375,-53.3125
1557229123192,1555494088908309,-30.9375,-27.9375,-53.1875
1557229123211,1555494108908309,-31.0,-28.25,-53.375
1557229123231,1555494128908309,-30.9375,-28.625,-53.125
1557229123253,1555494148908309,-30.875,-28.6875,-53.0625
1557229123274,1555494168908309,-31.125,-29.0,-52.875
1557229123290,1555494188908309,-31.25,-29.3125,-52.75
1557229123373,1555494208908309,-31.4375,-29.625,-52.5
1557229123373,1555494228908309,-31.75,-29.375,-52.375
1557229123374,1555494248908309,-31.6875,-29.625,-52.625
1557229123374,1555494268908309,-31.6875,-29.375,-53.125
1557229123392,1555494288908309,-31.5,-29.0625,-53.4375
1557229123411,1555494308908309,-31.5,-28.6875,-53.6875
1557229123431,1555494328908309,-31.375,-28.8125,-53.5625
1557229123451,1555494348908309,-31.25,-28.75,-53.8125
1557229123473,1555494368908309,-31.4375,-28.6875,-53.75
1557229123490,1555494388908309,-31.5625,-28.6875,-53.5
1557229123511,1555494408908309,-31.75,-29.0625,-53.4375
1557229123531,1555494428908309,-32.0,-28.9375,-52.875
1557229123551,1555494448908309,-32.375,-29.0625,-52.625
1557229123571,1555494468908309,-32.6875,-29.0,-52.375
1557229123591,1555494488908309,-32.875,-28.9375,-52.375
1557229123611,1555494508908309,-33.25,-28.6875,-52.375
1557229123631,1555494528908309,-33.5,-28.875,-52.0
1557229123651,1555494548908309,-33.6875,-28.9375,-51.875
1557229123671,1555494568923934,-34.0625,-29.125,-51.9375
1557229123691,1555494588908309,-34.0625,-29.1875,-51.75
1557229123712,1555494608908309,-34.125,-29.4375,-51.5
1557229123731,1555494628908309,-34.3125,-29.5625,-51.0625
1557229123751,1555494648908309,-34.625,-30.0,-50.9375
1557229123778,1555494668908309,-34.8125,-30.625,-50.8125
1557229123790,1555494688908309,-35.0,-30.9375,-50.5
1557229123810,1555494708908309,-35.3125,-31.125,-50.25
1557229123831,1555494728908309,-35.6875,-31.5,-49.875
1557229123850,1555494748908309,-35.9375,-31.8125,-49.6875
1557229123870,1555494768908309,-36.375,-32.0,-49.625
1557229123890,1555494788939559,-36.8125,-32.0625,-49.625
1557229123911,1555494808908309,-36.75,-32.25,-49.9375
1557229123930,1555494828908309,-36.8125,-31.9375,-50.0625
1557229123952,1555494848908309,-36.5,-31.8125,-49.9375
1557229123971,1555494868908309,-36.75,-32.0625,-50.25
1557229123991,1555494888908309,-36.6875,-32.5,-50.0625
1557229124010,1555494908908309,-36.4375,-33.375,-49.5625
1557229124030,1555494928908309,-36.3125,-34.375,-48.8125
1557229124050,1555494948908309,-36.1875,-35.1875,-48.375
1557229124070,1555494968908309,-35.9375,-35.6875,-48.3125
1557229124091,1555494988908309,-35.9375,-36.125,-48.25
1557229124110,1555495008908309,-35.625,-36.25,-48.5
1557229124131,1555495028908309,-35.6875,-36.125,-48.75
1557229124151,1555495048908309,-35.25,-36.25,-48.6875
1557229124170,1555495068908309,-35.25,-36.4375,-48.8125
1557229124190,1555495088908309,-35.1875,-36.6875,-49.125
1557229124211,1555495108908309,-34.9375,-37.125,-49.25
1557229124231,1555495128908309,-34.75,-37.875,-49.125
1557229124250,1555495148908309,-34.875,-38.6875,-48.6875
1557229124271,1555495168908309,-34.5625,-38.9375,-48.625
1557229124290,1555495188908309,-34.375,-39.375,-48.4375
1557229124310,1555495208908309,-34.375,-40.0625,-48.625
1557229124330,1555495228908309,-34.3125,-40.3125,-48.75
1557229124351,1555495248908309,-34.125,-40.6875,-48.5625
1557229124371,1555495268923934,-33.875,-40.9375,-48.3125
1557229124391,1555495288908309,-33.75,-41.5,-48.0
1557229124410,1555495308908309,-33.75,-42.1875,-47.4375
1557229124431,1555495328908309,-33.6875,-42.6875,-47.1875
1557229124451,1555495348908309,-33.75,-43.4375,-46.625
1557229124471,1555495368908309,-33.75,-44.0,-46.375
1557229124491,1555495388908309,-33.5,-44.375,-46.1875
1557229124511,1555495408908309,-32.9375,-44.5625,-46.3125
1557229124531,1555495428908309,-32.6875,-44.875,-46.4375
1557229124551,1555495448908309,-32.5,-45.375,-46.6875
1557229124572,1555495468908309,-32.5625,-45.3125,-46.6875
1557229124591,1555495488908309,-32.4375,-45.1875,-47.125
1557229124610,1555495508908309,-32.125,-44.875,-47.5
1557229124631,1555495528908309,-31.875,-44.875,-47.875
1557229124651,1555495548908309,-31.5,-45.3125,-47.6875
1557229124670,1555495568908309,-31.375,-46.125,-47.0625
1557229124691,1555495588908309,-32.125,-47.125,-46.0625
1557229124710,1555495608908309,-33.125,-47.5625,-45.0625
1557229124730,1555495628908309,-34.1875,-47.6875,-43.9375
1557229124751,1555495648908309,-34.75,-47.8125,-43.4375
1557229124791,1555495668908309,-35.375,-47.625,-43.25
1557229124791,1555495688908309,-35.6875,-47.4375,-43.5625
1557229124811,1555495708908309,-36.0,-47.125,-43.6875
1557229124831,1555495728908309,-36.25,-47.1875,-43.5625
1557229124850,1555495748908309,-36.6875,-47.25,-43.4375
1557229124870,1555495768908309,-37.125,-47.125,-42.875
1557229124892,1555495788936434,-37.625,-47.375,-42.25
1557229124910,1555495808908309,-38.25,-47.875,-42.0
1557229124930,1555495828908309,-38.9375,-47.75,-41.6875
1557229124950,1555495848908309,-39.375,-47.875,-41.0625
1557229124970,1555495868908309,-40.0625,-47.9375,-40.4375
1557229124990,1555495888908309,-40.5625,-48.125,-39.75
1557229125010,1555495908908309,-41.25,-48.125,-39.4375
1557229125031,1555495928908309,-41.875,-48.1875,-38.6875
1557229125050,1555495948908309,-42.0,-48.6875,-38.125
1557229125070,1555495968923934,-42.3125,-49.0625,-37.625
1557229125090,1555495988908309,-42.8125,-48.9375,-36.75
1557229125111,1555496008908309,-43.0625,-49.1875,-36.1875
1557229125130,1555496028908309,-43.5,-49.5,-35.75
1557229125150,1555496048908309,-43.375,-50.0,-35.125
1557229125171,1555496068908309,-43.5,-50.25,-34.625
1557229125190,1555496088908309,-43.6875,-50.6875,-34.0
1557229125210,1555496108908309,-43.5625,-51.0625,-34.0625
1557229125230,1555496128908309,-43.4375,-51.0,-34.375
1557229125250,1555496148908309,-43.0625,-51.0,-34.5
1557229125271,1555496168908309,-42.5,-51.375,-34.625
1557229125290,1555496188908309,-42.5625,-51.6875,-33.625
1557229125310,1555496208908309,-42.75,-52.3125,-32.125
1557229125330,1555496228908309,-43.25,-52.75,-30.9375
1557229125350,1555496248908309,-43.1875,-52.875,-30.8125
1557229125370,1555496268908309,-42.9375,-52.75,-31.1875
1557229125391,1555496288908309,-42.4375,-52.5,-31.8125
1557229125410,1555496308908309,-42.1875,-52.5,-32.5
1557229125430,1555496328908309,-42.0625,-52.5625,-32.375
1557229125450,1555496348908309,-42.1875,-52.9375,-31.5
1557229125471,1555496368908309,-42.625,-53.5625,-30.3125
1557229125490,1555496388908309,-43.0625,-53.625,-29.3125
1557229125510,1555496408908309,-43.125,-53.375,-28.6875
1557229125530,1555496428908309,-43.4375,-53.375,-28.25
1557229125550,1555496448908309,-43.1875,-53.25,-28.25
1557229125570,1555496468908309,-43.25,-53.125,-27.6875
1557229125591,1555496488908309,-43.0625,-53.25,-27.0625
1557229125610,1555496508908309,-43.1875,-53.5625,-26.4375
1557229125630,1555496528908309,-43.375,-53.4375,-25.8125
1557229125650,1555496548908309,-43.625,-53.4375,-25.125
1557229125671,1555496568908309,-43.875,-53.5,-24.3125
1557229125691,1555496588908309,-44.3125,-53.4375,-23.75
1557229125711,1555496608908309,-44.1875,-53.25,-23.3125
1557229125730,1555496628908309,-44.625,-53.1875,-22.75
1557229125751,1555496648908309,-44.8125,-52.9375,-22.8125
1557229125776,1555496668925497,-45.125,-52.5,-22.875
1557229125790,1555496688908309,-44.9375,-52.125,-23.1875
1557229125810,1555496708908309,-44.75,-51.9375,-23.375
1557229125830,1555496728908309,-45.0625,-51.625,-22.9375
1557229125851,1555496748908309,-45.875,-51.1875,-21.6875
1557229125870,1555496768908309,-46.875,-50.75,-20.0
1557229125890,1555496788936434,-48.1875,-50.0,-18.375
1557229125910,1555496808908309,-48.9375,-49.125,-17.125
1557229125930,1555496828908309,-49.375,-48.3125,-16.625
1557229125951,1555496848908309,-49.375,-47.5625,-16.875
1557229125970,1555496868908309,-49.375,-47.0625,-17.4375
1557229125990,1555496888908309,-49.25,-46.625,-17.6875
1557229126011,1555496908908309,-49.375,-45.875,-17.25
1557229126030,1555496928908309,-49.9375,-45.3125,-16.375
1557229126051,1555496948908309,-50.4375,-44.4375,-15.25
1557229126070,1555496968908309,-50.625,-43.8125,-14.625
1557229126092,1555496988908309,-50.8125,-43.0,-14.25
1557229126111,1555497008908309,-51.125,-42.25,-13.9375
1557229126267,1555497028908309,-51.4375,-41.6875,-13.625
1557229126267,1555497048908309,-51.625,-41.0,-13.25
1557229126267,1555497068908309,-51.9375,-40.4375,-12.75
1557229126267,1555497088908309,-52.0625,-39.9375,-12.25
1557229126267,1555497108908309,-52.0625,-39.375,-11.75
1557229126267,1555497128908309,-52.25,-38.8125,-11.3125
1557229126267,1555497148908309,-52.625,-38.3125,-10.5625
1557229126271,1555497168908309,-53.0,-37.6875,-10.3125
1557229126291,1555497188908309,-52.9375,-37.25,-10.125
1557229126313,1555497208908309,-52.625,-36.875,-9.875
1557229126330,1555497228908309,-52.25,-36.9375,-9.5625
1557229126351,1555497248908309,-51.625,-36.9375,-9.3125
1557229126373,1555497268908309,-51.1875,-36.875,-9.3125
1557229126390,1555497288908309,-50.625,-36.4375,-9.5625
1557229126410,1555497308908309,-50.5,-36.125,-9.5
1557229126430,1555497328908309,-50.5625,-35.375,-9.3125
1557229126451,1555497348908309,-50.1875,-34.6875,-8.5
1557229126471,1555497368923934,-50.25,-34.375,-7.5625
1557229126490,1555497388908309,-50.0625,-34.0,-6.875
1557229126511,1555497408908309,-49.625,-33.6875,-6.75
1557229126530,1555497428908309,-49.3125,-33.625,-7.0
1557229126551,1555497448908309,-48.6875,-33.25,-7.75
1557229126570,1555497468908309,-48.5,-33.0,-7.875
1557229126594,1555497488908309,-48.25,-32.25,-7.8125
1557229126611,1555497508908309,-48.1875,-31.5,-7.3125
1557229126631,1555497528908309,-48.375,-31.0625,-7.125
1557229126651,1555497548908309,-48.125,-30.4375,-7.0625
1557229126672,1555497568908309,-48.1875,-30.0,-7.25
1557229126691,1555497588908309,-47.875,-29.3125,-7.25
1557229126711,1555497608908309,-47.4375,-28.8125,-7.625
1557229126730,1555497628908309,-47.3125,-28.4375,-7.875
