timeMillis,timeNanos,value
1557229122633,1555493528908309,1007.4116
1557229122831,1555493728909872,1007.41943
1557229123033,1555493928908309,1007.4136
1557229123232,1555494128908309,1007.42773
1557229123433,1555494328908309,1007.4048
1557229123633,1555494528908309,1007.4033
1557229123832,1555494728908309,1007.4092
1557229124032,1555494928908309,1007.4385
1557229124233,1555495128908309,1007.4053
1557229124431,1555495328908309,1007.3906
1557229124635,1555495528908309,1007.43555
1557229124833,1555495728908309,1007.4043
1557229125032,1555495928908309,1007.4009
1557229125231,1555496128908309,1007.41895
1557229125432,1555496328908309,1007.417
1557229125632,1555496528908309,1007.4116
1557229125832,1555496728908309,1007.45215
1557229126031,1555496928908309,1007.39307
1557229126267,1555497128908309,1007.3779
1557229126432,1555497328908309,1007.44434
1557229126632,1555497528908309,1007.40967
1557229126831,1555497728908309,1007.4072
1557229127032,1555497928908309,1007.43555
1557229127232,1555498128908309,1007.38184
1557229127432,1555498328908309,1007.41846
1557229127633,1555498528908309,1007.41797
1557229127832,1555498728908309,1007.3701
1557229128032,1555498928908309,1007.4155
1557229128232,1555499128908309,1007.41064
1557229128432,1555499328908309,1007.397
1557229128632,1555499528908309,1007.4165
1557229128832,1555499728908309,1007.4165
1557229129118,1555499928908309,1007.41113
1557229129231,1555500128908309,1007.4531
1557229129432,1555500328908309,1007.3799
1557229129631,1555500528908309,1007.4126
1557229129832,1555500728908309,1007.44727
1557229130031,1555500928908309,1007.3872
1557229130233,1555501128908309,1007.43066
1557229130432,1555501328908309,1007.41113
1557229130633,1555501528908309,1007.3867
1557229130831,1555501728908309,1007.43164
1557229131032,1555501928908309,1007.4092
1557229131232,1555502128908309,1007.41406
1557229131432,1555502328908309,1007.4541
1557229131632,1555502528908309,1007.3789
1557229131832,1555502728908309,1007.4131
1557229132061,1555502928908309,1007.4219
1557229132233,1555503128908309,1007.3833
1557229132431,1555503328908309,1007.4326
1557229132633,1555503528908309,1007.4175
1557229132831,1555503728908309,1007.3926
1557229133032,1555503928908309,1007.43115
1557229133232,1555504128908309,1007.395
1557229133432,1555504328908309,1007.4131
1557229133631,1555504528908309,1007.4297
1557229133833,1555504728908309,1007.4043
1557229134031,1555504928908309,1007.41504
1557229134232,1555505128908309,1007.4414
1557229134431,1555505328908309,1007.3862
1557229134633,1555505528908309,1007.4531
1557229134878,1555505728908309,1007.42236
1557229135033,1555505928912997,1007.39355
1557229135232,1555506128908309,1007.4258
1557229135432,1555506328908309,1007.4263
1557229135632,1555506528908309,1007.396
1557229135832,1555506728908309,1007.41846
1557229136032,1555506928908309,1007.41797
1557229136233,1555507128908309,1007.4126
1557229136432,1555507328908309,1007.4321
1557229136632,1555507528908309,1007.41113
1557229136832,1555507728908309,1007.4243
1557229137032,1555507928908309,1007.4419
1557229137231,1555508128908309,1007.41113
1557229137432,1555508328908309,1007.40283
1557229137632,1555508528908309,1007.4219
1557229137832,1555508728908309,1007.4082
1557229138032,1555508928908309,1007.41943
1557229138232,1555509128908309,1007.40234
1557229138431,1555509328908309,1007.3887
1557229138632,1555509528908309,1007.41504
1557229138836,1555509728908309,1007.41016
1557229139032,1555509928908309,1007.4072
1557229139231,1555510128908309,1007.4487
1557229139432,1555510328908309,1007.41406
1557229139632,1555510528908309,1007.4136
1557229139833,1555510728908309,1007.4546
1557229140031,1555510928908309,1007.3833
1557229140233,1555511128908309,1007.4238
1557229140433,1555511328908309,1007.4175
1557229140687,1555511528908309,1007.36475
1557229140832,1555511728908309,1007.4136
1557229141032,1555511928908309,1007.4082
1557229141231,1555512128908309,1007.40186
1557229141432,1555512328908309,1007.41943
1557229141632,1555512528908309,1007.4077
1557229141832,1555512728908309,1007.41504
1557229142033,1555512928908309,1007.45166
1557229142233,1555513128908309,1007.40674
1557229142433,1555513328908309,1007.4287
1557229142633,1555513528908309,1007.4219
1557229142831,1555513728908309,1007.3701
1557229143032,1555513928908309,1007.4258
1557229143231,1555514128908309,1007.437
1557229143432,1555514328908309,1007.3867
1557229143631,1555514528908309,1007.4385
1557229143832,1555514728908309,1007.4136
1557229144031,1555514928908309,1007.3877
1557229144232,1555515128908309,1007.4492
1557229144431,1555515328908309,1007.43164
1557229144632,1555515528908309,1007.416
1557229144833,1555515728908309,1007.437
1557229145033,1555515928908309,1007.4092
1557229145232,1555516128908309,1007.4292
1557229145433,1555516328908309,1007.45215
1557229145631,1555516528908309,1007.39307
1557229145832,1555516728908309,1007.41797
1557229146032,1555516928908309,1007.43896
1557229146232,1555517128908309,1007.376
1557229146467,1555517328908309,1007.4248
1557229146633,1555517528908309,1007.4375
1557229146831,1555517728908309,1007.3833
