bssid,frequency,rss,ssid,timeMillis,timestamp
aa40a05608f5,2472,-73,,1557229123295,1555494149188
909f33f911de,5805,-88,wit_5G,1557229123295,1555494149185
909f33f59806,5805,-77,MLILAB824_15G,1557229123295,1555494149180
48f8b3dcef4e,5805,-73,KIXLAB_WIFI_5GHz,1557229123295,1555494149172
00246c7df601,2472,-63,eduroam,1557229123295,1555494149168
00246c7df600,2472,-63,Welcome_KAIST,1557229123295,1555494149163
6245b4eeda63,5785,-78,,1557229123295,1555494149159
00246c7df732,5785,-70,Welcome_1st_KAIST,1557229123295,1555494149153
6c709fe0927f,5785,-76,HCIL,1557229123295,1555494149148
88366ce94e70,5785,-69,MLILAB824_25G,1557229123295,1555494149143
6e7f92e09f70,5785,-74,HCIL guest,1557229123295,1555494149136
2c56dc84dd8c,5785,-53,ISILAB_5,1557229123295,1555494149130
00246c7df602,2472,-62,Welcome_1st_KAIST,1557229123295,1555494149126
00246c7df722,2472,-69,Welcome_1st_KAIST,1557229123295,1555494149121
00246c7df721,2472,-72,eduroam,1557229123295,1555494149118
00246c7df720,2472,-78,Welcome_KAIST,1557229123295,1555494149110
b06ebfa39084,5765,-68,Askai-ASUS_80_5G,1557229123295,1555494149104
909f33a8295a,5745,-76,shheo5g,1557229123295,1555494149098
708bcd2f8264,5745,-70,LIT_5G,1557229123295,1555494149094
00246c7df361,2472,-78,eduroam,1557229123295,1555494149087
6038e0bbee01,2462,-67,Lapras,1557229123295,1555494149083
54a050d4c638,2462,-68,Janggwan-RESL,1557229123295,1555494149076
106f3fe7f284,2462,-79,DioOpenWrt,1557229123295,1555494149072
106f3fe7e1a0,2462,-73,SmartIoT,1557229123295,1555494149066
b0c745764062,2452,-69,BUFFALO-764062_G,1557229123295,1555494149062
88366cb3ef2c,2452,-69,SPIRAL,1557229123295,1555494149057
00246c7df682,2452,-48,Welcome_1st_KAIST,1557229123295,1555494149052
1831bf46ffd8,2447,-57,KECI,1557229123295,1555494149048
00246c7df681,2452,-49,eduroam,1557229123295,1555494149043
00246c7df680,2452,-50,Welcome_KAIST,1557229123295,1555494149038
2c56dc84dd88,2442,-54,ISILAB_2,1557229123295,1555494149035
64e599da0368,2442,-66,WCSL 2.4GHz,1557229123295,1555494149028
708bcd2f8260,2432,-74,LIT_2.4G,1557229123295,1555494149021
6c709fe0927e,2432,-74,HCIL,1557229123295,1555494149015
00246c7e0810,5240,-76,Welcome_KAIST,1557229123295,1555494149012
00246c7df612,5240,-66,Welcome_1st_KAIST,1557229123295,1555494149007
00246c7df611,5240,-66,eduroam,1557229123295,1555494149001
00246c7df610,5240,-66,Welcome_KAIST,1557229123295,1555494148997
929f33f09804,2422,-69,mliguest,1557229123295,1555494148992
00246c7a8b32,5220,-73,Welcome_1st_KAIST,1557229123295,1555494148989
00246c7a8b31,5220,-71,eduroam,1557229123295,1555494148984
00246c7a88e2,2412,-56,Welcome_1st_KAIST,1557229123295,1555494148979
00246c7a88f2,5220,-60,Welcome_1st_KAIST,1557229123295,1555494148974
00246c7a88f1,5220,-61,eduroam,1557229123295,1555494148971
00246c7a88f0,5220,-60,Welcome_KAIST,1557229123295,1555494148961
00246c7a8b30,5220,-69,Welcome_KAIST,1557229123295,1555494148958
00246c7a88e1,2412,-56,eduroam,1557229123295,1555494148954
00246c7df6e1,2412,-65,eduroam,1557229123295,1555494148951
00246c7df692,5200,-47,Welcome_1st_KAIST,1557229123295,1555494148948
00246c7df6d2,5200,-88,Welcome_1st_KAIST,1557229123295,1555494148944
00246c7df6d1,5200,-88,eduroam,1557229123295,1555494148939
