timeMillis,timeNanos,x,y,z
1559716824213,2726948489561329,1.1420691,3.5985951,8.837268
1559716824232,2726948522227195,0.011971374,2.8898897,9.751882
1559716824254,2726948554893861,0.014365649,2.6887705,11.044789
1559716824273,2726948587560527,0.5411061,3.4238129,10.491713
1559716824293,2726948620227193,-0.2370332,3.8045027,8.20518
1559716824315,2726948652893859,-0.8475733,3.5483153,7.4222517
1559716824331,2726948685560525,-0.51716334,3.7709827,8.219545
1559716824353,2726948718227191,0.38068968,3.912245,8.494887
1559716824373,2726948750893857,0.46209505,3.2562137,8.358414
1559716824392,2726948783560523,0.2681588,3.1125572,9.196409
1559716824412,2726948816227189,0.29928434,3.0287576,10.767054
1559716824431,2726948848893855,0.07901107,2.9832664,10.700014
1559716824456,2726948881560155,-0.083799616,2.997632,10.235525
1559716824473,2726948914227121,-0.12210801,3.0646718,9.608225
1559716824494,2726948946893687,-0.15323359,3.11974,9.751882
1559716824512,2726948979593920,-0.08858817,3.1412885,9.859624
1559716824533,2726949012327420,-0.019154198,3.162837,9.670476
1559716824556,2726949045094186,0.016759925,3.258608,9.308941
1559716824574,2726949077860819,0.34956414,3.8859081,7.8723755
1559716824593,2726949110627419,0.019154198,3.9505534,8.693612
1559716824616,2726949143393985,-0.3040729,3.7398572,8.743892
1559716824634,2726949176160151,0.13168511,3.529161,9.014444
1559716824654,2726949208926651,0.27294734,3.6369035,9.390346
1559716824676,2726949241693084,0.03351985,3.6560576,9.04557
1559716824695,2726949274492784,-0.5363176,3.694366,8.882759
1559716824714,2726949307292350,-0.7326481,3.799714,8.777411
1559716824734,2726949340090350,0.052674048,3.5243726,8.820508
1559716824753,2726949372889083,0.19393626,3.3232534,8.897125
1559716824773,2726949405687749,-0.10055954,3.2705793,8.763046
1559716824794,2726949438486282,0.031125572,3.380716,8.777411
1559716824814,2726949458618082,-0.016759925,3.562681,8.681641
1559716824835,2726949478750515,0.22027329,3.6823947,8.514041
1559716824857,2726949498882815,1.0917894,3.8883023,8.746285
1559716824874,2726949519014615,0.888276,3.8284454,8.906702
