timeMillis,timeNanos,value
1559716823844,2726948101574339,1004.6787
1559716823931,2726948201563339,1004.6826
1559716824030,2726948301561329,1004.6802
1559716824134,2726948401557662,1004.6792
1559716824233,2726948501554912,1004.6865
1559716824331,2726948601552712,1004.6897
1559716824432,2726948701550878,1004.68677
1559716824534,2726948801835735,1004.67993
1559716824635,2726948902208860,1004.67676
1559716824735,2726949002648082,1004.67456
1559716824835,2726949103044282,1004.6658
1559716824934,2726949203403191,1004.66284
1559716825112,2726949303731274,1004.6714
1559716825133,2726949404031581,1004.6699
1559716825234,2726949504309438,1004.6748
1559716825341,2726949604835904,1004.67896
1559716825440,2726949705453091,1004.6809
1559716825544,2726949812431903,1004.6782
1559716825648,2726949913146347,1004.6792
1559716825744,2726950013823031,1004.67725
1559716825849,2726950114665281,1004.6826
1559716825954,2726950215609614,1004.68384
1559716826180,2726950316555932,1004.687
1559716826180,2726950417459627,1004.6919
1559716826255,2726950518367710,1004.6819
1559716826358,2726950619358910,1004.6819
1559716826461,2726950720426910,1004.6836
1559716826570,2726950821491910,1004.6887
1559716826664,2726950922554160,1004.6887
1559716826769,2726951023717366,1004.68726
1559716826875,2726951125008199,1004.6826
1559716826976,2726951226432332,1004.6826
1559716827126,2726951327955998,1004.678
1559716827183,2726951429612598,1004.6787
1559716827285,2726951531402098,1004.68774
1559716827392,2726951633324464,1004.688
1559716827497,2726951735413097,1004.6821
1559716827602,2726951837601097,1004.67114
1559716827705,2726951939922297,1004.66675
1559716827813,2726952042344097,1004.66943
1559716827915,2726952144931997,1004.6731
1559716828116,2726952247653230,1004.67456
1559716828130,2726952350474430,1004.67017
1559716828223,2726952453396263,1004.67505
1559716828328,2726952556451463,1004.6775
1559716828433,2726952659439363,1004.67505
1559716828538,2726952762427529,1004.67505
1559716828639,2726952865581962,1004.6738
1559716828743,2726952968703128,1004.666
1559716828840,2726953071823994,1004.666
1559716828942,2726953174845027,1004.65625
1559716829077,2726953277766227,1004.6587
1559716829139,2726953380654027,1004.6587
1559716829239,2726953483542560,1004.67017
1559716829344,2726953586430326,1004.6648
1559716829442,2726953689218192,1004.6648
1559716829545,2726953792039325,1004.66797
1559716829649,2726953894827158,1004.67236
1559716829745,2726953997581658,1004.6782
1559716829847,2726954100236058,1004.6809
1559716829954,2726954202890258,1004.6719
1559716830142,2726954305544591,1004.66943
1559716830170,2726954408098924,1004.67017
1559716830256,2726954510519924,1004.6731
1559716830356,2726954612840890,1004.6738
1559716830461,2726954715195290,1004.66724
1559716830565,2726954817416290,1004.6675
1559716830663,2726954919470690,1004.66895
1559716830764,2726955021425056,1004.6804
1559716830870,2726955123412856,1004.6848
1559716830973,2726955225333789,1004.68677
1559716831088,2726955327154989,1004.6904
1559716831176,2726955428942922,1004.68286
1559716831276,2726955530630922,1004.6738
1559716831380,2726955632252222,1004.6719
1559716831481,2726955733806855,1004.68506
1559716831577,2726955835294855,1004.68506
1559716831680,2726955936682888,1004.6824
1559716831786,2726956038137521,1004.66675
1559716831889,2726956139692154,1004.66675
1559716831991,2726956241346587,1004.66797
1559716832102,2726956343000920,1004.6865
1559716832190,2726956444688720,1004.6865
1559716832295,2726956546509786,1004.67773
1559716832402,2726956648430919,1004.6787
1559716832521,2726956750485285,1004.6787
1559716832605,2726956852539685,1004.6846
1559716832710,2726956954594085,1004.6826
1559716832809,2726957056748418,1004.6763
1559716832916,2726957159036118,1004.66846
1559716833118,2726957261290518,1004.67676
1559716833130,2726957363411451,1004.67505
1559716833221,2726957465565951,1004.6714
1559716833326,2726957567887184,1004.6719
1559716833431,2726957670308484,1004.6687
1559716833534,2726957772596350,1004.666
1559716833633,2726957874850983,1004.6743
1559716833733,2726957977205549,1004.6819
1559716833838,2726958079626849,1004.68066
1559716833962,2726958182048049,1004.67944
1559716834053,2726958284469282,1004.67944
1559716834146,2726958386890315,1004.6731
1559716834248,2726958489244615,1004.6721
1559716834346,2726958591599181,1004.6721
1559716834447,2726958693887147,1004.67163
1559716834554,2726958796308380,1004.6719
1559716834655,2726958898862913,1004.6719
1559716834757,2726959001484146,1004.67017
1559716834866,2726959104138712,1004.6699
1559716834969,2726959206859878,1004.6699
1559716835081,2726959309514411,1004.66064
1559716835172,2726959412168911,1004.6553
1559716835268,2726959514790011,1004.65063
1559716835370,2726959617344511,1004.6633
1559716835479,2726959719899177,1004.66797
1559716835578,2726959822353743,1004.6741
1559716835678,2726959924675009,1004.6831
1559716835784,2726960027129575,1004.6846
1559716835885,2726960129650875,1004.6887
1559716835991,2726960232172108,1004.6865
1559716836096,2726960334593308,1004.68384
1559716836190,2726960437014541,1004.67725
1559716836293,2726960539468874,1004.67236
1559716836401,2726960641923140,1004.6853
1559716836502,2726960744377673,1004.6814
1559716836608,2726960846965539,1004.6865
1559716836716,2726960949720039,1004.6848
1559716836820,2726961052541205,1004.6848
1559716836922,2726961155362338,1004.6858
