timeMillis,timeNanos,x,y,z
1559716954477,2727078758362426,-38.1,-60.059998,-7.44
1559716954500,2727078778358426,-38.16,-59.94,-7.74
1559716954517,2727078798355426,-37.98,-60.239998,-7.2
1559716954537,2727078818352759,-38.04,-60.78,-7.02
1559716954559,2727078838349759,-37.86,-60.359997,-7.62
1559716954579,2727078858346959,-37.86,-60.359997,-7.5
1559716954598,2727078878344292,-37.02,-60.719997,-7.56
1559716954620,2727078898341720,-35.52,-61.379997,-7.56
1559716954642,2727078918338970,-35.46,-60.96,-7.2599998
1559716954658,2727078938336414,-35.52,-60.12,-7.02
1559716954680,2727078958334214,-35.04,-60.059998,-6.96
1559716954701,2727078978423032,-34.92,-60.239998,-7.62
1559716954721,2727078998587698,-35.04,-60.719997,-7.9199996
1559716954744,2727079018816621,-35.28,-60.84,-7.14
1559716954764,2727079039028906,-35.219997,-60.84,-6.96
1559716954783,2727079059226906,-35.399998,-61.02,-7.2
1559716954805,2727079079412406,-35.7,-60.84,-7.3799996
1559716954825,2727079099645700,-35.579998,-60.359997,-7.56
1559716954846,2727079119921366,-35.52,-60.18,-7.74
1559716954869,2727079140235050,-35.16,-60.0,-8.28
1559716954888,2727079160582850,-34.32,-60.239998,-8.82
1559716954906,2727079180913992,-34.44,-60.42,-9.66
1559716954928,2727079201229992,-35.16,-61.14,-9.3
1559716954946,2727079221532165,-35.04,-61.5,-9.12
1559716954968,2727079241863248,-34.98,-60.899998,-9.42
1559716954990,2727079262221008,-34.98,-60.0,-9.12
1559716955009,2727079282564931,-34.62,-60.0,-9.24
1559716955028,2727079302895968,-34.8,-60.239998,-9.24
1559716955054,2727079323250825,-35.04,-59.94,-9.12
1559716955134,2727079343593376,-35.34,-60.239998,-9.3
1559716955134,2727079363924376,-35.16,-60.239998,-8.7
1559716955134,2727079384255442,-34.559998,-60.359997,-8.58
1559716955134,2727079404586508,-34.44,-60.539997,-9.0
1559716955150,2727079424917608,-34.8,-60.359997,-8.94
1559716955174,2727079445282041,-35.46,-60.539997,-8.58
1559716955192,2727079465679807,-35.399998,-60.48,-8.22
1559716955212,2727079486077573,-34.86,-59.94,-8.5199995
1559716955235,2727079506475273,-34.86,-60.42,-8.76
1559716955252,2727079526873039,-34.98,-60.48,-8.58
1559716955272,2727079547270772,-34.92,-60.18,-8.4
1559716955298,2727079567668405,-35.1,-60.66,-8.58
1559716955312,2727079588032605,-35.579998,-61.02,-8.22
1559716955333,2727079608363438,-35.34,-60.899998,-7.44
1559716955355,2727079628660871,-35.1,-60.539997,-7.8599997
1559716955375,2727079648958304,-35.52,-60.719997,-8.22
1559716955393,2727079669255737,-35.16,-61.62,-8.28
1559716955421,2727079689553170,-34.38,-61.32,-8.099999
