timeMillis,timeNanos,x,y,z
1546846871274,166626658439143,0.22266756,4.443774,9.059936
1546846871295,166626691105809,0.22266756,4.443774,9.059936
1546846871316,166626723772475,0.22266756,4.443774,9.059936
1546846871334,166626756439108,0.26097596,4.381523,9.06233
1546846871354,166626789105808,0.37350687,4.328849,9.191621
1546846871375,166626821772474,0.4644893,4.285752,9.153313
1546846871394,166626854439140,0.4836435,4.2570205,9.016839
1546846871414,166626887105806,0.47167215,4.228289,8.71516
1546846871435,166626919772472,0.4836435,4.1971636,8.820508
1546846871454,166626952439138,0.5123748,4.1420956,9.088667
1546846871474,166626985105804,0.5698374,4.051113,9.373586
1546846871495,166627017772504,0.5123748,3.9601305,9.347249
1546846871515,166627050472237,0.4189981,3.8883023,9.074302
1546846871533,166627083172770,-0.11013664,3.615355,8.454185
1546846871557,166627115872770,-0.53871185,3.6991546,9.000079
1546846871575,166627148572803,-0.80208206,3.4549387,9.335278
1546846871595,166627181272803,-0.7398309,3.3735332,9.517242
1546846871617,166627213972769,-0.0047885496,3.572258,9.256267
1546846871635,166627246672769,0.25379312,3.7877429,9.3592205
1546846871656,166627279372769,-0.11971374,3.4357843,9.06233
1546846871677,166627312072802,-0.45012367,3.1556542,9.076695
1546846871695,166627344772768,-0.3974496,3.0215747,9.371192
1546846871715,166627377472768,-0.18675344,3.2011454,10.089474
1546846871736,166627410172801,-0.3328042,3.344802,9.802161
1546846871755,166627442872801,-0.33759275,3.5411325,9.536397
1546846871775,166627475572834,0.35674694,3.9194279,9.488511
1546846871796,166627508272834,0.75659084,3.8356283,9.098245
1546846871815,166627540972834,0.5770202,4.0918155,8.978531
1546846871834,166627573672834,0.89067024,4.4198313,8.741497
1546846871857,166627603128655,0.7302538,4.4222255,8.499676
1546846871874,166627623161988,0.6943397,4.3168774,8.650515
1546846871894,166627643195088,1.0295382,4.233078,9.205987
1546846871918,166627663228154,1.4389591,4.3025117,9.122187
1546846871935,166627683261254,1.1013664,4.348003,8.868394
1546846871954,166627703293954,0.86912173,4.4916596,8.71516
1546846871975,166627723327020,0.88588166,4.022382,7.987301
1546846871993,166627743359753,1.1372806,4.3671575,7.927444
1546846872015,166627763392819,1.0726352,4.3168774,9.09585
1546846872114,166627783425885,0.66321415,3.562681,9.478934
1546846872114,166627803458985,0.85954463,3.7087317,8.889942
1546846872114,166627823491718,0.81165916,4.209135,8.320105
1546846872114,166627843524418,0.42139238,4.087027,8.672064
1546846872118,166627863524418,0.71588814,4.0894213,9.052753
1546846872134,166627883523651,0.7015225,3.9840732,9.37598
1546846872156,166627903523651,0.44294083,3.849994,9.201198
1546846872175,166627923523617,0.37111259,3.9242165,9.4142885
1546846872196,166627943523617,0.3423813,3.7230973,9.450203
1546846872215,166627963523017,0.37829542,3.7853484,9.143736
1546846872233,166627983522417,0.3974496,3.9601305,9.150918
1546846872254,166628003521850,0.2777359,3.8811195,9.395134
1546846872275,166628023521216,0.27055305,3.7757714,9.270632
1546846872295,166628043521249,0.028731298,3.7087317,9.352037
1546846872317,166628063521249,-0.18914771,3.6632404,9.198804
1546846872336,166628083521215,-0.25858167,3.6392977,8.806143
1546846872359,166628103520981,-0.19154198,4.0391417,8.830086
1546846872375,166628123520347,-0.34716985,3.5794408,9.2490835
1546846872395,166628143519747,-0.045491222,3.7925313,10.032011
1546846872414,166628163519180,-0.26337022,3.4740927,9.057542
1546846872454,166628183518546,-0.76616794,3.2993107,8.399116
1546846872504,166628203518179,-1.185166,3.4884584,9.2419
1546846872505,166628223518179,0.1699935,3.8116856,9.888355
1546846872505,166628243518079,0.51716334,4.4725056,9.115005
1546846872515,166628263517779,-0.0047885496,3.6105664,9.366403
1546846872534,166628283517412,-0.43575802,3.4453614,9.821315
1546846872554,166628303517412,-0.4836435,3.3328304,9.007262
1546846872578,166628323517078,-0.12210801,4.1516724,8.504464
1546846872593,166628343517078,0.117319465,4.0966043,8.427847
1546846872614,166628363516778,0.0071828244,4.271386,8.502069
1546846872634,166628383516444,0.47167215,4.5443335,8.542772
1546846872654,166628403516344,0.70631105,4.6760187,8.621783
1546846872677,166628423516977,0.5363176,4.5060253,8.751075
1546846872697,166628443517577,0.30886146,4.3001175,8.945011
1546846872718,166628463551210,0.53871185,4.513208,8.6984005
1546846872738,166628483618110,0.39505535,4.2737803,8.516436
1546846872759,166628503684776,0.2657645,4.235472,8.854029
1546846872778,166628523751442,0.50040346,4.393494,9.225141
1546846872800,166628543851442,0.3519584,4.4222255,9.093455
1546846872822,166628563985375,-0.035914123,4.0989985,8.976136
1546846872838,166628584118808,-0.0670397,4.1085753,9.076695
1546846872860,166628604285774,0.22506183,4.450957,9.115005
1546846872883,166628624453074,0.14605077,4.2905407,8.923462
1546846872904,166628644653040,0.098165266,4.3911,8.600235
1546846872924,166628664853073,0.15083931,4.556305,8.521224
1546846872945,166628685053073,0.028731298,4.3408203,8.703189
1546846872962,166628705253306,-0.0670397,4.245049,8.621783
1546846872984,166628725453939,0.12210801,4.331243,8.921068
1546846873005,166628745654539,0.21069619,4.225895,9.0838785
1546846873024,166628765855105,0.09337672,4.249838,9.115005
1546846873101,166628786055705,0.1699935,4.371946,8.865999
1546846873101,166628806256071,0.11013664,4.3863115,8.669669
1546846873101,166628826456104,0.11971374,4.333637,8.885154
1546846873101,166628846656437,0.11253092,4.216318,9.035994
1546846873122,166628866857003,0.117319465,4.2977233,8.988108
1546846873143,166628887057636,0.12450229,4.2977233,8.7534685
1546846873162,166628907258236,0.076616794,4.3456087,8.854029
1546846873182,166628927458869,0.14605077,4.2594147,9.012051
1546846873202,166628947659469,0.045491222,4.206741,8.988108
1546846873222,166628967860035,0.11492519,4.2546263,9.002473
1546846873244,166628988060668,0.18675344,4.2594147,9.033599
1546846873264,166629008261001,0.035914123,4.2402606,9.000079
1546846873282,166629028460967,0.06464542,4.268992,8.930645
1546846873303,166629048661000,0.12689656,4.3025117,8.842057
1546846873324,166629068860966,0.12929083,4.2594147,8.820508
1546846873343,166629089027399,0.23942748,4.292935,8.983319
1546846873364,166629109193799,0.31604427,4.173221,9.304152
1546846873384,166629129360465,0.21309046,4.0391417,9.352037
1546846873401,166629149493198,0.15083931,4.065479,9.270632
1546846873422,166629169592598,0.17478207,4.1780095,9.0288105
1546846873440,166629189692498,0.17717634,4.278569,8.755863
1546846873462,166629209759431,0.15562786,4.3408203,8.6984005
1546846873486,166629229859397,-0.038308397,4.292935,8.559532
