timeMillis,timeNanos,x,y,z
1546846871075,166626821272511,-30.539999,-63.66,-29.34
1546846871093,166626841273511,-30.42,-63.48,-29.76
1546846871113,166626861273511,-30.599998,-63.239998,-29.88
1546846871134,166626881273844,-30.539999,-63.48,-29.82
1546846871152,166626901273844,-30.48,-63.84,-29.46
1546846871173,166626921273844,-30.359999,-64.26,-29.46
1546846871195,166626941273844,-30.3,-64.5,-29.279999
1546846871215,166626961273986,-31.019999,-64.08,-29.46
1546846871235,166626981273986,-31.019999,-63.42,-29.699999
1546846871255,166627001273986,-31.019999,-63.539997,-29.46
1546846871274,166627021273986,-31.56,-63.3,-29.88
1546846871295,166627041273986,-31.26,-63.3,-29.88
1546846871316,166627061273986,-31.98,-62.699997,-30.179998
1546846871334,166627081273986,-32.46,-62.28,-30.3
1546846871354,166627101274057,-32.579998,-62.399998,-30.119999
1546846871375,166627121274057,-32.82,-62.1,-29.939999
1546846871394,166627141274057,-32.52,-62.579998,-29.34
1546846871414,166627161274057,-32.46,-62.52,-29.279999
1546846871435,166627181274057,-32.52,-62.219997,-29.82
1546846871454,166627201274057,-32.04,-61.859997,-30.48
1546846871474,166627221274057,-31.8,-61.44,-30.96
1546846871495,166627241274104,-31.56,-60.899998,-31.199999
1546846871515,166627261319194,-31.26,-60.6,-31.199999
1546846871533,166627281363367,-31.26,-60.539997,-31.32
1546846871557,166627301405033,-31.439999,-60.12,-32.04
1546846871576,166627321445073,-30.96,-59.879997,-33.18
1546846871595,166627341483534,-30.24,-59.28,-33.96
1546846871617,166627361520571,-29.939999,-58.68,-34.739998
1546846871635,166627381556285,-29.099998,-58.26,-35.16
1546846871656,166627401590767,-29.22,-58.079998,-35.28
1546846871677,166627421624133,-29.16,-58.14,-35.88
1546846871695,166627441657433,-29.16,-58.32,-35.7
1546846871715,166627461690766,-29.22,-58.26,-35.94
1546846871736,166627481724099,-28.98,-57.78,-36.12
1546846871755,166627501757432,-28.98,-57.36,-35.52
1546846871775,166627521790798,-29.039999,-57.3,-35.04
1546846871796,166627541824131,-29.939999,-58.44,-34.32
1546846871815,166627561857431,-30.599998,-59.34,-32.94
1546846871835,166627581890797,-31.56,-60.539997,-31.619999
1546846871857,166627603128655,-32.88,-61.44,-30.48
1546846871874,166627623161988,-33.239998,-61.559998,-29.4
1546846871894,166627643195088,-34.14,-61.92,-28.68
1546846871918,166627663228154,-34.68,-61.5,-28.08
1546846871935,166627683261254,-34.8,-61.68,-28.08
1546846871954,166627703293954,-35.82,-61.8,-28.26
1546846871975,166627723327020,-36.059998,-61.8,-28.14
1546846871993,166627743359753,-36.48,-62.039997,-28.5
1546846872015,166627763392819,-36.66,-61.559998,-28.38
1546846872114,166627783425885,-36.42,-61.02,-28.38
1546846872114,166627803458985,-36.6,-60.3,-28.98
1546846872114,166627823491718,-36.48,-59.76,-29.519999
1546846872114,166627843524418,-36.66,-59.46,-30.359999
1546846872118,166627863524418,-36.54,-59.1,-31.26
1546846872134,166627883523651,-36.54,-59.16,-31.74
1546846872156,166627903523651,-36.54,-58.98,-31.859999
1546846872175,166627923523617,-36.239998,-58.92,-32.28
1546846872196,166627943523617,-36.42,-58.68,-32.7
1546846872215,166627963523017,-35.88,-58.5,-33.059998
1546846872234,166627983522417,-35.76,-58.5,-33.42
1546846872254,166628003521850,-35.579998,-58.379997,-33.54
1546846872275,166628023521216,-34.739998,-58.5,-33.54
1546846872295,166628043521249,-34.38,-58.079998,-33.54
