timestamp,ssid,bssid,frequency,rss,wifiNo,legit
166630220116,eduroam,00:24:6c:7d:f6:81,2452,-38,-1,true
166630220113,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-39,-1,true
166630220126,KECI,18:31:bf:46:ff:d8,2462,-42,-1,true
166630220024,eduroam,00:24:6c:7d:f6:91,5200,-46,-1,true
166630220012,Welcome_KAIST,00:24:6c:7d:f6:90,5200,-49,-1,true
166630220061,KECI_5G,18:31:bf:46:ff:dc,5745,-50,-1,true
166630220087,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-52,-1,true
166630220009,,9c:d6:43:c8:11:80,2412,-52,-1,true
166630220033,ISILAB_2,2c:56:dc:84:dd:88,2417,-53,-1,true
166630220142,eduroam,00:24:6c:7d:f6:e1,2472,-54,-1,true
166630220145,Welcome_KAIST,00:24:6c:7a:88:e0,2472,-54,-1,true
166630220148,eduroam,00:24:6c:7a:88:e1,2472,-54,-1,true
166630220132,SmartIoT,10:6f:3f:e7:e1:a0,2462,-54,-1,true
166630220129,iptime,00:08:9f:d9:e3:54,2462,-55,-1,true
166630220138,Welcome_KAIST,00:24:6c:7d:f6:e0,2472,-56,-1,true
166630220153,Welcome_KAIST,00:24:6c:7d:f6:00,2472,-56,-1,true
166630220090,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-58,-1,true
166630220151,NMSL_N1_721,a6:40:a0:56:08:f5,2472,-58,-1,true
166630220111,Lapras,60:38:e0:bb:ee:01,2437,-59,-1,true
166630220102,ISILAB_5,2c:56:dc:84:dd:8c,5785,-60,-1,true
166630220096,HCIL guest,6e:7e:92:e0:9f:70,2432,-60,-1,true
166630220099,HCIL,6c:70:9f:e0:92:7e,2432,-60,-1,true
166630220044,WCSL 5GHz,64:e5:99:da:03:6c,5240,-60,-1,true
166630220055,mliguest,92:9f:33:f0:98:04,2422,-61,-1,true
166630220108,JKR-R7000,10:da:43:95:44:e1,2437,-61,-1,true
166630220081,JoyK,9c:d6:43:c8:11:82,5765,-63,-1,true
166630220016,eduroam,00:24:6c:7d:f6:f1,5200,-64,-1,true
166630220124,eduroam,00:24:6c:7a:8b:21,2452,-64,-1,true
166630220121,Welcome_KAIST,00:24:6c:7a:8b:20,2452,-65,-1,true
166630220021,eduroam,00:24:6c:7a:88:f1,5200,-66,-1,true
166630220030,Welcome_KAIST,00:24:6c:7d:f6:f0,5200,-66,-1,true
166630220136,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-67,-1,true
166630220076,eduroam,00:24:6c:7d:f6:11,5745,-68,-1,true
166630220018,Welcome_KAIST,00:24:6c:7a:88:f0,5200,-68,-1,true
166630219990,Welcome_KAIST,00:24:6c:7e:08:00,2412,-68,-1,true
166630220084,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-70,-1,true
166630220078,DIRECT-47-HP MLILABLaserJet,96:53:30:29:0e:47,2422,-70,-1,true
166630220038,LIT_2.4G,70:8b:cd:2f:82:60,2417,-70,-1,true
166630220046,Welcome_KAIST,00:24:6c:7a:8b:30,5240,-71,-1,true
166630220064,LIT_5G,70:8b:cd:2f:82:64,5745,-71,-1,true
166630220048,eduroam,00:24:6c:7a:8b:31,5240,-72,-1,true
166630220041,iptime_wl,88:36:6c:78:fc:e8,2417,-73,-1,true
166630220119,JKR-R7000-5G,10:da:43:95:44:de,5260,-74,-1,true
166630220093,MLILAB824_25G,88:36:6c:e9:4e:70,5785,-74,-1,true
166630220000,HCIL-IPTIME,64:e5:99:e3:3a:54,2412,-74,-1,true
166630220053,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-75,-1,true
166630220006,Welcome_KAIST,00:24:6c:7d:f3:60,2412,-75,-1,true
166630220105,Lapras_5GHz,60:38:e0:bb:ee:02,5805,-78,-1,true
166630219997,KIXLAB_WIFI_5GHz,48:f8:b3:dc:ef:4d,5180,-78,-1,true
166630220067,HCIL guest,6e:7f:92:e0:9f:70,5745,-79,-1,true
166630220070,HCIL,6c:70:9f:e0:92:7f,5745,-79,-1,true
166630220003,eduroam,00:24:6c:7d:f6:c1,2412,-81,-1,true
166630220026,BUFFALO-764062_A,b0:c7:45:76:40:63,5200,-83,-1,true
166630220073,eduroam,00:24:6c:7d:f3:f1,5745,-88,-1,true
166630220058,eduroam,00:24:6c:7d:f6:d1,5240,-90,-1,true
166633904787,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-39,0,true
166633904793,eduroam,00:24:6c:7d:f6:81,2452,-39,0,true
166633904651,eduroam,00:24:6c:7d:f6:91,5200,-43,0,true
166633904611,Welcome_KAIST,00:24:6c:7d:f6:90,5200,-44,0,true
166633904617,ISILAB_2,2c:56:dc:84:dd:88,2417,-45,0,true
166633904710,KECI_5G,18:31:bf:46:ff:dc,5745,-45,0,true
166633904805,KECI,18:31:bf:46:ff:d8,2462,-48,0,true
166633904625,,9c:d6:43:c8:11:80,2412,-48,0,true
166633904730,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-49,0,true
166633904767,Lapras,60:38:e0:bb:ee:01,2437,-54,0,true
166633904821,eduroam,00:24:6c:7a:88:e1,2472,-54,0,true
166633904810,Welcome_KAIST,00:24:6c:7a:88:e0,2472,-55,0,true
166633904817,Welcome_KAIST,00:24:6c:7d:f6:00,2472,-55,0,true
166633904745,ISILAB_5,2c:56:dc:84:dd:8c,5785,-56,0,true
166633904718,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-57,0,true
166633904684,WCSL 5GHz,64:e5:99:da:03:6c,5240,-58,0,true
166633904641,eduroam,00:24:6c:7a:88:f1,5200,-61,0,true
166633904634,Welcome_KAIST,00:24:6c:7a:88:f0,5200,-61,0,true
166633904726,mliguest,92:9f:33:f0:98:04,2422,-62,0,true
166633904666,DIRECT-47-HP MLILABLaserJet,96:53:30:29:0e:47,2422,-62,0,true
166633904801,Welcome_KAIST,00:24:6c:7a:8b:20,2452,-62,0,true
166633904648,eduroam,00:24:6c:7d:f6:f1,5200,-63,0,true
166633904813,iptime,00:08:9f:d9:e3:54,2462,-63,0,true
166633904759,JKR-R7000,10:da:43:95:44:e1,2437,-63,0,true
166633904644,Welcome_KAIST,00:24:6c:7d:f6:f0,5200,-64,0,true
166633904774,WCSL 2.4GHz,64:e5:99:da:03:68,2442,-64,0,true
166633904752,HCIL,6c:70:9f:e0:92:7e,2432,-66,0,true
166633904674,Welcome_KAIST,00:24:6c:7a:8b:30,5240,-66,0,true
166633904678,eduroam,00:24:6c:7a:8b:31,5240,-67,0,true
166633904658,eduroam,00:24:6c:7e:08:01,2412,-67,0,true
166633904737,HCIL guest,6e:7e:92:e0:9f:70,2432,-68,0,true
166633904721,eduroam,00:24:6c:7d:f6:11,5745,-68,0,true
166633904733,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-68,0,true
166633904620,Welcome_KAIST,00:24:6c:7d:f3:60,2412,-68,0,true
166633904771,Sungpil_RESL,90:9f:33:12:29:c2,2437,-68,0,true
166633904797,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-69,0,true
166633904637,Welcome_KAIST,00:24:6c:7e:08:00,2412,-69,0,true
166633904702,LIT_5G,70:8b:cd:2f:82:64,5745,-70,0,true
166633904698,Welcome_KAIST,00:24:6c:7d:f6:10,5745,-70,0,true
166633904654,eduroam,00:24:6c:7d:f3:61,2412,-71,0,true
166633904783,JKR-R7000-5G,10:da:43:95:44:de,5260,-72,0,true
166633904749,Lapras_5GHz,60:38:e0:bb:ee:02,5805,-73,0,true
166633904630,KIXLAB_WIFI_5GHz,48:f8:b3:dc:ef:4d,5180,-73,0,true
166633904778,,88:36:6c:c1:9b:22,2442,-73,0,true
166633904741,MLILAB824_25G,88:36:6c:e9:4e:70,5785,-74,0,true
166633904706,HCIL guest,6e:7f:92:e0:9f:70,5745,-75,0,true
166633904714,HCIL,6c:70:9f:e0:92:7f,5745,-75,0,true
166633904694,SmartIoT-5G,10:6f:3f:e7:e1:a1,5240,-78,0,true
166633904689,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-79,0,true
166633904763,KIXLAB_WIFI_5GHz,48:f8:b3:dc:ef:4e,5805,-84,0,true
166633904663,BUFFALO-764062_A,b0:c7:45:76:40:63,5200,-85,0,true
166633904756,MLILAB34255G,90:9f:33:f5:98:06,5805,-85,0,true
166633904670,Sungpil_RESL5G,90:9f:33:12:29:c0,5220,-87,0,true
166633904681,eduroam,00:24:6c:7d:f6:d1,5240,-89,0,true
166637596127,Welcome_KAIST,00:24:6c:7d:f6:90,5200,-40,1,true
166637596153,eduroam,00:24:6c:7d:f6:91,5200,-40,1,true
166637596267,eduroam,00:24:6c:7d:f6:81,2452,-43,1,true
166637596136,ISILAB_2,2c:56:dc:84:dd:88,2417,-44,1,true
166637596261,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-44,1,true
166637596289,KECI,18:31:bf:46:ff:d8,2462,-46,1,true
166637596252,Lapras,60:38:e0:bb:ee:01,2437,-48,1,true
166637596215,JKR-R7000,10:da:43:95:44:e1,2437,-50,1,true
166637596235,ISILAB_5,2c:56:dc:84:dd:8c,5785,-51,1,true
166637596221,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-51,1,true
166637596193,KECI_5G,18:31:bf:46:ff:dc,5745,-52,1,true
166637596211,,9c:d6:43:c8:11:80,2412,-52,1,true
166637596298,eduroam,00:24:6c:7d:f6:e1,2472,-55,1,true
166637596140,Welcome_KAIST,00:24:6c:7a:88:f0,5200,-59,1,true
166637596275,irnlp,c4:e9:84:f8:c7:73,2457,-59,1,true
166637596228,HCIL guest,6e:7e:92:e0:9f:70,2432,-60,1,true
166637596292,eduroam,00:24:6c:7a:88:e1,2472,-60,1,true
166637596295,Welcome_KAIST,00:24:6c:7a:88:e0,2472,-61,1,true
166637596303,,aa:40:a0:56:08:f5,2472,-61,1,true
166637596231,HCIL,6c:70:9f:e0:92:7e,2432,-62,1,true
166637596143,eduroam,00:24:6c:7a:88:f1,5200,-62,1,true
166637596226,JoyK,9c:d6:43:c8:11:82,5765,-62,1,true
166637596285,iptime,00:08:9f:d9:e3:54,2462,-62,1,true
166637596270,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-64,1,true
166637596147,eduroam,00:24:6c:7d:f6:f1,5200,-64,1,true
166637596223,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-65,1,true
166637596265,Welcome_KAIST,00:24:6c:7a:8b:20,2452,-65,1,true
166637596309,Welcome_KAIST,00:24:6c:7d:f2:e0,2472,-65,1,true
166637596179,WCSL 5GHz,64:e5:99:da:03:6c,5240,-66,1,true
166637596306,Welcome_KAIST,00:24:6c:7d:f7:20,2472,-66,1,true
166637596259,JKR-R7000-5G,10:da:43:95:44:de,5260,-67,1,true
166637596256,WCSL 2.4GHz,64:e5:99:da:03:68,2442,-67,1,true
166637596312,eduroam,00:24:6c:7d:f7:21,2472,-67,1,true
166637596314,eduroam,00:24:6c:7d:f2:e1,2472,-67,1,true
166637596243,Lapras_5GHz,60:38:e0:bb:ee:02,5805,-68,1,true
166637596208,mliguest,92:9f:33:f0:98:04,2422,-68,1,true
166637596278,SmartIoT,10:6f:3f:e7:e1:a0,2462,-68,1,true
166637596238,Askai-ASUS_80_2G,b0:6e:bf:a3:90:80,2432,-68,1,true
166637596169,LIT_2.4G,70:8b:cd:2f:82:60,2417,-69,1,true
166637596282,iDBLab-2.4GHz,78:54:2e:4c:f1:50,2457,-70,1,true
166637596205,MLILAB3425,90:9f:33:f5:98:04,2422,-71,1,true
166637596200,HCIL guest,6e:7f:92:e0:9f:70,5745,-72,1,true
166637596218,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-72,1,true
166637596182,Welcome_KAIST,00:24:6c:7a:8b:30,5240,-72,1,true
166637596184,eduroam,00:24:6c:7a:8b:31,5240,-72,1,true
166637596197,LIT_5G,70:8b:cd:2f:82:64,5745,-72,1,true
166637596163,eduroam,00:24:6c:7d:f6:c1,2412,-72,1,true
166637596160,Welcome_KAIST,00:24:6c:7d:f6:c0,2412,-72,1,true
166637596203,HCIL,6c:70:9f:e0:92:7f,5745,-74,1,true
166637596187,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-75,1,true
166637596245,Welcome_KAIST,00:24:6c:7d:f5:c0,2432,-77,1,true
166637596149,BUFFALO-764062_A,b0:c7:45:76:40:63,5200,-78,1,true
166637596165,iptime_wl,88:36:6c:78:fc:e8,2417,-78,1,true
166637596249,eduroam,00:24:6c:7d:f5:c1,2432,-78,1,true
166637596156,KIXLAB_WIFI_5GHz,48:f8:b3:dc:ef:4d,5180,-81,1,true
166637596190,eduroam,00:24:6c:7d:f6:d1,5240,-85,1,true
166637596173,Welcome_KAIST,00:24:6c:7d:f2:f0,5220,-85,1,true
166637596176,eduroam,00:24:6c:7d:f2:f1,5220,-85,1,true
166641281438,ISILAB_2,2c:56:dc:84:dd:88,2417,-43,2,true
166641281544,Lapras,60:38:e0:bb:ee:01,2437,-47,2,true
166641281519,ISILAB_5,2c:56:dc:84:dd:8c,5785,-48,2,true
166641281528,JKR-R7000,10:da:43:95:44:e1,2437,-48,2,true
166641281570,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-50,2,true
166641281449,eduroam,00:24:6c:7d:f6:91,5200,-51,2,true
166641281428,Welcome_KAIST,00:24:6c:7d:f6:90,5200,-52,2,true
166641281525,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-52,2,true
166641281534,HCIL guest,6e:7e:92:e0:9f:70,2432,-53,2,true
166641281541,HCIL,6c:70:9f:e0:92:7e,2432,-54,2,true
166641281499,KECI_5G,18:31:bf:46:ff:dc,5745,-55,2,true
