timeMillis,timeNanos,x,y,z
1546921784786,241540671006412,0.46209505,3.0742488,9.632168
1546921784804,241540703673112,0.46209505,3.0742488,9.632168
1546921784824,241540736339778,0.46209505,3.0742488,9.632168
1546921784847,241540769006444,0.54350036,3.5243726,9.536397
1546921784863,241540801673110,0.5506832,3.5315554,9.632168
1546921784884,241540834339776,0.4956149,3.5435266,9.778218
1546921784906,241540867006442,0.37590113,3.6967604,9.945818
1546921784926,241540899673075,0.38787252,3.8571768,9.8787775
1546921784945,241540932339775,0.55307746,3.929005,9.914692
1546921784966,241540965006441,0.6081458,3.7183087,9.826104
1546921784985,241540997672841,0.4740664,3.3232534,9.9889145
1546921785004,241541030338874,0.29210153,2.9066496,10.2091875
1546921785027,241541063005574,0.16520496,2.6337023,10.336084
1546921785046,241541095672240,0.05506832,2.5115943,10.288198
1546921785064,241541128338940,-0.42618093,2.3799093,9.419077
1546921785086,241541161005640,-0.19393626,2.6791935,8.45179
1546921785105,241541193672306,-0.09577099,2.8707354,8.28898
1546921785125,241541226339006,-0.11253092,3.0335462,8.411087
1546921785147,241541259005639,-0.098165266,3.057489,8.564321
1546921785165,241541291672339,0.05027977,2.9329867,8.81572
1546921785185,241541324339005,0.27294734,2.6887705,9.253872
1546921785206,241541357005671,0.44533512,2.3392065,9.694419
1546921785228,241541358005671,0.4764607,2.0255566,10.005674
1546921785247,241541390672337,0.29928434,1.8268317,10.055954
1546921785266,241541423339003,0.19393626,2.1716073,10.178062
1546921785285,241541456005703,0.3423813,2.5331428,9.474146
1546921785305,241541488672369,-0.14605077,2.8300328,7.920261
1546921785327,241541521339069,-0.35674694,3.2179053,6.9505796
1546921785344,241541554005735,-0.21787901,3.6608462,7.0343795
1546921785363,241541586672135,0.1340794,3.7638,7.49408
1546921785387,241541606672168,0.5027977,3.816474,8.25546
1546921785402,241541626671868,0.5123748,3.7302802,8.861211
1546921785422,241541646671268,0.29210153,3.4118416,9.246689
1546921785443,241541666671001,0.15802214,3.162837,9.299363
1546921785462,241541686670401,0.16759923,3.3040993,9.323306
1546921785482,241541706669801,0.30167863,3.4477558,9.498088
1546921785502,241541726669234,0.11013664,3.3855045,9.313729
1546921785521,241541746668634,0.26337022,3.4357843,9.148524
1546921785617,241541766668367,0.4740664,3.5363438,9.651321
1546921785618,241541786668367,0.32083282,3.5890179,10.245102
1546921785618,241541806668367,0.27294734,3.7781656,10.146936
1546921785618,241541826668700,0.22745611,4.352792,9.9889145
1546921785624,241541846668666,0.99362403,4.364763,9.440625
1546921785643,241541866668666,1.637684,3.4525442,9.859624
1546921785662,241541886668632,1.8603516,2.6360965,11.346468
1546921785682,241541906668265,2.099779,1.9130256,12.761485
1546921785702,241541926667698,2.2170985,1.6831752,13.072741
1546921785721,241541946667064,2.056682,2.3344178,11.487731
1546921785742,241541966666497,1.7214836,2.8491871,9.387952
1546921785766,241541986666463,1.6352897,2.9329867,8.652909
1546921785784,241542006666463,1.7933118,2.892284,8.717555
1546921785804,241542026666496,2.0159793,2.5068057,9.016839
1546921785825,241542046699562,1.7478206,2.0159793,9.404712
1546921785843,241542066732262,1.1253091,1.6879637,9.47654
1546921785864,241542086765028,0.45491222,1.690358,8.61939
1546921785883,241542106797728,-0.105348095,2.0159793,7.6353426
1546921785903,241542126830494,-0.31604427,2.604971,6.854809
1546921785924,241542146863194,-0.21787901,3.2825508,6.6608725
1546921785963,241542166896560,0.019154198,3.6512692,6.490879
1546921785987,241542186929560,0.2657645,4.0559015,6.572284
1546921786014,241542206962260,0.3423813,4.1780095,7.048745
1546921786014,241542226995260,0.21548474,3.981679,7.6975937
1546921786022,241542247028593,0.22266756,3.9984388,8.12138
1546921786043,241542267061593,0.20111908,4.065479,8.396722
1546921786063,241542287095226,0.21787901,4.2546263,8.399116
1546921786083,241542307128559,0.30167863,4.4294086,8.540379
1546921786103,241542327161859,0.32562137,4.2905407,9.07909
1546921786124,241542347195559,0.34477556,4.1851926,9.5483675
1546921786145,241542367229125,0.32083282,4.285752,9.699207
1546921786166,241542387262491,0.505192,4.292935,9.694419
1546921786185,241542407296091,0.035914123,4.6281333,10.065532
1546921786204,241542427329691,-0.7302538,5.4110613,9.050359
1546921786226,241542447363024,-0.06464542,5.358387,7.9513865
1546921786245,241542467429690,0.8140534,4.62095,9.744699
1546921786265,241542487496356,0.59378016,2.8180614,12.933872
1546921786287,241542507563389,-0.505192,1.3072741,14.31058
1546921786306,241542527630355,-0.8044763,0.888276,12.948238
1546921786326,241542547697655,-0.60335726,0.86912173,11.808563
1546921786347,241542567764888,-0.40223816,0.66321415,11.736735
1546921786367,241542587864654,-0.038308397,0.8667275,11.24112
1546921786387,241542607964654,0.32083282,1.297697,10.45101
1546921786407,241542628064620,0.8643332,1.7095122,9.445415
1546921786427,241542648131553,1.0917894,2.0351336,9.021627
1546921786446,241542668198853,1.1396748,2.0949905,9.126976
1546921786468,241542688266086,0.8978531,2.2027328,8.348836
1546921786488,241542708333386,0.7877164,2.5738454,7.3145094
1546921786507,241542728400619,0.76137936,3.031152,6.387925
1546921786528,241542748467919,0.5985687,3.2370596,6.0527267
1546921786663,241542768567885,0.5794145,3.1077688,6.4573593
1546921786663,241542788701818,0.845179,2.8946784,7.266624
1546921786663,241542808835784,1.0415095,2.5068057,8.102226
1546921786663,241542828969717,1.0079896,2.1716073,8.904308
1546921786663,241542849103383,0.845179,2.248224,9.208381
1546921786663,241542869237316,0.9792584,2.3990633,8.964165
1546921786667,241542889370949,1.0127783,2.2434354,8.545167
1546921786690,241542909504915,0.5027977,2.3320236,8.581081
1546921786710,241542929638848,0.0,2.7917244,8.913885
1546921786732,241542949772414,0.028731298,3.2179053,8.8324795
1546921786750,241542969905780,0.57462597,3.4262073,8.674458
1546921786772,241542990039080,1.1803775,2.8539755,9.28021
1546921786787,241543010172446,1.7119064,1.637684,11.267457
1546921786808,241543030305779,2.5211713,0.28252444,14.84211
1546921786830,241543050439112,2.8276386,0.07422252,16.168537
1546921786850,241543070539145,2.865947,1.0247496,13.771869
1546921786869,241543090639145,3.0263634,1.733455,10.568329
1546921786889,241543110738811,3.3902931,2.1045675,9.4142885
1546921786907,241543130838477,3.3567734,2.1931558,9.191621
1546921786932,241543131838477,3.1819913,2.1380875,9.026416
1546921786950,241543151938510,2.8180614,1.9728824,8.813326
1546921786968,241543172005410,2.2147043,1.8842943,8.497281
1546921786989,241543192072076,1.5802214,1.908237,8.083072
1546921787009,241543212138742,1.036721,2.317658,7.1349387
1546921787028,241543232205408,0.749408,2.7175019,6.1820173
1546921787048,241543252272074,0.68715686,3.1460772,5.664854
1546921787069,241543272338740,0.94095,3.4381785,5.8444247
1546921787088,241543292405373,1.2091088,3.572258,6.543553
1546921787107,241543312472073,1.2138973,3.328042,7.4629545
1546921787131,241543332538706,0.9313729,2.9617178,8.109408
1546921787148,241543352572072,0.76137936,2.8683412,8.470944
1546921787168,241543372572072,0.70631105,2.9401696,8.784595
1546921787192,241543392605372,0.71588814,2.9665065,9.543579
1546921787209,241543412638705,0.7805336,2.8779182,10.139753
1546921787230,241543432672305,1.132492,2.779753,10.410307
1546921787252,241543452705638,1.8244374,2.8443985,11.174081
1546921787269,241543472739004,1.9848539,2.9760835,12.464595
1546921787289,241543492772304,1.5059988,3.4357843,12.443047
1546921787311,241543512805670,1.637684,3.790137,10.96099
1546921787330,241543532839003,1.8340145,3.0215747,11.976163
1546921787350,241543552872336,1.1037607,1.9058428,13.62103
1546921787373,241543572939002,0.19393626,1.2498114,11.992923
1546921787390,241543593005635,0.05506832,1.4748733,9.519637
1546921787410,241543613072301,0.45251793,0.9601042,9.320911
1546921787433,241543633172301,0.5913859,-0.071828246,10.956202
1546921787453,241543653305601,0.8379962,-0.49800915,11.044789
1546921787472,241543673438967,1.228263,-0.2657645,9.852441
1546921787493,241543693572600,1.776552,0.06943397,9.246689
1546921787512,241543713739900,1.786129,0.14126222,9.09585
1546921787534,241543733939900,1.4365649,0.28970724,8.612206
1546921787603,241543754173200,1.2857256,0.6895511,7.850827
1546921787603,241543774406566,1.4485363,1.2665714,7.211556
1546921787603,241543794639899,1.8052832,1.8914771,6.2514515
1546921787620,241543814906599,2.0183737,2.343995,5.6504884
1546921787638,241543835206599,2.1476645,2.5714512,5.7582307
1546921787656,241543855506599,2.0949905,2.4541316,6.167652
1546921787678,241543875806599,1.8076775,2.2937152,6.7829804
1546921787698,241543896139932,1.7454263,1.908237,7.721536
1546921787720,241543916506565,1.5921928,1.8076775,8.674458
1546921787743,241543936873265,1.5850099,1.4748733,9.553157
1546921787761,241543957239898,1.6089526,1.201926,10.527626
1546921787780,241543977606598,1.7789462,1.0798179,11.083098
1546921787799,241543997939931,1.5012103,1.4150164,10.975356
1546921787820,241544018273031,1.1971374,1.6400782,10.465375
1546921787839,241544038606864,1.7262721,1.2809371,10.161303
1546921787861,241544058939864,2.7989073,0.3232271,12.603462
1546921787879,241544079273164,3.3687446,-1.3168511,15.783059
1546921787899,241544099606497,3.5363438,-1.8771114,17.437504
1546921787920,241544119939797,3.5866237,-0.90503585,14.62423
1546921787939,241544140273163,3.8763309,0.17957062,10.635368
1546921787960,241544160606463,4.230684,0.46927786,9.167678
1546921787982,241544180906496,4.252232,0.32562137,10.046377
1546921788000,241544201206496,4.149278,0.2681588,10.482135
1546921788018,241544221506229,3.981679,0.56744313,9.73991
1546921788113,241544241772929,3.7422516,1.0582695,8.178843
1546921788113,241544262006262,3.4046588,1.5874043,6.8236833
1546921788113,241544282239562,2.8348215,2.011191,5.525986
1546921788113,241544302472895,2.2458298,2.1452703,4.517997
1546921788118,241544322672861,1.8364087,2.3032923,4.1181526
1546921788140,241544342839561,1.7119064,2.439766,4.338426
1546921788160,241544362972894,1.7526091,2.2937152,5.6959796
1546921788180,241544383106194,1.4102279,1.9417568,6.6081986
1546921788198,241544403239560,1.0750294,1.7645805,7.537177
1546921788220,241544423339526,0.90982443,1.5586729,8.253065
1546921788239,241544443406192,0.9505271,1.5826156,9.122187
1546921788259,241544463472858,1.1181264,1.5203645,9.974549
1546921788281,241544483539524,1.56825,1.4413534,10.934653
1546921788298,241544503572857,2.1644244,1.3024855,11.557164
1546921788319,241544523572857,2.8587642,1.8555629,12.361641
1546921788340,241544543572557,3.4286015,2.7941186,11.822929
1546921788360,241544563572590,4.333637,3.1317115,10.654523
1546921788379,241544583572556,4.4222255,2.6217308,12.112637
1546921788403,241544603605922,3.5650752,1.4748733,14.16453
1546921788420,241544623639488,2.82285,1.2043202,13.202031
1546921788441,241544643672321,2.597788,1.4150164,10.422278
1546921788461,241544663706021,2.432583,0.8667275,9.620196
1546921788479,241544683739354,2.3344178,-0.20590763,10.61382
1546921788501,241544703772687,2.2961094,-0.749408,11.102252
1546921788522,241544723806053,2.5139885,-0.6440599,10.407912
1546921788541,241544743839353,2.5594797,-0.4644893,9.900327
1546921788609,241544763872719,2.3727264,-0.14844504,9.407105
1546921788610,241544783939352,2.2937152,0.2561874,8.660092
1546921788610,241544804006018,2.2170985,0.67279124,7.85801
1546921788621,241544824072984,2.3248408,1.1612233,6.8955116
1546921788644,241544844139617,2.439766,1.6712039,5.7630196
1546921788661,241544864206283,2.4182177,1.9992194,4.9178405
1546921788680,241544884272949,2.439766,2.185973,4.802915
1546921788702,241544904339615,2.6552508,1.9441512,5.834848
1546921788721,241544924406315,2.8396099,1.6257126,7.106208
1546921788741,241544944472948,2.762993,1.201926,8.466156
1546921788763,241544964539614,2.5331428,1.089395,8.961771
1546921788782,241544984606314,2.6815877,1.0774237,9.09585
1546921788801,241545004672947,2.928198,1.1157321,9.452597
1546921788822,241545024739380,2.8731298,1.1636176,9.531608
1546921788839,241545044805380,2.5331428,1.1708003,9.531608
1546921788861,241545064872046,1.8842943,1.2713599,10.415095
1546921788881,241545084938712,1.8435916,0.9026416,10.829305
1546921788901,241545105005378,2.403852,0.4836435,10.786208
1546921788922,241545125072078,3.4884584,-0.19633053,11.753495
1546921788943,241545145139011,3.7159145,-0.6656084,13.1206255
1546921788961,241545165205644,3.5985951,-0.5794145,12.407132
1546921788982,241545185305677,4.0726614,-0.15323359,10.908316
1546921789008,241545205372310,4.558699,0.05985687,10.324113
1546921789023,241545225438743,4.5898247,0.23463893,10.197216
1546921789042,241545245505409,4.6903844,0.54350036,10.046377
1546921789064,241545265572042,4.7693954,1.1660118,9.799767
1546921789082,241545285638742,4.7071443,1.759792,9.035994
1546921789102,241545305705408,4.228289,2.1811843,7.7861814
1546921789124,241545325772041,3.5435266,2.4708917,6.1461034
1546921789143,241545345838741,3.0742488,2.6696165,5.183605
1546921789162,241545365905374,2.8443985,2.8204558,4.8747435
1546921789184,241545385938740,2.978478,2.7725701,5.3248672
1546921789202,241545405972073,2.9904492,2.439766,5.9880815
1546921789224,241545426005106,2.6432793,2.2147043,6.4765134
1546921789243,241545446038472,2.5810282,1.9920366,7.467743
1546921789262,241545466071805,2.6289136,1.8364087,8.621783
1546921789281,241545486105138,2.631308,1.5107874,9.557945
1546921789305,241545506138504,2.403852,1.1348863,10.204399
1546921789321,241545526171804,2.439766,0.77574503,11.063944
1546921789343,241545546205170,2.9210153,0.7398309,11.923489
1546921789364,241545566238503,3.6105664,1.6161355,12.636982
1546921789382,241545586271803,4.0295644,2.8898897,11.897152
1546921789401,241545606305169,4.8915033,3.5770466,10.276228
1546921789424,241545626338735,4.6832013,3.5507095,11.317737
1546921789444,241545646406101,3.3567734,2.8563697,12.323333
1546921789462,241545666472767,2.657645,2.588211,10.9801445
1546921789484,241545686539433,2.5092,2.176396,8.834874
1546921789505,241545706639466,2.6121538,0.83081335,9.818921
1546921789525,241545726772766,2.8515813,-0.48124924,13.154146
1546921789552,241545746906132,2.2721667,-1.5490957,14.037633
1546921789583,241545767039465,2.0925963,-1.5227587,12.119819
1546921789587,241545787172765,2.8348215,-0.49800915,9.749487
1546921789608,241545807339465,3.0359404,0.22266756,8.724737
1546921789628,241545827506365,2.8013015,0.57223165,8.437425
1546921789647,241545847673065,2.6289136,1.1516461,7.4868975
1546921789667,241545867839731,2.8563697,1.9297855,5.794145
1546921789687,241545888006364,3.2705793,2.6217308,4.2139235
1546921789708,241545908173030,3.3615618,3.1987512,3.4645157
1546921789728,241545928339696,3.2346652,3.1053743,4.113364
1546921789749,241545948506329,3.2681851,2.7462332,5.5379577
1546921789767,241545968673029,3.3328304,2.4469488,6.9936767
1546921789787,241545988839662,2.8491871,2.1380875,7.7957587
1546921789807,241546009006362,2.3463893,2.1021733,8.056735
1546921789825,241546029172695,1.9465454,1.812466,7.9418097
1546921789848,241546049339061,1.8459859,1.5347302,8.109408
1546921789868,241546069505761,1.9465454,1.5107874,8.734315
1546921789887,241546089672427,1.7119064,1.5754328,9.481328
1546921789908,241546109839060,0.73743665,1.3383996,9.601042
1546921789927,241546130005760,1.0271438,1.6448668,8.923462
