timeMillis,timeNanos,x,y,z
1546921784582,241540329730694,-16.199999,-28.38,-18.9
1546921784603,241540349731694,-16.02,-28.619999,-18.359999
1546921784622,241540369731694,-16.08,-28.68,-17.64
1546921784642,241540389731694,-15.96,-28.74,-16.98
1546921784663,241540409731944,-16.08,-29.039999,-16.5
1546921784682,241540429731944,-16.32,-29.34,-16.14
1546921784711,241540449731944,-16.32,-29.88,-15.96
1546921784726,241540469731944,-16.38,-29.82,-15.9
1546921784745,241540489731944,-16.619999,-30.0,-15.48
1546921784768,241540509731944,-16.26,-30.24,-15.24
1546921784787,241540529731944,-16.199999,-30.119999,-14.58
1546921784804,241540549732034,-16.14,-30.3,-14.219999
1546921784824,241540569732034,-15.54,-29.82,-13.98
1546921784847,241540589732034,-15.12,-29.279999,-13.5
1546921784863,241540609732034,-15.299999,-29.34,-13.38
1546921784884,241540629732034,-15.48,-29.64,-13.0199995
1546921784906,241540649732034,-16.02,-29.88,-12.78
1546921784926,241540669732034,-16.199999,-30.06,-11.88
1546921784945,241540689732089,-16.68,-29.64,-11.46
1546921784966,241540709732089,-16.619999,-29.34,-11.28
1546921784985,241540729731689,-16.98,-29.279999,-10.74
1546921785004,241540749730831,-16.859999,-29.279999,-11.04
1546921785028,241540769730876,-16.14,-29.16,-10.86
1546921785046,241540789730876,-16.56,-29.099998,-10.559999
1546921785065,241540809730917,-16.5,-28.74,-10.8
1546921785087,241540829730957,-17.16,-27.96,-10.679999
1546921785106,241540849730957,-17.52,-27.779999,-10.559999
1546921785126,241540869730994,-17.46,-27.06,-10.139999
1546921785147,241540889730994,-17.52,-27.0,-9.96
1546921785166,241540909731028,-17.699999,-27.119999,-9.599999
1546921785186,241540929731028,-18.119999,-26.64,-9.719999
1546921785207,241540949730994,-18.6,-26.279999,-9.3
1546921785228,241540970143765,-19.08,-25.439999,-9.12
1546921785252,241540990143765,-19.38,-24.66,-9.12
1546921785267,241541010143731,-19.56,-24.119999,-8.58
1546921785286,241541030143764,-19.32,-23.58,-9.12
1546921785305,241541050143764,-19.32,-23.46,-8.88
1546921785328,241541070143797,-19.38,-23.34,-9.0
1546921785344,241541090143797,-19.14,-23.16,-9.3
1546921785364,241541110143530,-18.84,-23.039999,-9.42
1546921785387,241541130143563,-18.779999,-22.619999,-9.54
1546921785404,241541150143263,-18.6,-22.02,-9.42
1546921785422,241541170142663,-18.9,-21.96,-9.12
1546921785444,241541190142396,-19.08,-21.24,-9.3
1546921785463,241541210141796,-19.26,-20.699999,-9.719999
1546921785482,241541230141196,-19.68,-20.22,-9.84
1546921785502,241541250140629,-19.74,-19.56,-10.0199995
1546921785521,241541270140029,-20.46,-19.32,-9.78
1546921785618,241541290139762,-20.279999,-19.199999,-9.36
1546921785618,241541310139762,-19.98,-18.84,-9.36
1546921785618,241541330139762,-19.98,-18.84,-9.059999
1546921785618,241541350140095,-19.92,-19.02,-8.4
1546921785624,241541370140061,-20.46,-18.9,-8.22
1546921785643,241541390140061,-20.64,-19.32,-8.04
1546921785663,241541410140027,-21.18,-18.66,-7.9199996
1546921785682,241541430139660,-21.18,-17.82,-8.099999
1546921785702,241541450139093,-21.3,-17.76,-7.9199996
1546921785721,241541470138459,-21.779999,-17.16,-7.62
1546921785742,241541490137892,-21.0,-17.039999,-7.3799996
1546921785766,241541510137858,-20.76,-17.039999,-7.14
1546921785784,241541530137858,-20.76,-17.1,-7.02
1546921785804,241541550137891,-20.34,-17.46,-7.02
1546921785825,241541570170957,-20.82,-17.64,-6.66
1546921785844,241541590203657,-20.82,-18.24,-6.8399997
1546921785864,241541610236423,-20.279999,-18.06,-6.3599997
1546921785883,241541630269123,-20.4,-18.18,-6.06
1546921785903,241541650301889,-19.98,-18.359999,-6.66
1546921785924,241541670334589,-19.98,-18.18,-6.48
1546921785963,241541690367955,-19.859999,-18.24,-6.66
1546921786014,241541710400955,-19.5,-18.3,-6.8399997
1546921786014,241541730433655,-19.56,-18.119999,-6.66
1546921786014,241541750466655,-18.9,-18.3,-6.7799997
1546921786022,241541770499988,-19.02,-17.699999,-6.72
1546921786043,241541790532988,-19.98,-16.8,-7.08
1546921786063,241541810566621,-20.46,-16.32,-7.7999997
1546921786083,241541830599954,-19.8,-16.38,-8.04
1546921786103,241541850633254,-19.56,-16.32,-7.98
1546921786124,241541870666954,-19.859999,-16.5,-7.56
1546921786145,241541890700520,-19.32,-16.38,-7.5
1546921786166,241541910733886,-19.5,-15.54,-7.9199996
1546921786185,241541930767486,-20.34,-15.48,-7.74
1546921786205,241541950801086,-20.34,-15.36,-8.04
1546921786226,241541970834419,-20.46,-15.12,-8.7
1546921786245,241541990901085,-20.699999,-15.0,-8.46
1546921786265,241542010967751,-20.46,-14.219999,-8.46
1546921786287,241542031034784,-20.76,-13.38,-8.16
1546921786306,241542051101750,-21.6,-13.259999,-8.639999
1546921786326,241542071169050,-21.48,-12.84,-9.179999
1546921786347,241542091236283,-21.0,-12.48,-8.7
1546921786367,241542111336049,-21.119999,-12.36,-8.4
1546921786387,241542131436049,-21.24,-12.12,-8.7
1546921786407,241542151536015,-21.42,-10.98,-9.059999
1546921786427,241542171602948,-22.32,-9.36,-9.0
1546921786446,241542191670248,-22.74,-8.88,-9.24
1546921786468,241542211737481,-22.439999,-9.0,-9.3
1546921786489,241542231804781,-22.8,-8.5199995,-8.82
1546921786507,241542251872014,-22.859999,-7.9199996,-8.58
1546921786528,241542271939314,-22.98,-7.3199997,-9.059999
1546921786663,241542292039280,-23.16,-7.74,-9.48
1546921786663,241542312173213,-22.98,-7.8599997,-9.179999
1546921786663,241542332307179,-23.16,-7.2,-9.179999
1546921786663,241542352441112,-23.58,-7.02,-10.2
1546921786663,241542372574778,-23.58,-6.54,-9.78
1546921786663,241542392708711,-23.64,-6.2999997,-9.179999
1546921786668,241542412842344,-24.0,-6.66,-9.48
1546921786690,241542432976310,-23.88,-6.8999996,-9.54
1546921786710,241542453110243,-24.359999,-6.8399997,-10.2
1546921786732,241542473243809,-24.6,-7.08,-10.44
1546921786751,241542493377175,-23.939999,-6.3599997,-10.32
1546921786772,241542513510475,-24.539999,-5.7,-10.679999
1546921786787,241542533643841,-24.779999,-5.52,-10.62
1546921786808,241542553777174,-25.019999,-5.3399997,-10.32
1546921786830,241542573910507,-25.32,-5.04,-10.38
1546921786850,241542594010540,-24.9,-4.44,-10.2
1546921786869,241542614110540,-25.08,-4.5,-9.66
1546921786889,241542634210206,-25.74,-3.9599998,-9.9
1546921786907,241542654309872,-25.619999,-3.8999999,-10.62
1546921786932,241542675750418,-25.74,-4.56,-10.5
1546921786951,241542695850451,-26.279999,-4.3199997,-9.9
1546921786968,241542715917351,-25.859999,-4.14,-9.42
