timeMillis,timeNanos,value
1546921784622,241540361730694,1018.97046
1546921784726,241540461730694,1018.96875
1546921784825,241540561730694,1018.9863
1546921784927,241540661730694,1018.9861
1546921785028,241540761730944,1018.9863
1546921785126,241540861731144,1018.9751
1546921785229,241540962143765,1018.97437
1546921785329,241541062143907,1018.9646
1546921785423,241541162141657,1018.9624
1546921785522,241541262139657,1018.95825
1546921785624,241541362139657,1018.96533
1546921785721,241541462138020,1018.9619
1546921785825,241541562220686,1018.9761
1546921785925,241541662296224,1018.9839
1546921786022,241541762366366,1018.9741
1546921786124,241541862432566,1018.9817
1546921786227,241541962495066,1018.9795
1546921786326,241542062612771,1018.98193
1546921786428,241542162779437,1018.9856
1546921786528,241542262937384,1018.98755
1546921786663,241542363186984,1018.9807
1546921786732,241542463425079,1018.97656
1546921786830,241542563652351,1018.97485
1546921786933,241542667750418,1018.98193
1546921787028,241542767958751,1018.99585
1546921787131,241542868158751,1018.9883
1546921787230,241542968389520,1018.9751
1546921787331,241543068611742,1018.96704
1546921787433,241543168897456,1018.9702
1546921787534,241543269276766,1018.9839
1546921787638,241543369743432,1018.9822
1546921787743,241543470276798,1018.97876
1546921787839,241543570810631,1018.97876
1546921787939,241543671343997,1018.97266
1546921788113,241543771877330,1018.98584
1546921788140,241543872410663,1018.9966
1546921788239,241543972943996,1018.9917
1546921788341,241544073477029,1018.98364
1546921788441,241544174044295,1018.98535
1546921788541,241544274611561,1018.99414
1546921788644,241544375211561,1018.99805
1546921788741,241544475812161,1018.99316
1546921788839,241544576378427,1018.9861
1546921788943,241544676945693,1018.97705
1546921789042,241544777546293,1018.97314
1546921789143,241544878146559,1018.9807
1546921789243,241544978746592,1018.97925
1546921789344,241545079313258,1018.96924
1546921789444,241545179879958,1018.98
1546921789552,241545280513291,1018.9946
1546921789647,241545381146924,1018.98926
1546921789749,241545481780257,1018.98926
1546921789848,241545582413323,1018.9763
1546921789948,241545683079989,1018.9668
1546921790050,241545783779722,1018.9695
1546921790151,241545884479722,1018.9878
1546921790250,241545985179722,1018.99756
1546921790354,241546085979722,1018.99316
1546921790459,241546186812788,1018.9978
1546921790618,241546287546121,1019.0122
1546921790656,241546388179454,1019.0166
1546921790757,241546488746087,1019.02075
1546921790860,241546589378953,1019.0176
1546921790964,241546690045586,1019.0095
1546921791062,241546790778919,1019.0105
1546921791162,241546891512219,1019.0183
1546921791262,241546992245552,1019.022
1546921791363,241547092979152,1019.02515
1546921791461,241547193679152,1019.0171
1546921791601,241547294379152,1019.01685
1546921791662,241547395045818,1019.0161
1546921791761,241547495712484,1019.0193
1546921791915,241547596379817,1019.01587
1546921791962,241547697046483,1019.00244
1546921792064,241547797713183,1018.9885
1546921792163,241547898379816,1018.99097
1546921792264,241547999046482,1019.0012
1546921792365,241548099779815,1019.01025
1546921792466,241548200513148,1018.9961
1546921792582,241548301279814,1018.9949
1546921792668,241548401979814,1018.9905
1546921792768,241548502679814,1018.9863
1546921792870,241548603380080,1018.9719
1546921792969,241548704080080,1018.9768
1546921793070,241548804747013,1018.9785
1546921793170,241548905413679,1018.98096
1546921793270,241549006047012,1018.99
1546921793372,241549106647012,1018.98096
1546921793475,241549207247278,1018.978
1546921793577,241549307947278,1018.98193
1546921793683,241549408747278,1018.98926
1546921793785,241549509613978,1018.99146
1546921793883,241549610447278,1018.99
1546921793987,241549711347311,1018.98706
1546921794088,241549812180644,1018.9824
1546921794189,241549913114010,1018.99194
1546921794290,241550014080710,1018.9839
1546921794395,241550115114076,1018.9883
1546921794496,241550216247442,1018.979
1546921794598,241550317447442,1018.97046
1546921794704,241550418747442,1018.9746
1546921794806,241550520114108,1018.9866
1546921794903,241550621480774,1018.9807
1546921795004,241550722847440,1018.98364
1546921795105,241550824180740,1018.97485
1546921795203,241550925514073,1018.97705
1546921795304,241551026847373,1018.979
1546921795407,241551128214006,1018.9829
1546921795508,241551229647306,1018.9856
1546921795617,241551330980606,1018.9844
1546921795710,241551432380572,1018.98486
1546921795813,241551533780572,1018.9868
1546921795915,241551635180605,1018.9878
1546921796011,241551736547305,1018.98096
1546921796110,241551837914005,1018.97534
