timestamp,ssid,bssid,frequency,rss,wifiNo,legit
241543739783,ISILAB_2,2c:56:dc:84:dd:88,2417,-45,-1,true
241543739888,Lapras,60:38:e0:bb:ee:01,2437,-47,-1,true
241543739904,ISILAB_5,2c:56:dc:84:dd:8c,5785,-47,-1,true
241543739912,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-49,-1,true
241543739881,eduroam,00:24:6c:7d:f6:e1,2432,-51,-1,true
241543739994,NMSL_N1_721,a6:40:a0:56:08:f5,2472,-51,-1,true
241543739973,KECI,18:31:bf:46:ff:d8,2462,-52,-1,true
241543739772,Welcome_KAIST,00:24:6c:7d:f6:f0,5200,-54,-1,true
241543739775,eduroam,00:24:6c:7d:f6:f1,5200,-54,-1,true
241543739980,,aa:40:a0:56:08:f5,2472,-54,-1,true
241543739937,eduroam,00:24:6c:7d:f6:81,2452,-55,-1,true
241543739956,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-55,-1,true
241543739894,JKR-R7000,10:da:43:95:44:e1,2437,-56,-1,true
241543739785,,9c:d6:43:c8:11:80,2412,-57,-1,true
241543739885,HCIL guest,6e:7e:92:e0:9f:70,2432,-57,-1,true
241543739890,HCIL,6c:70:9f:e0:92:7e,2432,-59,-1,true
241543739844,KECI_5G,18:31:bf:46:ff:dc,5745,-59,-1,true
241543739836,Welcome_KAIST,00:24:6c:7d:f6:90,5745,-59,-1,true
241543739840,eduroam,00:24:6c:7d:f6:91,5745,-59,-1,true
241543739969,irnlp,c4:e9:84:f8:c7:73,2457,-59,-1,true
241543739976,iptime_dblab,90:9f:33:10:83:be,2467,-61,-1,true
241543739824,WCSL 5GHz,64:e5:99:da:03:6c,5240,-61,-1,true
241543739927,eduroam,00:24:6c:7d:f2:e1,2452,-61,-1,true
241543739818,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-62,-1,true
241543739946,iDBLab-2.4GHz,78:54:2e:4c:f1:50,2457,-62,-1,true
241543739953,JKR-R7000-5G,10:da:43:95:44:de,5260,-64,-1,true
241543739898,Welcome_KAIST,00:24:6c:7d:f6:00,2432,-64,-1,true
241543739797,Welcome_KAIST,00:24:6c:7a:8b:30,5220,-64,-1,true
241543739802,eduroam,00:24:6c:7a:8b:31,5220,-64,-1,true
241543739915,Lapras_5GHz,60:38:e0:bb:ee:02,5805,-65,-1,true
241543739934,Welcome_KAIST,00:24:6c:7a:8b:20,2452,-65,-1,true
241543739943,eduroam,00:24:6c:7a:8b:21,2452,-65,-1,true
241543739900,eduroam,00:24:6c:7d:f6:01,2432,-66,-1,true
241543739998,eduroam,00:24:6c:7d:f5:81,2472,-66,-1,true
241543739821,mliguest,92:9f:33:f0:98:04,2422,-67,-1,true
241543739864,HCIL guest,6e:7f:92:e0:9f:70,5745,-67,-1,true
241543739988,Welcome_KAIST,00:24:6c:7d:f7:20,2472,-67,-1,true
241543739991,eduroam,00:24:6c:7d:f7:21,2472,-67,-1,true
241543739829,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-68,-1,true
241543739867,HCIL,6c:70:9f:e0:92:7f,5745,-68,-1,true
241543739983,eduroam,00:24:6c:7d:f6:c1,2472,-68,-1,true
241543739875,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-69,-1,true
241543739940,CaisLab,90:9f:33:bb:c4:e4,2452,-69,-1,true
241543739965,iptime,00:08:9f:d9:e3:54,2462,-69,-1,true
241543739810,LIT_2.4G,70:8b:cd:2f:82:60,2417,-69,-1,true
241543739744,HCIL-IPTIME,64:e5:99:e3:3a:54,2412,-71,-1,true
241543739726,eduroam,00:24:6c:7d:f7:31,5180,-71,-1,true
241543739761,Welcome_KAIST,00:24:6c:7d:f7:30,5180,-71,-1,true
241543739878,Askai-ASUS_80_2G,b0:6e:bf:a3:90:80,2432,-71,-1,true
241543739908,LIT_5G,70:8b:cd:2f:82:64,5805,-72,-1,true
241543739849,KIXLAB_WIFI,48:f8:b3:dc:ef:4c,2427,-74,-1,true
241543739750,WINSLAB_AP1_2.4,00:22:6b:8a:10:0a,2412,-74,-1,true
241543739870,BGDR,90:9f:33:8f:db:e8,2427,-76,-1,true
241543739832,Welcome_KAIST,00:24:6c:7d:f6:10,5240,-77,-1,true
241543739930,iptime,88:36:6c:41:85:5c,2447,-78,-1,true
241543739806,eduroam,00:24:6c:7d:f2:f1,5220,-83,-1,true
241543739778,BUFFALO-764062_A,b0:c7:45:76:40:63,5200,-83,-1,true
241543739949,eduroam,00:24:6c:7d:f4:21,2452,-83,-1,true
241543739815,Welcome_KAIST,00:24:6c:7d:f2:f0,5220,-84,-1,true
241543739755,WASHERE2,b0:c7:45:76:44:2b,5180,-85,-1,true
241543739789,Welcome_KAIST,00:24:6c:7d:f6:d0,5220,-85,-1,true
241543739792,eduroam,00:24:6c:7d:f6:d1,5220,-85,-1,true
241543739854,Welcome_KAIST,00:24:6c:7a:88:f0,5745,-85,-1,true
241543739859,eduroam,00:24:6c:7a:88:f1,5745,-85,-1,true
241543739960,eduroam,00:24:6c:7e:02:41,2452,-88,-1,true
241543739769,Welcome_KAIST,00:24:6c:7d:f6:70,5180,-89,-1,true
241543739923,eduroam,00:24:6c:7d:f5:11,5805,-89,-1,true
241543739919,Welcome_KAIST,00:24:6c:7d:f5:10,5805,-90,-1,true
241547530717,HCIL,6c:70:9f:e0:92:7e,2432,-45,0,true
241547530701,HCIL guest,6e:7e:92:e0:9f:70,2432,-45,0,true
241547530603,eduroam,00:24:6c:7d:f6:e1,2432,-52,0,true
241547530859,NMSL_N1_721,a6:40:a0:56:08:f5,2472,-54,0,true
241547530522,ISILAB_2,2c:56:dc:84:dd:88,2417,-56,0,true
241547530517,eduroam,00:24:6c:7d:f6:f1,5200,-56,0,true
241547530575,ISILAB_5,2c:56:dc:84:dd:8c,5785,-56,0,true
241547530781,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-56,0,true
241547530790,WCSL 2.4GHz,64:e5:99:da:03:68,2442,-56,0,true
241547530795,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-57,0,true
241547530725,,a0:40:a0:56:08:f8,5745,-57,0,true
241547530742,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-58,0,true
241547530765,JKR-R7000,10:da:43:95:44:e1,2437,-58,0,true
241547530512,Welcome_KAIST,00:24:6c:7d:f6:f0,5200,-58,0,true
241547530833,iDBLab-2.4GHz,78:54:2e:4c:f1:50,2457,-58,0,true
241547530827,eduroam,00:24:6c:7d:f6:81,2452,-59,0,true
241547530707,HCIL guest,6e:7f:92:e0:9f:70,5745,-59,0,true
241547530720,HCIL,6c:70:9f:e0:92:7f,5745,-59,0,true
241547530597,WCSL 5GHz,64:e5:99:da:03:6c,5240,-59,0,true
241547530801,Welcome_KAIST,00:24:6c:7d:f2:e0,2452,-60,0,true
241547530856,KECI,18:31:bf:46:ff:d8,2462,-61,0,true
241547530695,eduroam,00:24:6c:7d:f6:91,5745,-61,0,true
241547530807,eduroam,00:24:6c:7d:f2:e1,2452,-61,0,true
241547530869,iptime_dblab,90:9f:33:10:83:be,2467,-62,0,true
241547530874,eduroam,00:24:6c:7d:f6:c1,2472,-62,0,true
241547530689,Welcome_KAIST,00:24:6c:7d:f6:90,5745,-63,0,true
241547530562,Welcome_KAIST,00:24:6c:7a:8b:30,5220,-63,0,true
241547530879,Welcome_KAIST,00:24:6c:7d:f6:c0,2472,-63,0,true
241547530851,Welcome_KAIST,00:24:6c:7a:8b:20,2452,-64,0,true
241547530567,eduroam,00:24:6c:7a:8b:31,5220,-64,0,true
241547530811,eduroam,00:24:6c:7a:8b:21,2452,-64,0,true
241547530582,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-66,0,true
241547530817,iptime,00:08:9f:d9:e3:54,2462,-66,0,true
241547530884,Welcome_KAIST,00:24:6c:7d:f7:20,2472,-66,0,true
241547530848,eduroam,00:24:6c:7d:f4:21,2452,-68,0,true
241547530863,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-68,0,true
241547530712,KECI_5G,18:31:bf:46:ff:dc,5745,-69,0,true
241547530732,Welcome_KAIST,00:24:6c:7d:f6:00,2432,-69,0,true
241547530735,eduroam,00:24:6c:7d:f6:01,2432,-69,0,true
241547530489,Welcome_KAIST,00:24:6c:7d:f7:30,5180,-71,0,true
241547530785,Lapras_5GHz,60:38:e0:bb:ee:02,5805,-72,0,true
241547530497,eduroam,00:24:6c:7d:f7:31,5180,-72,0,true
241547530761,LIT_5G,70:8b:cd:2f:82:64,5805,-73,0,true
241547530551,Welcome_KAIST,00:24:6c:7d:f6:d0,5220,-74,0,true
241547530502,LIT_2.4G,70:8b:cd:2f:82:60,2417,-76,0,true
241547530838,Welcome_KAIST,00:24:6c:7d:f4:20,2452,-76,0,true
241547530844,artlab,90:9f:33:41:a7:88,2452,-76,0,true
241547530823,JKR-R7000-5G,10:da:43:95:44:de,5260,-77,0,true
241547530556,eduroam,00:24:6c:7d:f6:d1,5220,-78,0,true
241547530451,Welcome_KAIST,00:24:6c:7d:f5:00,2412,-78,0,true
241547530545,eduroam,00:24:6c:7d:f2:f1,5220,-79,0,true
241547530473,eduroam,00:24:6c:7d:f5:01,2412,-80,0,true
241547530537,Welcome_KAIST,00:24:6c:7d:f2:f0,5220,-81,0,true
241547530746,BGDR,90:9f:33:8f:db:e8,2427,-82,0,true
241547530770,JoyK,9c:d6:43:c8:11:82,5765,-82,0,true
241547530587,Welcome_KAIST,00:24:6c:7d:f6:10,5240,-83,0,true
241547530481,eduroam,00:24:6c:7d:f5:91,5180,-83,0,true
241547530756,eduroam,00:24:6c:7d:f5:11,5805,-84,0,true
241547530592,eduroam,00:24:6c:7d:f6:11,5240,-84,0,true
241547530680,irnlp,c4:e9:84:f8:c7:72,5240,-84,0,true
241547530532,eduroam,00:24:6c:7d:f5:d1,5200,-85,0,true
241547530752,Welcome_KAIST,00:24:6c:7d:f5:10,5805,-86,0,true
241547530527,Welcome_KAIST,00:24:6c:7d:f5:d0,5200,-87,0,true
241547530776,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-88,0,true
241551319149,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-40,1,true
241551319155,eduroam,00:24:6c:7d:f6:e1,2432,-40,1,true
241551319396,,aa:40:a0:56:08:f5,2472,-41,1,true
241551319387,NMSL_N1_721,a6:40:a0:56:08:f5,2472,-41,1,true
241551319103,Welcome_KAIST,00:24:6c:7d:f6:f0,5200,-47,1,true
241551319108,eduroam,00:24:6c:7d:f6:f1,5200,-47,1,true
241551319275,,a0:40:a0:56:08:f8,5745,-49,1,true
241551319351,eduroam,00:24:6c:7d:f2:e1,2452,-51,1,true
241551319298,HCIL,6c:70:9f:e0:92:7e,2432,-52,1,true
241551319295,HCIL guest,6e:7e:92:e0:9f:70,2432,-52,1,true
241551319349,Welcome_KAIST,00:24:6c:7d:f2:e0,2452,-52,1,true
241551319341,WCSL 2.4GHz,64:e5:99:da:03:68,2442,-54,1,true
241551319111,ISILAB_2,2c:56:dc:84:dd:88,2417,-55,1,true
241551319152,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-55,1,true
241551319164,WCSL 5GHz,64:e5:99:da:03:6c,5240,-55,1,true
241551319404,eduroam,00:24:6c:7d:f6:c1,2472,-56,1,true
241551319400,Welcome_KAIST,00:24:6c:7d:f6:c0,2472,-56,1,true
241551319061,HCIL-IPTIME,64:e5:99:e3:3a:54,2412,-59,1,true
241551319114,Welcome_KAIST,00:24:6c:7a:8b:30,5220,-59,1,true
241551319123,LIT_2.4G,70:8b:cd:2f:82:60,2417,-59,1,true
241551319119,eduroam,00:24:6c:7a:8b:31,5220,-60,1,true
241551319326,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-61,1,true
241551319372,iDBLab-2.4GHz,78:54:2e:4c:f1:50,2457,-62,1,true
241551319365,Welcome_KAIST,00:24:6c:7a:8b:20,2452,-62,1,true
241551319344,eduroam,00:24:6c:7a:8b:21,2452,-62,1,true
241551319135,Welcome_KAIST,00:24:6c:7d:f6:d0,5220,-63,1,true
241551319138,eduroam,00:24:6c:7d:f6:d1,5220,-63,1,true
241551319355,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-63,1,true
241551319172,Welcome_KAIST,00:24:6c:7d:f6:90,5745,-64,1,true
