timeMillis,timeNanos,x,y,z
1546925869219,245624966743392,-0.55879146,-0.040528465,0.07738991
1546925869239,245624986743392,-0.23686545,-0.26288342,0.2600386
1546925869258,245625006743392,0.019087095,-0.42048663,0.38709858
1546925869280,245625026743392,0.07773016,-0.38566732,0.36999434
1546925869299,245625046743392,0.08872573,-0.6086331,0.22460844
1546925869318,245625066743392,0.20051406,-0.9152875,-0.048448335
1546925869341,245625086743558,0.3318501,-0.8908529,-0.38747856
1546925869359,245625106743558,0.4271451,-0.5597639,-0.7185675
1546925869380,245625126743558,0.53832257,-0.29220495,-0.8676187
1546925869400,245625146743558,0.5309922,-0.22562064,-0.69168943
1546925869419,245625166743558,0.42958853,0.0022321017,-0.34349623
1546925869439,245625186743558,0.40393218,0.1726635,-0.10098274
1546925869460,245625206743558,0.39476922,0.014449406,0.10671144
1546925869480,245625226743634,0.18035552,-0.05641096,0.43169174
1546925869500,245625246743634,-0.11713586,0.21114801,0.6338881
1546925869523,245625266743634,-0.38286224,0.5593412,0.62411433
1546925869543,245625286743634,-0.37980792,0.6161517,0.5288193
1546925869561,245625306743163,-0.2955085,0.6137082,0.45185032
1546925869581,245625326743163,-0.22403727,0.4683223,0.330899
1546925869600,245625346743215,-0.23197852,0.1396768,0.09693759
1546925869619,245625366743215,-0.17700064,-0.013650394,-0.13030428
1546925869641,245625386743262,-0.12996402,-0.008152608,-0.27569023
1546925869660,245625406743262,-0.19288315,-0.042361062,-0.35327008
1546925869679,245625426743262,-0.20021354,-0.21523593,-0.3392202
1546925869701,245625446743262,-0.06704491,-0.36428705,-0.23354049
1546925869719,245625466743262,0.023974018,-0.20546208,-0.067996025
1546925869739,245625486743262,-0.043832023,0.063318625,0.05356616
1546925869759,245625506743299,-0.17638978,0.24230213,0.069448665
1546925869781,245625526743299,-0.29184332,0.2465782,0.016914247
1546925869799,245625546743333,-0.31200185,0.14273112,-0.011185554
1546925869824,245625566743333,-0.30711496,0.05904257,-0.022181127
1546925869841,245625586743366,-0.34498858,0.0022321017,-0.029511511
1546925869861,245625606743366,-0.23808718,-0.06374134,-0.03256584
1546925869883,245625626743366,0.09422352,-0.16025805,-0.035009295
1546925869901,245625646743366,0.2945873,-0.28609627,-0.08082419
1546925869919,245625666743366,0.16019696,-0.19568823,-0.08632197
1546925869940,245625686743066,-0.005347514,-0.055189233,-0.063719966
1546925869959,245625706742832,-0.15195517,0.057209972,-0.03195497
1546925869980,245625726742565,-0.23869805,0.07981199,-0.035009295
1546925870000,245625746741998,-0.1690594,-0.01426126,-0.067996025
1546925870019,245625766741731,0.034358725,-0.13643432,-0.10159361
1546925870039,245625786741164,0.16813822,-0.20607296,-0.10525881
1546925870061,245625806740930,0.18463157,-0.18408181,-0.06738515
1546925870079,245625826740296,0.11804727,-0.13521259,-0.037452757
1546925870249,245625846740462,0.019087095,-0.079012975,-0.033787567
1546925870249,245625866740228,-0.06399058,-0.03258722,-0.055778716
1546925870249,245625886739628,-0.06704491,-0.022202509,-0.07288294
1546925870249,245625906739328,-0.009012706,-0.0399176,-0.086932845
