timeMillis,timeNanos,x,y,z
1547082722627,402478373145697,0.17717634,3.737463,9.488511
1547082722647,402478405812363,0.17717634,3.737463,9.488511
1547082722666,402478438479029,0.17717634,3.737463,9.488511
1547082722687,402478471145695,-0.1987248,3.0646718,8.159689
1547082722705,402478503812195,-0.21069619,3.6704233,7.822096
1547082722725,402478536478861,-0.052674048,3.7254915,7.7957587
1547082722746,402478569145527,0.22745611,3.6895776,7.9609637
1547082722766,402478601812193,0.18675344,3.6201434,7.9753294
1547082722785,402478634478859,0.12450229,3.510007,8.08786
1547082722807,402478667145525,0.22985038,3.3735332,8.2339115
1547082722825,402478699811925,0.31365,3.215511,8.310528
1547082722844,402478732477991,0.2370332,3.0862203,8.363202
1547082722867,402478765144657,0.1699935,2.954535,8.710372
1547082722884,402478797811357,0.25139886,2.9401696,9.253872
1547082722905,402478830478057,0.3615355,2.9497466,9.72315
1547082722926,402478863144723,1.1684061,3.4118416,9.996098
1547082722946,402478895811389,0.18435916,3.2969165,6.88354
1547082722967,402478928478055,-0.6296943,3.581835,8.657698
1547082722987,402478961144688,0.05027977,3.2466366,11.27464
1547082723005,402478993811354,0.062251143,2.4637089,11.485336
1547082723025,402479026478020,-0.6296943,2.1141446,10.395941
1547082723047,402479059144720,-0.7733508,2.535537,9.931452
1547082723065,402479091811353,-0.85236186,2.3416007,9.842864
1547082723085,402479124478053,1.541913,2.5475085,9.632168
1547082723107,402479157144719,0.7972935,3.3160706,9.680053
1547082723125,402479189811385,-0.21309046,2.7893302,9.323306
1547082723145,402479222478051,-0.43815228,2.7031362,8.777411
1547082723168,402479255144451,-1.2402344,2.5499027,9.747093
1547082723185,402479287811117,-0.6847626,2.5570855,10.304958
1547082723203,402479320478317,0.19154198,2.944958,10.357633
1547082723226,402479340478050,-0.2777359,2.944958,9.933846
1547082723245,402479360477816,-1.0271438,2.753416,8.729526
1547082723266,402479380477549,-1.7166951,3.4716985,7.8795586
1547082723285,402479400477282,-1.6281068,3.222694,8.839663
1547082723303,402479420477982,-1.0486923,3.0335462,9.665688
1547082723324,402479440477382,-1.0678465,2.8300328,9.608225
1547082723344,402479460476782,-1.0199611,3.0527003,9.050359
1547082723365,402479480477282,-1.4341706,2.8779182,9.203592
1547082723384,402479500476748,-1.6448668,2.5307484,9.684841
1547082723538,402479520477281,-1.4126221,2.7917244,9.629773
1547082723538,402479540477547,-1.2186859,3.1772027,9.158101
1547082723538,402479560477847,-1.5993756,3.0431232,9.165284
1547082723539,402479580477880,-1.6831752,3.0694604,9.148524
1547082723539,402479600477846,-1.3479767,3.057489,8.566715
1547082723539,402479620477846,-1.0032011,3.4429672,8.722343
1547082723539,402479640477512,-0.6392714,3.4645157,8.971348
1547082723545,402479660476912,-0.7948992,3.3400133,8.672064
1547082723564,402479680476345,-0.9960183,3.4788814,8.162083
1547082723585,402479700475745,-1.5203645,3.0766432,8.260248
1547082723604,402479720475145,-1.5706443,2.6145482,8.925857
1547082723625,402479740475178,-0.85236186,2.5068057,9.687236
1547082723646,402479760475144,-0.7805336,2.4254005,9.596253
1547082723665,402479780475177,-1.4365649,2.3966691,9.44302
1547082723686,402479800475143,-1.5610672,2.2721667,9.170073
1547082723704,402479820474543,-1.2330515,2.4421604,8.810931
1547082723724,402479840473943,-1.0486923,2.4349775,9.093455
1547082723743,402479860473343,-1.0151725,2.2961094,9.881172
1547082723769,402479880473009,-0.45012367,2.5139885,9.876384
1547082723793,402479900472409,0.0071828244,2.9401696,9.672871
1547082723844,402479920471042,0.3328042,2.8635526,9.555551
1547082723844,402479940470508,0.09337672,2.727079,10.515655
1547082723845,402479960470108,0.26097596,2.4589202,11.09507
1547082723864,402479980469808,0.58420306,2.6863763,10.78142
1547082723885,402480000469474,0.56744313,2.9928436,10.592272
1547082723906,402480020468940,0.7805336,3.1125572,10.427067
1547082723925,402480040469540,1.3407938,2.9401696,10.453403
1547082723947,402480060470140,1.7119064,2.865947,11.049579
1547082723965,402480080469640,1.5754328,2.2697725,11.320131
1547082723985,402480100470206,1.4605076,1.7789462,11.403931
1547082724007,402480120469672,1.4748733,1.3264283,11.602655
1547082724025,402480140469705,1.8364087,0.9864412,11.751101
1547082724046,402480160469971,2.063865,0.6177229,11.770255
1547082724071,402479812968269,2.2266755,0.3902668,10.9490185
1547082724086,402479832968035,2.1668186,0.52674043,9.754275
1547082724105,402479852968001,2.221887,0.84278476,8.195602
1547082724126,402479872968334,2.5187771,1.2881198,6.996071
1547082724145,402479892968967,2.3248408,1.3575538,6.7805862
1547082724167,402479913002867,1.9920366,1.0462981,6.6608725
1547082724189,402479933070167,1.6257126,0.9433443,7.285778
1547082724208,402479953137433,1.2881198,1.0247496,8.2027855
1547082724228,402479973204066,0.8332076,1.462902,8.674458
1547082724250,402479993304099,0.62251145,2.205127,8.073495
1547082724270,402480013403799,0.67757976,2.7653873,7.5252056
1547082724286,402480033503232,0.68236834,3.093403,7.352818
1547082724311,402480053603832,0.65363705,3.2538195,7.637737
1547082724329,402480073704165,0.531529,3.0790374,8.032792
1547082724348,402480093804798,0.34956414,2.8420043,8.420665
1547082724370,402480113905398,0.06943397,2.5810282,9.043176
1547082724389,402480134005998,-0.04070267,2.5475085,9.366403
1547082724463,402480154106864,-0.009577099,2.8300328,9.385557
1547082724463,402480174207664,0.21548474,3.2610023,9.354432
1547082724463,402480194308330,0.2466103,3.440573,9.507666
