timeMillis,timeNanos,value
1547082722464,402478205145697,1019.4863
1547082722567,402478305145697,1019.4868
1547082722667,402478405145697,1019.489
1547082722766,402478505145697,1019.4949
1547082722867,402478605145697,1019.48926
1547082722967,402478705145697,1019.49146
1547082723066,402478805145697,1019.4922
1547082723168,402478905144554,1019.4971
1547082723266,402479005143554,1019.50977
1547082723365,402479105145220,1019.5088
1547082723539,402479205145320,1019.51025
1547082723564,402479305143774,1019.5088
1547082723665,402479405143857,1019.5137
1547082723769,402479505142472,1019.5149
1547082723864,402479605141257,1019.5122
1547082723966,402479705141257,1019.5054
1547082724071,402479804968269,1019.51904
1547082724167,402479905027092,1019.52026
1547082724270,402480005193314,1019.51587
1547082724370,402480105351208,1019.5032
1547082724468,402480205501208,1019.51074
1547082724570,402480305644065,1019.5149
1547082724673,402480405871383,1019.5161
1547082724771,402480506088817,1019.5193
1547082724875,402480606380525,1019.5266
1547082724977,402480706660565,1019.5283
1547082725076,402480807045218,1019.51904
1547082725176,402480907415588,1019.51245
1547082725278,402481007772766,1019.51294
1547082725376,402481108117593,1019.5259
1547082725477,402481208450926,1019.52954
1547082725578,402481308784259,1019.52
1547082725676,402481409117325,1019.51855
1547082725777,402481509483991,1019.5271
1547082725976,402481609917324,1019.5325
1547082725987,402481710450657,1019.5327
1547082726086,402481811083990,1019.51807
1547082726189,402481911817590,1019.51636
1547082726289,402482012584523,1019.5032
1547082726389,402482113350689,1019.51
1547082726490,402482214117355,1019.50757
1547082726590,402482314917955,1019.50195
1547082726693,402482415784355,1019.5071
1547082726795,402482516651655,1019.50684
1547082726891,402482617518888,1019.5178
1547082726992,402482718385588,1019.5237
1547082727093,402482819252254,1019.52
1547082727195,402482920185587,1019.50806
1547082727299,402483021152520,1019.5017
1547082727404,402483122119186,1019.5139
1547082727499,402483223119186,1019.51904
1547082727602,402483324219186,1019.52515
1547082727704,402483425285819,1019.5364
1547082727803,402483526352452,1019.5166
1547082727905,402483627385752,1019.5166
1547082728008,402483728519052,1019.5242
1547082728109,402483829618752,1019.52637
1547082728209,402483930718752,1019.51514
1547082728311,402484031818752,1019.5049
1547082728472,402484133018752,1019.5088
1547082728513,402484234285452,1019.51807
1547082728617,402484335618818,1019.51953
1547082728715,402484436952451,1019.5325
1547082728821,402484538252451,1019.52246
1547082728919,402484639519117,1019.51514
1547082729021,402484740785783,1019.5188
1547082729120,402484841952449,1019.5227
1547082729221,402484943019115,1019.5217
1547082729322,402485044119115,1019.5222
1547082729442,402485145319115,1019.5176
1547082729526,402485246519081,1019.5315
1547082729628,402485347785714,1019.51685
1547082729732,402485449019280,1019.5093
1547082729830,402485550252580,1019.5022
1547082729930,402485651519246,1019.50757
1547082730030,402485752785912,1019.521
1547082730131,402485854052612,1019.5259
1547082730230,402485955219312,1019.5232
1547082730333,402486056319312,1019.51025
1547082730450,402486157452678,1019.49976
1547082730532,402486258552678,1019.50464
1547082730632,402486359552678,1019.5051
1547082730733,402486460519344,1019.50366
1547082730832,402486561486010,1019.50684
1547082730931,402486662419343,1019.5027
1547082731033,402486763252676,1019.5122
1547082731132,402486864052942,1019.5237
1547082731236,402486964952942,1019.52856
1547082731339,402487065952908,1019.5154
1547082731441,402487166919608,1019.5083
1547082731544,402487267919574,1019.5105
1547082731647,402487368919574,1019.5244
1547082731747,402487469952907,1019.53174
1547082731847,402487570986273,1019.5259
1547082731948,402487671986306,1019.51904
1547082732047,402487772886306,1019.5205
1547082732148,402487873853006,1019.50977
1547082732252,402487974886339,1019.52515
1547082732352,402488075919672,1019.53076
1547082732464,402488176953005,1019.5227
1547082732559,402488278086338,1019.5139
1547082732662,402488379219671,1019.52905
1547082732763,402488480353004,1019.541
1547082732865,402488581519670,1019.53296
1547082732965,402488682686336,1019.52124
1547082733068,402488783952969,1019.5066
1547082733172,402488885319602,1019.5134
1547082733275,402488986786235,1019.52344
1547082733376,402489088286235,1019.5271
1547082733477,402489189752868,1019.5288
1547082733575,402489291219534,1019.5105
1547082733676,402489392685967,1019.5222
1547082733778,402489494186000,1019.5281
1547082733878,402489595719366,1019.532
1547082733980,402489697352732,1019.53613
1547082734084,402489799052732,1019.5137
1547082734184,402489900786098,1019.50635
1547082734288,402490002486131,1019.51294
1547082734388,402490104086131,1019.52466
1547082734487,402490205619431,1019.50464
1547082734586,402490307052764,1019.50024
1547082734694,402490408419397,1019.49097
1547082734787,402490509752697,1019.499
