timestamp,ssid,bssid,frequency,rss,wifiNo,legit
402481526852,ISILAB_2,2c:56:dc:84:dd:88,2417,-40,-1,true
402481526783,eduroam,00:24:6c:7d:f6:81,2412,-46,-1,true
402481526939,JKR-R7000,10:da:43:95:44:e1,2437,-49,-1,true
402481527042,KECI,18:31:bf:46:ff:d8,2462,-49,-1,true
402481526960,Lapras,60:38:e0:bb:ee:01,2437,-49,-1,true
402481526715,ISILAB_5,2c:56:dc:84:dd:8c,5785,-50,-1,true
402481526965,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-50,-1,true
402481526758,Welcome_KAIST,00:24:6c:7d:f6:80,2412,-51,-1,true
402481526975,Welcome_KAIST,00:24:6c:7d:f6:90,5805,-52,-1,true
402481526979,eduroam,00:24:6c:7d:f6:91,5805,-53,-1,true
402481526970,KECI_5G,18:31:bf:46:ff:dc,5805,-55,-1,true
402481526924,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-56,-1,true
402481526887,eduroam,00:24:6c:7d:f6:e1,2432,-56,-1,true
402481527037,irnlp,c4:e9:84:f8:c7:73,2457,-58,-1,true
402481526793,Welcome_KAIST,00:24:6c:7d:f6:f0,5220,-58,-1,true
402481526841,eduroam,00:24:6c:7d:f6:f1,5220,-58,-1,true
402481527058,iptime,00:08:9f:d9:e3:54,2462,-58,-1,true
402481526754,Welcome_KAIST,00:24:6c:7a:88:e0,2412,-59,-1,true
402481526761,eduroam,00:24:6c:7a:88:e1,2412,-59,-1,true
402481527027,CaisLab,90:9f:33:bb:c4:e4,2452,-59,-1,true
402481527012,JKR-R7000-5G,10:da:43:95:44:de,5260,-61,-1,true
402481527052,BUFFALO-764062_G,b0:c7:45:76:40:62,2462,-61,-1,true
402481527021,eduroam,00:24:6c:7d:f6:01,2452,-61,-1,true
402481526908,HCIL,6c:70:9f:e0:92:7e,2432,-62,-1,true
402481526918,HCIL guest,6e:7e:92:e0:9f:70,2432,-63,-1,true
402481527017,Welcome_KAIST,00:24:6c:7d:f6:00,2452,-63,-1,true
402481526866,WCSL 5GHz,64:e5:99:da:03:6c,5240,-63,-1,true
402481526955,,a0:40:a0:56:08:f8,5745,-63,-1,true
402481527046,DioOpenWrt,10:6f:3f:e7:f2:84,2462,-64,-1,true
402481527066,NMSL_N1_721,a6:40:a0:56:08:f5,2472,-64,-1,true
402481526985,Lapras_5GHz,60:38:e0:bb:ee:02,5805,-66,-1,true
402481527031,eduroam,00:24:6c:7d:f2:e1,2452,-66,-1,true
402481526873,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-67,-1,true
402481526882,DIRECT-47-HP MLILABLaserJet,96:53:30:29:0e:47,2422,-67,-1,true
402481526944,Welcome_KAIST,00:24:6c:7a:8b:20,2432,-67,-1,true
402481526934,WCSL 2.4GHz,64:e5:99:da:03:68,2442,-67,-1,true
402481527089,eduroam,00:24:6c:7e:08:01,2472,-67,-1,true
402481526846,LIT_2.4G,70:8b:cd:2f:82:60,2417,-67,-1,true
402481527085,MLILAB824_2,8a:36:6c:c9:4e:70,2472,-67,-1,true
402481526913,Askai-ASUS_80_5G,b0:6e:bf:a3:90:84,5765,-68,-1,true
402481526999,Welcome_KAIST,00:24:6c:7d:f2:e0,2452,-68,-1,true
402481527093,Welcome_KAIST,00:24:6c:7e:08:00,2472,-68,-1,true
402481526893,HCIL guest,6e:7f:92:e0:9f:70,5745,-69,-1,true
402481526774,eduroam,00:24:6c:7d:f6:11,5200,-69,-1,true
402481526770,Welcome_KAIST,00:24:6c:7d:f6:10,5200,-69,-1,true
402481527006,shheo24g,90:9f:33:a9:29:5a,2437,-69,-1,true
402481527062,SmartIoT,10:6f:3f:e7:e1:a0,2462,-69,-1,true
402481526902,HCIL,6c:70:9f:e0:92:7f,5745,-70,-1,true
402481526788,Welcome_KAIST,00:24:6c:7d:f7:20,2412,-71,-1,true
402481526861,eduroam,00:24:6c:7a:8b:31,5240,-71,-1,true
402481526747,Welcome_KAIST,00:24:6c:7d:f3:60,2412,-71,-1,true
402481526929,JoyK,9c:d6:43:c8:11:82,5765,-71,-1,true
402481526857,Welcome_KAIST,00:24:6c:7a:8b:30,5240,-72,-1,true
402481526779,HCIL-IPTIME,64:e5:99:e3:3a:54,2412,-73,-1,true
402481526742,eduroam,00:24:6c:7d:f7:31,5180,-73,-1,true
402481526735,Welcome_KAIST,00:24:6c:7d:f7:30,5180,-73,-1,true
402481526897,LIT_5G,70:8b:cd:2f:82:64,5745,-75,-1,true
402481526950,MLILAB824_25G,88:36:6c:e9:4e:70,5785,-76,-1,true
402481526766,BUFFALO-764062_A,b0:c7:45:76:40:63,5200,-77,-1,true
402481526877,irnlp,c4:e9:84:f8:c7:72,5240,-79,-1,true
402481526994,RESL,00:08:9f:65:f7:84,2447,-79,-1,true
402481527070,Welcome_KAIST,00:24:6c:7d:f5:80,2472,-80,-1,true
402481526729,eduroam,00:24:6c:7d:fc:61,2412,-83,-1,true
402481527076,Welcome_KAIST,00:24:6c:7e:08:60,2472,-84,-1,true
402481527080,eduroam,00:24:6c:7e:08:61,2472,-84,-1,true
402481526989,HP-Print-e4-LaserJet 200,14:2d:27:29:41:e4,2437,-87,-1,true
402485419521,ISILAB_2,2c:56:dc:84:dd:88,2417,-42,0,true
402485419772,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-42,0,true
402485419711,Lapras,60:38:e0:bb:ee:01,2437,-45,0,true
402485419480,ISILAB_5,2c:56:dc:84:dd:8c,5785,-47,0,true
402485419840,KECI,18:31:bf:46:ff:d8,2462,-48,0,true
402485419511,Welcome_KAIST,00:24:6c:7d:f6:80,2412,-50,0,true
402485419672,HCIL guest,6e:7e:92:e0:9f:70,2432,-51,0,true
402485419694,Welcome_KAIST,00:24:6c:7d:f6:e0,2432,-51,0,true
402485419765,JKR-R7000,10:da:43:95:44:e1,2437,-52,0,true
402485419677,HCIL,6c:70:9f:e0:92:7e,2432,-52,0,true
402485419705,eduroam,00:24:6c:7d:f6:e1,2432,-52,0,true
402485419747,Welcome_KAIST,00:24:6c:7d:f6:90,5805,-52,0,true
402485419752,eduroam,00:24:6c:7d:f6:91,5805,-52,0,true
402485419515,eduroam,00:24:6c:7d:f6:81,2412,-53,0,true
402485419586,Welcome_KAIST,00:24:6c:7d:f6:f0,5220,-55,0,true
402485419591,eduroam,00:24:6c:7d:f6:f1,5220,-55,0,true
402485419811,irnlp,c4:e9:84:f8:c7:73,2457,-57,0,true
402485419800,Welcome_KAIST,00:24:6c:7d:f6:00,2452,-58,0,true
402485419581,HCIL-IPTIME,64:e5:99:e3:3a:54,2412,-58,0,true
