timeMillis,timeNanos,x,y,z
1547083226418,402982165956379,0.16703804,0.11123856,-0.26155233
1547083226439,402982185956379,0.10411893,0.41911465,-0.14243361
1547083226461,402982205956379,0.2189616,0.63719356,0.07808874
1547083226479,402982225956379,0.19758132,0.31587842,0.14222959
1547083226499,402982245956629,0.19208352,-0.38783833,-0.12838371
1547083226522,402982265956629,0.4950727,-0.5179526,-0.30553463
1547083226539,402982285956629,0.69054955,-0.4538118,-0.31775194
1547083226561,402982305956629,0.69238216,-0.4904637,-0.29453906
1547083226582,402982326852796,0.6777214,-0.4715269,-0.3201954
1547083226599,402982346852796,0.69054955,-0.23145685,-0.3165302
1547083226619,402982366852796,0.7168168,-0.04880813,-0.27376965
1547083226640,402982386852886,0.77607065,-0.21557434,-0.2829326
1547083226660,402982406852886,0.81394434,-0.47763553,-0.32508233
1547083226680,402982426852886,0.6099153,-0.51306576,-0.3519604
1547083226701,402982446852886,0.4718598,-0.543609,-0.22978735
1547083226719,402982466852352,0.39061472,-0.57598484,-0.12227506
1547083226739,402982486852414,0.3838952,-0.44587055,-0.18641591
1547083226761,402982506852472,0.33074993,-0.33408222,-0.2536111
1547083226779,402982526852472,0.16825978,-0.17647897,-0.1479314
1547083226799,402982546852472,-0.025384504,0.07947357,0.07320181
1547083226821,402982566852522,-0.114570834,0.34581083,0.18376842
1547083226839,402982586852522,-0.17504649,0.5767179,0.16788593
1547083226861,402982606852567,-0.29355437,0.7129409,0.14345132
1547083226881,402982626852567,-0.35341913,0.6726237,0.15505776
1547083226900,402982646852567,-0.308826,0.39101484,0.13367747
1547083226919,402982666852567,-0.23613301,0.07153232,0.025554325
1547083226942,402982686852567,-0.20314628,-0.053695057,-0.048971232
1547083226959,402982706852567,-0.20192456,-0.034758233,-0.026369222
1547083226979,402982726852602,-0.18237688,-0.029260445,0.018834809
1547083227002,402982746852602,-0.16282918,-0.06896668,0.00967183
1547083227020,402982766852635,-0.23552215,0.03304781,0.008450099
1547083227039,402982786852635,-0.41511655,0.24685064,0.035328172
1547083227061,402982806852635,-0.66129524,0.22852468,0.059151914
1547083227079,402982826852668,-0.69244933,0.18759671,0.071369216
1547083227099,402982846852368,-0.7602554,0.36230418,0.1226819
1547083227121,402982866885434,-0.7455946,0.43438625,0.22347467
1547083227138,402982886918500,-0.580661,0.2560136,0.26745698
1547083227161,402982906951566,-0.38212982,0.0055588735,0.2350811
1547083227180,402982926984666,-0.17932254,-0.08057313,0.18865535
1547083227199,402982947017399,0.0063804872,-0.15021177,0.14650564
1547083227219,402982967050465,0.14138171,-0.24428502,0.06526057
1547083227240,402982987083531,0.18230967,-0.24000895,-0.0043780715
1547083227259,402983007116764,0.17864448,-0.17586811,-0.026980085
1547083227279,402983027149530,0.2049117,-0.17831157,-0.057523347
1547083227432,402983047182263,0.2238485,-0.21129829,-0.088066615
1547083227432,402983067215596,0.18658574,-0.1691486,-0.0758493
1547083227432,402983087248662,0.10411893,0.0073914696,-0.023925759
1547083227432,402983107281962,-0.016221527,0.2584571,0.012726155
1547083227433,402983127315295,-0.11640343,0.4527122,0.013337021
1547083227433,402983147348328,-0.13900545,0.52174,0.0023414465
1547083227433,402983167381028,-0.06325815,0.48569894,0.016391348
1547083227438,402983187413794,-0.074864596,0.4484362,0.024332596
1547083227459,402983207446494,-0.065090746,0.38734964,0.043880284
1547083227481,402983227479827,-0.017443256,0.3195436,0.062817104
1547083227502,402983247513160,0.025928175,0.2370768,0.07075836
1547083227522,402983267546493,0.031425964,0.17354682,0.0505998
1547083227541,402983287579826,0.03509115,0.17537941,0.026165191
1547083227565,402983307612826,0.069910474,0.1949271,0.029830383
1547083227578,402983327645526,0.15482074,0.17415768,0.048767205
1547083227600,402983347678292,0.26355475,0.113682024,0.052432396
1547083227618,402983367710992,0.31242397,0.09657779,0.057319317
1547083227681,402983387743758,0.23545496,0.086193085,0.023721728
1547083227706,402983407776491,0.23545496,0.086193085,0.023721728
1547083227706,402983427808957,0.23545496,0.086193085,0.023721728
1547083227706,402983447841723,-0.2593459,-0.21190915,-0.048971232
1547083227719,402983467841389,-0.14328149,-0.20396791,0.034717303
1547083227739,402983487841055,0.049141057,-0.12822062,0.06587143
1547083227759,402983507840755,0.22445938,-0.052473325,0.030441249
1547083227781,402983527840988,0.27027425,-0.08362745,-0.023925759
1547083227800,402983547841621,0.27760464,-0.054916788,-0.024536625
1547083227820,402983567841887,0.335026,-0.013988814,0.0035631768
1547083227841,402983587842120,0.4144385,-0.0029932396,0.037160765
1547083227862,402983607842253,0.43520787,-0.034758233,0.042047687
1547083227880,402983627842819,0.31303486,-0.11600331,0.0072283684
1547083227902,402983647843419,0.11267104,-0.17953329,-0.008654128
1547083227920,402983667843685,-0.118846886,-0.22962426,0.0011197161
1547083227940,402983687843918,-0.28439134,-0.24428502,0.051210668
1547083227960,402983707843351,-0.31676725,-0.2235156,0.16544248
1547083227980,402983727843351,-0.20864408,-0.13982706,0.34625858
1547083228000,402983747843651,-0.076697186,-0.039645154,0.43666664
1547083228024,402983767877617,0.025928175,0.0049480083,0.45316002
1547083228043,402983787944850,0.06319096,0.009224065,0.43116885
1547083228063,402983808012150,0.044864997,-0.016432276,0.4055125
1547083228083,402983828078816,0.011878275,-0.057971112,0.3682497
1547083228104,402983848178816,-0.08463843,-0.13555099,0.26379177
1547083228124,402983868312149,-0.16588351,-0.13860533,0.1929314
1547083228145,402983888445182,-0.18787466,-0.102564275,0.15627949
1547083228163,402983908578248,-0.13656197,-0.086681776,0.14955996
1547083228184,402983928712214,-0.09319054,-0.08851437,0.15566863
1547083228207,402983948845847,-0.0571495,-0.0653015,0.16544248
1547083228224,402983968979813,0.02165212,-0.026816985,0.20270525
1547083228245,402983989113713,0.119390555,0.011056661,0.24913101
1547083228267,402984009247679,0.1609294,-0.015210545,0.24607667
1547083228290,402984031871715,0.08273864,-0.10745119,0.19415313
1547083228424,402984052039215,-0.02843883,-0.1337184,0.15689035
1547083228424,402984072206481,-0.15794227,-0.1654834,0.12023844
1547083228424,402984092373747,-0.31249118,-0.26444358,0.07259095
1547083228424,402984112540980,-0.47009438,-0.37195584,0.05609759
1547083228424,402984132707680,-0.47009438,-0.3658472,0.11351892
1547083228424,402984152874313,-0.35341913,-0.2674979,0.18804447
1547083228427,402984173041013,-0.30271733,-0.32980615,0.18682276
1547083228446,402984193207679,-0.30577168,-0.3798971,0.120849304
1547083228466,402984213374045,-0.09013622,-0.29009992,0.10130161
1547083228486,402984233540745,0.21346381,-0.29071078,0.023721728
1547083228509,402984253707411,0.4370405,-0.29926288,-0.0758493
1547083228526,402984273874077,0.5182856,-0.23817636,-0.19130284
1547083228546,402984294040477,0.4596425,-0.11783591,-0.3818928
1547083228568,402984314207443,0.33930203,-0.034147367,-0.5639307
1547083228583,402984334373543,0.185364,0.029993482,-0.7160361
1547083228608,402984354540209,0.032647695,0.15827519,-0.7704031
1547083228629,402984374673509,-0.032104023,0.33420438,-0.702597
1547083228649,402984394806875,0.039978076,0.39468002,-0.55110246
