timeMillis,timeNanos,x,y,z
1547083226298,402982045956379,-22.859999,2.46,-33.0
1547083226317,402982065956379,-22.8,2.58,-32.88
1547083226339,402982085956379,-22.74,2.22,-33.239998
1547083226358,402982105956379,-23.16,1.68,-33.36
1547083226377,402982125956379,-23.1,1.8,-34.02
1547083226399,402982145956379,-22.98,1.14,-33.84
1547083226418,402982165956379,-22.98,0.53999996,-34.14
1547083226439,402982185956379,-22.98,0.84,-34.38
1547083226461,402982205956379,-22.8,0.59999996,-34.2
1547083226479,402982225956379,-22.14,0.35999998,-34.38
1547083226499,402982245956479,-22.26,0.29999998,-34.38
1547083226521,402982265956479,-22.02,-0.17999999,-34.5
1547083226539,402982285956479,-21.84,-0.65999997,-34.079998
1547083226560,402982305956479,-22.32,-1.14,-34.02
1547083226582,402982326852796,-22.38,-1.92,-33.54
1547083226599,402982346852796,-22.5,-2.3999999,-32.88
1547083226619,402982366852796,-22.619999,-2.9399998,-32.399998
1547083226640,402982386852854,-22.92,-3.9599998,-31.92
1547083226660,402982406852854,-23.4,-4.5,-31.38
1547083226679,402982426852854,-23.64,-5.7599998,-31.439999
1547083226701,402982446852854,-23.88,-6.54,-31.38
1547083226718,402982466852473,-24.119999,-6.96,-31.14
1547083226739,402982486852518,-24.42,-7.7999997,-30.84
1547083226761,402982506852561,-24.779999,-8.28,-30.42
1547083226779,402982526852561,-24.84,-8.94,-29.039999
1547083226799,402982546852561,-24.84,-9.78,-28.199999
1547083226821,402982566852599,-24.84,-9.96,-27.84
1547083226839,402982586852599,-24.6,-9.78,-28.019999
1547083226861,402982606852634,-24.66,-9.36,-29.039999
1547083226881,402982626852634,-24.9,-8.22,-30.119999
1547083226900,402982646852634,-24.72,-7.74,-30.72
1547083226919,402982666852634,-24.779999,-7.02,-31.199999
1547083226942,402982686852634,-25.14,-6.8399997,-31.619999
1547083226959,402982706852634,-25.32,-6.72,-31.679998
1547083226979,402982726852667,-25.5,-6.48,-32.16
1547083227001,402982746852667,-25.619999,-6.72,-31.859999
1547083227020,402982766852700,-25.5,-6.54,-31.5
1547083227039,402982786852700,-25.32,-6.48,-31.439999
